,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,"Trading/ Listed Investments, Current",Other Short Term Investments,"Cash Restricted or Pledged, Current",Inventories,Other Inventories,Finished Goods and Merchandise,Work-in-Process,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Loans Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Accrued Interest Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Total Long Term Investments,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Long Term Equity Investments,Investments in Other Ventures under Equity Method,"Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Interest Payable, Current","Other Payable, Current","Amount Due to Related Parties/Shareholders, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Borrowings from Associates and Related Parties, Current Debt","Other Loans, Current Debt","Bank/Credit Facilities, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Capital Lease Obligations, Current","Other Financial Liabilities, Current","Provisions, Current","Provision for Employee Entitlements, Current","Pension and Other Post-Retirement Benefit Plans, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Borrowings from Associates and Related Parties, Non-Current","Capital Lease Obligations, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Other Non-Current Liabilities,"Provisions, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Surplus/Revenue Reserve,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 5,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 5
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,691.27,605.28,101.27,23.56,10.37,13.18,77.71,76.52,1.19,0.77,333.84,0.0,8.48,,119.24,91.27,92.29,-1.02,27.5,,0.47,37.56,12.6,85.99,75.28,102.74,60.9,30.73,30.18,41.84,4.39,15.97,21.48,0.0,-27.46,-27.46,-1.51,0.0,-1.51,-25.95,-0.59,-14.53,-10.83,0.6,0.5,0.5,0.1,0.1,7.3,7.3,1.36,1.36,1.45,553.94,422.79,27.46,27.46,19.12,0.77,3.4,3.94,0.24,392.47,392.47,390.33,192.27,130.0,68.06,2.14,,,2.14,0.0,2.48,2.48,2.48,0.38,0.38,,131.15,131.15,131.15,127.01,,127.01,4.14,,,,,137.33,137.33,64.99,64.99,53.29,11.7,-136.04,208.38,195.07,14.81,-1.51,,,,,,,,,,,
2019,591.75,510.92,10.95,9.68,9.35,0.33,1.27,0.0,1.27,0.79,190.19,2.0,5.21,,242.84,207.46,207.46,0.0,15.0,18.41,1.97,47.38,18.78,80.83,76.28,106.17,60.9,30.73,30.18,45.27,4.39,16.49,24.39,0.0,-29.9,-29.9,-2.0,0.0,-2.0,-27.9,-0.59,-15.28,-12.03,0.5,0.5,0.5,,,0.75,0.75,1.72,1.72,1.58,484.0,477.92,18.99,18.99,14.25,0.79,0.55,3.15,0.25,317.29,317.29,314.84,246.45,0.0,68.39,2.45,,,2.45,,2.01,2.01,2.01,139.63,139.63,,6.08,6.08,6.08,,,,6.08,,,,,107.75,107.75,64.99,64.99,53.29,11.7,-167.12,209.88,195.07,14.81,,,,,,,,,,,,
2020,426.57,353.78,7.01,6.57,6.53,0.04,0.44,,0.44,0.79,235.13,70.43,0.0,,80.24,5.85,,,38.16,30.88,5.35,30.69,0.0,72.79,66.86,100.72,54.88,24.71,30.18,45.84,4.86,16.95,24.03,,-33.86,-33.86,-2.49,,-2.49,-31.37,-0.59,-16.22,-14.56,0.5,0.5,0.5,,,0.55,0.55,3.3,3.3,1.58,396.23,392.92,15.6,15.6,7.89,0.79,4.79,1.88,0.27,224.1,224.1,221.1,221.1,,0.0,3.0,,,3.0,,0.02,0.02,0.02,144.71,144.71,8.49,3.31,3.31,3.31,,,,3.31,,,,,30.34,30.34,64.99,64.99,53.29,11.7,-230.65,196.0,195.07,0.93,,,,,,,,,,,,
2021,363.91,306.64,18.4,10.07,10.05,0.02,8.33,,8.33,0.79,140.86,34.76,,,86.17,31.79,,,27.59,22.08,4.7,60.43,,57.27,51.53,84.41,39.09,9.23,29.86,45.31,4.86,17.46,23.0,,-32.87,-32.87,-2.93,,-2.93,-29.94,-0.59,-17.03,-12.33,0.5,0.5,0.5,,,2.99,2.99,0.55,0.55,1.7,351.21,345.41,48.43,48.43,39.44,0.79,0.05,8.15,0.0,122.23,122.23,120.62,120.62,,,1.61,,,1.61,,0.01,0.01,0.01,163.6,163.6,11.14,5.81,5.81,5.81,,,,5.81,,,,,12.7,12.7,64.99,64.99,53.29,11.7,-250.69,198.4,195.07,0.93,2.31,0.09,,7.41,1.61,5.8,7.41,1.61,5.8,7.41,1.61,5.8
2022,315.98,266.98,3.89,3.89,2.92,0.98,0.0,0.0,,0.79,124.3,39.99,,,50.74,7.38,,,29.24,12.46,1.66,87.26,,49.01,45.68,71.4,36.11,9.23,26.87,35.29,4.86,17.47,12.96,,-25.71,-25.71,-1.23,0.0,-1.23,-24.48,-0.9,-17.22,-6.35,0.5,0.5,0.5,,,0.0,0.0,0.97,0.97,1.85,328.45,324.12,47.97,47.97,43.34,0.79,1.73,2.12,,128.69,128.69,127.21,18.33,108.88,,1.48,1.48,1.48,,,0.01,,,136.25,136.25,11.21,4.33,4.33,4.33,4.33,4.33,,,,,,,-12.47,-12.47,64.99,64.99,53.29,11.7,-273.72,196.26,195.07,0.93,0.09,0.17,,5.8,1.48,4.33,5.8,1.48,4.33,5.8,1.48,4.33
