,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment",Other Non-Cash Items,"Stock-Based Compensation, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Loans Receivable,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,Change in Other Operating Capital,"Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Interest Received/Paid, CFI","Capital Expenditure, Reported","Purchase/Sale of Business, Net",Sale of Business,Other Investing Cash Flow,Purchase/Sale of Equity Investments,Sale of Joint Venture/Associate,"Dividends Received/Paid, CFI",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Repayments for Short Term Debt,"Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,"Interest Paid, CFF",Cash Dividends Paid,Common Stock Dividends Paid,Net Movement in Non-Controlling/Minority Interest,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.012049654334472169,-0.012049654334472169,-0.012049654334472169,-0.01979946565797806,-0.071507981660302,-0.11050969698618669,-0.11050969698618669,-0.12296663736336999,-0.037910523889832744,-0.10977212139888275,-0.08725040801579109,-0.010140295437615448,0.005904102912686656,-0.08899153715239463,-0.08370954630636157,-0.044120360701695,-0.12939872077853176,-0.06966802912258252,-0.07821136060636777,-0.051130203724848194,-0.13877795061266252,-0.046054423706199964,-0.1145397374871665,-0.0944016213342787,-0.08672601847237002,-0.08955908400513707,-0.09011633848287652,-0.09011633848287652,-0.046054423706199964,-0.007886970881837527,-0.009111821671913123,-0.009111821671913123,-0.009111821671913123,-0.07878609622935492,-0.08988416635916405,-0.046054423706199964,-0.05940615461431206,-0.046054423706199964,-0.010140934714919666,-0.010140934714919666,-0.01586440522115085,-0.009768965442828655,-0.06012805761394136,-0.1287186263160443,-0.12506974442072977,-0.007133988576525985,-0.07627088919669725,-0.014936538709041004,-0.037313368111356465,-0.038491719153094996,-0.017682134206542587,-0.046054423706199964,-0.046054423706199964,-0.034376739423214106,-0.08946405679002359,-0.08946405679002359,-0.13034785596098167,-0.12919086967398283,-0.010597643126643904,-0.012798616056661213,-0.014760869963382496,-0.008759110656478043,-0.0010643384472207083,-0.08954843620834145,-0.044800321654879675,-0.044800321654879675,-0.010074558954460931,-0.001041986029601049,-0.046054423706199964,-0.044898494923436,-0.034376739423214106,-0.13715486971690627,-0.14058737976716257,-0.022509240577835123,-0.04689659606860528,-0.035471885991372444,-0.04098149727115526,-0.14058737976716257
Revenue per Share,0.06474175499950804,0.05774810146345012,0.15048224910919827,-0.02097817985926118,-0.023126132857603086,-0.012642486324210738,-0.010041079291216715,0.011433489479462225,0.05078597122332717,-0.006764857029244243,-0.0027396624870217852,-0.048528642215587156,0.017750905896404313,-0.004254943258946981,0.040037653631239685,0.04728996388802115,0.003251506937719235,0.025967046500496943,0.024520105681780265,0.03380957942938685,-0.002338375526060309,0.06145866930981069,0.018555351387367195,0.038354442561339706,0.09147496156616233,0.07778859361108086,0.10502421659269119,0.09954108869988317,0.06613879414454267,0.09514772222240626,0.07261647056745806,-0.0018292776565666706,0.0034579655241564226,0.05826183890183178,0.008273952339623344,0.06506156522653984,-0.036932506115955985,0.0785429947140807,0.06257051214129891,0.04139816927262719,0.09050888830449305,0.13362303724201335,0.06656041640342383,-0.0033522215566872036,-0.01742728145574792,0.03482645301085591,0.05577169494433636,0.11391642326158395,0.030345042263508152,0.033264597614844044,0.06242085756324049,0.049322989745018996,0.051776417482581244,0.05302019700022512,0.007513875339102629,0.011805327230532237,0.05384783754236569,0.05167118403070022,0.10141154183802001,0.15240789145063485,0.14645029240002913,0.07776960911970639,0.08559821100902874,0.04575631431742591,0.037636264066842666,0.04150514437530287,0.07032448797933706,0.06848597619179798,0.05147173127431421,0.059518472495786685,0.053854341464975024,0.017103535823018382,-0.002267356574905432,0.03432229052167986,0.023796929070392225,0.07100139867033334,0.036425060754589074,-0.009066263786327022
EBITDA per Share,0.1434874394045651,0.14124540910721733,0.15461022755832404,0.018735139962006327,0.022100985970969704,-0.008458756096205985,0.004105028080237214,0.03066102517184165,0.09338465732064728,0.0061437682381730455,0.03601405628139876,-6.836525502190022e-05,-0.00495109338444065,0.009713272596762676,0.0359353155290054,0.011386295700536602,0.025245371449035853,0.023428903862797907,0.017001571155840032,0.04388719252654444,0.03736882485365324,0.002060122849098938,0.03661987638119265,0.03824495136940317,0.1465152504813703,0.13407549657707804,0.12289313623745447,0.12160595222061613,0.01758440673667916,0.04181818566342703,0.025284168050891995,0.029388607393948867,0.0260063662313215,0.07797229907644872,0.027516431123586777,0.022975683879458607,0.012060884235477767,0.026592147998956615,0.14147890613456446,0.11410661689339628,0.14360639792027305,0.1677736117232613,0.06316402950206201,0.014499533596013088,0.023705606195784452,0.06846178179852963,0.07670718251502749,0.19316652818445657,0.05730896294880425,0.042715412896152244,0.06734477546583342,0.009108230096964366,0.014645117602368527,0.013773222984886032,0.013569280432306121,0.007328731261441923,0.01885027399884414,0.010545727085931572,0.16474908150447518,0.19302425746230836,0.2243610997972446,0.054526837286105856,0.01322638347616497,0.11196271424417928,0.07402523618491781,0.07287599732250946,0.15468599632099234,0.14973465443178702,0.02228187150413905,0.00893670859230716,0.006902775959828238,0.03074592681746699,0.019039883561403126,0.024461679079880082,0.017971206545508538,0.03691294432726135,0.02072985018030826,0.014928010539715365
EBIT per Share,0.1507946627846996,0.12477480192830076,0.15907964948655134,0.0189056413596516,0.021848628898302067,-0.005368298237119348,-0.001939187250235141,0.030560220402019302,0.08417478442125412,0.0005616485023984125,0.03395481745261131,-0.000181224665464089,-0.003598139527696391,0.010604176663876759,0.030577274210031875,0.013607245204080153,0.02116337995909891,0.01730221168803119,0.015950932486661917,0.04527634066412177,0.031481911324026,0.00022584595038214529,0.03374400137464254,0.04572471836918715,0.13915190939282113,0.1346493736429513,0.12456664947786132,0.11054035900047166,0.019409268093090463,0.027493967029798113,0.02424782247597121,0.028040287697335586,0.024908467539328384,0.08140127715017854,0.027605421774827034,0.0287724790439084,0.012651313459299596,0.02641644460940661,0.12705520085297922,0.1191941483828333,0.1448539817080797,0.16758998147947127,0.06432437403415524,0.015761194051999272,0.021749998899499894,0.06891884702781761,0.07907273405166608,0.19175908876278724,0.05708989483554291,0.04148483597905669,0.06655435528064589,0.011903506108463897,0.018776954075541096,0.011709393954443453,0.02622836222209888,0.021995201045862642,0.010756432260482438,-0.0020767475260577047,0.15948422538168858,0.19213501057189716,0.2243610997972446,0.04911911389777719,0.006191623161204353,0.11306492449618213,0.05992400180009233,0.07466435254311589,0.16119642803271794,0.18481663430455533,0.023226723343370472,0.011731984603806691,0.009890430067957513,0.03492842933153932,0.017113004424510473,0.023742341400805615,0.03559350416231501,0.013579146550377893,0.019095070926617254,0.007333851248150614
Earnings per Share (Diluted),0.14253489137196712,0.1366062570814664,0.1442378981052537,0.0286092777002378,0.03831266991848174,0.045844538722646655,0.043707634070605024,0.06500703275310765,0.08644583805081013,0.04664044966656295,0.038489429815752846,0.0806440692569515,0.05900061014097092,0.06705050398154606,0.18732346850270207,0.1656235722491523,0.05493648920610439,0.1911238282143271,0.18530938082701556,0.0630345806395643,0.0359274037529206,0.09321854298070024,0.07592982284432215,0.13823719648906113,0.18059220711591475,0.11490338445679518,0.12719729099880864,0.11329065240601305,0.12151470256764839,0.1593784802825176,0.16726162585776988,0.18619582335205676,0.18619582335205676,0.11348990863081213,0.08405549069193141,0.12099137388076583,0.04170501587158347,0.12514682851750844,0.15132937718272094,0.13635755092351673,0.19488825944858057,0.20061586993388264,0.1191732724481917,0.12497099182530423,0.043474121481587094,0.1254248521427549,0.1119487232501211,0.19506046608611793,0.09699777842695465,0.0941156274728189,0.08820628860185549,0.16640630042120905,0.12465946744917286,0.16955162984804234,0.109463166947505,0.12922669107007634,0.0901842850482767,0.06265891465819586,0.18621332875024355,0.21395366538959443,0.24338184030193544,0.18035127475483606,0.16288837372587694,0.1425549509511327,0.09442257601324039,0.10230090059038927,0.2194965654838859,0.1405073986324178,0.1675072160829374,0.16577486482343923,0.11483928304767871,0.08318917118948234,0.05383170763269391,0.07983491132660703,0.09353651001027442,0.12383574562255617,0.11826376587180767,0.06263489348798378
EPS without NRI,0.06432710567125578,0.04082616256514251,0.06739008050520012,0.009715915427729715,0.014267996477370908,0.013014159110406927,0.02289495382145681,0.08032164900207171,0.06591427498141733,0.012471997945136322,0.04101911982140009,-0.046936392007160876,-0.03852192135477543,0.02128323675253796,0.06245866903371464,0.060502930564473,0.024351296152617975,0.09329329624256735,0.04544879604923595,0.035382714576449266,0.011804706038295002,0.06871682039147396,0.07895372801289152,0.0451170806051256,0.11403811873359558,0.11038626645770545,0.0910951736740925,0.08229137791314994,0.09180648343465361,0.11060494466392601,0.11617937427854422,0.14543010077482563,0.14268501963847863,0.10154097177913965,0.07165925849359356,0.09180648343465361,0.005420051584473644,0.054677697243590714,0.07006664312264932,0.04287648195835344,0.10705597981830202,0.13083537208251142,0.05516425190190645,0.04027214594282457,-0.004618004465780013,0.038633847143168684,0.075472204532616,0.14579250663515178,0.0708506586971752,0.06263433348185429,0.06379792412556862,0.08911200440676346,0.08983647505448623,0.08748781063275793,0.05584737097091223,0.03164500741264045,-0.0038819842491604,-0.016054992207653704,0.16818119265101542,0.1266093982622451,0.1516806030326346,0.08917676561855531,0.1051227738797617,0.10482140371773836,0.021802521640437552,0.06167701032443611,0.10752459327953576,0.1071556054549381,0.09556314770336044,0.08685633070242275,0.08008523257307786,0.03448214980783442,0.02010197433167148,0.039622151710621265,-0.010385396998483305,0.12816775199672756,0.0761261172110283,-0.00665683334148025
Owner Earnings per Share (TTM),0.19836610304932084,0.18499273152869875,0.2016184167626955,0.059187727646843005,0.07593520468179389,0.05404358982899298,0.061647292928425766,0.08086933292151124,0.14010661943472624,0.05402347464409096,0.07397648852036338,0.03590765277510403,0.0510386319943275,0.07726771926368556,0.045486413609234604,0.03990021226281416,0.07628133867866796,0.05642656892560243,0.05496073940956662,0.09829449019064081,0.07784812404661405,0.05541601035678778,0.07105897624041735,0.09801129691969782,0.1876271873501862,0.1584580662958418,0.18042505906479978,0.1613472934356358,0.06895853951122115,0.046894354043417186,0.06766660072527296,0.07114589670621507,0.06567351991383773,0.12094380584355474,0.08476088430908332,0.05217934049040008,0.06419516902362707,0.07437132834659022,0.18368602920611432,0.19012952031524608,0.0949024509119762,0.23009886161549276,0.11679529736892699,0.13252235493621856,0.13443736894729608,0.19921604334409235,0.12359835571433578,0.08452128023817625,0.10183428822616784,0.0635144558262541,0.10237106092939956,0.11776817644134512,0.11757135265091263,0.044487741970223066,0.15773085007117918,0.15949810773672976,0.09923435607274933,0.09120920271400877,0.09054777606107174,0.08961130275853854,0.11200451857054425,0.0825293560313769,0.03430206344521746,0.16792744857360498,0.11901407513162937,0.13496982551145612,0.18624896278339798,0.18853540467396385,0.04714467393742811,0.11327799418570036,0.058694604253140444,0.08845111316028251,0.062487429894314286,0.0760443700452468,0.11620508852601703,0.029897835547768276,0.06574775102958519,0.06893578872727572
Free Cash Flow per Share,0.29713497242070497,0.29401770143550576,0.27784140452071987,0.027712963626187553,0.03568181627782226,0.011656248303236567,0.013683761670715151,0.040343672595655154,0.1140664583667457,0.036197504335406375,0.06886942458452745,0.06456139999425455,0.07159492781747555,0.03926520283107824,0.11176780636298077,0.07821203786429394,0.05874907172906118,0.11138232064286456,0.10600907488034621,0.13779889464020295,0.055553500503137336,0.02270580685317207,0.06828790721960075,0.12402218520007431,0.14001447497096173,0.12930212130669774,0.1288624383561049,0.19869888527100338,0.013555082148337665,0.004561480082332043,0.016816406945556008,0.011309747990319054,0.09192597936931889,0.04396943932937546,0.02942004621573094,0.023946868741385633,0.010569635591791372,0.09820623422438006,0.3209871160935982,0.29742387693396505,0.17852994898189978,0.1782281154322816,0.049875731959299424,0.023751343702303133,0.028513508597393385,0.045402841367731206,0.07829945287529648,0.17705308699984398,0.04896643963895626,0.05432128237940484,0.1508523219244866,-0.0007921833347976212,0.0052992258023984865,0.07309323082774477,0.25644085040346054,0.25380279640158365,0.08713465822245324,0.08585549752067817,0.047308543788030614,0.05871174536945652,0.23570006152339792,0.028048565716822356,0.010244366237293629,0.16838523897104396,0.08409325643236229,0.08758564093616467,0.2788129127383873,0.1639412103970804,0.08749667137014351,0.07320687049243531,-0.0026824619229115134,0.061529240963354645,0.040936153913387445,0.024273480199069778,0.08235915665583528,-0.026920140731916283,0.1062187662336107,0.12022498301881034
Operating Cash Flow per Share,0.4179531449000275,0.25597770232912526,0.2629736458866417,0.038034443913668926,0.04196339320244915,0.022422309395153744,0.027378003430323043,0.05476432312251146,0.11725688971198245,0.013977976940921302,0.06081876671981166,0.09116187286482087,0.07084505509587692,0.03171688846936546,0.10858006857902623,0.030649088870912833,0.04276224835531257,0.10958772610172342,0.10157332530489588,0.04710499616328314,0.05633612694486182,0.028662240071911503,0.048449435390880084,0.08200899011372975,0.30475738345441616,0.12294568910416331,0.1391409217330097,0.13475872416237433,0.019899574692957358,0.03653792117080718,0.03502040733765275,0.04831203474118173,0.05288270622742086,0.03543762048864251,0.027953138768041792,0.11070501724944994,0.012863855604956754,0.2476576039538648,0.37470811143038596,0.26018069066259725,0.18475433201011177,0.20530621771726992,0.07475021189243161,0.08430932718238537,0.0339100759469706,0.14435953899421905,0.07628036421749353,0.18069384407566544,0.059049992143906084,0.02992607104794235,0.1314336668833304,0.07228198662285429,0.07596956764544142,0.07191928399732635,0.14717288599570724,0.14543304403346746,0.0687251887925517,0.060078214621736396,0.16202058260022462,0.19518123481311078,0.25265856334893416,0.13132497639707874,0.017567201489132375,0.14426461269369711,0.07481855481713688,0.08310771226815093,0.263689667721732,0.15178994996240666,0.08954495281460928,0.07422122971370351,0.013037759528267828,0.05834495500362127,0.02993425918005939,0.03372395675973756,0.07838535642613915,-0.015130641366322707,0.10624504093318099,0.10273728400623133
Cash per Share,0.21453135830120154,0.1175736559258732,0.22575364936366213,-0.008832866017571205,0.0712268629727707,0.0025493172725203983,0.008885149176458267,0.04464482944524219,0.06765641860178527,-0.002931523523523849,0.04220003506729126,-0.03132610412740941,0.043653704720370876,0.017353501419815714,0.08896203066654464,0.04558163203909606,0.024523843605735115,0.13220405425880682,0.06276578117066854,0.0602700874444851,0.016989578041088367,0.02892978336043565,0.06414752916214658,0.12005181124706873,0.1699642172013083,0.0945071548668807,0.11327557710470045,0.17596961178552895,0.04783326472997655,0.1034831008918683,0.07434478159869821,0.07026046052330567,0.07471776741575753,0.07638738062205552,0.026884617408652507,0.11709439554013047,-0.02121322662093612,0.1468474468746671,0.22144385769621233,0.20868929019417715,0.1017531660816858,0.14889838429585345,0.07691060025882174,0.07866670372226313,0.0635284515201461,0.0972290660673587,0.05441520269757776,0.12248923051624638,0.053797914666692745,0.04670690492760238,0.15469964186468516,0.10665515454839067,0.0354376442002811,0.09124504728982345,0.10083098465599015,0.05022904782962329,0.048383783151526256,0.05762622389320843,0.11199277645095546,0.14354321410307969,0.15884012136463302,0.10125920223004568,0.09089922288473208,0.08052362034054661,0.07411585969605546,0.08031413933651979,0.23130274951124488,0.10701564875716532,0.1384933435376752,0.10747189847021285,0.03090392752219656,0.10963622105062508,0.10811059227256273,0.054939764175144686,0.10303746815199111,0.057378883209921114,0.1301024928974178,0.08495389594056886
