,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Net Investment Income/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment",Changes in Operating Capital,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Loans Receivable,Change in Other Receivables,Change in Other Current Assets,Change in Other Current Liabilities,Change in Inventories,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Purchase/Sale of Other Non-Current Assets, Net",Sales of Other Non-Current Assets,Purchase of Other Non-Current Assets,Other Investing Cash Flow,"Purchase/Sale of Investments, Net",Sale of Investments,Purchase of Investments,"Interest Received/Paid, CFI",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Other Financing Cash Flow,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net","Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,-2.03,-2.03,-1.89,0.04,0.01,0.03,0.03,0.03,0.02,-0.04,0.0,0.0,,,,-1.95,-2.0,0.0,-2.0,,0.03,0.03,0.0,-0.14,1.5,1.5,0.0,0.0,,,,-0.04,1.54,1.54,,,0.04,0.04,0.04,,,,,0.09,-0.48,0.57,,-0.48
2019,0.52,0.52,0.65,0.06,0.04,0.02,0.02,0.02,0.02,0.0,,,,,,0.55,0.5,,0.5,,0.08,-0.02,,-0.13,-0.06,-0.06,,,,,,-0.06,0.0,0.0,,,0.0,0.0,0.0,,,,,0.55,0.46,0.09,,0.46
2020,-0.33,-0.33,-0.15,0.09,0.04,0.01,0.01,0.01,0.03,0.0,,,,,,-0.27,0.11,-0.89,1.0,,-0.55,0.17,,-0.18,-0.03,-0.03,-0.02,-0.02,0.03,0.03,,-0.04,,,,,0.0,0.0,0.0,,,,,0.19,-0.36,0.55,,-0.36
2021,1.0,1.0,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.0,,,,,,0.93,0.89,0.89,0.0,,0.02,0.01,,0.05,-1.03,-1.03,0.0,0.0,-1.0,,-1.0,-0.03,,,,,0.0,0.0,0.0,,,,,0.16,-0.03,0.19,,-0.03
2022,0.66,0.66,0.84,0.73,0.26,0.01,0.01,0.01,0.25,0.0,,,,,,-0.14,0.0,0.0,0.0,,-0.17,0.03,,-0.18,5.9,5.9,0.0,0.0,5.9,5.9,,0.0,,,,,0.0,0.0,0.0,,,,,6.72,6.56,0.16,,6.56
