,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Loans Receivable,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Current Liabilities,Change in Provisions,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Interest Received/Paid, CFI",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Cash Dividends and Interest Paid,"Interest Paid, CFF","Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,-61.76,-61.76,-58.93,15.33,31.28,0.59,0.59,0.59,30.69,-105.54,-58.91,7.7,18.0,-10.31,33.18,-7.92,-7.92,-7.92,-79.59,,-2.83,-3.6,-3.6,-0.16,-0.16,,-4.33,-4.33,0.89,65.14,65.14,96.73,,96.73,-31.59,-31.59,0.0,0.0,5.54,-0.23,5.77,,-0.23
2019,38.29,38.29,43.0,8.86,35.61,0.52,0.52,0.52,35.1,-1.47,-112.76,-97.06,-84.34,-12.72,-33.28,142.22,142.22,142.22,99.4,,-4.71,-3.98,-3.98,-0.06,-0.06,,-6.19,-6.19,2.27,-35.06,-35.06,-50.7,,-50.7,-37.36,-37.36,53.0,53.0,4.78,-0.76,5.54,,-0.76
2020,-74.13,-74.13,-74.13,4.22,26.95,0.32,0.32,0.32,26.63,-105.3,0.11,42.91,122.68,-79.78,36.92,-172.15,-172.15,-172.15,-13.09,0.0,0.0,0.5,0.5,-0.04,-0.04,,-3.43,-3.43,3.97,69.37,69.37,-9.3,,-9.3,-30.6,-30.6,109.28,109.28,0.52,-4.26,4.78,,-4.26
2021,76.9,76.9,77.86,2.79,34.65,0.33,0.33,0.33,34.31,40.43,87.63,-40.31,-13.89,-26.42,4.94,3.68,3.68,3.68,-15.52,,-0.96,1.19,1.19,-0.2,-0.2,,0.87,,0.52,-54.41,-54.41,-19.57,,-19.57,-34.84,-34.84,0.0,0.0,24.21,23.68,0.52,,23.68
2022,124.62,124.62,125.68,10.96,30.26,0.38,0.38,0.38,29.89,84.45,9.83,38.59,4.14,34.45,-26.34,-101.82,-101.82,-101.82,164.2,,-1.06,0.85,0.85,-0.88,-1.0,0.12,0.86,,0.88,-96.24,-96.24,-65.47,-12.49,-52.99,-30.77,-30.77,,,57.45,29.24,28.21,,29.24
