,Gross Profit,Total Revenue,Business Revenue,Excise Taxes,Other Revenue,Cost of Revenue,Cost of Goods and Services,Changes in Inventories,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Directors' Remuneration,Other Staff Costs,Social Security Costs,Pension and Other Employee Benefits Costs,"Legal, Accounting, Auditing and Consulting Fee",Legal Fees,Auditor Fees,Non-Audit Fees Paid to Auditor,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,General and Administrative Expenses,Operation and Maintenance Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Provisions,Other Provisions,Provision for Doubtful Accounts,"Other Income/Expense, Operating","Income from Grants Received, Operating","Other Income, Operating","Other Expenses, Operating",Taxes Other Than Income Taxes,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Investments and Other Financial Instruments,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Disposal of Businesses,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Dilution to Earnings,Earnings from Equity Interest,Discontinued Operations,Preferred/Other Stock Distribution,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,11627.32,29397.55,28985.15,-33.33,445.73,-17770.23,-17770.23,,,-10583.71,-4591.23,-3680.29,-35.08,-3645.21,,,-67.54,-59.66,-5.99,-1.88,-38.19,-17.89,-787.32,,-210.73,-23.68,-1244.75,-1244.75,-1225.16,-19.59,-6.15,17.48,-23.64,-4507.13,1.2,,-4508.32,-0.04,1043.61,-765.57,-1075.62,-1017.74,-1115.01,97.26,-57.88,-57.88,193.51,29.45,64.83,64.83,99.23,,43.82,33.2,33.2,,0.0,,39.52,278.04,-68.22,-45.49,-23.27,209.82,209.82,,209.82,209.82,209.82,,,29792.81,,,,,8.91,8.91,,8.91,8.91,,23.55,23.55,0.0,0.0,8.91,8.91,23.55,23.55
2019,10877.12,29290.15,29290.15,0.0,,-18413.02,-18413.02,,,-10273.18,-4510.76,-3566.12,-59.2,-3506.92,,,-65.63,-58.28,-5.52,-1.83,-42.64,-17.77,-818.6,,-212.92,-22.95,-1236.39,-1236.39,-1229.2,-7.19,8.7,18.62,-9.92,-4298.85,77.64,252.39,-4628.88,0.0,603.94,-1072.43,-1115.54,-1062.35,-1142.63,80.28,-53.19,-53.19,-99.51,78.3,-156.84,-156.84,-20.97,,34.17,83.08,72.88,,0.0,10.2,25.37,-468.48,91.0,-0.3,91.3,-377.49,-377.49,-5.41,-382.9,-382.9,-382.9,,,29620.17,,,,,-16.26,-16.26,,-16.26,-16.26,,23.55,23.55,0.0,0.0,-16.26,-16.26,23.55,23.55
2020,11207.78,27374.47,27374.47,,,-16166.69,-16166.69,,,-10657.02,-4788.62,-3707.68,-45.28,-3662.4,,,-129.32,-122.72,-5.4,-1.2,-81.08,-83.48,-787.06,,-230.88,-13.82,-1316.65,-1316.65,-1293.73,-22.93,-28.49,13.23,-41.72,-4278.57,64.38,271.46,-4614.4,,550.76,-675.99,-987.29,-911.41,-1009.24,97.82,-75.88,-75.88,72.45,54.18,27.08,27.08,-8.82,,42.17,170.77,27.3,,143.47,0.0,25.91,-125.23,-8.93,-170.92,161.99,-134.17,-134.17,0.0,-134.17,-134.17,-134.17,,,27710.3,,,,,-5.7,-5.7,,-5.7,-5.7,,23.55,23.55,,,-5.7,-5.7,23.55,23.55
2021,9363.33,22968.24,22968.24,,,-13604.92,-13604.92,,,-8871.96,-4165.61,-3129.62,-6.3,-3123.32,,,-69.69,-61.03,-5.3,-3.36,-82.07,-19.75,-864.48,,-211.72,-8.07,-1276.79,-1276.79,-1240.04,-36.75,11.38,11.38,,-3221.15,34.07,257.85,-3513.07,,491.37,-456.58,-713.31,-661.65,-778.67,117.01,-51.65,-51.65,11.61,0.0,-7.84,-7.84,19.45,,37.81,168.37,161.43,6.94,,,38.94,34.78,173.51,-7.06,78.36,208.3,208.3,,208.3,208.3,208.3,,,23260.17,,,,,8.84,8.84,,8.84,8.84,,23.55,23.55,,,8.84,8.84,23.55,23.55
2022,15430.13,37558.21,37558.21,,,-22128.08,-22128.08,,,-12209.11,-6056.04,-4021.07,-7.13,-4013.95,,,-116.12,-108.84,-5.48,-1.8,-86.09,-44.68,-1788.08,,-236.36,-8.38,-1130.79,-1130.79,-1096.95,-33.85,31.08,31.08,,-4808.63,237.81,378.21,-5424.65,,3221.02,-323.75,-608.5,-552.06,-619.61,67.55,-56.44,-56.44,94.99,1.07,62.43,62.43,31.5,,28.84,82.42,63.34,19.08,0.0,,78.5,2897.27,-435.04,-493.7,-59.15,2462.23,2462.23,0.0,2462.23,2462.23,2462.23,,,38174.23,,,,,104.55,104.55,,104.55,104.55,,23.55,23.55,,,104.55,104.55,23.55,23.55
