,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Directors' Remuneration,Other Staff Costs,Pension and Other Employee Benefits Costs,General and Administrative Expenses,Rent Expense,"Other Income/Expense, Operating","Other Expenses, Operating",Provisions,Provision for Doubtful Accounts,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Gain/Loss on Investments and Other Financial Instruments,Gain/Loss on Foreign Currency Exchange,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Other Irregular Income/Expense,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,1208.49,5347.39,5347.39,-4138.9,-4138.9,-903.16,-903.16,-903.16,-253.15,-118.1,-530.35,-1.56,,,,,,,305.33,83.77,0.15,0.15,-0.23,0.37,15.72,0.35,15.38,,,,49.37,0.12,0.12,,,18.41,389.1,-129.06,-115.64,-13.42,260.04,260.04,260.04,260.04,260.04,,,5347.39,,305.33,,,180.331,180.331,180.331,180.331,1.44,1.44,,,,180.331,180.331,1.44,1.44
2019,1463.42,5682.3,5682.3,-4218.88,-4218.88,-1059.77,-419.93,-419.93,-298.73,-121.2,,,,,-639.84,-639.84,,,403.65,19.65,-0.08,-0.08,-0.21,0.13,-5.88,0.42,-6.3,-6.3,,,46.38,26.83,,26.83,,-47.6,423.3,-146.29,-143.56,-2.73,277.01,277.01,277.01,277.01,277.01,,,5682.3,-1059.77,403.65,426.87,0.346,261.77,261.77,260.28,260.28,1.06,1.06,0.0,0.0,0.0,261.77,260.28,1.06,1.06
2020,1651.83,6415.81,6415.81,-4763.98,-4763.98,-1206.13,-605.93,-458.49,-328.22,-130.28,,,,-147.44,-600.2,-600.2,,,445.7,48.32,-0.13,-0.13,-0.25,0.12,0.65,0.45,0.2,0.2,,,46.79,19.67,-2.61,22.28,,-18.66,494.02,-168.43,-167.06,-1.37,325.6,325.6,325.6,325.6,325.6,,,6415.81,-1206.13,445.7,496.63,0.341,216.14,216.14,212.86,212.86,1.51,1.53,0.0,0.0,,216.14,212.86,1.51,1.53
2021,1593.37,6184.32,6184.32,-4590.95,-4590.95,-1264.37,-799.64,-476.93,-361.77,-115.16,,,-160.66,-162.05,-464.73,-464.73,,,329.0,90.1,-0.68,-0.68,-0.8,0.13,1.95,0.5,1.45,1.45,,,46.78,57.2,-0.68,57.88,,-15.15,419.1,-144.11,-137.92,-6.19,274.99,274.99,274.99,274.99,274.99,,,6184.32,-1264.37,329.0,419.78,0.344,183.68,183.68,181.67,181.67,1.5,1.51,0.0,0.0,,183.68,181.67,1.5,1.51
2022,2251.53,7997.53,7997.53,-5746.0,-5746.0,-1280.41,-794.32,-511.58,-388.53,-116.91,-6.15,,-120.56,-162.17,-486.09,-486.09,,,971.12,79.13,-0.76,-0.76,-0.92,0.16,5.62,5.47,0.15,0.15,,,41.98,-2.41,-2.41,0.0,,34.7,1050.25,-313.7,-342.29,28.59,736.55,736.55,736.55,736.55,736.55,,,7997.53,-1280.41,971.12,,,508.6,508.6,505.08,505.08,1.45,1.46,0.0,0.0,0.0,508.6,505.08,1.45,1.46
