,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,"Deferred Tax Assets, Current","Deferred Costs/Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Other Intangible Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Trade and Other Receivables, Non-Current","Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Deferred Tax Assets, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Current Debt,"Other Loans, Current Debt","Provisions, Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Non-Current","Other Provisions, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, without Par Value",Additional Paid in Capital/Share Premium,Treasury Stock,Stock Subscription,Retained Earnings/Accumulated Deficit,Other Equity Interest,Reserves/Accumulated Comprehensive Income/Losses, Available for Sale Financial Investments Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 4,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5
0,-0.093784525401294,-0.012178851217433829,-0.012250314028408777,-0.012250314028408777,-0.046054423706199964,-0.00959093944852847,-0.08645564443004329,-0.015454152661297568,-0.11099373624514254,-0.11099373624514254,-0.11099373624514254,-0.11098864919462632,-0.15190632000311047,-0.08517159556741526,-0.046054423706199964,-0.012178851217433829,-0.0024073215052748675,-0.08466581997206865,-0.001090874226656356,-0.103762363134308,-0.0023479152768443594,-0.0025454401605285067,-0.0026735971342404267,-0.0818504279798363,-0.08568209933658491,-0.09418024457496339,-0.09263845862124205,-0.08922075838019425,-0.09270759694197166,-0.046054423706199964,-0.04402793874816645,-0.12822061801562573,-0.12822061801562573,-0.1551622025003014,-0.03438059019804014,-0.03438059019804014,-0.15271535840138936,-0.15271535840138936,-0.15271535840138936,-0.11438110176288871,-0.10779180560785616,-0.046054423706199964,-0.07397383552811801,-0.07397383552811801,-0.12868287674502182,-0.016087584212513474,-0.11427689582820516,-0.001583710633533266,-0.01078749202277866,-0.015479965437990174,-0.015479965437990174,0.005883457116848191,-0.04853436817770623,-0.12134227536382801,-0.01398267199781316,-0.005174316594944582,-0.012729124460262151,-0.01398267199781316,0.0003470535951159934,-0.021683266373803252,-0.046054423706199964,-0.046054423706199964,-0.14810649731100314,-0.15809436952627834,-0.104581381717018,-0.0021835730260416912,-0.012207675726501704,-0.01211525377297315,-0.013691116553673034,-0.04969239972388071,-0.02003478725199283,-0.09786373630032959,-0.10107205958904249,-0.11098864919462632,-0.03010116997397459,-0.03173616138607856,-0.0731320540061305,-0.07386962959343445,-0.07386962959343445,-0.103762363134308,-0.010311322882325027,-0.01078749202277866,-0.012535804752768678,-0.002813245479912424,-0.002240956519274558,-0.014966877643702458,-0.1042712841721038,-0.01566680449455979,-0.035779362304509246,-0.10848623723363941,-0.046054423706199964,-0.04453426111546003,-0.034038143466149334,-0.10243229655504296,-0.010614192353425336,-0.00503888281726636,-0.0015420413480606275,-0.12306407761771883,-0.12367173131114959,-0.1410048614826045,-0.03998907885647591,-0.031014322418726314,-0.07244569629142639,-0.05037011131825927,-0.025591786782011277,-0.028642900088958357,-0.011761732455950939,-0.13050636146816208,-0.12750584520410857,-0.1298865504001412,-0.1114000272311502,-0.029935004277980216,-0.030554481301967206,-0.07153918770304439,-0.049984626253904194,-0.025349368295799084,-0.02570815156353153,-0.0011360487894245977,0.00045249742477982053,-0.0028097778473001847,7.341394947239462e-05,-0.1177543528518298,-0.1352947978621003
Revenue per Share,-0.05322234841368488,0.10620022760919107,0.11285075368722716,0.10981604979113438,0.06610519064067198,0.12531531692263284,0.031488763291729886,0.1049451445316278,0.003773438586496024,0.0029741787480239345,-0.0022647605559571286,0.005845798956087286,0.014534263014862797,0.05357065671245807,0.06046523324088406,0.11163603618729612,0.10553568536842903,-0.05122512107560183,0.11132469487833296,0.008771731110951354,0.0742346211433702,0.10809001461776373,0.1286183519117364,-0.002316222178975957,-0.005825936582549178,0.021094020201215508,0.008692445555740958,-0.06478683089925184,-0.0368500071496106,0.04689228353991806,0.061654186696994795,-0.015278625897091764,-0.01951314106245182,-0.041803797711786606,0.02941084668053883,0.058299750307533364,-0.01043787189187359,-0.007397085610137443,-0.025769553080001225,-0.023714147972128646,-0.004889705307764051,0.06209441176541224,-0.04472581753001842,-0.04930471641028419,-0.013799280055470537,0.07125081832379657,-0.008306775969459352,0.09213804295533005,0.10862189166887384,0.07822280719616397,0.08984332471362876,-0.03149637472007056,0.017486122635110415,-0.013100847022965725,0.08992647902561376,0.0960465814029438,0.09319576628797968,0.09535432515045864,-0.04195303021078207,-0.054842586712116476,0.0697872688853508,0.06528387883177929,0.020266634157285246,-0.005250899265029056,0.014444758945900298,0.11054467855038914,0.0875105380738263,0.08468382786327881,0.0971576678731896,0.032782180494975305,0.09784011908035008,0.006934443680238545,0.006156423469000228,0.004839444965557705,0.030900285301528958,0.057560211451426625,-0.057579362596531444,-0.04455044767646549,-0.046024065746801825,0.00904789464344263,0.12900933921866845,0.10848188773774384,0.10160647563538666,0.10126755336625923,0.09649258734872607,-0.0414226909125707,0.09069939099959709,0.1066795216047043,0.014645546643305273,0.01808709709060866,0.06312378088753016,0.04577851353907629,0.04649735354662836,0.031050099401300147,0.1080549423002349,0.13315960142258662,0.13717319177869025,0.03228244583191952,0.011749188259927303,0.017252792303243537,0.049717529213874546,0.07459580816845503,0.08277831463682055,0.09084498631592314,0.05405364155380825,0.05435579355147481,-0.03948994268705227,-0.006093709851839613,-0.004615532703771171,-0.004204219600200428,0.0064851547350121734,0.055823237288675095,0.06426564415589921,0.07196944823635783,0.07972789922536647,0.04548854900935686,0.0454617219354144,0.07666599859164376,-0.04074582531109601,0.10667212433898485,-0.03891660612217397,-0.007723964986469859,-0.0011121159145852282
EBITDA per Share,-0.010628047210924443,0.16431725228737556,0.16439469725527245,0.15687391987976057,0.02265154051896404,0.17827940251686158,-0.007458273021117907,0.1891266229056843,0.012385156492936922,0.013739438357634606,0.0020762673162645793,0.013953233869893437,0.04688675010724228,0.09938473726915706,0.017461872190583254,0.159844119058955,0.1585584581810736,0.0039013569345084887,0.18044224148371862,0.0025923265659327554,0.11966991185223183,0.16557431854966842,0.16859771817612346,0.002031074198256437,0.0005989205663977778,0.07905008726819755,0.057661996853107265,-0.019053665598730514,0.029626058719138426,-0.0013508452913217795,0.002669427563066027,0.015800112872071347,0.023810557395457073,0.011674986402102735,0.0468666584946892,0.0880739352705871,0.035345621915091247,0.018710954333422375,0.012784357417361072,0.02145857038100002,0.02280851744195771,0.004952582413989164,-0.0014686535376070235,-0.0109495757819475,0.019767376001448823,0.08955502277877801,0.03574053016626261,0.16408001839380879,0.16365271576824003,0.19641688239165106,0.19232715787854876,0.0015580472133181669,0.061477133245057526,0.025271502444218358,0.1704493060291463,0.16932057312794038,0.16092750688552396,0.17226668063861503,0.027003944910439472,0.03613339896787734,0.021428165881050485,0.0236034973639944,0.06363797655062427,0.03832871586224653,0.023600185307927755,0.16475490386233466,0.15510728681832336,0.15514118333910443,0.1577783209737428,0.05533491113794413,0.1542430002298027,0.015069195927267416,0.0032458267363096732,0.0069481077021258724,0.05115471987274281,0.02041896365008079,0.00481029965646099,-0.002850456734261214,-0.005517250863524904,0.027172388315265836,0.1751451374978855,0.1604550981745264,0.16557805376726933,0.16298661655054553,0.1374380312766733,0.04159597743946052,0.024013720254649523,0.19050930164285967,0.0390098149486346,-0.0037466515837129336,0.018016932646949264,0.00772002470326481,0.005611495413429013,0.040892894552470166,0.1619330061656943,0.16039823221837154,0.18613600174070655,0.03474303296224093,0.013915119327264039,0.031154813442223567,0.07507383731629527,0.0887279943087532,0.10312313423282901,0.0985724351792385,0.018766562973344753,0.019028309461843904,0.00405987338441043,0.03895730639741235,0.04116347067953106,0.03963465554230705,0.05795770118431968,0.0846197835236766,0.08236602697369892,0.09185901263874013,0.08989993459056944,0.012607006942433678,0.012048424951142079,0.17113753478984728,-0.00807189481477329,0.1415968514138093,-0.00807189481477329,-0.001615265957348606,0.01309413227656585
EBIT per Share,0.010031856490966669,0.16546897677952793,0.15215056192179566,0.16277116727807572,0.02399475983555673,0.1832149467048605,-0.0015905593334878394,0.188178580004094,0.020345868482516273,0.013408438740993584,0.0027995735897051784,0.01472333334500332,0.0458805578295933,0.09274722175829812,0.019181366423474875,0.16424458762062322,0.16079129824221544,0.012098924443474657,0.1860323524314772,-0.021154342066619872,0.11880024962095226,0.1651600855452588,0.17621605618841685,0.0002989516912204641,0.0019616081645450695,0.08082271172282673,0.02606854999867292,-0.016988928463933444,0.034232490184482156,-0.013507731497593612,-0.014828190410928194,0.02820468406549827,0.02055963090205679,0.012851357621188005,0.042149180565205814,0.08800109945574054,0.03449165436553831,0.02415659553212498,0.011793547124619662,0.021378844953511153,0.023859970783446968,0.0035726176864669837,-0.004663831826365266,-0.010751147954073989,0.005642741163966122,0.08900952336775138,0.03061912592659229,0.16455533587944698,0.1669494709768764,0.1809706287012772,0.19160803625275022,0.0012429851768138052,0.07035540330408167,0.025271502444218358,0.15633953285109572,0.14414531407262693,0.14996018349327803,0.15663723207466615,0.034694997149645794,0.03663528472660951,0.018419232753511254,0.022239495584416482,0.06652048356535156,0.04277002412538805,0.02347943526563877,0.16654479739490508,0.15292296860592783,0.14318592310361078,0.1557868491725909,0.060620764995389556,0.15502805831171637,-0.003890607681341966,0.00384668320035145,-0.0077651516035184935,0.05157020935812831,-0.015413183243203142,-0.008688075068550728,-0.0011354147606713102,-0.004243030140962298,0.02347156503903666,0.15716029581777832,0.16378687809718576,0.16179014392738425,0.15659921130719565,0.1171085156627307,0.04235345380198326,0.014316830346550477,0.19035995180093127,0.058146561043569835,-0.004432656462704864,0.01814048800273133,0.011258862773907204,0.015343770874104198,0.04149495990955408,0.1644188098313318,0.162416661887151,0.19091734937252036,0.03615202970324482,0.019170436926571492,0.0377389454684483,0.07783289592319675,0.08698322634803705,0.1041078474825314,0.0963262411797283,0.016977180880122737,0.015504172417460863,0.005455102762357293,0.03935784859222794,0.04159561574565434,0.040035197737122656,0.06035520103247575,0.08823095678218171,0.08171253393859425,0.09825037185021313,0.08864392807621607,0.012143123152888924,0.011631197355659179,0.13280113541084684,-0.0070407998961441644,0.143788075280154,-0.007249507229847044,-0.002314770698660884,0.01457493054491808
Earnings per Share (Diluted),0.029658858875157724,0.2325526025163167,0.15778770981025717,0.15880271544135338,0.1126506317220867,0.1411912258690747,0.09854774157343774,0.1526919120048736,0.06799960351611081,0.06668597156741025,0.12638086312167046,0.07326539179772161,0.03718760962849043,0.09062240164404975,0.1109831064354015,0.1443709428872693,0.15958529718832715,0.04597697068059106,0.157420955914661,0.045168228310622886,0.16146974966160513,0.16075398125311802,0.1749096138300895,0.05089333455628727,0.05737374676310872,0.018358632073988482,0.06798776133799521,0.01771737540396946,0.02251933663774741,0.1177552963903823,0.12391142042428585,0.02981960740729258,0.029968629264239106,-0.026365930862545715,0.07169650724844882,0.09965525631815558,0.05083815556864769,0.034063930422489425,0.01968950689365113,0.02661894731244152,0.03652099308730355,0.11839202726523278,0.006811658809601543,0.016164078660434556,0.029316554267670332,0.11140365663886534,0.03792036863972281,0.1610256949298598,0.16045347626165532,0.1444119616918885,0.1660139674893587,0.03269028585528098,0.07717483547970592,0.04237182274849241,0.16610193925785194,0.1618565363362316,0.15699940111822847,0.16448666091167563,0.01864476407202392,0.013770464756675278,0.10403265598433169,0.13369660494821192,0.047639461564036305,0.009224604163841427,0.08182190769459231,0.1600228160284409,0.1581764807750021,0.15735816189448254,0.1611534383819537,0.09044979692150067,0.15020469187253632,0.055365885105403724,0.07333719844161574,0.07785807241316439,0.04247750380103706,0.10338790154828156,0.005365067786516963,0.00714443101637369,0.010352709680919149,0.08678163421599358,0.18149822308818137,0.23232007818970057,0.158407765912718,0.17309945305390007,0.14638370220165617,0.09047789142479291,0.1480570069934546,0.1501263249158955,0.07552895077046562,0.09392163958410073,0.1790383517459403,0.11992935489401706,0.09667320513489128,0.07357743031830191,0.1792230001401101,0.1682913402894016,0.1783852646751299,0.08076591452494107,0.041679987488679335,0.04595152991403882,0.09819849210404229,0.10627493145035785,0.13879839322844645,0.12536707501435979,0.11240130333770902,0.11335573716841423,0.01984959522019212,0.061553581617667434,0.062179472981593244,0.06289064903701586,0.05453219669857696,0.09861621651182534,0.09888310840372351,0.1301991805214176,0.11834485875587256,0.1055703703238982,0.1042758529432249,0.21139522732012495,0.017865981000836417,0.17280875158342476,0.01985636174754,0.036944550248861605,0.040576135750579674
EPS without NRI,-0.00043559086440972915,0.13064990121130782,0.1264500306842516,0.08735667936830097,0.09550363753292769,0.15575106882195447,0.09391999632234621,0.13615868066902825,0.00067281957455611,0.03942504347521962,0.03971665544477116,0.039416080358571116,0.04219601425052997,0.04551339979180678,0.043593682446631,0.1639231097256852,0.16086967594581322,0.00257024330970262,0.14980119561067756,-0.004362178192616105,0.09205472315002895,0.15557749188149408,0.12352705510951033,0.06132053081244198,0.0638827028449932,0.005514258628869722,-0.019526036089244393,-0.04145217285949123,-0.03579819420947151,0.049409977393636735,0.07927299196700435,0.005203016718298497,0.0017496695617547397,-0.020099626624441022,0.05720540118302852,0.05916290908230191,-0.001992100785719475,-0.020407018312018584,-0.028211570083262333,0.010281281670008767,0.010384663267740558,0.0872482549856853,-0.01807702185116192,-0.048574748560990755,0.009063678372119303,0.11265908693171554,0.03998559095668946,0.1645914238883425,0.15778679992174055,0.11340981019589119,0.09385207375869806,-0.017708654822606668,0.06552415454407194,0.0310776803344138,0.081683950656324,0.1057364507195621,0.06875700178734342,0.1334803648290072,-0.0022974498166809586,-0.04527670663478257,0.0614893574698952,0.08994493389951216,0.03894563423734245,-0.006845039756198529,0.07467001861887132,0.16331237732708853,0.13182083002171427,0.10131756599326999,0.10176604548686184,0.08329931369656948,0.1506968778542108,0.07099423610195839,0.03291473500297942,0.03217669100227416,0.038197690301130675,0.12432956868789632,-0.02032467648955278,-0.016285963828754076,-0.016169660981637052,0.07922864751263325,0.16137684518018358,0.09101655399564638,0.12991761414598368,0.12812385375419666,0.1035241477124891,0.06146570497227766,0.0019813516226708447,0.12650314097966378,0.08845888885678774,-0.05396845636478776,0.1107210593564333,0.05442931689006996,0.04965172561113395,0.03012007163554333,0.1550178328462236,0.14777743518221909,0.1503819163487383,0.05352947928505478,0.017816819472124143,0.01978348134132041,0.02816263316091167,0.06459891965731489,0.09436453444995863,0.08348942111886783,0.0651897457625618,0.06507683415331561,-0.02364716252471313,0.04223898406100266,0.04117164484600204,0.04288559376983979,0.03538604657471227,0.09556721960901374,0.07804810158393691,0.0902515410290966,0.09433878766813986,0.07779072985822104,0.058543970009270606,0.21265704686058853,-0.019871303895360348,0.12387269086258722,-0.02099275922811612,0.00043310863038577806,0.00482292461774173
Owner Earnings per Share (TTM),0.18319427316502104,0.2854996292168897,0.21460485183506822,0.21432223707819276,0.053780093004553144,0.05741544662184592,0.02851467669430694,0.11213343463489969,0.05933064679714911,0.04624055799605739,0.11800354244854547,0.063947515523156,0.07958013865580299,0.13930915040428218,0.05679014403775939,0.20339361543636206,0.22973727688275858,0.1339084069050759,0.17140133480426614,0.05023665303833909,0.20936272318572538,0.2173470572672619,0.2302244505550358,0.14628382909857718,0.12415017024461522,0.1580641275195556,0.19289201085347357,0.12154226851073485,0.1520328367688057,0.06067404376735848,0.06804125543431842,0.07472839375171905,0.0723721880782306,0.011544047286767238,0.0969872859980494,0.13865640308055702,0.07705262693967996,0.07967812274626893,0.03138610729392261,0.06579971990528996,0.07523248418595076,0.054023684305548964,0.03626101896062632,0.04232338892742288,0.06966977722823851,0.1329661614781537,0.07695224421347002,0.163589147592848,0.21062467343288882,0.10429627628580895,0.1164838642275543,0.01895138227381672,0.11461633669178714,0.07265236489410386,0.07849016211807695,0.07534867571563644,0.06435906292778482,0.08272588725025794,0.07030734062433316,0.08741114339137479,0.020393557016562563,0.06609449012602775,0.11283493282773667,0.10217268416632444,0.06476237327310425,0.21342484445601786,0.039537943202088276,0.03642662588680388,0.032671089377690504,0.11577831029824669,0.027038254543510436,0.034494482488136614,0.0661165464859627,0.0665557511954643,0.10429650176552616,0.04118321432544754,0.03501066538712971,0.03186315752669388,0.02910544832854932,0.06611574100908499,0.2010157833697976,0.28802910826452116,0.1664269615042033,0.15561431225189032,0.15289117357741744,0.0852222111096013,0.13838192937774582,0.0869527074691971,0.049543386095573815,0.0582564987540849,0.1294301699900679,0.055353282094252415,0.05342758866314196,0.07151043929682376,0.041869438399391924,0.04160855026134691,0.040366575414602486,0.08055813383116843,0.04391883009795153,0.06349113692860225,0.12819689857704883,0.1485453817836902,0.15589616382522692,0.14308591723026448,0.06588705619089068,0.06630767396553602,0.04892726578084365,0.09468369249955522,0.09405712076208603,0.09374360580724873,0.11559847506843086,0.12817255591034085,0.12765495270967633,0.13718737582670695,0.13194033250395723,0.0477256207922156,0.047776546959265025,0.22312696756043598,0.03630687356163531,0.03889845042990462,0.03282324366997265,0.0447490091329249,0.06356670356584802
Free Cash Flow per Share,0.045374766644716305,0.19873881316219977,0.28548987319097324,0.23038123431288876,0.01853367734691002,0.12505615723220356,-0.017945628674118457,0.16333926740644514,-0.004160889399805982,0.018787092190405273,0.07168741531068293,0.008375795867569778,0.052867018742754054,0.07237192269202128,0.008035547687963449,0.25770338229496204,0.18045686856303095,0.07148690544242539,0.14423431285332927,-0.036098675637988985,0.1383492645726619,0.18332214324637514,0.17938549005895682,0.07967641146988406,0.07905724344095658,0.1011356910204286,0.08986232308286494,0.07805885554832064,0.09272373984820048,0.0162063279465966,0.019582302031764337,0.03580350850982611,0.03281140808813806,0.021524081311960066,0.0929880963565248,0.10351105709491916,0.051243884639462445,0.055231969955600126,0.023091564604965982,0.02656532925828478,0.026422439620300716,0.0683108987657245,-0.008479530274829113,0.00039113827360730963,0.024495545709139914,0.07088831125113199,0.01652874620781253,0.17077483332547028,0.18262850826484683,0.16841434313150405,0.18783215963526992,0.06408124893888151,0.07118091269634205,0.019687765287952384,0.019837280129760777,0.023497010334256933,0.0211064988998157,0.021567963657262677,0.03810171870790056,0.05171654671609806,0.010034984926583472,0.01582688052986894,0.07947418770114116,0.058507705052620256,0.021081947370099254,0.18181590252323288,0.005294961255484587,0.006134122416157612,0.0028219088550897106,0.058679988011664935,-0.0028124341368493634,0.01261089196642453,0.014980527023900889,0.014437681058840315,0.06994387801022173,0.00833179268246042,-0.016419060311805588,0.05975535161693438,0.05552440006851812,0.013996196711977518,0.15079493353588808,0.1666963390380574,0.1797667477469086,0.17299512897617136,0.12699890526262714,0.12830335905110973,0.048154870826650556,0.17496506005499463,0.06424789999902883,-0.013746752842508782,0.020779655015759582,0.0006266452967594077,0.022185357631870913,0.04335300901611097,0.07801743836605524,0.013371808732781258,0.07806865030343468,0.03481096683693566,0.028915017976279326,0.038144668596061124,0.09830775299642083,0.10643915987316384,0.10137718964849662,0.0706442501535329,0.007953203249850892,0.006691470394683408,0.02769209413738536,0.0567314934671167,0.05633773609682556,0.05740884261201141,0.0781384750545616,0.09919796843622669,0.09884640746542768,0.09785121388874918,0.06440496556634442,0.0029455103727548167,0.006425145408047949,0.1853874320742236,0.007974896426406409,0.07382362000555243,0.006130017654301302,0.02276909376237582,0.03234853598767795
Operating Cash Flow per Share,0.045607706571555044,0.24027905097238536,0.2672954114570292,0.206162972305782,0.019839463149462066,0.1359929261502199,-0.012254748727841195,0.18872292663690418,-0.002874231969981763,0.05072698000914373,0.06772552004416366,0.008927671065851451,0.026890758181888363,0.09543533869733732,0.013958296495723378,0.17890745613226425,0.18750289631032502,0.024812087399688584,0.12222189858500443,-0.03455460979987222,0.12183232005135086,0.18854197118163293,0.1953363916301783,-6.010150426442526e-05,0.0018463253506325814,0.10234403702237133,0.08035567829805519,0.025685983921567387,0.08275266211225835,0.0190305929436745,0.01976986994797099,0.021003485129912722,0.018532481266680827,-0.012308915591382062,0.050882647630046636,0.08250227477022833,0.028168776249225334,0.031151897040231087,0.009684481869715975,0.011744219063920772,0.026045972428702577,0.0015044616079583615,-0.009446810693823993,-0.020926856871323323,0.023385934160448436,0.08400929430991783,0.0308842634196249,0.15884561088995375,0.16090379870690355,0.18100279888178963,0.1961107145492838,0.016052109659072042,0.04702117749071286,0.029903604700642242,0.178371193029353,0.18999844535207353,0.18053743366282995,0.2201115971429641,0.03347575486031308,0.035870590912880085,-0.008312989298621471,0.018757384053270924,0.04821175963254214,0.06158048967162298,0.02224532548026271,0.15945633338814452,0.15670243305896103,0.16981574469642122,0.15584938686587058,0.0539285973251252,0.15422101768323765,-0.023125366899095487,0.013601599859477353,0.018224839261906566,0.069501477648448,-0.012097751710322591,-0.009314863367502656,-0.013118185907921258,-0.019259645509085162,0.02660559686536446,0.21812837511784633,0.17104039482491054,0.15766623730619614,0.21736401810852812,0.10514624518295881,0.025806569646554707,0.03718016363612693,0.1728031939412689,0.04025757344289243,0.05691677193785322,0.018155001364454214,-0.00030922321998070115,0.003559813284993331,0.04098013625518169,0.15663044087561456,0.14232338593786847,0.1546600376962784,0.028587746171705675,0.007569478257526175,0.01820264498776403,0.08770131114881201,0.08741059829622302,0.09626339726346987,0.09752473635667562,0.012168624278798694,0.013322786108149397,0.008514517012453413,0.04137829488475279,0.04361433120236588,0.04541227192379014,0.06513432748126871,0.08206818032173928,0.08486755154538606,0.09279903726834214,0.09306496056383794,0.01056894779376747,0.010456036184521286,0.20241456471457595,-0.00327325861637409,0.15641188551566784,-0.0017830735767141214,0.01020061754565869,0.02176281496694622
Cash per Share,0.015958884878070706,0.20588767984612638,0.23956469342580536,0.24706880815379667,0.1331460234120722,0.11675800810682978,0.032892423966206945,0.1245099508963164,0.010951873195629208,0.006276191044797701,0.008727812585722163,0.019762147512800487,0.010221222548475337,0.07154076684910066,0.04747077696186405,0.12751732637623475,0.13524393958036077,-0.021173229410684613,0.1502254600000371,-0.01385367099578744,0.08127584996358482,0.13559922378716216,0.1348825830705915,-0.010143413205385192,-0.022963749325988013,0.03584235869173863,0.02125399474922686,-0.06336057696229662,-0.05474781697987354,0.029191448220704477,0.03958568735494479,-0.006354360198719466,-0.012345399977784418,-0.01971939824491399,0.08764960251443871,0.08476002251419443,-0.01016948274152309,-0.013314661527837553,-0.02164690837217019,-0.0227679082929728,-0.002197565041102977,0.016028316076063163,-0.06247641456126706,-0.05722147318334911,-0.0024803133634856123,0.06467021055031912,0.0011172253964111681,0.12525975709210657,0.1328632519928809,0.1219042255158001,0.19253768005515093,-0.004723821701263168,0.055002829846765515,0.01947337896962805,0.11160692876938676,0.0805372299833548,0.07487302712343297,0.10960687961638145,-0.033662950142948345,-0.04499743345687472,0.051521208432670024,0.05224085603554131,0.03315403226252133,0.009577949987826646,0.02423029356072519,0.13229670331895524,0.11199684377823435,0.07843673790560522,0.120791663221543,0.11518963187193614,0.1194924947501233,0.005848507585365326,0.006070255092260985,0.016163476211069595,0.05941589248826427,0.020917985381807554,-0.06185463831796948,0.027101155646540677,-0.044069585002640285,0.022314032084099975,0.19336704642870806,0.19206074972025172,0.21060874702498247,0.20449070311354337,0.20693385458731522,0.04501794753065029,0.08972339043475855,0.2171852370348713,0.040752303396456115,-0.05087174594873443,0.11506277058381893,0.01814173870859324,0.043392004115312105,0.04083010945942919,0.11272666046657001,0.12325812099373701,0.11689744383504269,0.034347526904158474,0.012751706238366543,0.017502438507731744,0.07245080586442978,0.09328404554158533,0.09796883370459769,0.0997429079248358,0.04311697380787827,0.041752653591076515,-0.0249222280961996,0.014531771208524072,0.014857431424660662,0.015164647274345355,0.02730748957924388,0.08690383616241713,0.07870713224074453,0.08341629494291397,0.08446450892736544,0.0340411409689387,0.033690142061091985,0.09438967004471405,-0.03776412446091701,0.09759824727345802,-0.038836161650200186,-0.005875323936690457,4.2077111429052357e-05
