,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,"Deferred Tax Assets, Current","Deferred Costs/Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Other Intangible Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Trade and Other Receivables, Non-Current","Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Deferred Tax Assets, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Current Debt,"Other Loans, Current Debt","Provisions, Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Non-Current","Other Provisions, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, without Par Value",Additional Paid in Capital/Share Premium,Treasury Stock,Stock Subscription,Retained Earnings/Accumulated Deficit,Other Equity Interest,Reserves/Accumulated Comprehensive Income/Losses, Available for Sale Financial Investments Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 4,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,10725.64,4381.72,1646.47,1646.47,,1834.04,1.17,1832.87,483.95,483.95,483.95,329.66,57.39,30.22,,6343.93,4591.04,11955.23,4470.09,868.53,3601.56,5577.23,1907.91,-7364.19,-7364.19,-2095.89,-2095.89,-4161.68,-1106.62,,,173.22,173.22,150.22,23.0,23.0,24.51,24.51,24.51,307.77,307.77,,1007.01,1007.01,96.05,10.57,133.75,7371.21,3243.92,1916.63,1916.63,1648.79,56.28,211.56,1087.87,1087.87,1087.87,1087.87,65.0,1022.87,,,53.75,53.75,185.67,4127.29,2925.98,2925.98,2925.98,960.0,1965.98,326.91,247.56,247.56,79.36,,640.7,640.7,640.7,233.68,3354.44,3354.44,2624.93,2805.62,2805.62,2805.62,,-180.69,79.21,650.29,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10459.34,4324.72,1714.26,1714.26,,1711.82,2.0,1709.81,487.75,487.75,487.75,333.99,76.91,,,6134.61,4582.14,12491.53,4503.94,870.26,3633.69,5885.17,2102.41,-7909.39,-7909.39,-2078.31,-2078.31,-4572.3,-1258.78,,,115.16,115.16,93.61,21.55,21.55,26.18,26.18,26.18,239.93,239.93,,917.57,917.57,122.78,6.38,124.5,7089.85,2872.59,1727.67,1727.67,1129.68,37.57,560.42,940.4,940.4,940.4,940.4,940.4,,,,32.2,32.2,172.32,4217.26,2895.59,2895.59,2895.59,960.0,1935.59,331.19,250.68,250.68,80.51,,770.91,770.91,770.91,219.57,3369.49,3369.49,2691.15,2871.84,1681.94,,1189.9,-180.69,61.57,616.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,10669.83,4510.77,2091.35,2091.35,,1355.96,3.39,1352.57,619.47,619.47,619.47,320.53,123.46,,,6159.05,4580.31,12711.66,4246.69,445.84,3800.85,6339.51,2125.47,-8131.35,-8131.35,-2091.97,-2091.97,-4876.55,-1162.83,,,93.55,93.55,70.96,22.58,22.58,27.72,27.72,27.72,154.14,154.14,,821.63,821.63,295.84,2.83,183.04,8086.99,3138.49,1848.88,1848.88,1123.4,38.49,686.98,958.2,958.2,958.2,958.2,958.2,,,,211.73,211.73,119.68,4948.51,3304.07,3304.07,3304.07,660.0,2644.07,311.61,218.52,218.52,93.09,,1150.97,1150.97,1150.97,181.86,2582.83,2582.83,2691.15,2871.84,1681.94,,1189.9,-180.69,59.03,-167.35,,,,,4262.27,958.2,1676.25,1111.0,159.96,356.86,94.33,36.28,32.28,18.37,5.83,1.56,,,,,,94.33,36.28,32.28,18.37,5.83,1.56,4356.59,994.48,1708.53,1129.37,165.79,358.42
2021,10809.08,5320.72,3239.61,3239.61,,1250.04,4.18,1245.86,462.91,462.91,462.91,287.31,80.85,,,5488.35,4098.28,10515.52,4173.09,445.84,3727.25,4230.08,2112.36,-6417.24,-6417.24,-2104.2,-2104.2,-3019.82,-1293.23,,,66.97,66.97,46.97,19.99,19.99,28.87,28.87,28.87,103.1,103.1,,767.91,767.91,294.79,3.71,124.73,8119.18,3853.41,1493.19,1493.19,850.13,30.37,612.69,2144.81,2144.81,2144.81,2144.81,2144.81,,,,9.35,9.35,206.07,4265.77,3016.0,3016.0,3016.0,140.0,2876.0,329.22,237.88,237.88,91.34,,765.76,765.76,765.76,154.79,2689.89,2689.89,2558.63,2739.32,1724.42,,1014.9,-180.69,37.35,93.91,,,,,5160.8,2144.81,1654.58,534.56,716.86,110.0,66.89,34.07,20.16,7.62,3.62,1.41,1232.98,467.22,375.12,278.75,111.89,66.89,34.07,20.16,7.62,3.62,1.41,6460.67,2646.1,2049.87,820.93,832.37,111.4
2022,5983.79,2200.51,1550.69,1550.69,,33.86,3.69,30.17,394.35,394.35,394.35,171.43,50.17,,,3783.28,2971.21,7339.25,2010.46,445.84,1564.63,4155.54,1173.24,-4368.04,-4368.04,-700.42,-700.42,-2851.62,-816.0,,,43.29,43.29,32.54,10.75,10.75,130.18,130.18,130.18,54.78,54.78,,315.3,315.3,187.56,2.7,78.27,3114.41,1736.03,503.18,503.18,82.65,40.34,380.2,1078.66,1078.66,1078.66,1078.66,1078.66,,,,0.43,0.43,153.76,1378.37,666.9,666.9,666.9,100.0,566.9,228.46,188.07,188.07,40.4,,361.94,361.94,361.94,121.06,2869.39,2869.39,2742.23,2742.32,1725.92,,1016.4,-0.09,35.48,91.67,,,,,1745.56,1078.66,174.61,380.69,86.58,25.02,40.07,14.72,10.8,7.13,5.18,2.25,696.23,334.29,256.52,105.41,,40.07,14.72,10.8,7.13,5.18,2.25,2481.86,1427.66,441.93,493.23,91.77,27.27
