,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.09202596573273478,-0.09202596573273478,-0.09195450292175983,-0.09232415804305488,-0.006382225721550478,-0.012121117145447113,-0.012121117145447113,-0.04581834511871466,-0.008606649898314604,-0.013611331664120749,-0.014614997312122992,-0.044120360701695,-0.046054423706199964,-0.046054423706199964,-0.011375385746630273,0.00023578580697211318,-0.008654904721794482,-0.046054423706199964,0.005830708963133533,-0.04453426111546003,-0.0059219907545033975,-0.09263905734909048,-0.08795392297509746,-0.0896155655755129,-0.046054423706199964,-0.08962087148235726,-0.08972526204221998,-0.08972526204221998,-0.046054423706199964,-0.06788611448442428,-0.08210701469490765,-0.021683266373803252,-0.12093133955647198,0.002376505485911122,-0.10256045215276197,-0.08954843620834145,-0.0970106499439666,-0.08760736180252904,-0.08753589899155409,-0.0943999533505485,-0.09468544407490838,-0.11511516074755687,-0.009965265969261158,-0.009965265969261158,-0.02251293677941326,-0.02376648431696427,-0.009271420146101553,-0.0937849798935947,-0.01258291260768756,-0.12876757931988286,-0.046054423706199964,-0.09509883371753894,-0.09515666892176983,-0.07154870946668795,-0.070762639151602,-0.08777459352932444,-0.013277806959956676,-0.09102742722175511,-0.018149276810812815,-0.09480498297889682,-0.010102004909290477,-0.010102004909290477,-0.09507089194404619,-0.09507089194404619,-0.044898494923436,-0.0491639514084655,-0.12668678806439188,-0.09545331449861776,-0.09068880133962491,-0.007782764947153965,-0.09540185671764885,-0.035471885991372444,-0.04098149727115526,-0.09385335580914375
Revenue per Share,0.05174479032877399,0.044560564856599476,0.13219963064181017,0.07234554651671958,0.07070127917791301,0.059230036965770914,0.06104648218150542,0.06007021384599904,0.0736012524051756,0.1015863763799623,0.14347782542500917,0.04728996388802115,0.039225860152382296,0.03955976213693211,-0.041934200119475976,0.06661147934283101,0.057044060517950856,0.040549816691046126,-0.03452732014755782,0.059333275891986136,0.12198923820658956,-0.008057169393544842,0.027777432562724073,0.043685450740797147,0.05069701711779366,0.0821310189372726,0.1276398490549288,0.04696445565806434,0.05539636098843801,-0.04413150551145502,0.07037260912195606,-0.04309350592697117,0.018305369402338796,0.11012371606536613,-0.002853121928968096,0.038029768416421944,0.16363869421258787,-0.025934802095164945,-0.04157819355027432,-0.05232758467672953,-0.023927373865308958,0.010906909394886897,0.0736849704771269,0.08006232033124283,0.09196577477983636,0.1002958758259054,0.09658093522117553,0.08152247499137144,0.09645706874608473,0.017754476845963783,0.056937635103140045,-0.06122983144749497,-0.056493543441266,0.18545809576476105,0.18790978219819313,0.08371630606970214,0.11307266431090367,0.03980093834477197,0.0729566108980472,-0.015246958000710124,0.12556272319628017,0.12626224073721973,-0.023598702477137145,-0.028541839068099883,0.059518472495786685,-0.0011548690785569823,-0.044881125366438665,-0.009419951939825682,0.05684410515492078,0.078119368043946,-0.014673050209639481,0.07100139867033334,0.036425060754589074,0.07782228657112422
EBITDA per Share,0.1099486228369212,0.10721244237590555,0.1206102357321578,0.13501589738951592,0.14982647052015283,0.12936834552599402,0.1462063697497323,0.02080563566489205,0.149484941832207,0.1686924341437286,0.14103012549223412,0.011386295700536602,-0.000598385553694553,-0.0002886034724008964,0.006949744465288607,0.04537077357684485,0.03569617378664951,0.01609875705571016,-0.0014512934073395087,0.022163024295321663,0.1981517101159716,0.07498926654619292,0.08747726477111997,0.04875386012205788,0.012922630899628484,0.09182944095120354,0.13943056780389002,0.13858209573592228,0.013140644029836206,0.0010190303239033605,0.12249476911964319,0.042007247915250345,0.06359990571487348,0.1852090273333927,0.014428553804860206,0.10743833296380727,0.20042496586397981,0.03792421944032264,0.00831894605662407,-0.03297977216337085,-0.004266788392769042,0.017998437479851435,0.1550948683214218,0.15477471212328586,0.1357924872320869,0.14543654567578843,0.14756986485745985,0.13207309853311527,0.1525274420003497,0.029572481693610115,0.019803103399601438,-0.008455193003316722,-0.015842474239908307,0.19590208375438173,0.1929020337628256,0.1256124164746474,0.16989517019451247,0.09494076027698096,0.04342961133923089,0.013594055450283696,0.18061743824896195,0.17821203259814675,0.0760584749514181,0.07454543702156773,0.00893670859230716,0.038138115230977564,0.0025232201679985843,0.009324311546978154,0.11886693473447374,0.04184845012048109,-0.04634034466147331,0.03691294432726135,0.02072985018030826,0.1330553709378596
EBIT per Share,0.10791727736630297,0.0807036810023854,0.11626988581765044,0.13599937465791512,0.15650135414256852,0.13730700188967115,0.14044768487477302,0.021507736630338354,0.14555987924575114,0.17537819808691263,0.14429434891165882,0.013607245204080153,-0.0019029782866859038,0.002128039483125651,0.0027053179525781826,0.03457770131209158,0.02914795424981724,0.014860665949129976,-0.0012099694330416806,0.021936301744033507,0.19792904050277585,0.07321599534580775,0.10080688108110311,0.06773634618726793,0.011577277242936742,0.07622957017736814,0.14049427136894946,0.13685239543514557,0.013928821815678682,-0.0013992867117846308,0.12784554965323858,0.044758216152971396,0.0688705111801996,0.19780051301596982,0.013183218495704436,0.10829797584434438,0.19953674386071948,0.017622287948954655,0.009066200105811953,-0.026865898524757858,0.0010789052447788133,0.015191367878604981,0.15177139879299342,0.1606037888777442,0.13745135221593383,0.1452908248581004,0.14804687887740878,0.1335595992938624,0.15629371422598123,0.028907934922240384,0.017969335305376262,-0.018063907019543895,-0.022468511863964022,0.1640576063398343,0.17727078015614325,0.1294591661111636,0.16906824866797612,0.07433057998427606,0.03365545629285522,0.032502207752459496,0.1623523461759116,0.1803879206519659,0.07539045383736234,0.07724282631512389,0.011731984603806691,0.0414535761939614,0.0026494640278622627,0.01786418076315095,0.11539133774880453,0.024409581853029806,-0.030219409749085817,0.013579146550377893,0.019095070926617254,0.12286742893560959
Earnings per Share (Diluted),0.12107977610433879,0.11379118306569294,0.12334496040866595,0.1273064170426796,0.13908311671034446,0.13239444872083522,0.13032031120295853,0.10683420275655536,0.1309578488942908,0.25940384411541795,0.19333425524397044,0.1656235722491523,0.1551183063444725,0.08885858314642683,0.000727314585200374,0.24762931669406338,0.2493768128591829,0.16906788998113073,0.035490016747113995,0.10622838961599776,0.15227781787852387,0.04728921769856833,0.10092105598846837,0.11744083880694543,0.12235994944058373,0.09238123310017592,0.09513425263596212,0.11806293188248201,0.12111500790688356,0.011576456031620195,0.15890539208232116,0.009824328210777028,0.04868619654425431,0.15544635624718062,0.06021601635033609,0.14238734157786936,0.17383715178089915,0.09968847543905368,0.08684983361881257,0.049013472282025086,0.04137450163435801,0.07967473359124634,0.1457759877677309,0.14868030285988,0.17583474637065996,0.16950705571679114,0.2211384093529775,0.1539711963526989,0.2592919387732618,0.06595379892952519,0.11553289415931343,0.04398317690223127,0.06271798803906456,0.24832744170764237,0.25155115271471357,0.1013889682775108,0.1786479549917824,0.025497082589504734,0.14471972832760954,0.0775173601636074,0.2041487039628436,0.22412366862479682,0.09722827094304651,0.09981795126914295,0.16577486482343923,0.13243734555278028,0.020777490369600887,0.06231938971715997,0.1229463331820432,0.14547428946998556,0.07954184181609021,0.12383574562255617,0.11826376587180767,0.15899438254135229
EPS without NRI,0.06429220406130255,0.0407912609551893,0.06599290599863267,0.11575511236962047,0.10640571884741293,0.07278745849052401,0.10209356799257759,0.12402882589783068,0.07394092351409363,0.08679904971053987,0.07939526109653965,0.060502930564473,0.03875227248538675,0.06958103145686692,-0.021783523863810876,0.1150972893187804,0.07816620532072271,0.05079713691269892,0.0015749796098736705,0.07465409763316333,0.15870227564984066,-0.00011468065574725145,0.09806444190909176,0.0917528349078543,0.09391676961055669,0.0743806262782004,0.07189968268461032,0.08992781642188151,0.08864981385803522,-0.000552453630181375,0.11221757590402831,-0.043431192130840526,0.010680109388818094,0.12738353443654624,0.02915927488276924,0.11263195428752808,0.10137892563919938,0.0571006570368171,0.03289673232256074,-0.03407203729922481,-0.021343845215282885,0.016301577635084375,0.10630026799598324,0.10292128708414129,0.13963130115358485,0.13944815712531083,0.12387745541751992,0.12147350886843791,0.14600740553513308,0.0389450994517909,0.08973440650296097,-0.004656611322179323,-0.02898883280714737,0.13765023983841398,0.15809765955567875,0.09173454615146695,0.10318509722460667,-0.05193160387205425,0.08711327063749065,0.04097329314078754,0.13506072656831974,0.17040229257831285,0.030785112928724788,0.02816020397191093,0.08685633070242275,0.011041253587248952,-0.048350273788804445,0.0097805086931021,0.09006810150417859,0.09172464975379747,-0.024917914276529528,0.12816775199672756,0.0761261172110283,0.08727950612981171
Owner Earnings per Share (TTM),0.16058682596669566,0.1464593598517123,0.1646624959957551,0.20186996209543606,0.18782209076263212,0.18216554810191365,0.18681571265603206,0.06274693503093365,0.18629866393833988,0.10475104585184646,0.13123624848717752,0.03990021226281416,0.004652624343546151,0.046300146617877076,0.028455123112064017,0.07396264646670923,0.0701189488238024,0.0895374141752098,0.026513570869103616,0.05335073998989266,0.0963210039396954,0.12640282629367905,0.15191965363914828,0.1746641444599719,0.053172729726819475,0.1877808222507009,0.161130192940281,0.17433852513235815,0.05165904043714764,0.03086549161976242,0.19118761657064387,0.09369078425209999,0.10173054043735555,0.09835627840582657,0.05724955462055092,0.1656269830791804,0.2734566293579315,0.12264134417975128,0.12956535756709794,0.12776200401304988,0.12074631351961777,0.06847463273730768,0.19153804639820549,0.1965764335477999,0.07294979097225526,0.07113839745440376,0.11325756766359425,0.27062187825490996,0.1498639787943275,0.08097538579504447,0.038798448467200285,0.16451483646781437,0.16750013667923122,0.2943075423991763,0.2881862866042161,0.16241154656691492,0.05209223698842132,0.20270110089125784,0.07598650104180603,0.13633546389257012,0.23151917854486076,0.25012079921950403,0.15429657932867039,0.1540886329717591,0.11327799418570036,0.10652798069612796,0.04856750473486983,0.15848330589574278,0.14445303613633934,0.04353119030860018,0.17252763375745742,0.029897835547768276,0.06574775102958519,0.20211906154148834
Free Cash Flow per Share,0.2641527648893641,0.2611936441480985,0.24501734723331267,0.15918471303065346,0.19039931374021987,0.18306905169337812,0.18509656506085664,0.012058695101374091,0.2161627595320161,0.265730389164796,0.22858403461281757,0.07821203786429394,0.0703333210902305,0.014231134067428873,0.0054420979700453755,0.12026447778296838,0.09115612002133844,0.07824686795957488,0.0754311240989673,0.01717879526994991,0.22580656123142104,0.09671146263767781,0.13441345521644602,0.12743765066167564,0.07346637259446244,0.05605117955755665,0.13014549547648044,0.12410008835567647,0.07320687049243531,-0.027129883189158998,0.1571927034914098,0.05365467479847655,0.09664857781834599,0.16867118627267405,0.0045720765729032374,0.13961777163949127,0.3443668767016571,0.2708396450809692,0.24642494598176024,0.057485853512400924,0.05248176405928551,0.026249787178173997,0.1699067566339733,0.17090707504049638,0.03310850952321927,0.031472545926180304,0.024680884187310306,0.13735158303613781,0.03484083615396233,0.11825021732240212,0.0074892020502384925,0.13468033087580517,0.1393716339946157,0.22533392875537878,0.23122202930754668,0.12629237648997788,0.013070558712302772,0.09893200141853861,0.05588380271932321,0.1282512640400038,0.17610686241796633,0.1809300697252572,0.17523643361490354,0.17681767374201404,0.07320687049243531,0.12147097367841841,0.10762053548839935,0.0716771036924835,0.16264095177732216,0.00725202195384893,0.07782185295195694,-0.026920140731916283,0.1062187662336107,0.24474634160542103
Operating Cash Flow per Share,0.38756263812326675,0.2250156651750427,0.2316396691381821,0.17265911203856438,0.18182459453993988,0.16667042636313592,0.17461010145331424,0.03581767445938475,0.1652822019335923,0.26997476932915365,0.2520797544570016,0.030649088870912833,0.06924339847300598,0.0032540843232257265,0.026023883107042775,0.22652972222579423,0.21894857059044318,0.07767513044469712,0.0022783097095966506,0.0322291351958329,0.20785239118730992,0.16640555927613465,0.07656516251738778,0.050811529376889854,0.02059154472169336,0.1033608831401343,0.12195503641941682,0.14488027101909656,0.01773229897372523,-0.03415135374464401,0.12919395395685834,0.03763795377905393,0.15525599878850377,0.16422635926115695,0.006221310185826273,0.10135070407907089,0.4833394834223918,0.23548925390629052,0.1214390423695193,0.004233369400158091,0.027148809198964494,0.024220616489154915,0.1545303237711938,0.1516558204445522,0.16220783758156754,0.14015159242386127,0.23145616793407542,0.14992355011820307,0.24128262219089489,0.09001739155048374,0.01686732668413486,0.11511326128903888,0.11321293964242957,0.26193304766862746,0.26149038903760335,0.1182129217118381,0.17268215815081417,0.10932533085836846,0.10070917241897683,0.049039205540180764,0.17367642429446367,0.19413125828891203,0.13878364725194073,0.13522870675685536,0.07422122971370351,0.12746753088392887,0.1015034780752419,0.0263909130969031,0.14436443558620002,0.05204088953565222,0.034635142717913035,-0.015130641366322707,0.10624504093318099,0.24607773892841034
Cash per Share,0.19919917407802826,0.10655484418755948,0.20959540797464593,0.12432425611625054,0.21797418145327513,0.08480488529869272,0.12185835257749632,0.06203336768508522,0.0910478482317051,0.1056117635495663,0.19074273186985058,0.04558163203909606,0.047244348467446004,0.039621193069840875,-0.017129774358152668,0.20894818808399143,0.10444785921265333,0.08157032989252312,-0.014117942516985086,0.04840497794176797,0.18513156621243887,0.025078256207268997,0.017451263580775152,0.049119217121227014,0.09796806646581188,0.1384724453512116,0.17378749482909348,0.17080121779005802,0.10781552230879077,-0.032285025707414136,0.08844276898593324,-0.023574985360442918,0.09696907066632982,0.12895381328348496,0.0013007839367358874,0.07352687094896378,0.27497926122887506,0.0799729670919823,0.08028802749113657,-0.0428153644115606,-0.0024382515819015077,0.01899533591165334,0.11674821415128459,0.11873442000134798,0.11431627365662174,0.117805992339203,0.19531824382724405,0.18306774150548275,0.17707138603833228,0.12002017852649738,0.03858948490680778,0.03578890476389708,-0.014925295150069498,0.2045241685792338,0.22179746756629715,0.09800683605605495,0.12457913300396567,0.044178566765863556,0.0867637399637316,-0.0005497359117833233,0.14016991351601307,0.15216996859399745,0.11756712104876256,0.135553511691203,0.10747189847021285,0.10685001332609621,0.006369522473526039,0.071542084520261,0.26032718898889984,0.10036431924033339,0.049163646205751116,0.057378883209921114,0.1301024928974178,0.22309294483416797
