,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,125082.0,125082.0,149598.0,56257.0,43868.0,31706.0,31706.0,,-2955.0,219.0,219.0,,,,1277.0,-120.0,-120.0,,1397.0,,13621.0,49473.0,-14476.0,-6999.0,,,6132.0,6132.0,,-919.0,,65970.0,-235.0,-1400.0,6110.0,-9258.0,-19968.0,-34808.0,-34807.0,-27141.0,-28062.0,921.0,-7672.0,-7672.0,,,143.0,-12295.0,12438.0,-137.0,,-19970.0,-19970.0,,,-11495.0,-1400.0,-10095.0,,-10095.0,,,-7153.0,-7153.0,,-57.0,-1265.0,388438.0,70304.0,-913.0,319046.0,,,69392.0
2019,68901.0,68901.0,83651.0,87915.0,30761.0,27805.0,27805.0,,-3571.0,-1762.0,-1762.0,,,,914.0,-109.0,-109.0,,1023.0,,7375.0,-35025.0,-18185.0,-12077.0,,,-18739.0,-18739.0,,-1173.0,15149.0,,,-1409.0,6321.0,-19662.0,,-25304.0,-25304.0,-18020.0,-20827.0,2807.0,-7566.0,-7566.0,-2380.0,-2380.0,1446.0,-7608.0,9054.0,1216.0,,-21583.0,-21583.0,,,-50.0,-50.0,,,,,,-20621.0,-20621.0,,-40.0,-872.0,411055.0,22014.0,603.0,388438.0,,,22617.0
2020,16419.0,16419.0,27668.0,11864.0,29302.0,34105.0,34105.0,,-2190.0,-1816.0,-1816.0,,,,7152.0,-4123.0,-4123.0,,11275.0,,-7949.0,-13496.0,1034.0,25788.0,,,-24533.0,-24533.0,,-224.0,-15561.0,,,-1693.0,5498.0,-15054.0,,-21281.0,-21280.0,-14958.0,-19463.0,4505.0,-5968.0,-5968.0,,,-1821.0,-8172.0,6351.0,1467.0,,-72739.0,-72739.0,-40002.0,-40002.0,-2250.0,-2250.0,,,,-7194.0,-7194.0,-23552.0,-23552.0,,-42.0,301.0,324034.0,-77601.0,-9421.0,411055.0,,,-87021.0
2021,4966.0,4966.0,8431.0,-45342.0,46772.0,28027.0,28027.0,,-1481.0,-1969.0,-1969.0,,,,25913.0,-141.0,-141.0,,26054.0,,-3718.0,7001.0,13122.0,17271.0,,-13802.0,-9615.0,-9615.0,,25.0,,,,-1250.0,3606.0,-5821.0,,18024.0,18024.0,-16284.0,-16965.0,681.0,-6134.0,-6134.0,,,39482.0,-1129.0,40611.0,960.0,,-4991.0,-4991.0,-1.0,-1.0,9894.0,,9894.0,19894.0,-10000.0,-7448.0,-7448.0,-7350.0,-7350.0,,-43.0,-43.0,351798.0,17999.0,9766.0,324034.0,,,27765.0
2022,31351.0,31352.0,33840.0,57096.0,13213.0,24857.0,24857.0,,-1109.0,-1213.0,-1213.0,,,,-3088.0,-3537.0,-3537.0,,449.0,,-6234.0,-36469.0,2181.0,-13321.0,,-27697.0,3067.0,3067.0,,-699.0,,,,-1123.0,3920.0,-5285.0,,-385.0,-386.0,-12497.0,-17981.0,5484.0,-5844.0,-5844.0,-378.0,-378.0,16235.0,-4224.0,20459.0,2098.0,,-26151.0,-26152.0,-2.0,-2.0,-7614.0,13189.0,-20803.0,0.0,-20803.0,-7438.0,-7438.0,-11024.0,-11024.0,,-17.0,-57.0,370277.0,4815.0,13664.0,351798.0,,,18478.0
