,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Pension and Other Employee Benefits Costs,Stock-Based Compensation,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,Selling and Marketing Expenses,"Other Income/Expense, Operating","Other Expenses, Operating",Provisions,Provision for Doubtful Accounts,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Dividend and Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Restructuring and Reorganization Income/Expense,Goodwill Impairment/Write Off,Litigation Income/Expense,Merger and Acquisition Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,13303.0,32698.0,32698.0,-19394.0,-19394.0,-3867.0,-2127.0,-1587.0,-1371.0,-37.0,,-54.0,-125.0,-460.0,-80.0,-1740.0,-1740.0,,,9436.0,-1630.0,-1355.0,-1288.0,-1291.0,3.0,-67.0,-67.0,473.0,379.0,94.0,,-687.0,-12.0,-249.0,0.0,-426.0,,,,-61.0,7802.0,-2514.0,-1969.0,-545.0,5288.0,5288.0,5288.0,5288.0,5288.0,,,32698.0,-3870.0,9432.0,8395.0,,,132.57,132.57,132.57,132.57,39.89,39.89,0.0,0.0,0.0,132.57,132.57,39.89,39.89
2019,13552.0,39480.0,39480.0,-25927.0,-25927.0,-4213.0,-2315.0,-1680.0,-1408.0,-70.0,,-67.0,-135.0,-635.0,,-1898.0,-1898.0,,,9339.0,364.0,-1317.0,-1246.0,-1253.0,7.0,-71.0,-71.0,486.0,486.0,,,1270.0,1224.0,-9.0,55.0,,,,,-75.0,9700.0,-3526.0,-1266.0,-1725.0,6174.0,6174.0,6174.0,6174.0,6174.0,,,39480.0,-4217.0,9335.0,8430.0,,,158.73,158.73,156.16002,156.16002,38.9,39.54,0.0,0.0,,158.73,158.73,38.9,38.9
2020,15091.0,46639.0,46639.0,-31548.0,-31548.0,-4185.0,-2215.0,-1683.0,-1391.0,-63.0,-29.0,-68.0,-132.0,-532.0,,-1970.0,-1970.0,,,10906.0,-930.0,-1306.0,-1242.0,-1256.0,14.0,-64.0,-64.0,386.0,471.0,,-85.0,53.0,238.0,-8.0,-177.0,,,,,-63.0,9972.0,-2926.0,-3146.0,219.0,7046.0,7046.0,7046.0,7046.0,7046.0,,,46639.0,-4187.0,10903.0,10006.0,,,184.82,184.82,182.256532,182.256532,38.12,38.66,0.0,0.0,,184.82,184.82,38.12,38.12
2021,15361.0,35048.0,35048.0,-19687.0,-19687.0,-4129.0,-2176.0,-1680.0,-1397.0,-33.0,-26.0,-87.0,-137.0,-496.0,,-1953.0,-1953.0,,,11232.0,-1012.0,-1375.0,-1321.0,-1331.0,10.0,-54.0,-54.0,445.0,445.0,,,-27.0,-19.0,-8.0,,,,,,-55.0,10216.0,-3097.0,-1745.0,-1351.0,7119.0,7118.0,7118.0,7118.0,7118.0,,,35048.0,-4132.0,11228.0,10244.0,,,189.76,189.76,188.591637,188.591637,37.51,37.74,0.0,0.0,,189.76,189.76,37.51,37.51
2022,17691.0,57818.0,57818.0,-40126.0,-40126.0,-5074.0,-2703.0,-1978.0,-1547.0,-88.0,-53.0,-121.0,-169.0,-725.0,,-2371.0,-2371.0,,,12617.0,-72.0,-1465.0,-1409.0,-1414.0,5.0,-56.0,-56.0,1295.0,534.0,761.0,,211.0,295.0,-2.0,-82.0,,,,,-113.0,12544.0,-3839.0,-4113.0,274.0,8705.0,8705.0,8705.0,8705.0,8705.0,,,57818.0,-5076.0,12615.0,11572.0,,,236.74,236.74,234.669757,234.669757,36.77,37.09,0.0,0.0,,236.74,236.74,36.77,36.77
