,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Sales Return and Allowances/Discounts,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Dividend and Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Irregular Income/Expense,Disposal of Businesses,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Merger and Acquisition Income/Expense,Other Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,35251.0,102175.0,102177.0,,-2.0,-66923.0,-66923.0,-31868.0,3383.0,-144.0,-86.0,-86.0,-100.0,14.0,,,235.0,229.0,6.0,,,,-292.0,,981.0,-1050.0,,-223.0,,-1.0,3238.0,-64.0,-1231.0,1166.0,3174.0,3173.0,156.0,3330.0,3330.0,3330.0,,,102177.0,-31868.0,3382.0,3525.0,0.02,91.38,91.38,90.5,90.5,36.44,36.8,0.0,0.0,,91.38,90.5,36.45,36.8
2018,36479.0,107071.0,107030.0,41.0,,-70593.0,-70593.0,-32826.0,3653.0,-217.0,-72.0,-72.0,-96.0,24.0,,,918.0,320.0,502.0,,96.0,96.0,-1068.0,-610.0,31.0,-618.0,,129.0,,5.0,3436.0,-444.0,-1233.0,789.0,2992.0,2992.0,66.0,3058.0,3058.0,3058.0,,,107030.0,-32826.0,3652.0,705.0,0.129,81.8975,81.8975,81.0925,81.0925,37.34,37.71,0.0,0.0,,81.8975,81.0925,37.34,37.71
2019,40377.0,140587.0,140559.0,28.0,,-100210.0,-100210.0,-35854.0,4523.0,270.0,-119.0,-119.0,-136.0,17.0,,,387.0,207.0,335.0,-227.0,72.0,72.0,25.0,,126.0,-126.0,,25.0,,-23.0,4792.0,-2459.0,-2309.0,-150.0,2333.0,2332.0,-392.0,1940.0,1940.0,1940.0,,,140559.0,-35854.0,4523.0,4755.0,0.513,52.1775,52.1775,51.63,51.63,37.18,37.58,0.0,0.0,,52.1775,51.63,37.18,37.58
2020,41726.0,143517.0,143564.0,,-47.0,-101790.0,-101790.0,-36651.0,5075.0,96.0,-171.0,-134.0,-153.0,19.0,-37.0,-37.0,762.0,245.0,694.0,-113.0,-64.0,-64.0,-685.0,88.0,-35.0,-376.0,,-362.0,,190.0,5167.0,-2558.0,-2132.0,-426.0,2609.0,2608.0,-286.0,2321.0,2321.0,2321.0,,,143564.0,-36651.0,5075.0,5273.0,0.495,62.7,62.7,61.99,61.99,37.02,37.44,0.0,0.0,,62.7,61.99,37.03,37.44
2021,45161.0,150604.0,150288.0,316.0,,-105443.0,-105443.0,-38922.0,6239.0,-227.0,-164.0,-164.0,-179.0,15.0,,,60.0,191.0,285.0,-69.0,-347.0,-347.0,-332.0,-183.0,-206.0,-249.0,323.0,-17.0,,209.0,6010.0,-3351.0,-3316.0,-35.0,2659.0,2659.0,-42.0,2617.0,2617.0,2617.0,,,150288.0,-38922.0,6239.0,6126.0,0.558,64.55,64.55,63.87,63.87,40.54,40.97,0.0,0.0,,64.55,63.87,40.55,40.97
TTM,44886.0,154108.0,153794.0,314.0,,-109222.0,-109222.0,-40095.0,4791.0,218.0,-162.0,-162.0,-175.0,13.0,,,564.0,196.0,379.0,-53.0,42.0,42.0,-317.0,-35.0,-199.0,-50.0,0.0,-33.0,,133.0,5006.0,-1566.0,-3316.0,-35.0,3440.0,3441.0,-20.0,3421.0,3421.0,3421.0,,,150288.0,-40095.0,4791.0,5688.0,,78.2,78.2,77.47,77.47,43.57,43.98,0.0,0.0,,78.2,77.47,43.56,43.98
