,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Pension and Employee Benefit Expense, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Gain/Loss on Extinguishment of Debt, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Payment for Loan Granted and Repayments Received, Net",Cash Receipts from Repayment of Advances and Loans Made to Other Parties,Cash Advances and Loans Made to Other Parties,"Purchase/Sale of Intangibles, Net",Sale of Intangibles,Purchase of Intangibles,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Proceeds from Issuance of Short Term Debt,Repayments for Short Term Debt,"Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Income Tax Paid, Supplemental","Interest Paid, Supplemental","Interest Received, Supplemental","Income Tax Refund, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-654.25,-654.25,-479.54,826.73,676.26,724.1,724.1,723.2,0.9,298.73,206.84,-276.88,-1.6,-299.55,-297.8,,-1.75,24.61,43.51,0.0,43.5,-18.89,,-1982.53,282.42,149.42,149.42,314.67,-2591.76,-2591.76,-2591.76,-84.26,-53.01,-46.3,314.44,-442.85,194.8,194.8,-62.06,-62.06,,257.08,-47478.34,47735.42,,,,,-0.21,,-0.21,-1665.38,-1665.38,-932.12,,,,-932.12,-932.12,,,,-733.26,-733.26,,,,1466.53,-2124.83,3591.36,,-2124.83,-442.85,-46.3,314.44,
2018,910.13,910.13,823.95,356.09,655.64,644.44,644.44,643.53,0.91,256.98,75.17,-399.79,-14.41,86.82,-29.73,116.25,0.29,6.44,6.44,-0.61,7.05,,,-187.79,189.24,1437.14,1437.14,-49.96,-1016.69,-1016.69,-1016.69,-776.97,29.45,-23.76,415.15,-305.21,722.2,722.2,-7.48,-8.1,0.62,694.93,-54321.34,55016.27,,13.16,13.16,,21.6,21.6,,-1518.73,-1518.73,-932.12,0.0,1.08,-1.08,-932.12,-932.12,,,,-586.61,-586.61,,,,1580.14,113.61,1466.53,,113.61,-305.21,-23.76,415.15,
2019,1473.36,1473.36,1015.25,538.64,561.42,596.49,596.49,595.68,0.81,268.71,99.66,-447.78,-1.74,46.01,-6.16,53.06,-0.89,0.07,0.07,-4.0,4.06,,,-84.82,13.57,177.36,177.36,29.93,-125.62,-125.62,-125.62,-167.24,-12.82,-1.76,423.55,36.33,-721.12,-721.12,4.0,,4.0,-725.12,-52609.28,51884.16,,,,,,,,-746.31,-746.31,-233.03,,,,-233.03,-233.03,,,,-513.28,-513.28,,,,1586.07,5.93,1580.14,,5.93,,-1.76,423.55,36.33
2020,501.11,501.11,213.87,-26.83,350.99,610.15,610.15,608.93,1.22,265.59,-20.62,-439.13,-4.07,-61.67,-21.11,-38.84,-1.72,0.74,0.74,-0.5,1.24,,,-110.29,-127.32,404.94,404.94,33.86,-97.14,-97.14,-97.14,-297.98,-26.66,-11.21,444.52,-146.07,-768.38,-768.38,-29.19,-29.69,0.5,-739.43,-54855.99,54116.56,0.24,,,,,,,339.47,339.47,1000.0,1000.0,1000.0,,,,,-37.26,-37.26,-623.27,-623.27,,,,1658.27,72.2,1586.07,,72.2,-146.07,-11.21,444.52,
2021,621.67,621.67,204.65,81.27,164.96,435.74,435.74,435.74,,296.59,8.38,-395.16,-8.14,-121.37,-118.23,-3.14,,-27.49,-27.49,-27.66,0.17,,-23.59,-41.58,125.63,637.28,637.28,63.48,-606.52,-606.52,-606.52,-261.11,-0.35,-19.16,464.11,-27.94,-7.3,-7.3,-124.82,-152.61,27.79,117.42,-52358.88,52476.3,0.1,,,,,,,-416.58,-416.58,0.0,0.0,1000.0,-1000.0,,,,-49.95,-49.95,-366.63,-366.63,,,,1856.05,197.78,1658.27,,197.78,-27.94,-19.16,464.11,
