,Gross Profit,Total Revenue,Business Revenue,Sales Return and Allowances/Discounts,Other Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Pension and Other Employee Benefits Costs,General and Administrative Expenses,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,Operation and Maintenance Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Taxes Other Than Income Taxes,Provisions,Provision for Doubtful Accounts,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Amortization and Accretion of Securities,Net Investment Income,Dividend and Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Investments and Other Financial Instruments,Gain/Losson Investment Properties,Gain/Loss on Foreign Currency Exchange,Rental Income,Irregular Income/Expense,Write Off/Write Down of Other Assets,Impairment/Write Off/Write Down of Capital Assets,Other Irregular Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,58046.05,573309.88,573309.88,,,-515263.82,-515263.82,,-16089.71,-9218.73,-6364.51,-5443.93,-920.58,-728.54,27.55,-53.83,-2099.41,-153.93,-414.28,-414.28,-342.02,-72.26,101.89,-6404.66,-1448.11,-4956.54,41956.34,-20124.47,-4589.21,-4589.21,-4825.54,236.33,0.0,0.0,0.0,-345.74,372.18,372.18,,,,,72.02,-8888.72,-8419.17,-495.82,-1.86,28.13,-6744.99,21831.87,,21831.87,21831.87,21831.87,,,573309.88,-16435.46,41610.6,166.0,166.0,166.0,166.0,131.62,131.62,166.0,166.0,131.62,131.62
2018,55199.78,671155.39,671155.39,,,-615955.6,,-615955.61,-17801.14,-9656.42,-6519.22,-5622.18,-897.04,-638.18,-55.76,-43.65,-2399.62,-146.23,-397.3,-397.3,-335.14,-62.16,-1113.57,-6487.62,-5820.39,-667.23,37398.64,-31345.15,-2446.94,-2446.94,-3020.46,573.52,0.0,0.0,0.0,-2347.27,753.82,434.39,297.7,-3.19,24.92,,78.0,-22558.9,-22558.69,,-0.55,0.34,-4823.86,6053.49,,6053.49,6053.49,6053.49,,,671155.39,-20148.41,35051.38,41.0,41.0,41.0,41.0,145.31,145.31,41.0,41.0,145.31,145.31
2019,44695.6,546534.15,546534.15,,,-501838.55,,-501838.55,-15482.79,-12116.17,-7491.55,-6295.01,-1196.53,-906.69,-100.33,-7.55,-3610.07,-180.88,-501.2,-501.2,-441.18,-60.02,-1088.28,-1596.25,5421.42,-7017.67,29212.82,-4863.54,-2417.61,-2417.61,-3041.89,624.27,0.0,0.0,0.0,-1173.01,530.88,325.25,161.22,44.42,,,78.4,-1456.81,-1433.65,-20.0,-3.16,,-425.38,24349.28,-4010.98,20338.29,20338.29,20338.29,,,546534.15,-16655.8,28039.8,140.0,140.0,140.0,140.0,145.41,145.41,140.0,140.0,145.41,145.41
2020,41068.06,377247.25,377247.25,,,-336179.19,-336179.2,,-21943.35,-13520.47,-9457.03,-7934.16,-1522.87,-838.3,-45.19,-12.94,-3167.01,-202.75,-613.72,-613.72,-551.41,-62.31,-1299.34,-6307.08,-389.29,-5917.79,19124.71,-4926.99,-551.67,-551.67,-1571.65,1019.98,0.0,0.0,0.0,-4443.99,637.02,310.37,323.21,3.44,,,77.4,-5046.39,-5036.37,-10.0,-0.02,,4400.64,14197.72,6199.11,20396.83,20396.83,20396.83,,,377247.25,-26387.34,14680.72,140.0,140.0,140.0,140.0,145.41,145.41,140.0,140.0,145.41,145.41
2021,66395.97,444244.78,444244.78,,,-377848.81,-377848.81,,-19783.0,-14752.7,-10360.1,-8728.05,-1632.05,-878.76,27.31,-26.9,-3514.25,-211.27,-220.6,-220.6,-162.01,-58.59,-1455.66,-3142.77,950.62,-4093.39,46612.97,2843.22,1007.84,1007.84,-1013.27,2021.11,0.0,0.0,0.0,-3264.23,477.28,320.2,157.08,,,,80.4,-58.87,-58.87,,,,4600.8,49456.18,3957.03,53413.21,53413.21,53413.21,,,444244.78,-23047.23,43348.74,367.0,367.0,367.0,367.0,145.41,145.41,367.0,367.0,145.41,145.41
