,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash Equivalents,Cash,Short Term Investments,Other Short Term Investments,"Available-for-Sale Securities, Current","Derivative Investment and Hedging Assets, Current",Inventories,Other Inventories,Inventory Allowance/Adjustments,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Loans Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","General Allowance for Receivables and Write Offs, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Licenses and Rights,Other Intangible Assets,Research and Development,Goodwill,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Other Intangible Assets,Accumulated Amortization of Research and Development,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,Accumulated Impairment of Other Intangible Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Financial Assets Designated as Fair Value Through Profit or Loss, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Other Financial Assets, Non-Current",Long Term Equity Investments,Investments in Associates,"Derivative Investment and Hedging Assets, Non-Current","Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current","Other Receivables, Non-Current","Finance Lease Receivable, Non-Current","General Allowance for Receivables and Write Offs, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deferred Tax Assets, Non-Current","Pension and Other Employee Benefits, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Capital Lease Obligations, Current","Derivative and Hedging Liabilities, Current","Other Financial Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Convertible Debentures/Loans, Non-Current","Capital Lease Obligations, Non-Current","Other Financial Liabilities, Non-Current","Derivative and Hedging Liabilities, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Provisions, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Other Payables, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc, Available for Sale Financial Investments Reserves/Accum.Comp.Inc,Gain/Loss from Cash Flow Hedges Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 5,Other Contractual Obligations - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 5
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1216524.91,92601.93,23882.54,23832.54,23832.54,,50.0,50.0,,,7844.84,7631.91,,,212.93,44968.29,41095.96,49645.62,-8549.65,214.6,196.82,7272.08,-3811.17,15906.26,1123922.98,1053488.54,1511378.79,92752.03,59384.03,33368.0,,,,,275.92,1410326.62,8024.23,-457890.25,-457890.25,-2082.74,-2082.74,,,,,-450087.29,-5720.23,9489.3,14161.62,9970.39,4363.45,22.74,4091.3,1492.9,4191.22,-4672.31,-3424.85,-3424.85,-2720.82,-4.02,-241.89,-458.12,-1247.46,-158.25,-1089.21,43067.58,5115.9,,5110.9,5110.9,5.0,37951.68,37951.68,,4910.82,342.25,4568.57,,,9712.75,9712.75,3253.99,,0.0,970241.9,620395.93,65709.16,57542.36,29272.66,5272.38,22997.32,8166.8,541590.08,541584.13,255992.82,255992.82,285591.31,285591.31,,,5.95,13096.69,13096.69,349845.98,305967.1,305967.1,305967.1,233502.25,72464.85,,,,,15.59,,15.59,43863.28,43863.28,43863.28,,246283.01,245633.5,101562.55,102594.16,11073.15,91521.01,-1031.61,174613.61,-30542.66,-29679.23,0.07,,-863.5,649.51,865733.53,559268.67,286601.68,19863.17,,104321.6,60442.73,7938.4,35940.47,0.0,970055.13,619711.4,294540.08,55803.64,0.0,,,,,,
2018,1173209.25,96556.63,23363.66,23363.66,23363.66,,0.0,0.0,,,7788.19,7788.19,,,,55457.98,45251.21,58289.88,-13038.67,7405.49,126.28,6894.54,-4219.53,9946.81,1076652.62,1020483.0,1527871.6,38435.57,28952.26,9483.31,,,,,,1482582.32,6853.72,-507388.6,-507388.6,-1316.2,-1316.2,,,,,-500855.35,-5217.05,24253.75,24264.48,10598.01,9075.13,11.92,1510.97,,13666.47,-10.73,,,,,,,-10.73,-10.73,,17758.8,5350.99,5345.78,0.21,0.21,5.0,12407.81,12407.81,,3750.17,36.68,3713.5,,,5414.85,5414.85,4992.04,,0.0,926248.05,595596.23,67145.93,59901.55,29546.98,4727.23,25627.34,7244.37,515308.74,515308.74,145166.62,145166.62,370142.12,370142.12,,,,13141.57,13141.57,330651.82,288486.65,288486.65,288486.65,199461.8,86814.3,2210.55,,,,,,,42165.18,42165.18,42165.18,,246961.2,246940.22,102574.46,103606.07,11073.15,92532.92,-1031.61,174066.0,-29700.24,-29700.15,-0.1,,,20.99,,,,,,,,,,,,,,,,,,,,,
2019,1645170.54,195238.37,51881.06,51881.06,51881.06,,,,,,21375.46,20847.68,,527.78,,77182.32,51509.69,66404.05,-14894.36,,2134.63,30089.08,-6551.08,44799.52,1449932.18,1403152.68,1984843.38,73318.71,60932.13,12386.59,,,,,3126.0,1897301.85,11096.82,-581690.71,-581690.71,-378.18,-378.18,,,,,-576921.72,-4390.81,12445.06,22025.55,22006.55,19872.27,24.92,2109.37,,19.0,-9580.49,-9564.01,-9564.01,-9551.57,-12.44,,,-16.48,-16.48,,5384.11,5384.11,5277.3,0.03,0.03,106.78,,,,8900.62,,8900.62,,,3121.01,3121.01,16928.7,,0.0,1300430.9,543507.55,105851.82,97458.13,25352.74,6810.29,65295.11,8393.69,421465.51,421465.51,150000.0,150000.0,271465.51,175011.95,96453.56,,0.0,16190.22,16190.22,756923.35,709594.56,709594.56,602914.14,373810.48,229103.66,,106680.43,0.0,,7326.28,7326.28,,39975.48,39975.48,39975.48,27.03,344739.64,344739.64,255687.76,265847.3,17882.57,247964.73,-10159.54,189258.51,-100206.62,-100206.39,-0.23,,,,,,,,,,,,,,,,,,,,,,,,
2020,2227147.66,196350.5,82665.14,82665.14,82665.14,,0.0,0.0,,,9113.64,9181.17,-67.53,,,63452.51,55705.88,70948.77,-15242.9,294.5,1369.94,18989.24,-12907.05,41119.21,2030797.16,1928523.66,2510460.66,73143.89,61314.78,11829.11,10875.06,1016.36,9810.37,48.33,432.84,2423322.27,2686.6,-581937.0,-581937.0,-617.48,-617.48,-5461.63,-443.85,-4992.09,-25.69,-574624.42,-1233.47,18147.9,27453.12,27453.12,21863.44,25.47,5564.21,,,-9305.22,-9305.22,-9305.22,-9270.88,-15.35,-19.0,,,,,7274.42,7274.42,7269.2,0.22,0.22,5.0,,,,7877.49,18.0,7859.49,,,45333.06,45333.06,23525.01,115.63,0.0,1764095.12,692928.59,121660.16,112958.21,51529.23,5662.99,55765.99,8701.95,562012.53,561677.74,190000.0,190000.0,371677.74,207592.11,164085.64,334.79,0.0,9255.91,9255.91,1071166.53,983461.17,983364.18,668804.13,269369.86,399434.27,,314560.05,0.0,96.99,745.93,745.93,,86959.43,86959.43,86959.43,,463052.54,463052.54,343866.21,365793.66,23642.92,342150.74,-21927.45,206242.92,-87056.59,-86888.06,-0.09,-168.44,,,,,,,,,,,,,,,,,,,,,,,
2021,2860204.48,309194.1,147322.37,147322.37,147322.37,,0.0,0.0,,72.82,16452.78,16512.85,-60.08,,,73612.68,65716.49,71921.47,-6204.98,133.75,525.65,18905.46,-11668.67,71733.46,2551010.38,2443204.53,3192979.75,77938.55,64467.62,13470.93,11816.63,1027.89,10740.4,48.33,3666.4,3094806.1,4752.07,-749775.22,-749775.22,-2175.03,-2175.03,-7337.99,-782.58,-6518.27,-37.15,-737019.15,-3243.05,19807.68,33635.38,33635.38,28046.0,25.17,5564.21,,,-13827.7,-13827.7,-13827.7,-13790.83,-17.88,-19.0,,,,,16039.63,15655.06,10184.77,5465.29,5465.29,5.0,,,192.28,8586.08,18.0,8568.08,,,38739.63,38739.63,22504.23,2320.87,0.0,2376552.04,926518.88,164635.05,152354.08,90776.37,3081.09,58496.62,12280.97,747100.46,747100.46,40000.0,40000.0,707100.46,500153.27,206947.2,,,14783.37,14783.37,1450033.16,1277549.46,1277549.46,794244.54,448465.56,345778.97,,483304.92,0.0,,675.11,675.11,,154128.05,154128.05,154128.05,17680.54,483652.44,483652.44,343866.21,365793.66,23642.92,342150.74,-21927.45,226465.9,-86679.67,-86888.06,2.28,206.12,,,,,,,,,,,,,,,,,,,,,,,
