,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash Equivalents,Short Term Investments,Other Short Term Investments,"Trade and Other Receivables, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Inventories,Work-in-Process,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Leased Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Leased Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Other Intangible Assets,Licenses and Rights,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Other Intangible Assets,Accumulated Amortization of Licences and Rights,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Financial Assets Designated as Fair Value Through Profit or Loss, Non-Current","Other Financial Assets, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current",Other Non-Current Assets,"Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Other Payable, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current","Other Financial Liabilities, Current","Derivative and Hedging Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,"Capital Lease Obligations, Non-Current","Other Financial Liabilities, Non-Current","Derivative and Hedging Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current",Preferred Securities Outside Stock Equity,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc
0,-0.093784525401294,-0.09524734740692412,-0.09531881021789906,-0.09513150684548377,-0.09513150684548377,-0.013691116553673034,-0.013691116553673034,-0.07397383552811801,-0.1420337589799805,0.015436381425504096,-0.12057355362867275,-0.12057355362867275,-0.05469574135278434,-0.01658669275836528,-0.013039021414398094,-0.012178851217433829,-0.12096891638325541,-0.10051940491528225,-0.12868287674502182,-0.10055503613238576,-0.11511867735019266,-0.11579916588916667,-0.0035382493421483655,-0.005971488093156289,-0.014509964662089337,0.00773687128598973,-0.07339841226772763,-0.00949949652512091,-0.0037780252660961663,-0.0037780252660961663,-0.0037780252660961663,-0.025658497587406858,-0.14164801083452733,-0.11432293594130066,-0.00499775972389359,-0.014656881627464716,-0.014656881627464716,-0.11819366487872607,-0.013968563335354652,-0.015004290961460399,-0.12868287674502182,-0.12868287674502182,-0.08517159556741526,-0.12875433955599674,-0.014785922375399432,-0.013418022919421213,-0.03775414356579106,-0.0348707074417337,-0.035806541397697976,-0.07889046749576123,-0.08674563045987302,-0.07404529833909296,-0.07404529833909296,-0.06669993082299674,-0.10243229655504296,-0.1428241197829175,-0.08924058015568438,-0.11468722608521047,-0.12160275217065422,-0.11436142960457112,-0.0035514476130209444,-0.08825027717598687,-0.035042079103532534,-0.03384751827480043,-0.07405919955149419,-0.04639473941474478,-0.14053190079849226,-0.13334700714988362,-0.0015117980591562027,-0.09470715583917744,-0.11153995893419791,-0.12118926299316402,-0.08825027717598687,-0.042436395116230416,-0.04291256425668404,-0.08525326698761726,-0.07612093574754428,-0.005019429460354259,-0.0586752946513234,-0.014191150867881268,-0.04426932213688839,-0.12747408383201106,0.0035648195557530997,-0.11867145861094272
Revenue per Share,-0.05322234841368488,-0.06301088947324529,-0.03384808382200126,0.017779950615931923,0.011719113337601299,0.10126522860495889,0.13123887614951185,-0.04458477330454837,0.05618844816976771,-0.020156361075703746,0.004739291332371862,0.000686862536978511,-0.041832422789935216,-0.029445732334463327,-0.07514501075198417,0.11163603618729612,-0.01433729184465932,-0.04490757300692882,-0.03707887432023017,-0.0342115570275425,-0.029248331854807335,0.008964953502156356,0.10711460561724641,0.1072212440379585,0.06328889399290494,-0.03112730902609999,-0.05916312459675038,0.07759745033048425,-0.023645192033199376,-0.0253577682097118,-0.04225520283150285,0.026973349502177616,0.0046569847403115485,0.01742421167890108,0.08508558486746205,0.04936467646133269,0.05894477072028877,-0.017615951567907316,0.06881280620424932,-0.06235227004763162,-0.01695094486313323,-0.013155399157930542,0.032152397839563245,-0.016087957190101136,0.10644107141808577,0.1155718354439739,0.04652740921963626,0.03637312185198562,0.052537556410947595,-0.01986987499162847,0.10033206224456434,-0.05558503146077887,-0.0485975937254965,-0.03900273666845355,0.026593941002531665,-0.024510534583605047,0.0911740277255723,0.010180450785671263,0.0063896945523237636,0.013354139053986757,0.09407397524686775,0.08670086776416315,-0.03979881558098666,-0.051178230781569634,0.09036982531149858,0.0918735493253834,-0.012921434278937794,-0.008518010435902272,0.061013548014318984,0.11892369757993589,0.0079881789127726,-0.0033745804007129943,0.0758556669606888,-0.009224678339664935,-0.026367270568373583,0.030349665501754462,0.032366979155082576,0.08380056916847077,0.08215981523704273,0.08103682680126306,0.039161200538320375,-0.02720710048114553,0.0527916152382571,-0.021563333796461366
EBITDA per Share,-0.010628047210924443,0.012729108044164696,0.016470032586166382,0.0667128168911671,0.0760067816458861,0.1572126388130099,0.1849656466376171,-0.0032049738867634403,0.03130051401570468,0.015485296350902959,0.0516101630237875,0.03913284736469969,0.0270637613850982,0.025852509184351752,0.020025712576792212,0.159844119058955,0.020839456543582328,-0.0047566910948422785,-0.008460798850377602,0.00791936924431952,-0.011928024567155257,0.031816855574036344,0.17440532886188612,0.17827769318313957,0.1265929653369783,-0.009437933194287158,-0.03198678937452714,0.15074120617177894,0.032969738157528565,0.04040632106972303,0.01783436413837562,0.059891163874776845,0.05247262375065755,0.04360278378299239,0.18346997543443055,0.17061572381495554,0.15863008289495326,0.019692438210980885,0.1767920810608771,0.017577018524694732,0.01989542224688083,0.005664515641974996,0.06749713019538477,0.02234389241620477,0.18601979820232145,0.1859861154459951,0.06712767463415857,0.015130965570172832,0.014314906230369916,0.09538133126517935,0.12512251414370446,0.0013108078824588115,-0.005293910787584818,0.003777399850379501,0.03551954576070871,0.031868732149451726,0.16983384908413007,0.02807926191545508,0.02300173722190135,0.029731159071234955,0.15114316832373306,0.09102646004247636,0.024892874994578783,0.010370901942669535,0.1448471880376712,0.1384593934692309,0.025133433279240947,0.024093989260418953,0.05986182432215878,0.1751197553615586,0.055570753430037485,0.043394219819082536,0.07067007053431591,0.03138338719879051,0.019685659051260605,0.1146094356063975,0.11137314153768751,0.12783125694597036,0.08296663599731602,0.1259524304009702,0.053375837276686294,0.01046361304724471,0.048245327871825026,0.0012765279313442165
EBIT per Share,0.010031856490966669,0.02565332920674924,0.01244124841953714,0.08073621430404439,0.08317695719498282,0.15860871626548773,0.18602083563647367,0.005382906736235258,0.031208100547763136,0.015638517219461488,0.05206734286877659,0.040161246821767756,0.025970482347918756,0.04022097756982117,0.02197651192648434,0.16424458762062322,0.020054915604837704,-0.008111461389896187,-0.00863644850040107,0.007212107124041767,-0.011941057070421599,0.03278956529240317,0.17055183681177363,0.17580878401914607,0.11289371002406164,-0.02904682521721836,-0.036565665772052086,0.1427064219163984,0.043449203886141215,0.03676488774900681,0.016453216381887063,0.06168851875031129,0.05315987510255746,0.04705150690952376,0.181905704151646,0.16812281485504024,0.15046649311129215,0.019742064352617685,0.17975115281827939,0.020749807715956334,0.020817680493145658,0.011110156840677603,0.08215055651406383,0.01913366175428264,0.17404276615336822,0.18612283447485037,0.06241718752654547,0.022312115261479172,0.01997098875468527,0.09804445961057437,0.1298544963085203,-0.0032217936906582963,-0.005775365683614395,0.004300389044165016,0.03957518179038062,0.03131454310078374,0.1690916257516771,0.02210375498987468,0.02906467961908788,0.028906350022228647,0.15204939486146218,0.07902598576505904,0.024375552328792214,0.01312175969242435,0.15240652488342665,0.13659225046959952,0.022590872042035862,0.02539441901745417,0.05886739498313007,0.16170575258750214,0.05413816241552315,0.04699736595692957,0.058068595508470405,0.016180606661518934,0.03677550653445339,0.12192056746171835,0.11708887449004894,0.1080959247277283,0.07850573850933452,0.13787417832665794,0.05155258160961725,0.010727842286522234,0.04767466991864085,-0.0002907572275074634
Earnings per Share (Diluted),0.029658858875157724,0.07821696021503668,0.011324345191070818,0.03306062305993503,0.034015238592384145,0.14683413232353887,0.1814935284777877,0.006650836480059312,0.025925459514577157,0.04607333182233348,0.03730006705199038,0.0973937462524876,0.0124543711702218,-0.0013098132283241356,-0.01090988287465322,0.1443709428872693,0.032436152067032306,0.007970187455573742,0.009317642885663661,0.00804473785560113,0.0024832462702768163,0.08063380170003162,0.16592802911083745,0.17841808053790403,0.16330407832034435,0.042335929498589296,0.01430916045782588,0.1775613054395666,0.12374095022505793,0.12263887458475693,0.13542970975242516,0.060115298750917284,0.05571474458860452,0.04286025245336069,0.14939801605678693,0.1430399322105855,0.1491564184004119,0.042461054773549604,0.15132124262666283,0.007317736031224522,0.04031270952690412,0.027433230568029626,0.07312849559007117,0.02717924928164357,0.17800993829922965,0.17898033363633012,0.101521244792389,0.0998570094833961,0.1087252407391105,0.1047933808854041,0.1163715549906405,0.005203779814270283,0.017777421425947494,0.020373839312569017,0.07673929352258965,0.03634250950960693,0.1482850214474297,0.08072054279833876,0.06685670745925819,0.07283697338225995,0.18335948784838416,0.08841583387519521,0.010419326775167739,0.0002631815835259172,0.11060608330396028,0.17060995286735708,0.04245809075883027,0.03597431280952484,0.10408439371839227,0.15082896088722586,0.04766365027825203,0.0119081039100606,0.13917760166235624,0.03988201545117962,0.07107937753004052,0.03627863194535471,0.05201624882740009,0.1512147002359973,0.08692686057940527,0.2517714407623428,0.12986350759759097,0.043280849724549986,0.1078887331459321,0.03139441000287256
EPS without NRI,-0.00043559086440972915,0.007228414428945879,0.005115742629525581,-0.02162744039989201,0.018029964739325447,0.13545280152905173,0.1286499194053483,-0.04907531356478595,-0.008847135222263075,0.009551627908688189,0.011162050586905444,0.01114059208539949,-0.014524164644589846,0.02014472053611322,-0.004021760877860505,0.1639231097256852,0.03232176091679594,-0.028778631770275676,0.004209847621715525,0.0319159195093563,-0.018157848402713433,0.06962545551794906,0.15747021630529798,0.16206848300153573,0.07869501355621622,0.0009641311814118673,-0.05879424954033159,0.08828584497041224,0.09292007278502314,0.09444924035847367,0.09647937193908958,0.06274005413446376,0.01485136758045861,0.04696526096876322,0.13868677562681406,0.08466936269321108,0.060810615941871614,-0.008983441936282473,0.0892926168106576,-0.017696451108163792,-0.009281242890031849,-0.027586562043656525,0.02005006657086261,0.0053190753127314964,0.14784131237804454,0.1795294316625705,0.10968207032977181,0.07605415690040446,0.10535840902362328,0.10632238500525974,0.11582088034585829,-0.0252669620543742,-0.0410922556210241,0.007550920042752905,0.031181646116121165,0.024024714096767274,0.06688525026831713,0.015353013492346163,0.0015865170014447436,0.046061614117761,0.11684277925636168,0.032954145151973493,-0.017929476090832234,-0.06170261730910606,0.11679237972137105,0.14132655686198192,-0.017359604602503055,0.029553718198188715,0.08715831633642439,0.10839040625132848,0.04051914870580302,-0.01129846607766947,0.09108230220679589,0.03628258071568042,-0.016977133694157643,0.030193009276400264,0.028286337275367078,0.11501043807091783,-0.035384475565261156,0.09573671995223793,-0.01669308769706064,-0.021368226226232766,0.10472662680554369,-0.009128978827536029
Owner Earnings per Share (TTM),0.18319427316502104,0.19441209183916014,0.13336870539086815,0.16726315306388512,0.16863320102824686,0.04100008021818739,0.0644987875912601,0.03137126510642275,0.09577930118149622,0.03124700588885382,0.08818691470002607,0.16195906109162078,0.07378999415358208,0.04387042673087169,0.07921132433042051,0.20339361543636206,0.07427000558236643,0.028516803496260974,0.05540526915368398,0.06276024744877244,0.04353425076166369,0.07474762943069684,0.0817442221314069,0.07388535320773935,0.07770871426192244,0.033640306325779294,0.03675162575158871,0.0667643065436084,0.06422312711606255,0.061908472521145515,0.046607403216146454,0.08901199296524533,0.10565232254670896,0.09427681794892889,0.09486707401388157,0.10398901859886452,0.11538842936761938,0.0811630127783438,0.09422575265537979,0.08445881373384521,0.06006137766603456,0.06373201636713223,0.07790003952650365,0.06327759996588483,0.07989759498329803,0.07962998168061106,0.09554971732438307,0.05066536162160229,0.05746829749722161,0.14448165926895729,0.16133993958787501,0.029948203748969185,0.041377866920581166,0.039275014561704534,0.07976917504033525,0.07178210447672223,0.2194758092320661,0.07405193706057334,0.06007890025334577,0.059222658832726816,0.10940992413741782,0.17568538483318447,0.06947799714770146,0.07762879646983198,0.17219053514546723,0.09981973347131307,0.05806850985321509,0.05875597354226054,0.0939041380379847,0.2214667531120479,0.10732561948163523,0.10869000335594055,0.15372918662528173,0.04395519142929102,0.11315285663417753,0.11793002416321732,0.10594748064387677,0.006396880383701995,0.24708877340634722,0.11285960862290863,0.09649288763163245,0.061039454070030405,0.09868162848029793,0.06969152354060087
Free Cash Flow per Share,0.045374766644716305,0.0657961781827696,0.15258827241839026,0.13750116166011836,0.11593721559433887,-0.003036659054177146,0.023175796097783214,-0.017967586455575904,0.039387516915313975,0.0025294267423966463,0.08006768497848755,0.130476223248878,0.014392108316538314,0.03630263904902095,0.0270793328718697,0.25770338229496204,0.023782922741873137,0.0005589275413359594,-0.006916304862109926,0.020584991951440743,-0.005653248419151514,0.03299539469062305,0.034027705504540234,0.039937558017057256,0.023018362031273158,-0.0011475120818212692,-0.026044722742993794,0.16868810922473626,0.022282485876493403,0.020462240814862823,0.022093630443689085,0.08584484430198794,0.06812761974789476,0.0628370619548739,0.16350649473327203,0.16971198887498465,0.17621190841604453,0.04269084611878451,0.17552782751057214,0.03821089219727694,0.02120789776999269,0.027402771948056848,0.07192231911007281,0.01184504559912717,0.17230288929465112,0.1758935057813392,0.039837312554087824,0.007991558553195518,0.011061113852849382,0.13599796215274107,0.12674299016005255,-0.012694529150019292,0.0009935934892424296,-0.006262329745943237,0.1051925452087302,0.036517151671384133,0.14438737436118892,0.03496000624510967,0.02949384017038895,0.031467818787527434,0.05210726996466994,0.06578358900480356,0.0279750408523481,0.01831017538209326,0.12932329760351433,0.12892907775148094,0.03507896826646187,0.028828475660339286,0.04696378239819571,0.16922715148052184,0.07414349165079451,0.0573482863503189,0.06409846706370402,-0.039885998401175835,-0.03360625354503547,0.15942421919605937,0.15275993750026653,-0.02557831827788596,0.10548364307919861,0.06721102871472821,0.001045742871391163,0.01040758683781393,0.049962521678178225,0.019773130450708446
Operating Cash Flow per Share,0.045607706571555044,0.054200978457569146,0.08556514124969362,0.08915422587393436,0.06565407522698426,0.1509667738165336,0.2114928421425454,-0.02109416890274137,0.055633446771858164,0.013695892817533355,0.09179868490126736,0.1107456705608079,0.023035738998256172,0.012971614475779745,0.027540385149972115,0.17890745613226425,0.039336041447052945,0.009426848340483483,0.008325062053635996,0.033323714306668986,-0.0031302333933854844,0.04874125844334735,0.17814228347519623,0.17968682270874375,0.17882544053373112,0.005488544905177771,-0.004726710348589872,0.20211368556119508,0.03978368482344698,0.038133044448494864,0.0245470024950335,0.04286765740272384,0.04619378895292582,0.040270995870633104,0.1925155584950598,0.1902474972206657,0.19078211507045204,0.02490447927441531,0.18645082954733502,0.03723787094512509,0.014913277899173176,0.01738030482538406,0.08395071484266181,0.028728034890946306,0.18700487833509588,0.1863339191304832,0.05653954992755784,0.0007886954353744382,0.012135904988134431,0.08522186014321757,0.12289858047193451,-0.019682834732505525,-0.011294488518389793,0.0034448332447100096,0.050858421929794416,0.012207347101419058,0.16999782922372023,0.040199242934031446,0.02652540230534044,0.037114328275113864,0.18356788623778728,0.14088925989509818,0.025978848282665612,0.022920579756638332,0.13011653721340294,0.1393405124792633,0.029338878148014953,0.017543984048180968,0.040732380637996723,0.1977561051253203,0.055882429354157444,0.05603945150943368,0.0821570406729283,0.08326953607554921,0.02651652371340679,0.08405951278061749,0.14441828196760415,0.10018600183506791,0.09920242500293075,0.18306399782791918,0.09079655859864466,0.007035403482757984,0.04685381693956989,0.020911394175691513
Cash per Share,0.015958884878070706,0.01954859509596267,0.03982568768820559,0.09778243978358643,0.13917108735161138,0.11320504434729832,0.14054738193102156,-0.04610047658388297,-0.009195189046186637,-0.02105526268272203,0.009932991939792008,0.013498218839511666,-0.02496689816488037,-0.03815534532011536,-0.044982549312309474,0.12751732637623475,0.004398751827026261,-0.026060823233976342,-0.028467949821874415,-0.018599843745111883,-0.04652309639283676,0.030666770376854273,0.11020327161541216,0.11748846255226453,0.067707047538588,-0.03304177999807999,-0.05925746387451428,0.08356984167245222,-0.01378716892869446,-0.02243105668798995,-0.009771402006876085,0.05625184759213184,0.015203681671828059,0.018762150432232512,0.10872203303941218,0.0721458931855875,0.08039031114214176,-0.0062027371614513035,0.08636276348815804,-0.045389239861808116,-0.016436372172031227,-0.018929560304000517,0.05727621901092544,-0.005718280219339357,0.10111817268889194,0.12565580653360647,0.06516136506214504,0.022126089508011666,0.04080799270534939,0.03480020817557919,0.13183727380819107,-0.03892325182187197,0.024597713541805726,-0.015553598935742326,0.05944662408664915,-0.015078799641593827,0.1373854055110832,0.023829082861951883,0.015201259808199575,0.0238237413880149,0.1132518888916378,0.05755126248158761,-0.0261372585962902,-0.03673270561865801,0.11634736701872697,0.11483272048986543,0.0044228487823679856,0.011394816206237949,0.08860000212682995,0.09419610091290233,0.020826853263691634,0.010796095969568816,0.025296121390318997,0.037332136837596966,0.045242570074289154,0.11282188691564692,0.11186116949658545,0.1906759135117204,0.1253871122061123,0.10723021292016656,-0.030583064587728144,-0.027046072940478214,0.0779143698212182,-0.02412854634165633
