,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Pension and Other Employee Benefits Costs,Stock-Based Compensation,General and Administrative Expenses,Insurance and Claims,Selling and Marketing Expenses,Operation and Maintenance Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Provisions,Provision for Doubtful Accounts,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Unrealized Gain/Loss on Derivatives,Irregular Income/Expense,Fixed Asset Disposals,Other Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,129.01,389.95,389.95,-260.95,,-260.95,-1392.78,-740.48,-487.67,-308.73,-161.18,-17.77,-173.16,-11.19,-68.45,-4.09,-487.39,-159.01,-159.01,-140.63,-18.38,-1.82,-1.82,-1263.77,-598.0,-306.44,-305.95,-312.62,6.66,-0.48,0.0,-0.48,-274.17,0.9,-275.07,-275.07,-17.49,-17.49,,,,0.09,-1861.77,-1861.77,-1861.77,-1861.77,,,389.95,-1392.78,-1263.77,-299.333333,-299.333333,-299.333333,-299.333333,8.25,8.25,-299.3333,-299.333333,6.22,6.22
2019,36.26,210.87,210.87,-174.61,,-174.61,-2840.16,-1672.28,-1075.76,-704.44,-232.77,-138.56,-287.38,-10.88,-298.26,-8.47,-785.49,-356.23,-356.23,-317.73,-38.5,-17.69,-17.69,-2803.9,-1744.79,-76.73,-76.07,-134.81,58.73,-0.66,0.0,-0.66,-1630.75,0.1,-1630.85,-1630.85,-37.52,0.0,,-37.51,0.0,0.21,-4548.7,-4548.7,-4548.7,-4548.7,,,210.87,-2840.16,-2803.91,-586.666667,-586.666667,-586.666667,-586.666667,7.75,7.75,-586.6667,-586.666667,7.75,7.75
2020,-213.7,250.43,250.43,-464.13,-464.13,,-3357.79,-1678.2,-1254.93,-678.71,-403.21,-173.0,-152.43,-9.17,-261.67,-11.65,-1248.74,-419.2,-419.2,-361.48,-57.72,,,-3571.48,0.78,4.08,4.62,-9.4,14.02,-0.54,0.0,-0.54,-4.41,-4.41,,,-6.04,,,-6.04,0.0,7.16,-3570.7,-3570.7,-3570.7,-3570.7,,,250.43,-3357.79,-3571.48,-432.0,-432.0,-432.0,-432.0,8.27,8.27,-432.0,-432.0,8.27,8.27
2021,-126.81,230.49,230.49,-357.3,-357.3,,-3879.12,-1683.12,-1120.23,-596.52,-336.64,-187.07,-176.67,-11.83,-374.39,-19.72,-1718.55,-457.73,-457.73,-393.16,-64.57,,,-4005.93,-5330.01,-82.86,-82.86,-104.68,21.82,0.0,0.0,0.0,-5206.65,1.09,-5207.74,-5207.74,-47.87,-17.87,-30.0,,,7.36,-9335.94,-9335.94,-9335.94,-9335.94,,,230.49,-3879.12,-4005.93,-1116.0,-1116.0,-1116.0,-1116.0,8.37,8.37,-1116.0,-1116.0,8.37,8.37
TTM,-126.81,230.49,230.49,-357.3,-357.3,,-3879.12,-1683.12,-1120.23,-596.52,-336.64,-187.07,-176.67,-11.83,-374.39,-19.72,-1718.55,-457.73,-457.73,-393.16,-64.57,,,-4005.93,-5330.01,-82.86,-82.86,-104.68,21.82,0.0,0.0,0.0,-5206.65,1.09,-5207.74,-5207.74,-47.87,-17.87,-30.0,,,7.36,-9335.94,-9335.94,-9335.94,-9335.94,,,230.49,-3879.12,-4005.93,-1116.0,-1116.0,-1116.0,-1116.0,8.37,8.37,-1116.0,-1116.0,8.37,8.37
