,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,"Staff Cost, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Pension and Other Employee Benefits Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Net Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Shareof Profit and Interest from Joint Venture,Gain/Loss on Foreign Currency Exchange,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Derivatives,Irregular Income/Expense,Write Off/Write Down of Other Assets,Impairment/Write Off/Write Down of Capital Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,Reported Total Operating Profit/Loss,"Total Revenue as Reported, Supplemental","Employee Costs and Professional Fees, Supplemental Section","Auditor Fees, Supplemental","Operating Income/Expense, Supplemental Section","Rent Expense, Supplemental","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental","Non-Operating Income/Expense, Supplemental Section","Irregular Items, Supplemental","Impairment/Write Off/Write Down of Capital Assets, Supplemental","Fixed Asset Disposals, Supplemental","WriteOff/Write Down of Other Assets, Supplemental",Discontinued Operations,Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,6.42,9.02,9.02,-2.61,,-2.61,26.38,-1.76,,,,,-1.76,28.14,28.14,,32.8,-0.11,,,,-0.11,,,-0.11,,,,,,0.0,32.69,-1.48,,,31.21,31.21,31.21,31.21,31.21,,,,,,,,,,,,,,,,,,,,0.1582,0.1582,,0.157977,0.157977,,197.34,197.59,0.0,0.0,0.1582,0.1582,197.34,197.34
2018,-1.79,1.91,1.91,-3.7,,-3.7,-28.09,-1.43,,,,,-1.43,-26.65,-26.65,,-29.88,0.57,,,,0.57,-0.07,-0.07,0.63,,,0.0,0.0,,0.0,-29.31,-0.36,,,-29.67,-29.67,-29.67,-29.67,-29.67,,,-29.25,,,,,-0.18,-0.09,-0.09,-0.08,0.0,,0.0,0.0,0.0,0.0,,,-0.1511,-0.1511,,-0.1511,-0.1511,,196.45,196.59,0.0,0.0,-0.1511,-0.1511,196.45,196.45
2019,3.91,5.68,5.68,-1.76,,-1.76,2.13,-2.64,-1.5,-0.19,-1.2,-0.11,-1.13,4.77,4.77,,6.04,0.8,-0.01,-0.01,-0.01,0.81,0.6,0.6,0.21,,,,,,0.0,6.84,-0.72,,,6.12,6.12,6.12,6.12,6.12,,,6.25,,,-0.13,,0.0,-0.27,-0.27,-0.27,0.0,,0.0,0.0,,,,,0.0312,0.0312,,0.031167,0.031167,,196.45,196.45,,,0.0312,0.0312,196.45,196.45
2020,5.93,7.07,7.07,-1.14,,-1.14,-1.48,-3.17,-1.63,-0.13,-1.47,-0.03,-1.54,1.69,1.69,,4.45,-0.46,0.0,0.0,0.0,-0.46,-0.57,-0.57,0.12,,,,,,0.0,3.99,-0.04,,,3.94,3.94,3.94,3.94,3.94,,,4.56,,,-0.13,,,,,,,,,,,,,,0.0201,0.0201,,0.020074,0.020074,,196.45,196.45,,,0.0201,0.0201,196.45,196.45
2021,16.93,53.56,53.56,-36.63,-34.73,-1.91,11.65,-2.86,-1.4,-0.17,-1.19,-0.04,-1.45,14.5,29.63,-15.13,28.58,0.36,-0.01,-0.01,-0.01,0.37,0.01,0.01,0.36,,,0.0,0.0,,0.0,28.93,0.2,-0.99,1.2,29.14,29.14,29.14,29.14,29.14,,,28.94,,,-0.14,,,,,,,,,,,,,,0.1483,0.1483,,0.1483,0.1483,,196.45,196.45,,,0.1483,0.1483,196.45,196.45
