,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash Equivalents,Cash,Short Term Investments,Other Short Term Investments,"Trading/ Listed Investments, Current","Derivative Investment and Hedging Assets, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Taxes Receivable, Current","Other Receivables, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Construction in Progress,Accumulated Impairment of PPE,Total Long Term Investments,Long Term Equity Investments,Investments in Subsidiaries,"Investment in Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Other Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt","Notes Payable, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Derivative and Hedging Liabilities, Current","Other Financial Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Tax Liabilities, Current","Provision for Tax Liabilities, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,"Capital Lease Obligations, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations - Interests Charges and Other Adjustments
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,57.58,28.73,6.93,6.93,0.55,6.38,,,,0.0,11.79,7.47,3.7,0.62,8.23,6.43,1.54,0.26,0.0,1.77,28.85,21.48,70.17,18.95,5.05,13.9,,50.85,44.85,3.51,2.48,0.37,,-48.69,-45.57,-5.53,-0.1,-5.42,-40.04,-36.15,-2.38,-1.51,0.0,-3.12,7.37,0.0,0.0,7.37,7.37,7.37,,10.8,8.92,8.04,6.22,3.28,,2.87,0.08,1.81,0.89,0.6,,,,0.6,0.07,0.53,0.53,0.29,,,,,,1.88,0.25,0.25,0.25,1.47,1.47,1.47,0.16,0.16,46.78,46.78,52.8,52.8,52.8,,,-6.02,,,,,,,,,,,,,,,,,
2019,55.54,34.96,13.33,6.52,1.15,5.37,6.81,,6.81,,16.49,9.47,4.26,2.76,4.04,3.6,0.38,0.06,0.0,1.11,20.58,20.58,71.08,18.96,5.05,13.91,,51.34,45.33,3.53,2.48,0.78,,-50.49,-47.38,-5.81,-0.11,-5.7,-41.58,-37.34,-2.56,-1.68,0.0,-3.11,0.0,0.0,0.0,0.0,0.0,0.0,,12.72,10.1,5.24,3.48,2.72,0.0,0.76,0.0,1.76,1.88,1.47,,,,1.47,0.07,1.4,1.4,0.41,,2.99,2.99,,,2.62,0.18,0.18,0.18,2.44,2.44,2.44,0.0,0.0,42.82,42.82,52.8,52.8,52.8,,,-9.98,,,0.25,0.07,0.07,0.11,,0.25,0.07,0.07,0.11,,0.25,0.07,0.07,0.11,
2020,54.05,34.64,15.03,8.27,5.82,2.46,6.76,,6.76,,16.01,9.49,5.03,1.48,2.67,2.5,0.1,0.07,,0.93,19.41,19.41,71.97,19.07,5.05,14.02,,52.02,45.98,3.55,2.48,0.41,0.47,-52.56,-49.24,-6.09,-0.11,-5.98,-43.15,-38.57,-2.74,-1.85,0.0,-3.32,0.0,0.0,0.0,,,,,13.72,10.45,4.86,3.02,1.73,,1.29,,1.84,2.26,1.58,1.25,1.25,,0.32,0.32,,,0.68,,3.33,3.33,0.0,0.0,3.27,0.35,0.35,0.35,2.63,2.63,2.63,0.29,0.29,40.33,40.33,52.8,52.8,52.8,,-12.47,,,,0.67,0.24,0.36,0.08,,0.67,0.24,0.36,0.08,,0.67,0.24,0.36,0.08,
2021,57.41,37.33,18.06,11.98,6.22,5.76,6.07,6.07,,0.19,13.66,7.05,3.83,2.78,3.22,2.96,0.25,0.01,,2.2,20.07,20.07,72.94,19.26,5.05,14.02,0.19,52.27,46.35,3.56,2.36,1.41,,-52.87,-49.65,-6.38,-0.12,-6.26,-43.28,-38.83,-2.92,-1.53,,-3.22,0.0,0.0,0.0,,,,,13.62,9.84,4.95,3.14,2.01,,1.13,,1.81,1.3,1.3,0.97,0.97,,0.33,0.33,,,0.0,,3.59,3.59,0.0,0.0,3.78,0.36,0.36,0.36,2.83,2.83,2.83,0.59,0.59,43.79,43.79,52.8,52.8,52.8,,-9.01,,,,0.69,0.33,0.14,0.21,,0.69,0.33,0.14,0.21,,0.69,0.33,0.14,0.21,
2022,54.05,32.79,12.26,6.62,6.62,,5.64,5.64,,0.0,14.73,8.99,3.35,2.39,3.89,3.34,0.48,0.07,,1.91,21.27,21.2,72.27,19.4,5.05,14.02,0.33,51.22,45.16,3.55,2.51,1.65,,-51.07,-48.09,-6.66,-0.12,-6.54,-41.43,-37.04,-3.03,-1.35,0.0,-2.98,0.0,0.0,0.0,,,,0.07,14.87,11.23,4.59,2.88,1.55,0.0,1.32,,1.71,3.76,3.25,2.87,2.87,,0.39,0.39,,,0.5,,2.88,2.88,,,3.64,0.63,0.63,0.63,3.01,3.01,3.01,0.0,0.0,39.18,39.18,52.8,52.8,52.8,,-13.61,,,,1.02,0.4,0.14,0.5,-0.02,1.02,0.4,0.14,0.5,-0.02,1.02,0.4,0.14,0.5,-0.02
