,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Pension and Employee Benefit Expense, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Reorganization and M&A, Non-Cash Adjustment",Other Non-Cash Items,"Other Provisions, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment",Changes in Operating Capital,"Change in Deferred Acquisition Amortization Costs, Net",Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Tax Receivables,Change in Other Assets,"Change in Reserves for Benefits, Claims and Losses Expense",Change in Insurance Contract Liabilities,Change in Unearned Premiums,Change in Other Liabilities,"Dividend Received, CFO Indirect","Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Change in Central Bank Funds Purchased, Securities Sold under REPOs and Securities Loaned","Issuance of/Payments for Common Stock, Net",Payments for Common Stock,Proceeds from Issuance of Common Stock,"Issuance of/Payments for Preferred Stock, Net",Proceeds from Issuance of Preferred Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Preferred Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Interest Paid, Supplemental","Interest Received, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,781.0,781.0,735.0,942.0,94.0,115.0,115.0,34.0,81.0,13.0,32.0,-70.0,-54.0,-16.0,,,4.0,,,-301.0,-25.0,52.0,52.0,,-26.0,-86.0,-86.0,-30.0,-186.0,14.0,32.0,-1869.0,-1869.0,-98.0,-98.0,-2139.0,-2139.0,,476.0,-10582.0,11058.0,-108.0,1083.0,1083.0,,687.0,-44.0,731.0,292.0,292.0,482.0,,482.0,482.0,,,,-378.0,-378.0,-351.0,-27.0,,,163.0,-5.0,,168.0,,-5.0,-84.0,277.0
2018,833.0,833.0,1200.0,886.0,222.0,158.0,158.0,38.0,120.0,-55.0,55.0,-18.0,7.0,-25.0,,,-4.0,86.0,,92.0,-13.0,19.0,19.0,,-13.0,-5.0,-5.0,-33.0,137.0,15.0,-382.0,-285.0,-285.0,-117.0,-117.0,0.0,0.0,,-90.0,-14561.0,14471.0,-78.0,-283.0,-283.0,,-36.0,-36.0,0.0,243.0,243.0,-60.0,,-60.0,0.0,-60.0,,,-430.0,-430.0,-390.0,-40.0,,,442.0,265.0,14.0,163.0,,265.0,-105.0,347.0
2019,1290.0,1290.0,1273.0,833.0,144.0,235.0,235.0,95.0,140.0,19.0,65.0,-181.0,-150.0,-31.0,,,6.0,,,296.0,-63.0,-136.0,-136.0,,-5.0,191.0,191.0,274.0,35.0,20.0,-3.0,-842.0,-842.0,-117.0,-117.0,-731.0,-731.0,,110.0,-10322.0,10432.0,-104.0,57.0,57.0,20.0,401.0,-43.0,444.0,0.0,0.0,161.0,,161.0,266.0,-105.0,-51.0,-51.0,-474.0,-474.0,-429.0,-45.0,,,936.0,505.0,-11.0,442.0,,505.0,-117.0,384.0
2020,2352.0,2352.0,2673.0,1359.0,197.0,314.0,314.0,116.0,198.0,35.0,58.0,-203.0,-151.0,-52.0,,,-7.0,,,1117.0,-70.0,-246.0,-246.0,,-124.0,887.0,887.0,375.0,295.0,27.0,-348.0,-2442.0,-2442.0,-163.0,-163.0,0.0,0.0,,-2092.0,-13262.0,11170.0,-187.0,79.0,79.0,-20.0,-49.0,-49.0,0.0,146.0,146.0,682.0,,682.0,894.0,-212.0,-59.0,-59.0,-527.0,-527.0,-475.0,-52.0,,-94.0,917.0,-11.0,-8.0,936.0,,-11.0,-115.0,353.0
2021,3129.0,3129.0,3884.0,2568.0,-50.0,461.0,461.0,148.0,313.0,-106.0,60.0,-212.0,-125.0,-87.0,-204.0,-204.0,-49.0,,,1366.0,-16.0,-90.0,-90.0,,125.0,783.0,783.0,434.0,130.0,28.0,-783.0,-5972.0,-5972.0,-327.0,-327.0,-3867.0,-11076.0,7209.0,-1676.0,-18118.0,16442.0,-102.0,4206.0,4206.0,0.0,-64.0,-64.0,,4263.0,4263.0,825.0,439.0,386.0,1815.0,-1429.0,-97.0,-97.0,-679.0,-679.0,,,-27.0,-15.0,2276.0,1363.0,-4.0,917.0,,1363.0,-191.0,445.0
