,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,General and Administrative Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,"Other Income/Expense, Operating","Income from Grants Received, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2011,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,257.73,531.67,531.67,-273.95,-273.95,-175.71,-229.94,-60.27,-169.67,-24.9,-24.9,-24.9,-2.05,81.18,0.1,81.48,-0.4,82.01,-9.79,-9.74,-0.89,-1.58,0.69,-8.85,0.08,-8.93,-0.1,,-0.1,0.73,0.73,-0.68,70.22,-20.07,50.15,50.15,50.15,50.15,50.15,,,531.67,528.32,80.91,,,,,,,0.0,0.0,0.0,,,,
2017,260.15,547.17,547.17,-287.02,-287.02,-1732.07,-1780.64,-59.47,-1721.18,-26.8,-26.8,-26.8,-1.83,77.21,0.07,77.54,-0.4,-1471.92,-7.32,-9.89,-1.11,-1.89,0.78,-8.78,0.35,-9.13,0.01,,0.01,0.95,0.95,1.61,69.6,-21.34,48.25,48.25,48.25,48.25,48.25,,,547.17,547.73,77.31,3.001309,3.001309,3.001309,3.001309,16.08,16.08,0.0,0.0,0.0,3.0013,3.001309,,
2018,235.93,524.56,524.56,-288.63,-288.63,-173.91,-211.23,-57.97,-153.26,-22.63,-22.63,-22.63,-1.66,61.61,0.07,61.94,-0.4,62.02,-9.72,-10.36,-2.27,-2.73,0.46,-8.09,0.13,-8.22,-0.4,,-0.4,0.16,0.16,0.87,52.3,-15.79,36.51,36.51,36.51,36.51,36.51,,,524.56,-523.18,62.24,,,,,,,,,,2.2711,2.271107,,
2019,218.8,500.45,500.45,-281.65,-281.65,-156.07,-170.24,-58.63,-111.6,-22.36,-22.36,-22.36,-1.85,38.38,0.07,38.71,-0.4,62.73,-8.05,-9.41,-1.86,-2.18,0.33,-7.56,0.13,-7.69,-0.42,,-0.42,0.49,0.49,1.3,54.68,-17.19,37.5,37.5,37.5,37.5,37.5,,,500.45,-487.47,62.76,,,,,,,,,,,,,
2020,190.05,461.62,461.62,-271.57,-271.57,-148.93,-161.99,-56.58,-105.41,-29.82,-29.82,-29.82,-1.51,44.39,0.07,45.22,-0.9,41.13,-15.76,-9.0,-1.7,-2.09,0.38,-7.29,0.2,-7.49,-0.15,0.04,-0.18,0.18,0.18,-6.8,25.37,-7.88,17.49,17.49,17.49,17.49,17.49,,,461.62,-461.69,41.13,,,,,,,,,,,,,
