,"Cash Flows from/Used in Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment",Provision and Impairment for Loan Losses and Credit Risk,"Net Investment Income/Loss, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Impairment of Goodwill, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Other Provisions, Non-Cash Adjustment",Changes in Operating Capital,Change in Cash and Balances at Central Banks,Change in Deposits,Change in Loans and Advances,Change in Other Assets,Change in Other Liabilities,Change in Financial Liabilities,Change in Trade and Other Receivables,Change in Other Receivables,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Financial Assets,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Dividends Received/Paid, CFI","Purchase/Sale of Investment Properties, Net",Sale of Investment Properties,Purchase/Sale of Equity Investments,Sale of Joint Venture/Associate,"Purchase/Sale of Business, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Cash Dividends Paid,"Interest Paid, CFF",Other Financing Cash Flow,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issue and Financing Costs,Share Issuance Costs,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental",Total Net Change in Cash
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,-26682.74,-26682.74,-46106.61,2255.49,-14720.79,2318.01,2318.01,753.72,-19766.95,,-162.88,-162.88,,,,2137.31,-59.06,2196.37,,,,,-33641.3,,-18034.35,9227.33,-20123.34,-4710.01,,-0.93,-0.93,,,,-33306.17,53073.12,-343.08,,14120.27,14120.27,-2947.83,-3029.38,81.55,-535.21,-535.21,17278.94,,17278.94,162.88,161.5,161.5,,,,7366.11,7366.11,7366.11,7366.11,7366.11,,,,,,,,,,22427.59,-5196.36,,27623.95,,-5196.36,
2018,,51242.99,51242.99,19445.95,3326.42,-19451.93,2622.57,2622.57,1471.29,-26992.35,,-38.33,-38.33,,,,3485.98,-3.77,3489.74,,,-1.09,,35571.46,,56605.09,-41728.92,14456.22,6239.08,,,,,,,-25474.74,57635.0,-363.22,,-31877.76,-31877.76,-3726.99,-3757.76,30.77,-577.53,-577.53,-27611.57,-27611.57,,38.33,0.0,0.0,,,,329.98,329.98,5497.89,5497.89,31033.16,-25535.27,-5167.91,,-5167.91,,,,,,42122.8,19695.21,,22427.59,,19695.21,
2019,,108884.88,108884.88,79666.24,5199.94,-16013.2,3316.85,3316.85,1560.08,-25985.68,5365.94,-85.25,-85.25,,,,-133.84,-133.84,,,,-51.29,,90472.33,-79338.5,211714.94,-42416.2,-6761.98,7274.06,0.0,,,,,,-41389.92,70682.04,-73.48,,-83723.35,-83723.35,-5201.39,-5473.24,271.85,-596.66,-596.66,-78010.55,,,85.25,,,,,,-1310.05,-1310.05,3321.59,3321.59,14036.74,-10715.15,-4463.67,-1157.24,-3306.44,-167.96,,,,,65974.27,23851.47,,42122.8,,23851.47,
2020,,48300.15,48300.15,14357.15,4577.38,-22058.52,3136.27,3136.27,1354.31,-30850.01,5635.17,-67.32,-67.32,,,,-1266.9,-1266.9,,,,-0.03,,31838.29,-109582.26,223951.52,-76471.37,-17532.96,11473.36,0.0,,,,,,-29704.16,64552.52,-905.36,,-36258.87,-36258.87,-2568.97,-4044.63,1475.66,-708.16,-708.16,-33049.06,,,67.32,,,,,,19509.39,19509.38,24753.16,24753.16,26765.78,-2012.62,-5541.33,-1542.98,-3998.35,297.55,,,,,97524.94,31550.66,,65974.27,,31550.66,
2021,,11358.29,11358.29,-33350.04,8926.56,-31257.99,3399.32,3399.32,3450.94,-39876.74,2104.39,-168.87,-168.87,,,,-167.03,-167.03,,,,0.0,,-11018.6,-66872.46,163297.78,-60892.62,-68690.84,22139.53,,,,,,,-29696.05,74798.29,-393.91,,8403.71,8403.71,-3931.77,-4269.75,337.98,-1172.16,-1172.16,13338.77,-80929.18,94267.94,168.87,,,,,,-7560.29,-7560.29,-946.01,-946.01,3261.5,-4207.51,-6768.48,-1542.98,-5225.5,154.2,,,,,109726.64,12201.71,-162.86,97687.8,,12201.71,
