,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Changes in Inventories,"Purchased Fuel, Power and Gas","Staff Cost, Cost of Revenue","Dpreciation & Amortization, Cost of Revenue",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Telecommunication Expense,Rent Expense,Selling and Marketing Expenses,Operation and Maintenance Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,"Other Income/Expense, Operating","Income from Grants Received, Operating","Other Income, Operating","Other Expenses, Operating",Provisions,Provision for Doubtful Accounts,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Other Irregular Income/Expense,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Operating Expense,"Non-Operating Income/Expense, Supplemental Section","Irregular Items, Supplemental","Impairment/Write Off/Write Down of Capital Assets, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2008,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2009,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2010,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2011,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,0.78,3.81,3.81,-3.03,,,,,,,-0.64,-0.43,-0.28,-0.01,-0.27,-0.01,-0.01,-0.01,-0.01,-0.1,0.0,-0.04,-0.04,-0.04,,-0.16,,0.01,-0.18,0.0,0.0,0.14,-0.13,-0.24,-0.24,-0.24,0.0,,,,0.0,0.0,0.1,0.1,,,0.01,0.01,0.01,0.01,0.01,0.01,,,3.81,0.13,-0.66,,,,0.005,0.005,0.005,0.005,1.89,1.89,0.005,0.005,1.89,1.89
2014,0.93,4.14,4.14,-3.21,,,,,,,-0.63,-0.51,-0.3,-0.01,-0.29,-0.01,-0.02,-0.01,-0.01,-0.16,0.0,-0.04,-0.04,-0.04,,-0.08,,0.05,-0.13,,,0.3,-0.14,-0.25,-0.24,-0.24,0.0,-0.01,,,0.01,0.01,0.11,0.11,,,0.16,0.16,0.16,0.16,0.16,0.16,,,4.14,0.29,-0.69,,,,0.087,0.087,0.087,0.087,1.89,1.89,0.087,0.087,1.89,1.89
2015,0.84,4.14,4.14,-3.3,,,,,,,-0.67,-0.47,-0.29,-0.01,-0.28,,-0.02,-0.01,-0.01,-0.13,0.0,-0.05,-0.05,-0.05,,-0.14,,0.01,-0.15,0.0,0.0,0.18,-0.14,-0.13,-0.21,-0.21,0.0,0.08,-0.01,0.09,-0.01,-0.01,,,,,0.03,0.03,0.03,0.03,0.03,0.03,,,4.14,0.16,-0.69,,,,0.017,0.017,0.017,0.017,1.89,1.89,0.017,0.017,1.89,1.89
2016,0.8,3.53,3.53,-2.73,,,,,,,-0.58,-0.44,-0.31,-0.01,-0.3,0.0,-0.02,0.0,-0.01,-0.09,0.0,-0.03,-0.03,-0.03,,-0.11,,0.0,-0.11,0.0,0.0,0.23,-0.14,-0.12,-0.2,-0.2,0.0,0.08,-0.01,0.09,-0.01,-0.01,,,,,0.09,0.09,0.09,0.09,0.09,0.09,,,3.53,0.22,-0.59,,,,0.047,0.047,0.047,0.047,1.89,1.89,0.047,0.047,1.89,1.89
2017,0.68,3.33,3.33,-2.65,-1.27,-0.1,-0.1,-0.83,-0.27,-0.07,-0.34,-0.4,-0.21,-0.01,-0.2,-0.1,-0.02,0.0,-0.02,-0.06,0.0,-0.03,-0.03,-0.03,-0.01,0.09,0.09,0.0,,,,0.33,-0.22,-0.22,-0.21,-0.21,0.0,-0.01,-0.01,,0.0,0.0,,,,,0.12,0.12,0.12,0.12,0.12,0.12,,,3.33,0.24,,,-0.02,-0.02,0.063,0.063,0.063,0.063,1.89,1.89,0.063,0.063,1.89,1.89
TTM,0.43,2.87,2.87,-2.44,,,,,,,-0.34,-0.4,,,,,,,,,,,,,,0.09,,,,,,0.09,-0.22,-0.22,-0.21,-0.21,0.0,,,,,,,,,,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,,,2.87,0.0,,,-0.02,-0.02,-0.065,-0.065,-0.065,-0.065,1.9,1.9,-0.065,-0.065,1.9,1.9
