,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,"Other Income/Expense, Operating","Income from Grants Received, Operating","Other Income, Operating","Other Expenses, Operating",Provisions,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,Dividend and Investment Income,Gain/Loss on Investments and Other Financial Instruments,Gain/Loss on Foreign Currency Exchange,Realized Gain/Loss on Foreign Currency Exchange,Unrealized Gain/Loss on Foreign Currency Exchange,Fair Value or Unrealized Gain/Loss on Financial Assets,Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Litigation Income/Expense,Disposal of Businesses,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Other Net of Taxes Adjustments,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Operating Expense,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,5.32,15.2,15.19,0.01,-9.88,-9.88,,-3.05,-1.98,-1.98,,-1.06,,0.13,-1.18,-0.01,-0.01,2.27,-0.12,0.1,0.1,,0.1,0.0,0.0,0.0,-0.03,,,-0.03,0.0,-0.03,,-0.19,0.0,-0.19,0.0,,,2.15,-0.43,-0.5,0.07,1.72,,1.72,1.72,1.72,1.72,,,15.2,2.08,,,,,,0.27,0.27,0.27,0.27,6.4,6.4,0.0,0.0,0.27,0.27,6.4,6.4
2018,5.15,17.4,17.4,0.01,-12.26,-12.26,,-3.58,-3.56,-2.3,-1.25,0.0,0.0,0.01,-0.01,-0.02,-0.02,1.57,0.11,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.01,-0.01,0.02,0.0,0.0,0.0,0.01,-0.01,,,1.68,-0.33,-0.35,0.02,1.35,0.0,1.35,1.35,1.35,1.35,,,17.4,1.57,,,-0.43,-0.43,-0.43,0.21,0.21,0.21,0.21,6.4,6.4,0.0,0.0,0.21,0.21,6.4,6.4
2019,6.56,21.11,21.1,0.01,-14.56,-14.56,,-3.92,-3.9,-2.55,-1.34,0.0,0.0,0.01,-0.01,-0.02,-0.02,2.64,0.07,0.11,0.11,0.0,0.11,0.0,0.0,0.0,-0.02,,0.0,-0.02,-0.01,-0.01,,-0.02,0.0,-0.02,0.0,,,2.7,-0.56,-0.62,0.06,2.14,,2.14,2.14,2.14,2.14,,,21.11,2.61,,,,,,0.33,0.33,0.33,0.33,6.4,6.4,0.0,0.0,0.33,0.33,6.4,6.4
2020,7.22,24.2,24.19,0.01,-16.98,-16.98,,-4.87,-4.85,-2.9,-1.95,-0.02,0.0,0.01,-0.04,,,2.35,0.03,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.03,-0.01,0.04,,-0.05,0.0,-0.05,,,,2.38,-0.52,-0.65,0.14,1.86,0.0,1.86,1.86,1.86,1.86,,,24.2,2.3,,,,,,0.29,0.29,0.29,0.29,6.4,6.4,0.0,0.0,0.29,0.29,6.4,6.4
2021,12.97,33.46,33.46,0.0,-20.49,-20.49,,-6.17,-6.16,-3.35,-2.8,-0.01,0.0,0.03,-0.04,,,6.8,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,-0.03,-0.03,0.0,,-0.05,0.04,-0.09,,,,6.73,-1.45,-1.65,0.2,5.28,0.0,5.28,5.28,5.28,5.28,,,33.46,6.76,,,,,,0.83,0.83,0.83,0.83,6.4,6.4,0.0,0.0,0.83,0.83,6.4,6.4
