,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Inventory Allowance/Adjustments,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Loans Receivable, Current","Taxes Receivable, Current","Accrued Interest Receivable, Current","Other Receivables, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,Accumulated Depreciation of Construction in Progress,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Licenses and Rights,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Other Intangible Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Joint Ventures,"Trade and Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Loans Receivable, Non-Current",Other Non-Current Assets,"Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Interest Payable, Current","Taxes Payable, Current","Other Payable, Current","Dividends Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,"Provisions, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Other Deferred Liabilities, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Borrowings from Associates and Related Parties, Non-Current","Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Other Equity Interest,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 5,Operating Lease due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,190955.31,34905.87,17098.41,17098.41,1082.13,16016.28,1589.8,1976.85,-387.05,14513.51,10581.59,14331.07,-3749.48,,364.33,12.65,3554.95,1704.15,0.0,156049.43,142052.12,178728.97,67895.54,216.39,67679.15,105796.46,105796.46,5036.97,,0.01,-36676.85,-36676.85,-16751.2,0.0,-16751.2,-19925.65,-19925.65,0.0,0.0,2535.9,3354.04,3354.04,1089.71,1856.93,407.4,-818.15,-818.15,-818.15,-631.91,-163.35,-22.9,2823.78,2823.78,2823.78,8488.94,8488.94,,148.7,0.0,76125.98,9260.02,8977.37,8394.1,5384.72,758.96,1895.51,354.91,,583.28,0.02,0.02,,,0.02,,0.02,13.92,268.71,268.71,,66865.96,54366.25,54366.25,54366.25,51498.54,2867.71,,665.13,245.33,419.8,11834.58,11834.58,,,114829.33,114829.33,47933.36,47933.36,1461.44,46471.92,66582.72,313.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,195793.31,41943.09,25168.17,25168.17,60.19,25107.98,1177.02,1761.05,-584.03,14919.96,10611.88,15417.6,-4805.72,,637.59,20.48,3650.01,677.94,,153850.22,139934.03,185934.06,73328.13,199.54,73128.59,108319.46,108319.46,4286.46,,0.01,-46000.03,-46000.03,-20799.64,0.0,-20799.64,-25200.39,-25200.39,0.0,-0.01,2343.57,3447.44,3447.44,1165.35,1868.47,413.62,-1103.88,-1103.88,-1103.88,-730.87,-320.4,-52.61,6758.62,6758.62,6758.62,4691.11,4691.11,,122.9,,78312.43,10374.2,10057.59,9459.51,5034.16,786.86,3050.21,538.26,50.02,598.09,0.03,0.03,,,0.03,,0.03,65.28,251.3,251.3,,67938.23,54498.54,54498.54,54498.54,54498.54,0.0,,538.29,209.75,328.53,12901.4,12901.4,,,117480.89,117480.89,47933.36,47933.36,1461.44,46471.92,69191.75,355.78,54498.58,5374.06,5423.19,62796.83,4343.4,-23438.9,,,,,,,2433.24,233.55,,732.12,1467.58,,56931.82,5607.61,5423.19,63528.94,5810.97,-23438.9,,,,2433.24,233.55,732.12,1467.58
2019,183466.32,30666.51,14038.76,14038.76,,,1421.38,1991.77,-570.39,14588.74,14588.74,,,,,,,617.63,,152799.82,136454.51,190872.14,74703.5,185.54,74517.96,111888.2,111888.2,3749.58,530.86,,-54417.63,-54417.63,-23815.62,0.0,-23815.62,-30602.01,-30602.01,0.0,,2092.42,3496.96,3496.96,1187.35,1895.99,413.62,-1404.54,-1404.54,-1404.54,-849.49,-471.16,-83.88,11628.17,11628.17,11628.17,2511.3,2011.3,500.0,113.42,,77549.93,7970.33,7539.96,7539.96,7495.72,,44.24,,,,0.0,0.0,,,0.0,,0.0,412.91,17.45,17.45,,69579.61,55382.35,55382.35,54998.54,,,383.8,333.75,260.28,73.47,13647.11,13647.11,216.4,216.4,105916.39,105916.39,47933.36,47933.36,1461.44,46471.92,57879.51,103.52,54998.54,4625.11,4643.25,57313.96,3886.52,-15470.3,548.14,174.23,240.39,67.56,1022.15,-956.18,548.14,174.23,240.39,67.56,1022.15,-956.18,55546.69,4799.34,4883.64,57381.52,4908.66,-16426.48,,,,,,,
2020,196563.97,45696.26,21850.27,21850.27,3158.59,18691.68,1514.5,1514.5,,21277.7,8683.68,13607.45,-4923.77,159.3,588.27,87.55,11758.9,1053.78,,150867.71,130536.91,194309.22,76384.29,191.97,76192.32,114055.95,114055.95,3420.51,448.48,,-63772.31,-63772.31,-27027.98,,-27027.98,-36744.33,-36744.33,,,1826.45,2652.35,2652.35,558.79,1729.05,364.52,-825.9,-825.9,-825.9,-334.43,-426.98,-64.5,15845.06,15845.06,15845.06,2281.8,1621.8,660.0,377.49,,89330.9,16936.33,16404.95,15789.11,2983.79,544.96,2063.52,10196.84,,615.84,177.23,177.23,0.01,0.01,177.22,177.22,,225.78,128.37,17.45,110.92,72394.57,57318.74,57318.74,57027.14,57027.14,,291.61,409.33,288.24,121.1,14467.55,14467.55,198.95,198.95,107233.07,107233.07,47933.36,47933.36,1461.44,46471.92,58496.58,803.13,57572.11,3595.56,43231.15,15270.53,3520.82,-8045.94,468.83,185.11,130.55,89.18,1097.66,-1033.66,468.83,185.11,130.55,89.18,1097.66,-1033.66,73996.0,18161.13,44936.3,15359.71,4618.48,-9079.61,15955.07,14380.46,1574.61,,,,
2021,186227.98,40103.88,25552.13,25552.13,6000.2,19551.94,1261.33,1261.33,,11918.8,8709.58,13494.63,-4785.06,640.31,580.29,48.8,1939.83,1371.62,,146124.1,121978.87,193369.21,76255.72,191.97,76063.75,113521.71,113521.71,3282.26,309.52,,-71390.34,-71390.34,-29463.91,0.0,-29463.91,-41926.43,-41926.43,0.0,,1676.86,2714.39,2714.39,625.03,1724.83,364.52,-1037.52,-1037.52,-1037.52,-403.41,-541.45,-92.66,20697.43,20697.43,20697.43,1653.52,1453.4,200.12,117.42,,97431.98,64290.6,10105.84,9370.4,3235.66,869.88,2142.76,3122.1,,735.44,53530.34,53530.34,53427.23,53427.23,103.12,103.12,,542.45,111.97,17.45,94.52,33141.38,21719.03,21719.03,21492.76,21492.76,,226.27,303.56,242.08,61.48,10928.57,10928.57,190.22,190.22,88795.99,88795.99,47933.36,47933.36,1461.44,46471.92,40300.39,562.24,75789.87,60013.64,13272.49,7324.9,4729.87,-9551.03,329.39,104.26,26.85,84.43,1034.32,-920.46,329.39,104.26,26.85,84.43,1034.32,-920.46,76119.26,60117.9,13299.33,7409.33,5764.19,-10471.49,,,,,,,
