,"Cash Flows from/Used in Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment",Provision and Impairment for Loan Losses and Credit Risk,"Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss on Derivatives, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Impairment of Goodwill, Non-Cash Adjustment",Other Non-Cash Items,"Other Provisions, Non-Cash Adjustment",Changes in Operating Capital,Change in Cash and Balances at Central Banks,Change in Deposits,Change in Loans and Advances,Change in Financial Assets,Change in Financial Liabilities,Change in Other Assets,Change in Other Liabilities,Change in Deferred Assets/Liabilities,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Dividends Received/Paid, CFI","Interest Received/Paid, CFI","Purchase/Sale of Investment Properties, Net",Sale of Investment Properties,Purchase of Investment Properties,"Purchase/Sale of Other Non-Current Assets, Net",Sales of Other Non-Current Assets,Purchase/Sale of Equity Investments,Sale of Joint Venture/Associate,Purchase of Joint Venture/Associate,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Preferred Stock, Net",Proceeds from Issuance of Preferred Stock,Payments for Preferred Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Other Financing Cash Flow,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,-314.99,-314.99,-529.3,155.65,-239.52,25.24,25.24,-271.34,1.75,1.0,4.15,-0.22,0.0,0.56,3.57,0.25,,-0.25,-0.25,,,-0.07,-445.43,-508.17,1114.01,-1037.62,-32.27,21.3,-4.09,1.41,0.0,-20.93,261.02,-25.79,476.79,476.79,-23.19,-23.47,0.27,,,,459.32,-347.89,807.21,0.22,38.59,1.86,1.86,,,,,,,-127.44,-127.44,-2.64,,,,,,,,,-124.79,-124.79,,,,184.07,34.36,-1.01,150.72,,33.35
2018,,-167.46,-167.46,-391.83,154.58,-253.77,21.15,21.15,-289.0,10.84,-0.48,4.78,-0.26,-0.01,3.86,1.19,0.0,,-1.18,-1.18,,,0.11,-292.65,110.99,880.44,-696.37,-302.29,-232.54,-50.14,-2.73,,-19.36,276.58,-32.85,173.57,173.57,-22.47,-22.71,0.23,,,,189.2,-511.18,700.37,0.26,3.3,3.28,3.28,,,,,,,-64.99,-64.99,2.45,,,-100.0,-100.0,,,,,-67.42,-67.42,99.99,,,125.7,-58.88,0.51,184.07,,-58.37
2019,,340.58,340.58,107.46,171.05,-269.0,30.51,30.51,-293.14,-5.22,-0.45,0.32,-0.12,1.93,,1.61,-3.1,,-0.72,-0.72,,,-0.31,205.41,-116.65,931.4,-961.16,121.41,207.94,21.91,0.56,,-17.05,291.63,-41.46,-259.46,-259.46,-31.08,-31.89,0.81,,,,-289.01,-388.37,99.37,0.12,23.72,18.99,18.99,,17.8,17.8,,,,-45.89,-45.89,-2.18,,,0.0,0.0,,,,,-43.71,-43.71,0.0,,,161.4,35.23,0.46,125.7,,35.69
2020,,-193.43,-193.43,-401.47,139.98,-256.24,29.68,29.68,-291.69,13.21,1.23,-6.84,-0.01,-2.51,-0.11,-4.21,0.0,,-1.83,-1.83,,,0.0,-285.22,-437.0,377.17,-267.3,-26.04,42.68,10.24,15.03,,-22.63,264.17,-33.49,-423.76,-423.76,-36.28,-38.86,2.57,,,,-415.01,-2166.01,1751.0,0.01,27.53,0.0,0.0,,0.0,0.0,,,,599.25,599.25,4.04,5.25,-1.21,612.77,612.77,1000.22,-387.45,-11.23,-11.23,-6.33,-6.33,,,,142.19,-17.93,-1.28,161.4,,-19.21
2021,,-2147.44,-2147.44,-2386.16,210.3,-270.28,32.91,32.91,-299.81,7.74,-0.7,-14.11,-0.03,-3.26,0.5,-11.33,,,3.38,3.38,,0.31,,-2326.18,-2495.63,1186.61,-945.83,-26.82,-36.39,-1.11,-7.01,,-42.23,321.82,-40.88,-229.45,-229.45,-33.86,-35.07,1.21,-18.2,-18.2,,-186.84,-668.57,481.72,0.03,9.43,,,,,,,,,2401.5,2401.5,1.37,9.92,-8.55,2491.72,2491.72,2546.52,-54.8,-17.3,-17.3,-74.29,-74.29,,,,167.53,24.61,0.74,142.19,,25.34
