,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,Other Short Term Investments,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Taxes Receivable, Current","Other Receivables, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment",Plant and Machinery,Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Other Property, Plant and Equipment",Investment Properties and Properties Held for Development,Gross Investment Properties and Properties Held for Development,Accumulated Depreciation of Investment Properties and Properties Held for Development,"Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Deferred Tax Assets, Non-Current",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Held-to-Maturity Securities, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Other Financial Liabilities, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Derivative and Hedging Liabilities, Non-Current","Provisions, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Other Equity Interest,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,8.05,1.05,0.86,0.86,,,,,0.19,0.19,,,7.01,0.55,1.46,0.5,0.5,,0.96,-0.91,-0.91,-0.43,-0.43,-0.48,6.26,7.7,-1.44,0.1,0.1,,,,,,,,,,,,0.1,0.1,0.1,0.1,2.56,0.26,0.08,0.08,0.08,,,0.17,0.17,0.17,0.17,,,2.31,1.86,1.73,1.73,1.73,0.13,0.17,0.17,0.28,0.28,5.49,5.49,5.0,5.0,5.0,,0.49,-0.31,,0.31,1.9,0.17,0.17,0.18,0.18,0.18,1.02,0.0,1.9,0.17,0.17,0.18,0.18,0.18,1.02,0.0
2018,9.24,1.44,1.12,1.12,,1.12,,,0.32,0.03,0.0,0.29,7.79,0.51,1.5,0.51,0.51,0.03,0.96,-0.99,-0.99,-0.45,-0.45,-0.54,7.06,8.13,-1.07,0.1,0.1,,,,0.0,0.97,0.97,0.97,-0.97,-0.97,-0.97,-0.97,0.12,0.12,0.12,0.12,4.22,0.47,0.29,0.29,0.1,0.19,0.0,0.18,0.18,0.18,0.18,0.18,0.0,3.75,3.52,3.36,3.36,3.36,0.16,0.0,0.0,0.23,0.23,5.01,5.01,5.0,5.0,5.0,,0.77,-1.07,,0.31,3.53,0.18,0.2,0.3,0.3,0.3,2.25,,3.53,0.18,0.2,0.3,0.3,0.3,2.25,
2019,9.14,1.15,1.03,1.03,1.03,,,,0.12,0.03,0.0,0.09,8.0,0.52,1.58,0.51,0.51,0.09,0.98,-1.06,-1.06,-0.46,-0.46,-0.6,7.14,8.31,-1.16,0.17,0.17,0.16,0.16,,,,,,,,,,,,,,3.85,0.41,0.09,0.09,0.05,0.04,,0.33,0.32,0.32,0.32,0.32,0.0,3.43,3.21,3.04,3.04,3.04,0.17,,,0.28,0.28,5.3,5.3,5.0,5.0,5.0,,0.45,-0.46,-0.46,0.31,3.36,0.32,0.31,0.32,0.32,0.39,1.69,0.0,3.36,0.32,0.31,0.32,0.32,0.39,1.69,0.0
2020,9.03,0.77,0.69,0.69,,,,,0.08,0.05,,0.03,8.26,0.37,1.5,0.51,0.51,,0.98,-1.13,-1.13,-0.46,-0.46,-0.6,7.63,8.88,-1.25,0.08,0.08,0.18,0.18,,,,,,,,,,,,,,3.56,0.41,0.09,0.09,0.05,0.04,,0.32,0.31,0.31,0.31,0.31,0.0,3.15,2.93,2.76,2.76,2.76,0.17,,,0.22,0.22,5.47,5.47,5.0,5.0,5.0,,0.5,-0.33,-0.33,0.31,3.08,0.31,0.32,0.32,0.33,0.34,1.46,0.0,3.08,0.31,0.32,0.32,0.33,0.34,1.46,0.0
2021,13.5,4.64,4.52,3.77,,,0.75,0.75,0.12,0.02,0.09,0.0,8.86,0.03,0.05,0.02,0.02,0.0,0.03,-0.02,-0.02,-0.01,-0.01,-0.01,8.11,8.27,-0.13,0.65,0.65,0.08,0.08,0.0,,,,,,,,,,,,,2.23,0.96,0.87,0.87,0.24,0.63,,0.09,0.09,0.09,0.09,0.09,0.0,1.27,1.27,1.21,1.21,1.21,0.07,0.0,,0.0,0.0,11.27,11.27,4.9,5.0,5.0,-0.1,6.26,-0.2,-0.2,0.31,1.29,0.09,0.33,0.33,0.33,0.23,,,1.29,0.09,0.33,0.33,0.33,0.23,,
