,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,General and Administrative Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Rent Expense, Supplemental",Provision for Income Tax,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.05280310188706151,-0.04475500496570615,-0.05096606653111382,-0.12891503071495294,-0.115381519009154,-0.0005858415030571474,-0.12740035592822674,-0.10877521969688475,-0.04598839637709318,-0.04363196226689822,-0.049947229766989475,-0.049947229766989475,0.008348888386237388,-0.10273622941717464,-0.009738679065422537,-0.08698278844831048,-0.04001359601981532,-0.046224657585223004,-0.04669314764509325,-0.04028485324065867,-0.05668543904641905,-0.0899216650678903,-0.0899216650678903,-0.0899216650678903,-0.08837188543799096,-0.08153480147242546,-0.07912280557393961,-0.03632956511325777,-0.036165222862455104,-0.0509311330026965,-0.12730793397469817,-0.08698278844831048,-0.03357952551686748,-0.08488563651775395,-0.03799404329628129,-0.03688933906493382,-0.10182140813509648,-0.039200306512926636,-0.04637669760548703,-0.036084078406510144,-0.03730958362403241,-0.04070194871553051,-0.04059258888608808,-0.00022914696019802998,-0.036835858770915365,-0.04740754996437087,-0.03749357108981112
Revenue per Share,0.02195657480283371,0.3009179820485437,0.2580806378272392,0.07973631932185343,-0.007295337222858437,0.11844056561442153,0.06688633892331075,0.056031636754841574,-0.008214961239356767,0.022992624577425604,0.004366687781066839,0.017900449557162804,0.1159620090926545,0.11336629528862675,0.021822280902904726,0.11530764187464149,0.06608156135569157,0.07407059218782693,0.0797084291656672,0.007277320223129251,0.10446184798969455,0.05766846525071001,0.060696135801981,0.061459311833490265,0.10510808863735982,0.10880957724278045,0.09411412730504645,0.05780217783130816,0.1011292301357221,0.25395740393631877,0.07591200662014423,0.12233094305540361,0.10562349693190318,0.03607834456237353,0.048677134373646805,0.031733786969248834,0.044441222902292084,-0.009841434490675099,0.0013450277247639584,-0.007602928884468361,0.0034758426176819315,0.0499599367299608,0.04840261025260309,0.06822765278483489,-0.012287192155306948,-0.004224787910840753,0.002199142307528359
EBITDA per Share,0.02026332262792654,0.0655779521767419,0.07249276364770635,0.025119398318949278,0.024454604703637896,0.0318621559186091,0.027963865332882053,0.0014245301274854816,0.02588544567617097,0.06166724104596169,0.04746913970062664,0.06259398121592936,0.07966849172735219,0.03201693536823473,0.07155254933346636,0.0916788566351471,0.04059830929145992,0.043290476171991284,0.04572546233958271,0.06473043213731527,0.049671712552385894,0.07797229907644872,0.06260263631097947,0.06444653803161839,0.062861573019966,0.06328060022122409,0.05084452186456744,0.010615999227182283,0.015698627911639774,0.064902021957233,0.039894127028643776,0.0797449438141318,0.013692907820655976,0.07205717432118741,0.09442177522024474,0.07983072862535512,0.04496191967660066,-0.0014790350135715441,0.024668578387358066,0.003174356353466191,0.02673036898097821,0.0594057420013974,0.07351913671394221,0.05113859765783974,-0.009006107297170286,0.027582059766884735,0.032567506281235184
EBIT per Share,0.023277053907874046,0.06477279004448028,0.07269245693075925,0.020620782048005312,0.023945346981714195,0.03173179865342155,0.02308089529080598,0.00776716181657823,0.02784493968700891,0.06487339794365697,0.049116404063618176,0.0629427575342076,0.08098557150515544,0.032423981233811766,0.07296224927560449,0.07579854769277485,0.04162772152686986,0.0422539763502738,0.05111646502502965,0.06506151958910189,0.04839322973095346,0.08156319592868196,0.06506080602057923,0.06674000881057153,0.06736427895845505,0.06189595530000934,0.054798101291728414,0.02081855470464246,0.016291381136642337,0.059642657207873415,0.03014334057361904,0.0774208872719358,0.018482001193882616,0.07475566235516587,0.07654498155003457,0.08163550617016806,0.04395296536816347,0.005344924939153902,0.0219785655371866,0.01911217396951832,0.015553166624754065,0.06907825023825218,0.0724598205017258,0.04907669496928732,0.014122576311395366,0.03224195446484002,0.003485423280696797
Earnings per Share (Diluted),0.0960558540109675,0.10371914747172405,0.13105954734023295,0.041678916182194437,0.081873738095171,0.06832631919304685,0.13475189584608582,0.05402351391509224,0.02046832871518194,0.08093840116608521,0.06101548850387662,0.06812454627146533,0.12898563772083307,0.12632854237765773,0.10385685303090898,0.1729509119945853,0.13717370418323563,0.12552667492281283,0.12939726588484632,0.08090390281353005,0.16159191698472283,0.07687862180497651,0.16484263353823644,0.14188329170578892,0.15786622852848736,0.11666583268250219,0.2281324985396374,0.11848011443988568,0.16651737446858839,0.12956860456154856,0.0915790425907144,0.1848467252680679,0.1663671662641479,0.07741210058354223,0.07205237323635355,0.0919500040826324,0.08133182291226519,0.01014404249473673,0.04902930929614952,0.07191506494554768,0.08504581136006442,0.1587158519981778,0.1485844774194069,0.16166847563612932,0.062453268306361755,0.0004882915237826697,0.09272178872366492
EPS without NRI,0.03320812176590607,0.04789331971175873,0.04002693714591941,0.04368079948516885,0.042246336572645656,0.08783903894052991,-0.0013701595755840194,-0.006572511610479285,0.023570639201708543,0.025304588886667725,0.06030671007448107,0.07404985268265359,0.11007221023288098,0.07336412001228503,0.09436589229489184,0.0817809282489614,0.023805446901283844,-2.1929132623681527e-05,0.03479954961155197,0.0370068789370442,0.062279305019835966,0.08453530391793702,0.04348159562094906,0.027464693508484437,0.03512002190479976,0.03230523334048719,0.03673275418192783,0.04741445202964575,0.06939169572577299,0.004944180544321014,0.05159714450575837,0.08237512419638672,0.05942998716354311,0.05448583089706438,0.08018186614240254,0.057177726555697764,0.04323864694068003,0.029750755601854608,0.09178544954853206,0.0938236312655379,0.08964409534154734,0.03607970902715604,0.03518704385716602,0.26373514163995154,0.1091048011791228,0.07227914810888925,0.04985598056464187
Owner Earnings per Share (TTM),0.09192556780160462,0.04377092265152696,0.07778796160002639,0.01972692034343175,0.0727617067501083,0.06748328861074422,0.13841038098431324,0.06221998532352171,0.03684824207554626,0.12957768746233161,0.10792453379514483,0.11425668691083549,0.13043686389192247,0.07201081803949218,0.13999387733112986,0.19447684529076806,0.10926476210458136,0.09862950936746478,0.08055571806272785,0.09611084490863196,0.08845863181684424,0.06115375751415502,0.11892675375889174,0.12287691895950568,0.12118988209386668,0.1605920216267132,0.15460996268277957,0.05646328321413947,0.05342758866314196,0.10351118986885142,0.0818048326710107,0.19807795547060866,0.11384820713662465,0.12940522037193344,0.14039858136214037,0.12937614016580895,0.09054117414420902,0.013996831656858822,0.0781660262590872,-0.004397362243240107,0.08010096772142655,0.18217439368047078,0.1828699197460412,0.02429796929370838,0.09407613554245467,0.005443988139459481,0.01192562835539772
Free Cash Flow per Share,0.05099559281710817,0.05230095194092419,0.05550295717141539,0.022970309858458684,0.02727872301071163,0.040198565680112305,0.011277163329607657,0.0036964322132236422,0.0451632394746869,0.07371987501849207,0.06227522066294116,0.07236484611453237,0.08460222731802049,0.01757343012544659,0.06743928938826928,0.05210308598199461,0.0748536125617422,0.05065822170579111,0.05074011873947545,0.060792630102512825,0.0315150940960645,0.061472668658576174,0.05730569612438174,0.06356580116553776,0.05959201828309707,0.1280042215211068,0.12802820842654306,0.010134691034469507,0.005663357478006661,0.06381328261909057,0.04084640460004648,0.0515554385962552,0.007952868135101166,0.06380729548398922,0.10322833366492064,0.08734290479367549,0.04127271835885325,0.000703279848283108,0.011824048885502796,-0.031454730259989246,0.012639011882314088,0.0911893636008415,0.08793796334004103,0.0033063857003860497,-0.044373343474840794,0.012660727423565709,0.016129728459382493
Operating Cash Flow per Share,0.052589847937581945,0.09563451841888813,0.10751857768289623,0.004703396776946528,0.02421241387858749,0.0941805740472378,0.11546702607030537,0.015410115820333416,0.017940183421135337,0.08375820313834723,0.067220169955623,0.06731348315860756,0.16867291331322423,0.12812312740286697,0.08166481626724328,0.17177014004612196,0.14312010826424212,0.1010128362784757,0.05212657475936791,0.06856256597968029,0.02668199685419655,0.056100762697470496,0.15318029542290562,0.15244405119235963,0.06375177886152297,0.1282966044061868,0.12402713636570438,0.010591553417338345,0.09399781826990698,0.12269366538541177,0.1273892764749363,0.16906395731607515,0.10648372277628373,0.10131844174966755,0.09511903235991369,0.07281524717845884,0.03878948197334959,0.001585182984208058,0.07311473038289826,-0.019744796384043035,0.07541704833834204,0.09374804539163212,0.06958882317159416,0.09279795606820856,-0.05313021316916344,0.008202072751086592,0.019481765471095674
Cash per Share,0.09470004280020158,0.12349108558773755,0.05536852401554232,0.03210524707456568,0.02094047442494121,0.08168864705048132,0.029555525541290064,-0.004372083549842717,0.029906520737071545,0.050694619045222655,0.0411533735416714,0.06011251525640378,0.050158795873289724,0.048380293786558136,0.03965715323120154,0.07913012975989696,0.04566811576546051,0.034995957981056015,0.04688091612888999,0.0410319764204341,0.04826978891207471,0.07049463389266042,0.04201144293306272,0.051552422682775885,0.056880006814561145,0.10752370206097037,0.09156263202045664,0.038403090146634365,0.03786948577355904,0.04309023752853919,0.021485922246213426,0.06765592354794094,0.03488770795032323,0.049087870903290254,0.056118133092682966,0.08134401130257668,0.04401869286154152,0.009259447650904234,-0.011723591038721174,0.00864052371157662,-0.021462277647660143,0.0857613163689478,0.0734035730997373,0.1171188924061503,-0.002565117859997597,0.015647644722130788,0.04572968801174921
