,_PO_,_PO_.1,_PO_.2,_PO_.3,_PO_.4,_PO_.5,_PO_.6,_PO_.7,_PO_.8,_PO_.9,_PO_.10,_PO_.11,_PO_.12,_PO_.13,_PO_.14,_PO_.15,_PO_.16,_PO_.17,_PO_.18,_PO_.19,_PO_.20,_PO_.21,_PO_.22,_PO_.23,_PO_.24,_PO_.25,_PO_.26,_PO_.27,_PO_.28,_PO_.29,_PO_.30,_PO_.31,_PO_.32,_PO_.33,_PO_.34,_PO_.35,_PO_.36,_PO_.37,_PO_.38,_PO_.39,_PO_.40,_PO_.41,_PO_.42,_PO_.43,_PO_.44,_PO_.45,_PO_.46,_PO_.47,_PO_.48,_PO_.49,_PO_.50,_PO_.51,_PO_.52,_PO_.53,_PO_.54,_PO_.55,_PO_.56,_PO_.57,_PO_.58,_PO_.59,_PO_.60,_PO_.61,_PO_.62,_PO_.63,_PO_.64,_PO_.65,_PO_.66,_PO_.67,_PO_.68,_PO_.69,_PO_.70,_PO_.71,_PO_.72,_PO_.73,_PO_.74,_PO_.75,_PO_.76,_PO_.77,_PO_.78,_PO_.79,_PO_.80,_PO_.81,_PO_.82,_PO_.83,_PO_.84
0,-0.094087231146303,-0.03318075717719283,-0.016521651425309317,0.030768441060306108,-0.0665046824864568,-0.06939913794033022,-0.07080844758950043,-0.11736411674451916,-0.11647213455948949,-0.08951876289660747,0.25818830304245916,-0.11266798662007815,-0.039382519865214655,-0.026784274851204503,-0.026003674481310867,-0.04007986805148728,-0.07438303189621545,-0.04539462509229071,-0.03797267624612669,-0.04597672692492749,0.33070805409774373,-0.05397266184884516,-0.03828624067528934,0.022842775862351797,-0.03883709661721805,-0.0737626775149974,-0.07243376589797049,-0.04957845918140966,-0.040127422600736644,-0.039995764373099194,0.266010619499923,-0.09876766825768002,-0.09955533517916988,-0.09814952037196335,-0.010499342420576452,-0.010499342420576452,-0.09840464275928269,-0.049717097514546116,-0.040886500893668874,-0.04067163016749999,0.34717800061287657,-0.03597938109230542,0.015767819564321703,0.013047045904275665,0.01443951755895594,0.021384508433077255,-0.025135430720583107,-0.03802422088316899,-0.037194314296852576,-0.02550530760285112,0.3564847954286668,-0.042600736459722996,-0.09032883876381152,-0.08759572648369396,-0.03840061752534162,-0.061578546770043735,-0.04208128000859984,-0.04194131335719267,-0.03224456566567071,-0.030935377353655476,0.3215070356151908,-0.04835771282859533,-0.08055735371151185,-0.039851326777342114,-0.06912504073214704,-0.03812536117246857,-0.030025111773091126,-0.039601797922143446,-0.026447697397692666,0.022842775862351797,0.36243410193424713,0.02219780124844621,0.01576332543926706,-0.13466595861135358,-0.13472155604609318,-0.03476212477807412,-0.05500268647086599,0.016256877315900083,0.021795128602025905,0.016994452903204022,0.36888892809048063,-0.13540353419865753,-0.13472155604609318,-0.03504569924643987,-0.032773642656112836
Revenue per Share,-0.02857507973527431,0.011814617720405601,0.02240291250708148,0.037800157803369,0.03900634471405888,0.04007368750136768,0.0390302184158638,-0.030535719839189204,-0.03005710150150751,-0.029807521146603767,-0.03446912172241401,-0.053711329250256436,0.0140644776699612,0.028867503818786156,0.028490168307924717,0.042189276873022256,0.01876306067735389,-0.013223936710289475,-0.013688834531797353,-0.013223936710289475,0.0007577815056295648,-0.012655032822523988,0.014290117582412974,0.02902861598076056,-0.011374950018804703,0.039992193417914434,0.029430804295074418,0.04173497735506098,0.04138607618866388,0.04145894541457603,-0.0069871338866073045,-0.00523137553397303,-0.007057632711794332,-0.0070226863711494066,0.026210783946058504,0.026052808087700007,0.05027453391683584,0.04256393497076759,0.040397189975905905,0.04244061743505549,0.019334379709142296,0.02030122730794481,0.02955489692775734,0.026990745492860586,0.02981065499647313,0.036242852865268085,0.033915971969893634,0.015072336401974907,0.015039723595299068,0.02084527738344122,0.02544980423774263,0.03662365841155601,0.04967540081382496,0.04762080768468464,0.014286370284036787,0.020788976481784512,0.007145815201953979,0.005421021448443262,0.009734723721944718,0.0105206858562621,0.011738698020824985,0.042189276873022256,0.05514249328136755,0.013844174779665255,0.042312753641152556,0.012369873130540368,0.01578264115325633,0.0404855430398214,0.026445873947123055,0.036242852865268085,0.03526840106645178,0.037800157803369,0.03535334079493169,0.001557382572718498,0.0021973952320830754,0.023211360936956613,0.0338911471203397,0.03589154297183919,0.03508486857056643,0.03493759801753811,0.037239653048062135,0.002994129132348227,0.0030391492861623036,0.021683281030829154,0.03873207169987962
EBITDA per Share,-0.0046696002701624205,-0.006700389863836788,-0.007196135228668317,0.045502073960856655,0.02154094202874404,0.021445544555938594,0.02015214874487865,0.005740481966704882,0.004833211292078014,0.0026223048354648212,0.0003577454680446174,0.0011047181942170099,-0.007945876496353988,0.03301785516126769,0.044710009976648986,0.006834413808258438,0.02017802145068532,-0.04068586015932809,-0.023636536582621374,-0.008889617053565271,-0.007945876496353988,-0.007206460448180114,-0.008889617053565271,0.046034124672216375,-0.008674401019651352,0.019685212704849193,-0.01233486784245174,-0.02180625050105783,0.007341537062428519,0.007209071906003774,-0.009214180179944746,-0.00820979384919064,-0.009459149500022312,-0.00805573687742095,0.03540059001450822,0.02614878028569275,0.020122179099553304,-0.004723356949596523,0.007209071906003774,0.007209071906003774,-0.019608475015501715,-0.001360968505070104,0.03839815727189327,0.03953458828075438,0.03839815727189327,0.04651218568834006,0.044573462367025675,-0.005845550754697788,-0.006534153766727475,-0.009182130541877912,-0.004525956733105168,-0.01760239735970677,-0.013370005699698895,0.020135031518273127,-0.046496046036286355,0.03787934309799298,0.008672258862126064,0.017215485911468233,0.0164280438975201,0.019501015129516165,0.019177306429658016,0.007085754370291675,0.026306744404523717,-0.0050438512423399175,0.050478353080767785,-0.008069970965557541,-0.04191080064341106,0.006291524805378399,-0.026112120440095053,0.0344523982442127,0.03455870697973242,0.04672247122038829,0.045607677184532604,0.04201749460559825,0.03990085540103142,-0.006908381616551764,-0.002814336228261162,0.047329973182886495,0.04586263072194813,0.04699080402602176,0.04699080402602176,0.04128311819920076,0.04065719923318596,-0.006652623547835974,0.04493531249980833
EBIT per Share,-0.029097096228138244,-0.007438483486667235,-0.006806194426439872,0.04584984495515922,0.02109982954229539,0.020239989043855225,0.004673965047682794,0.001865025023565726,0.0022438808098246277,-0.0006760588813866306,-0.0009830245609191587,-0.0010116131894767877,-0.006205904107041482,0.01771087609121303,0.032476883276840084,0.008986706382352869,0.02182454680051117,-0.0465205433333783,-0.04511844491424871,-0.044629265973220485,-0.02392782704436406,-0.04620538884490843,-0.04690462725103689,0.044590035649382166,-0.038908225682979,0.0026799766189351862,-0.011883800151754057,-0.02029719535766931,-0.008582751464560898,0.007503331653608538,-0.010190891117337798,-0.00945598736111693,-0.01001122756796598,-0.008431945754030796,0.028012115008227003,0.011771667239143977,0.0030178506383974728,-0.018136753154946252,0.007983975587464687,0.007503331653608538,-0.0263705131902436,0.0008952843089606886,0.036959555918852235,0.0373510570658911,0.036959555918852235,0.04584984495515922,0.04316344964254227,-0.019439627697659292,-0.001393607219059413,-0.007177218289880357,-0.002748322256756072,-0.026591002261804005,-0.011836289687191573,0.020127037119147272,-0.045207590500965476,0.019706739716006606,0.0009382019819842774,0.01957280628540487,0.02006955102804247,0.020424851830012067,0.019719723696900556,0.008986706382352869,0.026414540931716506,-0.006044427215192109,0.04996261351585073,-0.005873156631978592,-0.04541936702313922,-0.005778292577621609,-0.034274677457553256,0.018218056834179312,0.017102702720354898,0.033143345314622506,0.03354106544458199,0.040433423456687705,0.019830767212930443,-0.006235218197278607,-0.016343952311061144,0.03354106544458199,0.044590035649382166,0.04516062211847451,0.04498153679642101,0.04139559048028628,0.040864719414204866,-0.006056132875225103,0.04363549825567775
Earnings per Share (Diluted),0.002771450122729198,0.04285802168983067,0.04995758721232856,0.049679140868023344,0.08387072315632511,0.08541987703610085,0.08541987703610085,-0.011960983336810687,-0.002338929523441008,-0.016721744947657876,-0.0027729399644826564,-0.03014677802297467,0.044196329637573785,0.036784054699818505,0.03860444627029638,0.06912264348944747,0.08349146778540611,0.009293477702852302,0.007629702519522334,0.007423576800742918,0.0088344130201732,0.015321087082750918,0.042947167276547425,0.04958963014518798,0.009620385119520881,0.08533838295264762,0.0721978825139389,0.05823061565264881,0.06881540999318643,0.06935961755994978,0.03350582735288852,0.033281843591505565,0.03324525623568822,0.032889955433718615,0.04765391886734418,0.048708380431506874,0.08190017981069679,0.07012056944217138,0.06876771662205859,0.06974591134442604,0.05026290246175148,0.04946898208291581,0.037788360797377664,0.03971111081943992,0.04015147675554075,0.04736566486096615,0.06028544682870593,0.047683679180615515,0.045580810678982446,0.05193218015219308,0.05277523529070102,0.06415392700149955,0.0831319097380885,0.0826532914004068,0.027923999909636264,0.05241955329059155,0.032858409071185854,0.0321711377291547,0.036523681437933705,0.03604562042181001,0.03656843502235337,0.06866578334198467,0.09081837520590721,0.04408568258574638,0.06570953163633324,0.04465344651014485,0.04587640197556452,0.06877374232305036,0.05601305516060095,0.04950822851342227,0.04900375490828856,0.04950822851342227,0.04932384006605374,0.022526049399510015,0.022427587307364823,0.04970838593034676,0.0639006227075634,0.04980245840373544,0.04980245840373544,0.037781725873415474,0.049055485677563064,0.021954623679711585,0.010580085827406356,0.052951088047570385,0.07367175338315278
EPS without NRI,0.0048756528934318175,0.04297016709990133,0.05411585303064041,0.04919632098116038,0.08208161698337406,0.08087523971896506,0.08475892706470883,-0.0001296128274246187,-0.0005706578746950798,0.0005373678612135366,-0.0062147318574716,-0.006713713729139477,0.04416071093342614,0.06387831884719393,0.06067216765739769,0.07404279593530524,0.08302139459879454,0.04188194709045639,0.04390385925573062,0.0420184947000797,0.04123488548017129,0.042258698479625954,0.04342524091804893,0.045017754760678416,0.041831660254006614,0.0812643436553132,0.08250161164478068,0.07391947839959315,0.07256904585909474,0.0716090964529168,0.029637504340321533,0.028790073220378357,0.028535295693409127,0.029358050442302375,0.039306131695934624,0.04271748683906814,0.07867437813112552,0.055471375381813945,0.07170654857756739,0.07075901926744484,0.05200875555609779,0.0508772112696148,0.03128983379472557,0.030693386949413967,0.031452870269165115,0.045843525615977196,0.06456214113821292,0.04824754342775405,0.04599346038345451,0.053351409242207035,0.057161438497733176,0.06638090056843579,0.07627537993183996,0.0763445926767236,0.04264254239824608,0.05425887838152186,0.027816167797658987,0.026932711179879755,0.03295669625260295,0.033889297206574055,0.03280407192732091,0.07282807606976693,0.08890325106756403,0.042013753393413705,0.07447504735474518,0.041045698119689236,0.04402228038849347,0.07249251071188478,0.059643657281931675,0.04395497533667615,0.047161126526472384,0.04414294071613834,0.047161126526472384,0.02134804960974973,0.017533129899150523,0.0529257109707469,0.06688614542380945,0.04784494881749136,0.04563867745755317,0.04563867745755317,0.04577154121687856,0.01910840646318215,0.01908157938923969,0.05433590233446661,0.0716678149334466
Owner Earnings per Share (TTM),-0.014270070788685087,0.01167246222276135,-0.022820420206889822,0.06873531258922043,0.006808839622307097,0.024631298356725173,0.018289673120997385,0.02925192668565429,0.017145099468514634,-0.00021657047378170324,0.026565564003732348,0.0011082176647910645,-0.003402798275101468,0.03876979956004471,0.0393472407805251,0.014975928009781685,0.007446894381270325,-0.02846573549622914,-0.02846573549622914,-0.027528534898607432,-0.008828429964870908,-0.028849819413887742,-0.003491175888246413,0.046329302126736124,-0.02846573549622914,0.03979675654568089,0.013683573117335607,0.026817514970905863,0.027719029803725283,0.015620122094828139,0.01900697594803645,-0.0030557426293639296,0.00345654063287369,0.019545089701109436,0.05647007780644002,0.054695822337271514,0.041320685831773486,0.02724858134209752,0.02603078981248962,0.024308514471457262,0.020374658892559447,0.02019179738440915,0.06078450492731921,0.05757173902415878,0.060465225672135296,0.06883730909725387,0.06694365185148345,0.01524836751251565,0.01561091756385927,0.009847875120534366,0.01487812714774987,0.015470704081559029,0.04167655913271026,0.041504775390344494,-0.00606777577316956,0.05981424099668538,0.05883272578153948,0.05758534201837337,0.04367977066781544,0.04367977066781544,0.04270718601758325,0.026388234952410227,0.04953788078742269,0.012276892276855161,0.035831497407670866,0.012328375776535345,-0.011399614151290868,0.02656732027446373,0.01419492798485138,0.0679984596093674,0.06896062663296597,0.06800394727916058,0.06814808626056916,0.07016027076529452,0.06908519213244978,0.012835339553112182,0.015856709501624537,0.06796900093851566,0.06783245332889234,0.06783245332889234,0.06796900093851566,0.05721326095508235,0.04027716033172652,0.011594320886412927,0.0361572872614804
Free Cash Flow per Share,-0.041444753808482775,-0.03835948133917079,-0.03008078924747645,0.015663400579784565,-0.005216481600285693,-0.005705660541313923,-0.0069340174809237164,-0.02405221440127623,-0.02405221440127623,-0.021088244472822506,-0.02084648380427801,-0.02084648380427801,-0.037657964474253194,0.01619688207973794,0.01619688207973794,-0.011663530678010663,-0.00696529960943685,-0.03778205894345675,-0.03778205894345675,-0.03778205894345675,-0.037657964474253194,-0.03778205894345675,-0.03778205894345675,0.014802396330864597,-0.03778205894345675,-0.0069340174809237164,-0.0069340174809237164,-0.011663530678010663,-0.011663530678010663,-0.011663530678010663,-0.04094965833223151,-0.040985210816773615,-0.040985210816773615,-0.040985210816773615,0.018406514464862474,0.020466592173926025,-0.011673946092638955,-0.011663530678010663,-0.010934783821487335,-0.011785202390093846,-0.033475895497521266,-0.032667797610259244,0.0071653115472247765,0.009225389256288333,0.009225389256288333,0.015663400579784565,0.018629657482308905,-0.035624755046503746,-0.013631510306277956,0.0003788149653653767,-0.00952954397288684,-0.02296956638175875,0.006118597816947791,0.005827186422508027,-0.03062788756397417,0.017213082230814164,0.009500585533608673,0.025557329559747877,0.025757484590234178,0.04155592887065274,0.025741579293807375,0.01698687954625088,0.010654205320277223,-0.013789718783595722,0.005172932702397494,0.0010463463321771435,-0.02295651280397677,-0.009607281366626277,-0.0128008638212318,0.04250634561162095,0.031229011346338164,0.014715541756829216,0.015085959359304183,0.04244777464130832,0.04233486303206214,0.002167371743948086,-0.0185472100495352,0.015663400579784565,0.016862474039928153,0.04467297227012241,0.03105965527686129,0.025534350324870447,0.027244296851239077,-0.029503172049226853,0.017388958460875948
Operating Cash Flow per Share,-0.037818584952675434,-0.05159915070810203,-0.03352559801101752,0.017538834183912416,-0.014010570866614724,-0.012782213927004932,-0.01361505609748125,-0.02128563003191658,-0.02128563003191658,-0.024555587729862473,-0.022902635731962065,-0.022902635731962065,-0.05109926698887195,0.016503677839058026,0.016503677839058026,-0.024609823051052696,-0.014041852995127856,-0.05122336145807551,-0.05122336145807551,-0.05122336145807551,-0.05109926698887195,-0.05122336145807551,-0.05122336145807551,0.017538834183912416,-0.05122336145807551,-0.014010570866614724,-0.014010570866614724,-0.024609823051052696,-0.024609823051052696,-0.024609823051052696,-0.03753287753321824,-0.03756843001776034,-0.03635137908419273,-0.03756843001776034,0.007273325468511667,0.008493325780230985,0.00029767379910534963,-0.024341243718092116,0.003839389662337036,-0.024354324523671075,-0.04652168324300655,-0.03121144108142307,0.010298201111955401,0.010025223763829276,0.012396270170675886,0.028658236391855565,0.023635916239818276,-0.024788894608217267,-0.008376549830877036,-0.02983165014771814,-0.02385389426947553,-0.02025690707463388,0.01907587073247996,0.019799163621296814,-0.026862020614014544,0.03545903110430768,0.008985805785126292,0.034712667956073896,-0.007067090455121227,0.004359154925115823,0.0008775250142818479,0.0031160967735201855,0.02669416939636425,-0.011035673985651558,0.02894057104472727,-0.028795410539596833,-0.032974230869205465,-0.02402550372001758,-0.033656794176369145,0.03181506127433517,0.019218076065030718,0.017549419864225875,0.04594039203278055,0.04135304798758445,0.029705743439257307,-0.010360722519707391,-0.02148528874226594,0.04482559799692486,0.017451979609877034,0.028658236391855565,0.033776627792124675,0.04206326183482285,0.029599434703737573,-0.02661749732118122,0.023457147253743562
Cash per Share,-0.012604009921049198,0.00631713691043616,0.012655867699776148,0.052304482408629394,0.055101281689278137,0.055101281689278137,0.054193343844075884,-0.02344081225709721,-0.023222396226987192,-0.03285569208632452,-0.02533686377978233,-0.050059245466974475,0.0062950267537716,0.023895144747007213,0.022588309138574125,0.017124352737088743,0.027145375888664638,-0.026297288535158118,-0.010533985387014654,-0.025808109594129887,0.004987083138763937,-0.025808109594129887,-0.027699972463892365,0.03653618595445249,-0.009479044353042306,0.05387771091239907,0.042652767860357065,0.01628577106146216,0.018576079526744685,0.008819980094540703,0.00040145351391674203,-0.0018007256291268248,-0.0018007256291268248,0.00036590102937463995,0.026531506616118406,0.026632511774604663,0.06137903877246856,0.03070246629854399,0.028489536476518244,0.02729905107324462,0.011754898976301404,0.011695355003863206,0.04499036556146833,0.04499036556146833,0.043935903997305646,0.052624567566394595,0.047810598191819154,0.009554751299593323,0.0074825522978693125,0.01114637313874797,0.016377255690747078,0.026981594058630192,0.05829738505233356,0.05829738505233356,0.00631713691043616,0.043889734518091826,0.04213866645126424,0.043269609790332175,0.03432928931318557,0.03385067097550387,0.03419006648104667,0.030825783834256087,0.06971399169300109,0.004588322499579224,0.06065088994489322,0.004887174713928992,0.007971308690630978,0.0300648319520345,0.017368024410819936,0.05310318590407629,0.052877871860330744,0.052890357645528824,0.05297986836836419,0.015614286312039174,0.014766998296395504,0.012147900073678764,0.025978863263742012,0.05310318590407629,0.052624567566394595,0.052624567566394595,0.04994296292292038,0.015235210707611288,0.0152456166340772,0.014997043533631736,0.05346173991038203
