,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,220.41,0.31,0.31,0.0,5.68,5.68,5.68,209.56,209.56,111.38,98.01,98.01,0.17,0.0,0.0,,1.5,1.12,1.12,0.25,0.13,0.16,0.16,,0.16,0.11,3.1,,,,197.39,173.98,173.98,173.98,,,1.52,,,,3.01,0.01,,,,,3.0,0.48,0.48,,,0.48,0.0,0.0,0.27,18.14,23.02,23.02,13.43,13.43,13.43,,0.0,1.37,8.23,7.64,0.58,,,,,,,,,,,,,,,,,,
2018,199.53,0.26,0.26,0.0,0.99,0.99,0.99,196.4,196.4,97.46,98.4,98.4,0.55,0.0,0.0,,1.58,1.03,1.03,0.29,0.26,0.15,0.15,,0.15,0.1,0.05,,,,176.23,147.05,147.05,147.05,26.54,26.54,1.4,,,,0.51,0.01,,,,,0.5,0.45,0.45,0.45,,,0.0,0.0,0.28,,23.3,23.3,13.43,13.43,13.43,,0.0,1.47,8.05,8.05,,,0.34,,,,,,,,,,,,,,,,
2019,197.54,0.24,0.24,,0.1,0.1,0.1,195.75,195.75,92.08,103.12,103.12,0.55,,,,1.17,0.83,0.83,0.32,0.03,0.16,0.16,0.0,0.15,0.07,0.05,,,,173.68,156.69,156.69,156.69,14.5,14.5,1.4,,,,0.01,0.01,0.0,0.0,0.0,0.0,,0.72,0.72,0.72,,,0.05,0.05,0.32,,23.86,23.86,13.44,13.44,13.43,,0.01,1.35,8.58,8.45,0.13,,0.49,0.0,0.0,0.0,0.0,0.72,0.62,0.04,0.06,0.0,0.0,0.0,0.0,0.72,0.62,0.04,0.06
2020,218.28,0.26,,,4.73,4.73,4.73,211.96,211.96,106.16,105.24,105.24,0.57,,,,1.05,0.77,0.77,0.27,0.02,0.16,0.16,0.0,0.15,0.07,0.05,,,,192.83,179.73,179.73,179.73,6.14,6.14,1.44,,,,4.54,0.04,4.5,4.5,4.5,0.0,,0.56,0.56,0.43,0.14,,0.18,0.18,0.25,,25.45,25.45,13.44,13.44,13.43,,0.01,1.67,10.35,8.82,1.52,,,0.0,0.0,0.0,0.0,0.43,0.35,0.08,,0.0,0.0,0.0,0.0,0.43,0.35,0.08,0.0
2021,228.73,0.55,,0.3,5.36,5.36,5.36,221.15,221.15,114.48,106.63,106.63,0.04,,,,0.87,0.69,0.69,0.14,0.05,0.15,0.15,0.0,0.15,0.06,0.57,,,,203.18,187.06,187.06,187.06,9.1,9.1,1.43,,,,4.59,0.09,4.5,4.5,4.5,0.0,,0.57,0.57,0.44,0.13,,0.04,0.04,0.39,,25.56,25.56,13.44,13.44,13.43,,0.01,2.01,10.11,9.32,0.79,,,0.0,0.0,0.0,0.0,113.04,112.95,0.09,,0.0,0.0,0.0,0.0,113.05,112.95,0.09,0.0
