,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,3.31,8.99,9.11,-0.12,-5.68,-5.68,-1.69,-1.46,-0.43,-1.03,-0.23,1.62,0.04,-0.01,-0.01,-0.03,0.02,0.05,,,,,,,,,1.66,-0.4,1.26,1.26,-0.39,0.87,0.87,0.87,,,,3.77,3.77,3.74,3.74,0.23,0.23,0.0,0.0,3.77,3.74,0.23,0.23
2018,3.53,9.61,9.85,-0.24,-6.08,-6.08,-1.82,-1.54,-0.46,-1.08,-0.28,1.71,0.07,-0.05,-0.05,-0.05,,0.11,,,,,,,,,1.78,-0.53,1.25,1.25,-0.44,0.81,0.81,0.81,,,,3.53,3.53,3.36,3.36,0.23,0.24,0.0,0.0,3.53,3.36,0.23,0.24
2019,3.36,10.5,10.84,-0.34,-7.14,-7.14,-2.06,-1.75,-0.62,-1.13,-0.32,1.3,0.0,-0.06,-0.06,-0.06,,0.06,,,,,,,,,1.3,-0.29,1.01,1.01,-0.48,0.53,0.53,0.53,,,,2.29,2.29,2.18,2.18,0.23,0.24,0.0,0.0,2.29,2.18,0.23,0.25
2020,3.17,10.39,10.65,-0.26,-7.22,-7.22,-1.91,-1.63,-0.6,-1.03,-0.28,1.26,0.07,-0.02,-0.02,-0.04,0.01,0.09,,,,,,,,,1.33,-0.34,0.99,0.99,-0.46,0.54,0.54,0.54,,,,2.29,2.29,2.17,2.17,0.23,0.25,0.0,0.0,2.29,2.17,0.23,0.25
2021,4.13,13.18,13.61,-0.44,-9.05,-9.05,-2.22,-1.9,-0.73,-1.18,-0.32,1.91,0.04,-0.02,-0.02,-0.03,0.01,0.06,,,,,,,,,1.95,-0.57,1.38,1.38,-0.5,0.88,0.88,0.88,,,,3.55,3.55,3.52,3.52,0.25,0.25,0.0,0.0,3.55,3.52,0.25,0.25
TTM,4.84,14.78,15.35,-0.57,-9.94,-9.94,-2.41,-2.07,-0.82,-1.25,-0.34,2.44,0.14,-0.02,-0.02,-0.03,0.01,0.16,,,,,,,,,2.58,-0.74,1.83,1.83,-0.54,1.29,1.29,1.29,,,,5.19,5.19,5.16,5.16,0.25,0.25,0.0,0.0,5.19,5.16,0.25,0.25
