,_PO_,_PO_.1,_PO_.2,_PO_.3,_PO_.4,_PO_.5,_PO_.6,_PO_.7,_PO_.8,_PO_.9,_PO_.10,_PO_.11,_PO_.12,_PO_.13,_PO_.14,_PO_.15,_PO_.16,_PO_.17,_PO_.18,_PO_.19,_PO_.20,_PO_.21,_PO_.22,_PO_.23,_PO_.24,_PO_.25,_PO_.26,_PO_.27,_PO_.28,_PO_.29,_PO_.30,_PO_.31,_PO_.32,_PO_.33,_PO_.34,_PO_.35,_PO_.36,_PO_.37,_PO_.38,_PO_.39,_PO_.40,_PO_.41,_PO_.42,_PO_.43,_PO_.44,_PO_.45,_PO_.46,_PO_.47,_PO_.48,_PO_.49,_PO_.50,_PO_.51,_PO_.52,_PO_.53,_PO_.54,_PO_.55,_PO_.56,_PO_.57,_PO_.58,_PO_.59,_PO_.60,_PO_.61,_PO_.62,_PO_.63,_PO_.64,_PO_.65,_PO_.66,_PO_.67,_PO_.68,_PO_.69,_PO_.70,_PO_.71,_PO_.72,_PO_.73,_PO_.74,_PO_.75,_PO_.76,_PO_.77,_PO_.78,_PO_.79,_PO_.80,_PO_.81,_PO_.82,_PO_.83,_PO_.84,_PO_.85,_PO_.86,_PO_.87,_PO_.88,_PO_.89,_PO_.90,_PO_.91,_PO_.92,_PO_.93,_PO_.94,_PO_.95,_PO_.96,_PO_.97,_PO_.98,_PO_.99
0,-0.06642112057498538,-0.06681979408297002,-0.08427605082156436,-0.013848374533530015,-0.04034620795623895,-0.06760746100445988,-0.07025351314584977,-0.05291506343338529,-0.04810123666270472,-0.06485887371769629,0.3348662311828396,0.010321412868443897,-0.05518141875431412,0.026046582770942052,-0.05507721281963056,-0.06094732461857726,-0.081783461570546,-0.04007986805148728,0.003572137740082299,-0.11424703592379037,0.31024514107129747,-0.0795763139779707,-0.02656522953338757,-0.04221902308649789,-0.09921072233134955,-0.03953262784993901,-0.038122222149458825,-0.08405972046743726,-0.06930492707018514,-0.024031684001324743,0.26406665819803,0.01039261493409232,0.008598879174750381,-0.06654778294031885,-0.02946047240036636,-0.008188591780793104,-0.03292022113796684,-0.0324517310780966,-0.06783032331784322,-0.030781715723288697,0.3425699002734722,-0.04082125681870175,-0.05861153179410593,-0.04281647296302432,0.0026170779283641466,-0.04097362202463009,-0.0363215069495597,-0.039878318872754795,-0.05906937700931142,-0.03808419651141506,0.3226208154351245,-0.027709987302699423,-0.02450962924409528,-0.033147951777553225,-0.03979949838212971,-0.027147795132980112,-0.026785868488415944,-0.04562522454540063,-0.054174110239758114,-0.026190598224598603,0.31995394456649995,-0.017832637081691895,-0.08733930853424673,-0.11124638078446777,0.015143945220709809,-0.043643593447775866,-0.022480323658516023,-0.03544754529242879,-0.04351901420234929,0.02865715245769316,0.35321562878540164,-0.08974445623070001,-0.03305929706745718,-0.09594080809473256,-0.04778303451004115,-0.03127338003635807,-0.0324517310780966,-0.03193165488158518,-0.09078599022343012,-0.11614471223113934,0.3175458264734504,-0.03252319388907155,-0.07867557253627817,-0.11856958674203712,-0.06046120693814635,-0.058921767011047996,-0.03837146619072646,0.003208808380666369,-0.03823601248865797,-0.029010667902131308,0.3125132140840998,-0.028715329816461306,-0.04163496925236397,-0.0664906486511485,-0.03614590967494585,-0.04239576403242286,-0.039601797922143446,-0.07507063223719375,-0.03778362619239405,-0.04020192337645016
Revenue per Share,0.013087817141757392,0.03257400277685758,0.010621262757504952,0.027914274603355202,0.04575673617759928,0.03587106786552672,0.03482759878002283,0.012243989021655547,0.01696182433386407,0.04149706597393947,0.014266794983394634,-0.005312016963576072,0.004715260451341973,0.04181294499855265,-0.0030251079554592924,0.022922631825407692,-0.004498357130403777,0.019643064076694958,-0.011833728101643388,-0.014620863481057254,-0.003458380569960881,-0.006766599099101376,0.014876460017339412,0.042770247532458984,-0.014544507945585943,0.04256393497076759,0.03226434336100076,0.03238674147004318,0.03758723132919999,0.027232455943085185,0.011248295318321297,0.02856696459116774,0.024375507645042333,0.04007383575122429,0.04170430900106579,0.042463720766863146,0.028542546601876766,0.027982244074606054,0.038364555850209626,0.042403648822786716,0.04162953554339039,0.04256393497076759,0.020324192204217075,0.055778002440143234,0.01922191409696658,0.04153705786424181,0.006534100268338575,0.013813993159725852,0.01748558543570242,0.040397189975905905,0.04008888617287799,0.042782724427214605,0.027185510174340906,0.006518335150050458,0.0140881200630393,0.01492639784184955,0.01728638627268251,0.015921495141255387,0.0162474107655225,0.03469352952294108,0.02683870041097066,0.023984529826218223,0.024096330956815525,0.017167081054168955,0.027159270527015437,0.03368051010020532,0.025565707823509642,0.006429415028700369,0.010678592631080694,0.04975517353116207,0.024798384947226165,0.026761495324424733,0.033915971969893634,0.025409038544747842,0.04207745424133388,0.026850839117212255,0.025778831983413644,0.03115112561758778,0.024046206091622172,0.015845920910012176,0.04184314406747985,0.027982244074606054,0.01050621759137998,0.002270823439363399,0.04596815941587318,0.009926042775889592,0.014047572221936368,0.02457516690623026,0.010630414424357937,0.011164219381249042,0.03821647026745354,0.026261444489430612,0.011524062267998824,0.03861743097218898,0.008957646882631027,0.010678592631080694,0.04256393497076759,0.032812182500620374,0.042189276873022256,0.03442188512345361
EBITDA per Share,0.020345523933399903,0.01838800782248771,0.04059377296978692,0.040208842937966935,0.044502885880279876,0.021343556153777334,0.020050160342717394,0.010780835676078925,0.017038295397062787,0.03579240912019124,0.014609064961596871,0.05284185249455404,0.04860085662458884,0.017443424364260534,0.048744368090196624,0.04760572297562678,0.04864260967326875,-0.015164188710611067,0.034118216659479304,0.03960889326987123,0.048572267996031204,0.02976503117495611,0.04619482746757881,0.04779475340625956,0.03430141237767455,0.006585537675699607,-0.02048274920231196,0.01127514997060382,0.05227842030111879,0.04146364556239844,0.054916793463212814,0.058968631618979826,0.05758805949319698,0.05414374825253083,0.045298050387520265,0.04806979540957531,0.04180281471926318,0.024679717231723155,0.05414374825253083,0.04628967608197058,-0.005117505806637453,0.006834413808258438,0.05110650374775956,0.05567810391194315,0.04961556518038155,0.006834413808258438,0.027524703925268547,0.013225248922396755,0.04864685125413609,0.007085754370291675,0.04602134327633711,0.030189279429801427,0.006196335291398021,0.028348920878092956,-0.040353486245757554,0.02088851892633781,0.012186940396960715,0.03548047680114591,0.010291279897169887,0.04501781338008032,0.0667246206078013,0.01652058252339269,0.033618590988530976,0.031081309094824105,0.01989851204866311,-0.003616341522470457,0.014197849818094624,0.027145206720887174,-0.026067933435001852,0.016803017332058662,0.04662731057739959,0.03431737783467659,0.044181091177692706,0.03497888636094326,0.006076308771464482,0.04146364556239844,0.04119531275676497,0.06777823318634195,0.03359495498815385,0.0310654037983973,0.04628967608197058,0.04098502722471674,0.028014411706164727,0.04160041186590751,0.04210294898962169,0.0142390566638729,0.020825589758197222,0.05836856792041703,0.017496177639817083,0.017760624943666425,0.05237814888568004,0.06033588881140458,0.010102867915946112,0.05095572386157855,0.02787028095755404,0.013774476045919339,0.0057256971772594424,0.04594375951888026,0.007085754370291675,0.005512781652037471
EBIT per Share,-0.0042720322718664645,0.01609354912364964,0.036668924861320194,0.04118628803435351,0.044587447524248564,0.01859193972841191,0.00302591573223948,0.011249558856728218,0.019831764923406478,0.0313402328760773,0.015190172136984193,0.05085394450267667,0.0491464338894335,0.0016634617611464742,0.03714912340852248,0.0481307113252302,0.04771945899858054,-0.02029719535766931,0.01944971586204825,0.016210726781903793,0.03700726218846065,-0.0025473951972591795,0.0187612407402127,0.049398327916868545,0.015231565187881484,-0.004939710901995031,-0.02029719535766931,0.010157396749831252,0.02897492699517653,0.04012608420153074,0.053890401347636396,0.059780749282769725,0.05893351690489327,0.053709046151991215,0.03243444247195784,0.03296480135688829,0.02510459456293734,0.008126664064523299,0.05318738746956436,0.04699001280008393,-0.008582751464560898,0.008986706382352869,0.0524690768979304,0.05642430681852209,0.0511348963303545,0.00886338884664077,0.03248540527453397,-0.002658395033866849,0.0535110030536553,0.008986706382352869,0.04784985329852409,0.020797042295392504,0.008013752455277114,0.03417207772727212,-0.03906503071043668,0.007799546354820894,0.007799546354820894,0.03921229383092276,0.014058955618383807,0.044560676600236764,0.06645515678567744,0.018525494775390252,0.03348733847751713,0.0301460867684953,0.02233271658505447,-0.00037136458518299094,0.007809314435477135,0.014461931200166174,-0.04202839125453248,0.0006892748686269338,0.030818465860551463,0.021401169555245937,0.032476883276840084,0.0329064158687982,-0.013386554234261968,0.040262631811154054,0.024470329174929088,0.054797578926393795,0.03248545605090762,0.030098979916292425,0.047126560409707245,0.041254257505604366,0.022800070124369912,0.042871175233878636,0.04356238451882209,0.01620214546361161,0.005200790874836898,0.048031387922102084,0.019566942540894215,0.01917310633292406,0.051963430787738844,0.06086547364356511,0.010534348440131673,0.052077130656099535,0.0335645757647739,0.01590741132423804,0.00781896458528536,0.045348366042020666,0.008505634269891538,0.007290416128386566
Earnings per Share (Diluted),0.05004582506037648,0.08020222999278571,0.02765187659949875,0.035810454011479864,0.06048401262439836,0.08118138284718154,0.08118138284718154,0.024603143887169065,0.04522156356697702,0.07526747022001437,0.04516523715927068,0.026209522305017538,0.031676197149656166,0.04662426882134232,0.006402507192848564,0.052386303424443864,0.047280537137818816,0.04092364480692278,0.019178438347746195,-0.009462165014412369,0.004795277664182216,0.03627417248763106,0.044226313334133203,0.0679831506261338,-0.00675145710514365,0.07012056944217138,0.05724186651653585,0.056195359311776424,0.07390535669477827,0.035460464025895484,0.03738342908503544,0.0403888759885104,0.03926928212584395,0.07684056346207448,0.05595989760461164,0.07142975372997226,0.03539980514504902,0.035878423482730716,0.07552408685995647,0.05647290496138025,0.07012056944217138,0.06974591134442604,0.03029784020953535,0.07450503129850769,0.030320754870477806,0.06841629718312975,0.03168692169109069,0.04826067746518655,0.031197130105638574,0.06974591134442604,0.0535059927134129,0.0567262092553164,0.035765511873484535,0.033873568569343517,0.02714042150105484,0.048337101493833676,0.048793734261222195,0.031842815017040324,0.04752902267033858,0.06266485091377307,0.04994668647710495,0.05299921976612994,0.04299088380433534,0.03221945112653076,0.04742630878237967,0.06443707624947595,0.03494214585274165,0.03327164109122481,0.04292182899127213,0.07462740863491286,0.03929175780350655,0.043566958962090965,0.06314291192989677,0.042999835173645154,0.06935961755994978,0.03317753472118043,0.03539980514504902,0.04936426345260193,0.04322711294929362,0.022991562056847527,0.056204550572889554,0.0348867977882804,0.04513631432874488,0.01782870648674848,0.06150907562982485,0.03998266182778389,0.03331947540011209,0.039552298988833536,0.03457395981109093,0.037274848572641205,0.07669247787931842,0.033166143270387256,0.03961568362292988,0.0741053630858442,0.03339001988342664,0.042522077166047535,0.07012056944217138,0.06810000427794147,0.07012056944217138,0.06662959833135836
EPS without NRI,0.052299288687356636,0.07796659324671369,0.024897126026966997,0.037325582107341576,0.059023112478921426,0.07663674553004575,0.08052043287578951,0.04238795718098012,0.0504825076880855,0.09561407862433081,0.04884426022823287,0.04832719738288909,0.029132983605006924,0.07233482303215726,0.02527856260873381,0.05611050364303622,0.045654476861551614,0.07226908528188786,0.04143658767361989,0.015693249785207745,0.025852304648968517,0.05205780543729184,0.0419699081202886,0.0683026452386686,0.016396327729104543,0.07277389401751877,0.07355631520587153,0.06672084902129613,0.07364817906175188,0.032292838497854394,0.035712930425229876,0.03638051262554039,0.03535091615210655,0.07772136270347892,0.055513172431183255,0.06860450974419674,0.03460016860213402,0.01597234694096956,0.07693540056916155,0.05589869416452102,0.07355631520587153,0.07282807606976693,0.029481945110945706,0.07531875294840792,0.022643535716938185,0.07277389401751877,0.032667338822579106,0.051447852122555815,0.029647809862008018,0.07232969048295482,0.05702435736951719,0.05786064238080388,0.03189000896018682,0.029751963235381117,0.047906714371353076,0.04477600233386746,0.04588613248795721,0.027931592951263604,0.044298407902963806,0.06211651440213478,0.04951678701899846,0.051453924802766546,0.040945100847175675,0.029822195401982037,0.05368876852387123,0.06552591561417001,0.032348186562315646,0.030895183325787348,0.043078214040509634,0.069128671842361,0.03847051675452639,0.04046156561111025,0.06387831884719393,0.044163573712463274,0.07061624833523128,0.03159268828555768,0.03335315332365557,0.05187067148720047,0.04195730235252508,0.029828564679202408,0.05778865798170526,0.03217710879397863,0.051205207508050604,0.01516094615765346,0.057044032387235113,0.04097811410811129,0.03133146008359929,0.03897147753739508,0.034864320606437016,0.034583696443202014,0.07647785593782176,0.03477824046394413,0.043027267590959185,0.07582866910760547,0.032887473345679145,0.021463841699306496,0.07356170632348234,0.05134227853838953,0.07355631520587153,0.0736681378375599
Owner Earnings per Share (TTM),0.003820464941459355,0.035981429545800706,0.04134747933165472,0.06376835583923891,0.02879545175863354,0.020726825770128212,0.01438520053440042,0.032112051131323906,0.007738937715694493,0.02578895749871001,0.0352079988826107,0.07410201152812357,0.06586297970413835,0.022026073767608772,0.04831774428471123,0.04867262234784987,0.04973970934705723,-0.0018517667255141955,0.06529681563259603,0.043617542004887426,0.06260640786904934,0.021650790618276856,0.06397660570747804,0.04282456934934924,0.036156094794835454,0.026817514970905863,0.0048964694665000925,0.06367182261488193,0.0710064832993084,0.048107377399460284,0.08404812219230261,0.09051346656843064,0.08297572689646891,0.07275197586931767,0.06576408917799138,0.07732240210561916,0.06358858738112402,0.06325449952750424,0.07076209450845419,0.06122379583796404,0.027735062071531234,0.027611744535819136,0.08299090485501144,0.07345139690221905,0.09963264983483631,0.027611744535819136,0.05596270297130247,0.03665030891423267,0.08236724966455114,0.027253989959069903,0.06485727182526697,0.06385241605690545,0.06307843748310464,0.05592707942568672,0.0061996345067712125,0.06740996977833898,0.06766572784705477,0.07915434562582116,0.036893630863194124,0.06786240832002162,0.08530449217172804,0.040963763930432204,0.06147333755089787,0.051582839561876606,0.036491489517900134,0.016388379784230057,0.04769680615345423,0.05594437540047798,0.03287001846969808,0.05524648745477227,0.10872221416008557,0.060629569806338664,0.06691245029570737,0.06158624916014405,0.02641769362326197,0.06393832181852321,0.0631961539345151,0.08318862948770166,0.06045807585607042,0.0515669342654498,0.06398896366652876,0.04781294250854925,0.021635319263379513,0.07124029774914142,0.03128509653531023,0.012861631546934899,0.026203920607112793,0.1071421256942408,0.04282414616076762,0.04282414616076762,0.07174404978812142,0.05407348795490308,-0.02378266681179424,0.0362507780594643,0.03369549944371177,0.031660412127157866,0.0048964694665000925,0.06408337198830297,0.02816336046387285,0.026081112689458927
Free Cash Flow per Share,-0.011397733240478741,-0.011909918285434223,0.022928360532931926,0.024520965046897266,0.0046781443414988366,-0.009968612836572875,-0.011196969776182668,-0.03431250478630489,-0.03020219317351333,0.008116954122176097,-0.030368020776084855,0.04812618438231856,0.00974333248430569,-0.014632438912272198,0.009778884968847792,-7.622001788739772e-05,0.02524793846239783,-0.011663530678010663,0.04186476593727863,0.028792036387783024,0.00974333248430569,0.00852709109281232,0.02130677827490076,0.008690268228773943,0.02770424802474817,-0.011663530678010663,-0.011663530678010663,-0.007776395640644281,-0.0025149734875037823,0.023100192418316227,0.01603093958370248,0.04657782332020401,0.0242475400045123,-0.0002682625851296393,0.0226003404821361,0.034662290674881795,0.023100192418316227,0.023100192418316227,0.0008134158026498229,0.02314697657416878,-0.011663530678010663,-0.010499622975600257,0.020858218953446226,0.012805333974337656,0.04049070289631861,-0.010934783821487335,0.011016399746685841,-0.030501445279587223,0.03577632360555976,0.0174685139738249,0.04297427244399894,0.02544675914296807,0.04222325633174431,0.026815733476514222,-0.023410215313210782,0.03451808670582487,0.02042350182242855,0.03068193691639029,0.013455025946712707,0.04406734632035258,0.044661006250600016,0.029723890935593963,0.02534831706832163,0.012967273980131094,0.03296408158720691,0.006344541964024216,0.040536258223181965,0.010998139709853328,-0.01095428182222684,0.0183054968162887,0.06306882822715242,0.011185102034833984,0.016480445108177526,0.027916185344570025,0.005072476391643378,0.058313697543462564,0.031783065228893764,0.04821849147758501,0.013215553070412101,0.02429906432858989,0.04157653470689001,0.023517758159480668,0.009344139805044038,0.029017852034446227,0.0029606084608608182,0.019220522252254364,0.014766283670152036,0.04889768711352879,0.015710114349692102,0.04330776994322432,0.011660421903678614,0.0481563092010515,-0.034585618697030106,-0.002127117832325305,0.02142336518005436,0.019007282196334043,-0.01149914423638876,-0.0049663502632082985,-0.011268015908877192,0.01445111026430108
Operating Cash Flow per Share,-0.013997864942976569,-0.015430251268733649,0.022482654074987014,0.0064915308392528666,0.01092372275304475,-0.013586386074221142,-0.01441922824469746,-0.047341192443744504,-0.04323088083095293,0.004006688810155485,-0.04339670843352446,0.026981136588772815,0.02370211949122988,-0.0002776570081549424,0.023737671975771982,0.018677093935272577,0.023097715949518295,-0.024609823051052696,0.02071971814373287,0.013144775336599468,0.02370211949122988,0.003855472351674348,0.023180858951718283,0.01665338252095788,0.009383028406462282,-0.024609823051052696,-0.024609823051052696,0.010530543041771406,0.015791965194911908,0.006436182774791621,0.029619473356720733,0.032408184607514184,0.033598579422593935,0.01803867609728605,0.01019838821949924,0.03028783219276187,0.02301794173725008,0.007312917842250719,0.05391287003671657,0.010986371563138645,-0.024214308281919224,-0.012973944951988345,0.02565293128283232,0.02062965230863023,0.02613364322283721,-0.012973944951988345,-0.001374857306357061,-0.010721467710581842,0.05566242078717314,-0.007469504962959091,0.02878317267097854,0.03001155433861059,0.04106287268016048,0.02543117535483049,-0.011354780615882628,0.019509523150128782,0.013384639333011573,0.051150055955855055,-0.004476938423758518,0.03314790657475868,0.05346264833595881,0.016376507646083057,0.03367628047464215,0.034527238542341035,0.005876101145776776,-0.021134914318075904,0.026381822305401845,-0.008897551392525243,-0.03903326283054622,0.014611891652812577,0.03414498332546128,0.005343438286687723,0.04496001731657209,0.03306676923736559,-0.008016894782588832,0.041899077178223505,0.025255284684025193,0.06398160742407845,0.005245998032338885,0.018284278367720064,0.029854362227893946,0.041899077178223505,0.018395857601680415,0.02974040869428644,0.018700221260554598,0.006291282072986602,0.020806061290838906,0.06090155039212628,-0.0021584023114271603,0.003531519023666069,0.018628361387697388,0.033147697885508504,-0.02190833636161972,0.029510954480079565,0.00890943818559507,0.005890753278827928,0.003839389662337036,0.0299394536620323,-0.00813883574568785,0.00408826579489587
Cash per Share,0.03687971707322507,0.05138731857334328,0.015958436017294506,0.05221624860164661,0.05774291480452265,0.0516979248118511,0.05078998696664887,0.0006718238638037462,0.006188832538653868,0.04897244514048735,0.005766738514872052,0.0053106364845706645,0.025001568225118852,0.04060608177610281,-0.0012490406446789436,0.0325833567831197,0.0021726775397432683,0.0035059991776993627,0.011597258868164078,-0.007094773767998053,0.024026757776684813,0.005205337950764436,0.00033184893030248905,0.04628022441943996,0.004211565491581254,0.029342409105511773,0.019083030831596747,0.03761253226517858,0.045554467208799805,0.031364271651445584,0.03229752987328537,0.03840870765802874,0.036180720640799635,0.06132803088900054,0.053761625670072824,0.03247747332378924,0.05315252623163568,0.05302920869592357,0.05780396845799682,0.05149218590047321,0.030825783834256087,0.030825783834256087,0.03397844409234115,0.07105350636379547,0.029912506376663543,0.030451125736510754,0.02751773777006218,0.00857119222992058,0.0314398795164772,0.028229047877428113,0.05302733180295797,0.055550137231479536,0.04928282109937445,0.02471694639588171,0.006393670862014976,0.006607396684278781,0.005650717330473391,0.030185966428248615,0.008648014014041125,0.048130683349584355,0.04921519648145612,0.012607258801987254,0.039582461499840335,0.03158340743289271,0.015237418618371894,0.02603669846797288,0.052079700992023296,0.02796686034071143,0.0006928747738641564,0.06690730155978325,0.03897319901996959,0.03922678678182325,0.048485984151553946,0.03969537310908652,0.030451125736510754,0.050388580826306165,0.05240555350546329,0.047211827400139184,0.03896099670268903,0.032045563152589586,0.052079370759945814,0.05302920869592357,0.026828244985785635,0.017884519461455257,0.05769846378126765,-0.00019965397205617334,0.0308952900915607,0.039015651555564836,0.033918015819192404,0.03079964484792086,0.05986224984941495,0.03982197927284858,0.0008933820249739516,0.05857335946307872,0.027995121581215046,0.0007604721716742625,0.027211270854719936,0.053123411793479694,0.027941021354379238,0.021322019081354907
