,_PO_,_PO_.1,_PO_.2,_PO_.3,_PO_.4,_PO_.5,_PO_.6,_PO_.7,_PO_.8,_PO_.9,_PO_.10,_PO_.11,_PO_.12,_PO_.13,_PO_.14,_PO_.15,_PO_.16,_PO_.17,_PO_.18,_PO_.19,_PO_.20,_PO_.21,_PO_.22,_PO_.23,_PO_.24,_PO_.25,_PO_.26,_PO_.27,_PO_.28,_PO_.29,_PO_.30,_PO_.31,_PO_.32,_PO_.33,_PO_.34,_PO_.35,_PO_.36,_PO_.37,_PO_.38,_PO_.39
0,-0.09210704871577557,-0.06494144424064696,-0.059405301713476986,-0.05326551948728913,-0.053296258923346725,-0.09100723844480454,-0.10809065785868834,-0.09878793531850011,-0.1361749433822053,-0.12894002771011526,0.3115031246629422,-0.027013418782169688,-0.02741438318142857,-0.028416273187937068,-0.03025727092316019,-0.07530447902436105,-0.06980870413370038,-0.07096248236070307,-0.03777133869129682,0.019533097724380576,0.30868272005426134,0.013075627746698595,0.01977413269000294,-0.029791367715084328,0.020504896270545987,0.019809756235618693,0.020964403867383075,-0.04957845918140966,-0.040127422600736644,-0.07165275456083885,0.3399185266040828,-0.030732993443247515,-0.031795343549655034,-0.02979589696272058,-0.029476405360264295,-0.029476405360264295,0.001672961500540157,-0.041830484890715856,-0.03103478714751157,-0.030819916421342682
Revenue per Share,-0.027480435003031968,0.039755500581473265,0.04306021717340593,-0.054680573284325594,-0.05519489038419867,-0.029454385215105357,-0.030138496930153132,-0.005480740691322695,-0.026409348828313525,-0.026605178830712388,-0.05549363706555446,0.025771712867540895,0.04588386888621271,0.0367680423055465,0.0016872034149287172,0.03928095539688974,0.007900133614246855,0.0063727329072185614,-0.013487496976967488,-0.05956304160224775,0.006331421492549181,-0.0594418713694964,-0.04027647854082978,0.047944339814244175,-0.058262731054738066,-0.0397333968447529,-0.048694716636338675,0.04173497735506098,0.04138607618866388,0.04213616505662251,-0.00971177364244626,-0.007940463832735868,-0.009917713618401963,-0.00971177364244626,0.010931945959818768,0.010966892300463695,0.06330827099252372,-0.010843560645039475,0.009714227700498915,0.011631285781539689
EBITDA per Share,-0.003743393427953476,0.050246149366102916,0.05334178973365976,3.321036082880747e-05,0.0016037362291910651,0.003104260107362402,0.005935393761614283,-0.004526139226144797,0.009712398811781828,0.01168222014358652,-0.0030134923190265808,0.04604181162326431,0.04445448125897965,0.029266985339911192,0.019356467537910857,0.01941657147472051,0.067819442201125,0.045099328599900484,-0.023435199027791506,0.01617262248103566,0.04685776275528694,0.018554465173451048,0.01617262248103566,0.035336543813078235,0.01642346206056533,0.017688916114652786,-0.009360255351611689,-0.02180625050105783,0.007341537062428519,0.05178079037010398,0.023581696996370118,0.025981297270510698,0.023008364326520453,0.026135354242280386,0.01919321172608482,0.003920695957147847,0.13600242963912043,0.009185937434102245,0.02018483742053514,0.02018483742053514
EBIT per Share,-0.0281708893859293,0.047375077324371705,0.051186184292729815,-0.0026359461547592116,-0.003193618395125733,-0.0009696649642190634,-0.009011826119916836,-0.008051628321667066,0.007808385881982751,0.007408528793912523,-0.0037378259618890755,0.04470425026239662,0.04493892742015069,0.012713270473152048,0.0048704894346338415,0.021391300733301644,0.0676028015693273,0.0364386611416462,-0.04491710735941885,-0.009414648979376035,0.034574032383918145,-0.011112633396395701,-0.011811871802524167,0.03389245479024403,-0.003938872726166848,0.0035738472848866414,-0.011237456511636278,-0.02029719535766931,-0.008582751464560898,0.04996261351585073,0.021989535974610473,0.023443794230692188,0.022204752008524387,0.025442994371721647,0.004864425733524446,-0.014517477572210367,0.12295376898063344,0.009568066840879632,0.019801196639551773,0.019419996061650537
Earnings per Share (Diluted),0.0038660948549715285,0.07801125200724283,0.07801673967703603,-0.02355247940408939,-0.024672211209012675,0.00010453368191429974,0.0004689093203072278,0.02119799055777824,-0.001999151058075001,-0.016581807221463074,-0.024639652291975223,0.03059793429521203,0.05967082370425362,0.030574569106305564,0.009461901522055411,0.084056574191542,0.04909819014060351,0.02381714773156284,0.0078310400743522,-0.03650365692163043,0.021712846389069156,-0.029817612926706635,-0.010087940460670259,0.09255779724169935,-0.03537576299040392,-0.009174098742985647,-0.020714529850440092,0.05823061565264881,0.06881540999318643,0.07855545957400618,-0.011167319069749524,-0.012619828134860827,-0.01064391894319247,-0.01068022469090937,0.03601067408116509,0.037258057844331186,0.10716415490970738,0.04946817069750682,0.03566382013686555,0.036523681437933705
EPS without NRI,0.005970297625674149,0.07592884207118195,0.07844355081501918,-0.0261474924765505,-0.026515160863904496,-0.0018001501733198077,0.0023634248289168373,0.03408993401929716,0.0005218003766675429,0.0014299853734049614,-0.03170394384060503,0.06074167349264425,0.06255008411610144,0.061866261825082466,0.03191822617467875,0.0828200570439647,0.052724646286605815,0.051499059256862545,0.04410519681056049,-0.015585909113022739,0.04066385364731784,-0.0148480605592797,-0.014700248712056755,0.08924762077031784,-0.015224755928493426,-0.015019907770069394,-0.014758006488089899,0.07391947839959315,0.07256904585909474,0.07394002666986152,-0.0006932671939943267,-0.0027219060486491976,-0.00037605885556235,-0.00019535368530776724,0.031754970362852714,0.03522111092764825,0.12998303562650212,0.03836942693540224,0.033266155301186644,0.03214049209619048
Owner Earnings per Share (TTM),-0.013458169000138992,0.07099869553446389,0.03682471372265079,0.03167126487593611,0.0015896050310275798,0.01615417571857818,0.012962315115514874,0.019644346032858792,0.023903450601445185,0.007904974147150048,0.030104192061285274,0.03400418355446067,0.05131794213885669,0.03184139393412963,0.008963141981344364,0.023739992953408617,0.05546909302895671,0.05546909302895671,-0.028264397941399275,-0.002728372850416894,0.06120619316467653,-0.004305071004229193,0.013125752795144868,0.030932220543420746,-0.0037688824548182467,0.024086736379245015,0.003405523140735071,0.026817514970905863,0.027719029803725283,0.056550877956890136,0.03372846862609328,0.017286506197751902,0.02233236062846883,0.0343143438629927,0.04446327048482775,0.042551597363741804,0.04482653569736081,0.03952522761880564,0.0418016366551584,0.039922977144800406
Free Cash Flow per Share,-0.04030754671961143,-0.0022001048602665247,-0.00016965382468840965,-0.02363756094458445,-0.022188196944391673,-0.01964379306553895,-0.023142402191639877,-0.03984800372790227,-0.00035073838727664496,-0.00033483309084984163,-0.024101925609424063,0.02566705413070875,0.025041890790022656,0.025041890790022656,0.00697958316786375,-0.007166637164266716,0.028373880212644247,0.028373880212644247,-0.037580721388626885,-0.020387604719203256,0.02430427422382869,-0.020387604719203256,-0.020387604719203256,0.0017166053022230877,-0.020351981173587504,-0.020351981173587504,-0.020351981173587504,-0.011663530678010663,-0.011663530678010663,-0.0023339244250906383,-0.01980044925219824,-0.01980044925219824,-0.01980044925219824,-0.01980044925219824,0.006816327356037714,0.009258418226842877,0.08713646834387347,0.018198762388205062,0.008181751920157503,0.007331333351550993
Operating Cash Flow per Share,-0.03672394022043309,0.01600966483859922,0.02894057104472727,-0.026980600760015412,-0.026980600760015412,-0.02311113632257892,-0.019707631508100995,-0.03647378528551801,-0.015781064379363857,-0.015765159082937054,-0.026980600760015412,0.010922122168084594,0.010296958827398495,0.010296958827398495,-0.01552507283992377,-0.014243190549957721,0.03738016733030813,0.03738016733030813,-0.051022023903245645,-0.006317911338620549,0.023236207016179528,-0.006317911338620549,-0.006317911338620549,0.002111577014190524,-0.0062822877930047965,-0.0062822877930047965,-0.0062822877930047965,-0.024609823051052696,-0.024609823051052696,0.015378177595565125,0.009187603018713814,0.009187603018713814,0.009878292798247926,0.009187603018713814,-0.0156883286517498,-0.014068100916169338,0.12502243725218362,0.00807318461597243,0.019774565751682075,-0.014900345308110399
Cash per Share,-0.011677803078840258,0.061338161286924396,0.061338161286924396,-0.0475001227174996,-0.046580236875294674,-0.021984688590857476,-0.022372086766213467,-0.0008745187869178784,-0.018137514524392252,-0.028359997433303155,-0.0475001227174996,0.032709163474399304,0.05896460826015835,0.031991578180184665,0.006585147645253405,0.040336742997195855,0.022753666932501096,0.022854629130422327,-0.010332647832184785,-0.060456966169946266,0.02484982339985507,-0.060456966169946266,-0.0628541889930944,0.052947543803942475,-0.04660986125405328,-0.03639666799787358,-0.04611199974356006,0.01628577106146216,0.018576079526744685,0.039854261059153455,-0.005444848022976027,-0.007560496839702658,-0.007560496839702658,-0.005444848022976027,0.03279653582049463,0.03358712142917745,0.07335820297269535,-0.007515833697968476,0.03189571534904226,0.030527096050895045
Dividends per Share,-0.011916963479111031,0.043033314377149356,0.043033314377149356,0.012336553118938776,0.0024676925858762118,-0.0004561832323011364,-0.002484059482697299,0.016425728073217825,-0.0044549048483861434,-0.03159382043680372,-0.016460813080936165,0.01573036678505206,0.031986361805557036,0.015585569364500855,0.0041319519262503004,0.04742814711487802,0.017606232045468292,0.01683037168401513,-0.03130348830463804,0.0031728263557219906,-0.016483857679685028,0.009468847874570531,0.018922883575664157,0.016672897426745766,0.004392839237778112,0.028785774212458884,0.009504471420186284,0.014895375033355925,-0.0034107440707520555,0.015466772190973001,-0.05141862135723754,-0.056963791968236435,-0.04218029166841287,-0.05350744029957348,0.011502285128440112,0.03304687793213883,0.03182817319739769,-0.06060487958121202,0.033464837388974045,0.03304687793213883
Book Value per Share,-0.02205739025663791,0.04798521336982902,0.04367945110841428,-0.058190151682860874,-0.053494398579976815,-0.028312156307453984,-0.04191505301965795,-0.005045065717197308,-0.024551253607275954,-0.03193516217962396,-0.05682912867157086,0.03246620083857387,0.04831231760458595,0.04940090445815329,0.006690282182884429,0.04480363204802721,0.017962199958013,0.015442664090933401,-0.004276351495011107,-0.04610056586918614,0.018947439070358042,-0.0542971802739779,-0.044313466571907614,0.045795558624989116,-0.05608839067299536,-0.04398028998765849,-0.05608839067299536,0.032513356654866876,0.04016158112626131,0.03909325267174304,-0.026621507701510384,-0.043217521067912976,-0.043217521067912976,-0.02670923977420678,0.007113380149177873,-0.0035765928739797835,0.028093418401351496,-0.032684399770784314,0.01201054941258344,0.011222838395795348
