,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,-17.09,6.47,6.47,-23.55,-23.55,-16.4,-14.76,-13.11,-1.66,-1.63,-33.48,0.05,-0.66,-0.66,-0.67,0.01,,,0.72,-33.43,0.0,-33.43,-33.43,0.0,-33.43,-33.43,-33.43,,,6.47,-1.676717,-1.676717,-1.676717,-1.676717,49.88,49.88,-1.6767,-1.676717,19.94,19.94
2019,-45.21,8.21,8.21,-53.43,-53.43,-19.1,-15.72,-12.07,-3.65,-3.38,-64.31,-0.78,-0.9,-0.9,-0.92,0.02,,,0.12,-65.09,0.0,-65.09,-65.09,0.0,-65.09,-65.09,-65.09,,,8.21,-2.589486,-2.589486,-2.589486,-2.589486,49.88,49.88,-2.5895,-2.589486,25.14,25.14
2020,-52.63,19.4,19.4,-72.03,-72.03,-31.83,-24.0,-18.97,-5.03,-7.83,-84.45,0.76,-1.32,-1.32,-1.35,0.02,,,2.09,-83.69,0.0,-83.69,-83.69,0.0,-83.69,-83.69,-83.69,,,19.4,-2.391058,-2.391058,-2.391058,-2.391058,49.88,49.88,-2.3911,-2.395206,34.94,37.89
2021,-64.52,19.56,19.56,-84.07,-84.07,-53.19,-40.99,-32.66,-8.33,-12.2,-117.7,-0.95,-1.72,-1.72,-1.83,0.1,-2.1,-2.1,2.88,-118.65,0.0,-118.65,-118.65,0.04,-118.61,-118.61,-118.61,,,19.56,-2.41,-2.41,-2.41,-2.41,49.21,49.21,-2.41,-2.41,49.19,49.19
TTM,-76.85,38.42,38.42,-115.28,-115.28,-70.24,-52.65,-41.05,-11.61,-17.59,-147.09,-5.56,-3.0,-3.0,-3.14,0.14,-7.91,-7.91,5.34,-152.66,-0.01,-152.67,-152.67,0.26,-152.41,-152.41,-152.41,,,38.42,-2.808331,-2.808331,-2.808331,-2.808331,54.49,54.49,-2.8,-2.8,54.39,57.89
