,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Investments and Other Financial Instruments,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.009401857093900878,-0.0040408826911588385,-0.012049654334472169,-0.09407987012274667,-0.09456949726863761,-0.008077732604146317,-0.007985310650617767,-0.0020079521069167406,-0.1291245328552177,-0.15210982663422018,-0.0747517703493568,-0.07548228588945222,-0.06791386357804749,-0.05248036047929734,-0.15819643037199288,-0.04701625919039366,-0.0873384776801034,-0.0873384776801034,-0.035701766917177316,-0.04302687753358923,-0.10086323140848838,-0.10243229655504296,-0.12876757931988286,-0.008234934859166012,-0.11050969698618669,-0.11050969698618669,-0.011751551894768552,-0.10944980615573387,-0.1023371675992545,-0.10088750604450518,-0.03632956511325777,-0.036165222862455104,-0.011305224017120523,-0.12242459743846276,-0.12980762183893835,-0.03357952551686748,-0.12098279733744088,-0.12024522175013694,-0.04826452952424504,-0.058633957055697426,-0.07911777656405933,-0.08189232071236875,0.0006890553569410702,-0.0015279553909742952,-0.0003422809396309824,0.006924482492347689,-0.041546628725319334,-0.041849070230088964,-0.0112715049615408,-0.0004510853569579344
Revenue per Share,0.14412607143651623,0.37764192951336784,0.3475851845753671,0.04997376515238264,-0.05564429639802803,0.16720044801174053,0.14974101842510448,0.08820516087956548,0.062161653200664836,0.06511589361889379,0.0430946992378975,0.045960448578949514,-0.02719811026579469,0.10474253829490364,0.08059477720343135,0.07309161928785703,0.11175864486114044,0.12694437708416667,0.03906401039781492,0.03541086412214576,0.07224331384360776,0.016316702970245695,0.01571329453916584,0.1019209310766479,0.008607684902994685,0.009370860934503964,-0.0057721061360031314,0.052679443431456766,0.05617812455583616,0.04119745101155261,0.05780217783130816,0.1011292301357221,0.3433974226303505,0.07381410971787947,0.030612992139510527,0.10562349693190318,-0.00038933699601980364,0.0065063308755925,0.013329985492261564,0.04895240829229385,0.0115617449578607,0.025686248010085747,0.09778982407128857,0.09639337285253047,0.13386769912297822,0.1429654466083298,0.01899359955017367,0.020500997234844692,0.03178270728151164,0.06394908042977114
EBITDA per Share,0.054317425629575464,0.1509307013043917,0.15352843180830683,-0.011057177360432867,0.000951454699099726,0.14794679600248928,0.14813839566438597,0.15172971302814722,0.03697444576692837,0.03171598895677413,0.025430214583006962,0.023629150039722217,0.024561396823322878,0.05480753887549272,0.025645499334139704,0.025533564488380258,0.06612460831197899,0.07973020085434863,0.013393753820760069,0.038102590364357515,0.04253264900037449,0.024016109463893452,0.031193000098019712,0.0682514881683282,0.003087773350523881,0.004662799123737325,0.02532747083228515,0.003419632824294111,0.00538313044295676,-0.007279301684369913,0.010615999227182283,0.015698627911639774,0.15112420815574662,0.030430270835991122,0.005862788650573077,0.013692907820655976,0.03374767898002648,0.056359267636328696,0.009797681544230889,0.05660093063101611,0.021570953753604814,0.0528827497577468,0.17227907499032613,0.18424682781508678,0.06652259383668403,0.0654580901967238,0.017146514658132953,0.024185384820313738,0.14263321924987554,0.1433181946815576
EBIT per Share,0.054985019639976415,0.153664922075644,0.15997271322476256,-0.012431422590313547,0.004959864220742017,0.153576486391549,0.15701953682077724,0.16085326541993147,0.02354896796612219,0.032381832737476524,0.021226771477238317,0.026997801355591176,0.022975489388957156,0.05352905605406028,0.03652560956334943,0.03969959418467647,0.0690938140000559,0.09303960062069119,0.01677181081384592,0.03867531036634062,0.0475114147158371,0.03902894811253307,0.03131461580502862,0.06064735684536566,0.003380200556164588,0.004790527398731422,-0.00422156529796042,0.004409497337676446,0.0020642411500572094,-0.007808057517469163,0.02081855470464246,0.016291381136642337,0.1501311327395112,0.028331999977837016,0.0026587334888640065,0.018482001193882616,0.03719575217086183,0.038372346698320035,0.0205989621941716,0.055087506515610084,0.055470841525058934,0.04816295419248717,0.183419032771156,0.1875442291437882,0.07045962887024002,0.0612819401621619,0.02465865667405064,0.04164907760730493,0.14553831536234135,0.12036166069218789
Earnings per Share (Diluted),0.25360914629010345,0.1993374833304099,0.20838800869502236,0.010518652779823886,0.045509214286458585,0.23040569979539333,0.13962897228726678,0.14822137448493128,0.13120504051146686,0.14454224162701132,0.10396032171712008,0.10810667244358048,0.050688817582428526,0.16200536449842387,0.12784346396896712,0.08930573062357405,0.16244444110896722,0.17931294036362375,0.1617473504181572,0.07158055274102569,0.0691431656661618,0.08296946034381841,0.043197309627564455,0.17903769833256095,0.12253107451709105,0.10063426155777618,0.06003717875789334,0.11519463456894143,0.07205007432945888,0.17335387633831395,0.11848011443988568,0.16651737446858839,0.21066571648569007,0.14960245563638372,0.01916427879173967,0.1663671662641479,0.028918589551417684,0.022832750492110386,0.05045502882397718,0.11640177411076122,0.11663524586469005,0.13118491858319398,0.2638533014988804,0.2608824289182148,0.3121095154539201,0.16001818502475387,0.07465547186108282,0.13584558588072576,0.05453509329803331,0.1752983211889527
EPS without NRI,0.15277380133975355,0.11781885991929444,0.10962112605324155,0.010826928568100032,0.006017276122340615,0.06751775574485865,0.05708474030324146,0.0989857420826654,0.04215652960904828,0.02938160959533405,-0.01826916506644193,0.015966119274902126,0.015337351034743103,0.06269275253353701,0.04623522750741899,0.031030361453716165,0.027175526360063065,0.0694768010038174,0.02322886095062511,0.0679241686515555,0.03840449575243477,0.06779771632864506,0.05242063994432176,0.13579578465392872,-0.00404670390100125,-0.020494688301269704,0.024244499507743406,-0.010896007157052908,-0.012809735822085291,-0.008846000346977457,0.04741445202964575,0.06939169572577299,0.0711562189715063,0.047289341707244595,-0.012869065504629653,0.05942998716354311,0.0038901036182916564,0.030072690127098668,0.10245523504953499,0.16616976044175388,0.14187360042322944,0.1355301285433441,0.10462667023643388,0.11048648195806242,0.051089327889929786,0.04987543297712425,0.15135703971112513,0.1937620423993776,0.13913492289425886,0.11626968191962833
Owner Earnings per Share (TTM),0.11602158723243637,0.12174432862445822,0.16441907468563136,0.07970317420315173,0.13991698849586223,0.2751060761769451,0.20177243677573012,0.20848051019677238,0.13174026905399322,0.10199928269480195,0.08052688270152096,0.062178880778768625,0.05687467897925795,0.09372721534844303,0.14049739892713647,0.14685251639111876,0.17453367181850524,0.1894197970340393,0.04983439524926403,0.09647259312800782,0.08964540941048388,0.07172869658504583,0.022883107399820586,0.08319503925400211,0.06219284497301142,0.06652835118528862,0.0738183569696237,0.06234169678751761,0.10148429735794606,0.09771913074565186,0.05646328321413947,0.05342758866314196,0.1821749252523898,0.14297529847194768,0.052134370198801724,0.11384820713662465,0.09637096809638976,0.10832831318811519,0.03321256836588434,0.09024266090964962,0.05957145773036372,0.1603381705127731,0.2904331565397028,0.2911286826052732,0.17554639881673445,0.1890417671913788,0.01234384098083794,0.03312436427881049,0.10273679046379573,0.10796390324411848
Free Cash Flow per Share,0.033128761927786625,0.1597539811739106,0.16144697341036174,0.029362558426992647,0.053503772541146175,0.1625780493646362,0.17168179952327783,0.16733263584027142,0.02171391185016313,0.06476585321745047,0.011649783488434285,0.011471154224376839,0.013783863905381081,0.03665092041917133,0.04318365122530897,0.09417845679506232,0.0963364080873087,0.1659434175865966,0.019033226448406063,0.06051871425930778,0.04095127246289422,0.03732216437963453,0.011889029190487546,0.02714170897364273,-0.006999820234659419,-0.0016840867482666444,0.028982655234897438,-0.005019060179234747,0.0631309303819822,0.06299273467838812,0.010134691034469507,0.005663357478006661,0.1639229326736824,0.03018887797561811,0.009747691159182668,0.007952868135101166,0.0601277790399526,0.07359699358430942,-0.011994358016870155,0.03344489688664232,-0.00010714694788859554,0.06178301725995107,0.19982375511393047,0.19677033515490125,0.14948644237158795,0.1528606096606573,-0.015466105435478293,-0.001178189322811888,0.12300778096883956,0.12498859023481389
Operating Cash Flow per Share,0.1662431833103757,0.20893207284513024,0.22286852965976836,-0.020818381282741598,0.007003661970657057,0.3086251339358243,0.16769117990610535,0.18316571079890473,0.11112927668575251,0.1350551535726642,0.07858888102782823,0.029872906536089712,0.024908245263267518,0.03181782317730337,0.09619290307100846,0.09450562489507852,0.14903686497842644,0.15840178088078985,0.07632301140079412,0.06895376199462974,0.03742597113930203,0.03693238952868443,0.011244125668676356,0.13350324943698838,0.0913887641170297,0.09060836130911472,0.014487412249407746,0.004782555420819417,0.0633712328930227,0.06343443225643762,0.010591553417338345,0.09399781826990698,0.22045493000722083,0.11862428310669662,0.014981638294973797,0.10648372277628373,0.05932513111464372,0.05758030526845295,-0.034286525804288565,0.08041769063226546,-0.009819115722346833,0.10367584331239423,0.2096660321346319,0.18149082994148233,0.13410536273062068,0.1426460933088138,-0.04118566280131433,-0.04619062778568468,0.12110004258773795,0.10491451327412062
Cash per Share,0.19359235261740101,0.18736744649606735,0.11382726135228942,-0.01884977184589874,-0.028059058200602068,0.13100155814011905,0.10385380580115985,0.10487547472202807,0.02796395942198522,0.03325769589511248,-0.015620856624378844,-0.0033678940280507438,-0.022778355172075937,0.04855047921728379,0.01894322984674653,0.06764763963333292,0.07003360027949122,0.1498335793714712,0.023666261923100472,0.03031577717741623,0.034762417273254506,0.04488821473302002,0.02163399927084097,0.1198402889948795,-0.01626469758201217,-0.007391765734346237,-0.015643185522513994,-0.002022253925478176,0.04785092072931802,0.031195676901028847,0.038403090146634365,0.03786948577355904,0.10609181417698411,0.020472573983158777,-0.017955829509535486,0.03488770795032323,0.0034278305841935466,0.013280422064135614,0.038579122069203914,0.01464745355308859,0.032914312201757744,0.0012554578312191506,0.1598572823351972,0.15407442153636206,0.16057293067603962,0.16752722923423619,0.03492340495745204,0.023782835880307225,0.08041334196314752,0.11577753380887254
