,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Investments and Other Financial Instruments,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1192.67,3747.64,3747.64,-2554.96,-2554.96,-489.21,-489.21,-489.21,703.47,-12.68,-79.21,-79.21,-87.35,8.14,40.15,21.12,6.93,6.93,12.1,26.38,0.0,0.0,690.78,-123.0,567.78,567.78,-127.3,440.48,440.48,440.48,,,3815.37,,0.1781,,,,0.11,0.11,0.109488,0.109488,4023.13,4023.13,0.0,0.0,0.11,0.11,4023.13,4023.13
2018,1103.46,3935.33,3935.33,-2831.87,-2831.87,-512.26,-512.26,-512.26,591.19,-19.7,-82.46,-82.46,-90.89,8.43,31.67,17.49,10.75,10.75,3.44,31.09,,,571.49,-104.11,467.39,467.39,-92.01,375.38,375.38,375.38,,,3995.77,,0.1822,,,,0.09,0.09,0.09,0.09,4023.13,4023.13,0.0,0.0,0.09,0.09,4023.13,4023.13
2019,903.57,3926.69,3926.69,-3023.11,-3023.11,-535.07,-535.07,-535.07,368.5,62.04,-83.64,-83.64,-89.33,5.69,107.14,88.34,18.81,18.81,,38.53,,,430.54,-122.13,308.42,308.42,-150.35,158.07,158.07,158.07,,,4059.25,,0.2837,,-262.6,-262.6,0.04,0.04,0.039291,0.039291,4023.13,4023.13,0.0,0.0,0.04,0.04,4023.13,4023.13
2020,806.76,3667.98,3667.98,-2861.22,-2861.22,-537.41,-537.41,-537.41,269.34,41.75,-70.99,-70.99,-75.76,4.77,66.0,64.87,1.13,1.13,,46.74,,,311.1,-67.52,243.58,243.58,-45.47,198.11,198.11,198.11,,,3784.36,385.73,0.217,,,,0.05,0.05,0.049243,0.049243,4023.13,4023.13,0.0,0.0,0.05,0.05,4023.13,4023.13
2021,937.57,4192.65,4192.65,-3255.08,-3255.08,-528.56,-528.56,-528.56,409.02,45.05,-84.09,-84.09,-86.04,1.94,78.29,66.34,11.95,11.95,,50.86,,,454.07,-77.89,376.18,376.18,-84.09,292.09,292.09,292.09,,,4311.79,528.16,0.1715,,,,0.07,0.07,0.07,0.07,4023.13,4023.13,0.0,0.0,0.07,0.07,4023.13,4023.13
TTM,1423.92,5149.67,5149.67,-3725.75,-3725.75,-589.56,-589.56,-589.56,834.36,29.3,-108.13,-108.13,-108.92,,76.27,67.72,8.55,8.55,,61.17,,,863.66,-154.94,708.72,708.72,-144.89,563.83,563.83,563.83,,,5279.35,964.04,,,,,0.13,0.13,0.131763,0.131763,4023.13,4023.13,0.0,0.0,0.13,0.13,4023.13,4023.13
