,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,Other Short Term Investments,"Trade and Other Receivables, Current","Taxes Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current",Total Non-Current Assets,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Licenses and Rights,Research and Development,Other Intangible Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current",Other Current Liabilities,Total Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,37.12,5.24,4.87,0.12,,,4.75,4.75,0.37,0.0,0.08,0.29,31.87,31.87,31.87,31.87,1.84,30.04,0.0,0.66,0.66,0.61,0.05,0.05,0.56,0.05,0.0,36.45,36.45,9.42,9.42,5.94,3.49,-0.91,27.94,27.94
2018,86.19,21.93,20.93,1.22,,,19.71,19.71,0.99,0.0,0.16,0.83,64.26,64.26,64.26,64.26,1.84,62.43,,4.17,4.17,3.01,2.03,2.03,0.98,1.16,0.0,82.02,82.02,60.81,60.81,9.64,51.18,-39.12,60.33,60.33
2019,103.97,15.66,15.45,15.45,1.73,13.72,,,0.2,0.0,0.14,0.06,88.32,88.32,88.32,88.32,1.84,86.48,,3.21,3.21,3.17,2.43,2.43,0.74,0.04,0.0,100.76,100.76,83.69,83.69,12.63,71.06,-67.31,84.38,84.38
2020,154.35,51.51,51.13,51.13,51.13,,0.0,0.0,0.39,0.0,0.16,0.23,102.83,102.83,102.83,102.83,1.84,101.0,,1.18,1.18,1.18,0.5,0.5,0.68,0.0,0.0,153.16,153.16,140.39,140.39,14.91,125.48,-86.13,98.9,98.9
2021,149.13,46.25,43.89,43.89,43.89,,,,2.37,0.0,2.06,0.3,102.88,102.88,102.88,102.88,1.84,101.04,,2.82,2.82,2.82,0.9,0.9,1.93,,0.0,146.31,146.31,140.39,140.39,14.91,125.48,-93.03,98.94,98.94
