,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,"Cash Restricted or Pledged, Current","Derivative Investment and Hedging Assets, Current",Inventories,"Raw Materials, Consumables and Supplies","Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","General Allowance for Receivables and Write Offs, Current","Other Receivables, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Regulatory Assets, Current","Assets Held for Sale/Discontinued Operations, Current",Other Current Assets,"Deferred Tax Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Utility Plant,Electric Utility Plant,Natural Gas Utility Plant,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Utility Plant,Accumulated Depreciation of Electric Utility Plant,"Accumulated Depreciation of Natural Gas, Oil, Fuel and Other Utility Plant","Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Other Intangible Assets,Customer Relationships,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Other Intangible Assets,Accumulated Amortization of Customer Relationships,Total Long Term Investments,Long Term Equity Investments,"Other Investments, Non-Current","Derivative Investment and Hedging Assets, Non-Current","Trade and Other Receivables, Non-Current","Notes Receivable, Non-Current","Cash Restricted or Pledged, Non-Current","Regulatory Assets, Non-Current","Pension and Other Employee Benefits, Non-Current","Assets Held for Sale/Discontinued Operations, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Interest Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Capital Lease Obligations, Current","Derivative and Hedging Liabilities, Current","Regulatory Liabilities, Current","Discontinued Operations Liabilities, Current",Other Current Liabilities,"Deferred Liabilities, Current","Other Deferred Liabilities, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Regulatory Liabilities, Non-Current","Liabilities Held for Sale/Discontinued Operations, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 4,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Debt due in Year 3,Debt due in Year 5,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 4,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 5,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due in Year 5,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,33767.0,3081.0,66.0,66.0,23.0,103.0,779.0,779.0,1856.0,758.0,807.0,-49.0,,98.0,1000.0,55.0,,199.0,,30686.0,20721.0,31424.0,28146.0,22972.0,5174.0,,3278.0,-10703.0,-10703.0,-9765.0,-7984.0,-1781.0,-938.0,3160.0,3256.0,2293.0,963.0,193.0,770.0,-96.0,-96.0,-96.0,-72.0,-24.0,2797.0,1073.0,1724.0,51.0,73.0,73.0,,3723.0,,,161.0,23777.0,2812.0,1440.0,1440.0,1171.0,158.0,111.0,829.0,730.0,621.0,109.0,,,99.0,18.0,,525.0,,,20965.0,12232.0,12185.0,12184.0,12184.0,1.0,47.0,3525.0,985.0,985.0,2540.0,1888.0,1888.0,2875.0,,445.0,9990.0,9512.0,3989.0,3989.0,3989.0,5643.0,-120.0,478.0,1671.0,447.0,120.0,,1060.0,-6.0,50.0,,1697.0,456.0,129.0,,1060.0,-6.0,58.0,,26.0,9.0,9.0,8.0,,,,,,,,,,,,,,,,,,26.0,9.0,9.0,8.0,,,,
2018,36288.0,3260.0,71.0,71.0,5.0,102.0,811.0,811.0,1897.0,789.0,880.0,-91.0,,108.0,1000.0,153.0,,221.0,,33028.0,21650.0,31810.0,28322.0,22747.0,5575.0,,3488.0,-10160.0,-10160.0,-9162.0,-7310.0,-1852.0,-998.0,3142.0,3252.0,2293.0,959.0,180.0,779.0,-110.0,-110.0,-110.0,-66.0,-44.0,3368.0,1771.0,1597.0,31.0,64.0,64.0,,4568.0,45.0,,160.0,25571.0,4438.0,1628.0,1628.0,1329.0,172.0,127.0,2175.0,2108.0,609.0,1499.0,,,67.0,126.0,,509.0,,,21133.0,12223.0,12134.0,12127.0,12127.0,7.0,89.0,3511.0,837.0,837.0,2674.0,1975.0,1975.0,2922.0,,502.0,10717.0,10237.0,4245.0,4245.0,4245.0,6112.0,-120.0,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,41882.0,3086.0,93.0,93.0,0.0,133.0,759.0,759.0,1887.0,1642.0,1642.0,,,245.0,,5.0,,209.0,,38796.0,25486.0,35241.0,30257.0,24279.0,5978.0,169.0,4815.0,-9755.0,-9755.0,-8621.0,-6706.0,-1915.0,-1134.0,4857.0,4999.0,2464.0,2535.0,283.0,2252.0,-142.0,-142.0,-142.0,-76.0,-66.0,3788.0,1862.0,1926.0,41.0,202.0,202.0,,4171.0,69.0,,182.0,30046.0,3997.0,1418.0,1418.0,1076.0,195.0,147.0,1631.0,1548.0,828.0,720.0,687.0,33.0,83.0,65.0,,504.0,379.0,379.0,26049.0,16148.0,16062.0,15924.0,15924.0,138.0,86.0,3729.0,808.0,808.0,2921.0,2315.0,2315.0,3264.0,,593.0,11836.0,11672.0,5233.0,5233.0,5233.0,6587.0,-148.0,164.0,15924.0,682.0,462.0,1177.0,10293.0,-831.0,2716.0,1425.0,34540.0,4581.0,497.0,1198.0,20214.0,-866.0,5683.0,3233.0,15.0,5.0,5.0,1.0,1.0,1.0,4.0,-2.0,160.0,38.0,30.0,26.0,20.0,12.0,67.0,-33.0,18441.0,3856.0,2940.0,1795.0,9850.0,175.0,43.0,35.0,27.0,21.0,13.0,71.0,-35.0
2020,45496.0,3498.0,514.0,514.0,2.0,116.0,716.0,716.0,1792.0,1665.0,1766.0,-101.0,,127.0,,129.0,,229.0,,41998.0,28121.0,38149.0,32605.0,26171.0,6434.0,152.0,5392.0,-10028.0,-10028.0,-8814.0,-7050.0,-1764.0,-1214.0,4805.0,5018.0,2466.0,2552.0,300.0,2252.0,-213.0,-213.0,-213.0,-92.0,-121.0,3919.0,1868.0,2051.0,40.0,280.0,280.0,,4128.0,561.0,,144.0,32907.0,2691.0,1397.0,1397.0,1029.0,210.0,158.0,608.0,540.0,38.0,502.0,469.0,33.0,68.0,39.0,,647.0,0.0,0.0,30216.0,19172.0,19112.0,18977.0,18977.0,135.0,60.0,4326.0,1204.0,1204.0,3122.0,2822.0,2822.0,3363.0,,533.0,12589.0,12425.0,5406.0,5406.0,5406.0,7156.0,-137.0,164.0,1901.0,,,,1765.0,-9.0,75.0,70.0,1901.0,,,,1765.0,-9.0,75.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,39719.0,3317.0,28.0,28.0,7.0,181.0,858.0,858.0,1830.0,1922.0,,,-92.0,,,195.0,0.0,218.0,,36402.0,27041.0,37180.0,35757.0,28849.0,6908.0,97.0,1326.0,-10139.0,-10139.0,-9521.0,-7676.0,-1845.0,-618.0,2170.0,2268.0,1993.0,275.0,275.0,,-98.0,-98.0,-98.0,-98.0,,381.0,187.0,194.0,90.0,310.0,310.0,2071.0,3482.0,678.0,0.0,179.0,31006.0,6346.0,1725.0,1725.0,1414.0,171.0,140.0,3884.0,3646.0,758.0,2888.0,2874.0,14.0,238.0,156.0,0.0,581.0,,,24660.0,14797.0,14605.0,14512.0,14512.0,93.0,192.0,4180.0,697.0,697.0,3483.0,2163.0,2163.0,3106.0,0.0,414.0,8713.0,8705.0,5379.0,5379.0,5379.0,3438.0,-112.0,8.0,2275.0,219.0,75.0,70.0,1920.0,-9.0,,,2275.0,219.0,75.0,70.0,1920.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
