,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Royalties,Cost",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Taxes Other Than Income Taxes,Provisions,Other Provisions,"Other Income/Expense, Operating","Income from Grants Received, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Dividend and Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Shareof Profit and Interest from Joint Venture,Share of Profit and Interest from Associates,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Reported Normalized EBITDA,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental","Employee Costs and Professional Fees, Supplemental Section","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental",Discontinued Operations,Earnings from Equity Interest,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,7933.0,16940.0,16755.0,185.0,-9007.0,-9482.0,-26.0,501.0,-5231.0,-4353.0,-4353.0,-802.0,-802.0,-420.0,-382.0,-243.0,-276.0,-276.0,443.0,78.0,365.0,,2702.0,3043.0,-101.0,-92.0,-116.0,24.0,-9.0,-12.0,3.0,3321.0,3.0,17.0,,154.0,154.0,,3143.0,4.0,-177.0,17.0,-70.0,-34.0,-90.0,5745.0,-1716.0,4029.0,4852.0,-62.0,4790.0,4790.0,4790.0,,,16940.0,2681.0,1801.0,0.2987,2470.0,,,,,,,,,,823.0,,11.676062,9.67,2.0,11.472552,9.5,1.97,410.24,417.52,0.0,0.0,0.0,0.0,11.67,11.47,410.24,417.52
2018,9023.0,21025.0,20813.0,212.0,-12002.0,-12437.0,-12.0,447.0,-6974.0,-5665.0,-5665.0,-1209.0,-1209.0,-555.0,-654.0,-250.0,32.0,32.0,118.0,96.0,180.0,-158.0,2049.0,-359.0,-130.0,-93.0,-121.0,28.0,-37.0,-37.0,,-157.0,1.0,0.0,4.0,189.0,189.0,,-351.0,0.0,-72.0,-8.0,-14.0,27.0,-77.0,1689.0,-348.0,1341.0,1341.0,-58.0,1283.0,1283.0,1283.0,,,21025.0,2165.0,1981.0,0.206,3023.0,,,,,,,,,,0.0,,2.977407,2.98,0.0,2.940397,2.94,0.0,430.91,436.34,0.0,0.0,0.0,0.0,2.98,2.94,430.91,436.34
2019,11517.0,25098.0,24891.0,207.0,-13581.0,-13995.0,-24.0,438.0,-7943.0,-6349.0,-6349.0,-1463.0,-1463.0,-727.0,-736.0,-388.0,-136.0,-136.0,393.0,100.0,293.0,,3574.0,-100.0,-19.0,-72.0,-120.0,48.0,53.0,-21.0,74.0,-109.0,3.0,6.0,-1.0,164.0,164.0,,-283.0,2.0,28.0,-3.0,-31.0,50.0,12.0,3474.0,-962.0,2512.0,2512.0,-65.0,2447.0,2447.0,2447.0,,,25098.0,3837.0,2665.0,0.2769,3820.0,,,,,,,,,,,,5.69,5.69,,5.63,5.63,,429.72,434.98,0.0,0.0,0.0,0.0,5.69,5.63,429.72,434.98
2020,7615.0,16631.0,16472.0,159.0,-9016.0,-9315.0,-30.0,329.0,-6193.0,-5028.0,-5028.0,-1447.0,-1447.0,-715.0,-732.0,-326.0,235.0,235.0,373.0,81.0,292.0,,1422.0,-852.0,-2.0,-86.0,-108.0,22.0,84.0,-7.0,91.0,-220.0,2.0,-1.0,-12.0,48.0,48.0,,-257.0,0.0,-630.0,-7.0,-69.0,-374.0,-180.0,570.0,-184.0,386.0,386.0,-34.0,352.0,352.0,352.0,,,16631.0,927.0,844.0,0.3228,1220.0,2476.0,,-1447.0,-1447.0,-715.0,-732.0,,,,,,0.83,0.83,,0.8,0.8,,426.04,440.46,0.0,0.0,,,0.83,0.8,426.04,440.46
2021,7278.0,15133.0,15052.0,81.0,-7855.0,-8198.0,-29.0,372.0,-6098.0,-4919.0,-4919.0,-1380.0,-1380.0,-701.0,-679.0,-257.0,-128.0,-128.0,586.0,186.0,400.0,,1180.0,-912.0,-103.0,-94.0,-109.0,15.0,-9.0,-9.0,,-454.0,4.0,1.0,0.0,40.0,40.0,,-497.0,-2.0,-355.0,54.0,-2.0,-240.0,-167.0,268.0,-200.0,68.0,68.0,-25.0,43.0,43.0,43.0,,,15133.0,864.0,760.0,0.7463,1400.0,2736.0,,-1380.0,-1380.0,-701.0,-679.0,,,,,,0.1,0.1,,0.1,0.1,,426.65,440.09,0.0,0.0,0.0,0.0,0.1,0.1,426.65,440.09
TTM,8411.0,17039.0,16877.0,162.0,-8628.0,-8995.0,-19.0,386.0,-6455.0,-5294.0,-5294.0,-1384.0,-1384.0,-711.0,-673.0,-266.0,-88.0,-88.0,577.0,231.0,346.0,,1956.0,-7677.0,-80.0,-65.0,-85.0,20.0,-15.0,-15.0,,-7191.0,4.0,,-33.0,20.0,20.0,,-1584.0,,-406.0,71.0,-108.0,-234.0,-133.0,-5722.0,1356.0,-4366.0,-4366.0,-27.0,-4393.0,-4393.0,-4393.0,,,17249.0,1584.0,795.0,,1500.0,,,-1384.0,-1384.0,-701.0,-679.0,,,,,,-10.29,-10.29,,-10.24,-10.24,,426.76,439.85,0.0,0.0,0.0,0.0,-10.29,-10.29,426.76,439.85
