,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Pension and Employee Benefit Expense, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Tax Receivables,Change in Accrued Income/Unbilled Revenue/Cost in Excess of Billings,Change in Other Receivables,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Taxes Payable,Change in Accrued Expenses,Change in Provisions,Change in Other Current Liabilities,Change in Other Operating Capital,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Sale of Intangibles,"Purchase/Sale of Investments, Net",Other Investing Cash Flow,"Payment for Loan Granted and Repayments Received, Net",Cash Receipts from Repayment of Advances and Loans Made to Other Parties,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net","Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,"Interest Paid, CFF",Cash Dividends Paid,Common Stock Dividends Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,23.93,23.93,23.93,37.31,24.49,22.77,22.77,0.99,21.79,0.15,,,1.57,,,,,,,,,-37.87,-0.6,-41.06,-34.78,-0.08,-6.2,,,1.9,4.29,6.38,-2.09,-2.39,,3.64,-1.75,,-26.52,-26.52,-0.26,-26.09,,,-0.18,,,,3.7,3.7,,3.7,3.7,12.47,-8.78,,,,,,4.13,1.1,3.03,,1.1
2019,1.08,2.76,5.34,-13.16,19.19,31.37,31.37,1.03,30.34,0.01,10.16,1.8,0.94,-25.09,-25.96,-25.96,0.87,,,0.0,0.0,-0.69,-0.32,9.5,,3.23,6.27,0.0,,-7.43,-7.16,-1.92,-5.24,-0.26,-7.59,3.81,1.32,-2.58,-8.57,-8.57,-2.13,-34.38,-65.04,30.66,0.01,,27.93,27.93,7.26,7.26,0.0,9.06,9.06,9.06,0.0,-1.8,-1.8,0.0,0.0,0.0,3.9,-0.23,4.13,,-0.23
2020,5.36,5.36,7.97,-15.88,22.28,31.98,31.98,1.58,30.41,0.07,3.81,1.36,-1.39,-13.56,-16.67,-16.67,3.11,,,,,1.57,0.85,-20.47,-12.7,-1.17,-6.6,,,24.05,6.93,0.73,6.2,17.12,,-1.72,-1.13,-2.61,3.94,3.94,-3.08,-18.11,-47.64,29.53,0.13,,25.0,25.0,-1.88,-1.88,,-0.52,-0.52,,-0.52,-1.36,-1.36,,,,11.33,7.42,3.9,,7.42
2021,57.37,57.37,59.0,-24.21,28.26,34.63,34.63,1.81,32.83,-0.11,5.19,1.13,-8.53,-3.75,-3.06,-3.06,0.15,-0.84,-0.31,,,54.95,-2.06,22.65,15.41,0.63,6.6,,1.58,23.9,41.53,8.66,32.87,-17.63,-0.4,9.29,,-1.63,-31.65,-31.65,-5.22,-36.66,-44.78,8.12,0.02,10.21,,,-23.16,-23.16,,-22.1,-22.1,5.56,-27.66,-0.46,-0.46,,,-0.6,13.89,2.56,11.33,,2.56
2022,-27.2,-27.2,-21.8,-17.42,25.14,33.87,33.87,1.85,32.01,0.08,3.74,0.89,4.88,-18.32,-24.98,-24.98,6.67,,,,,-29.52,1.92,-20.94,-19.63,-1.31,,,0.23,3.06,3.06,-1.58,4.64,,1.36,-15.15,,-5.4,1.4,1.4,-3.26,3.67,-30.27,33.95,0.1,0.89,,,25.69,25.69,5.95,20.63,20.63,,,-0.89,-0.89,,,,13.78,-0.11,13.89,,-0.11
