,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Insurance and Claims,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating","Income from Grants Received, Operating",Provisions,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Dividend and Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,Realized Gain/Loss on Foreign Currency Exchange,Unrealized Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Realized Gain/Loss on Derivatives,"Income from Associates, JointVentures and Other Participating Interests",Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Litigation Income/Expense,Goodwill Impairment/Write Off,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Operating Expense,"Operating Income/Expense, Supplemental Section","Research and Development Expenses, Supplemental","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2011,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,50.53,185.68,185.68,-135.15,,-135.15,-27.98,-28.4,-19.48,-8.92,,0.42,0.31,-0.3,0.41,0.01,0.01,22.55,0.11,-0.87,-0.53,-1.02,0.48,-0.34,-0.46,0.12,-0.04,,,,-0.04,,,,,,1.02,1.1,-0.08,0.0,,,22.68,-4.78,17.9,,17.9,-0.3,17.6,17.6,17.6,,,185.68,23.58,0.2106,-27.67,,,,,,0.19,0.19,,0.185263,0.185263,,95.0,95.0,,,0.19,0.19,95.0,95.0
2017,64.02,224.27,224.27,-160.26,-160.26,,-37.84,-38.51,-26.86,-11.48,-0.17,0.67,0.21,-0.19,0.65,,,26.18,-7.53,-2.13,-1.67,-1.91,0.24,-0.45,-0.45,,-1.07,0.12,0.01,,-1.2,-1.25,0.05,,,,-4.33,0.04,-0.02,0.0,-4.35,0.0,18.65,-5.46,13.19,,13.19,0.17,13.36,13.36,13.36,,,224.27,21.85,0.2927,,,-0.36,-9.19,-9.19,-9.19,0.141,0.141,,0.141,0.141,,95.0,95.0,,,0.141,0.141,95.0,95.0
2018,72.41,239.94,239.94,-167.53,-167.53,,-41.46,-42.14,-31.35,-10.75,-0.04,0.68,0.38,-0.32,0.63,,,30.96,-0.54,-2.41,-1.89,-2.28,0.39,-0.52,-0.52,,2.91,0.12,0.02,2.89,-0.37,-0.27,-0.1,0.25,0.25,,-1.03,0.13,-1.16,,0.0,,30.42,-7.01,23.41,,23.41,-0.32,23.09,23.09,23.09,,,239.94,29.92,0.2303,,,-0.45,-11.38,-11.38,-11.38,0.243,0.18,,0.243,0.18,,95.0,95.0,,,0.243,0.243,95.0,95.0
2019,79.05,231.98,231.98,-152.93,-152.93,,-43.28,-43.67,-33.1,-10.46,-0.11,0.39,0.25,-0.5,0.64,,,35.77,-3.24,-3.1,-2.51,-2.85,0.34,-0.58,-0.58,,0.38,0.15,0.0,0.4,-0.27,-0.27,0.0,0.09,0.09,,-0.52,0.1,-0.55,-0.07,,,32.54,-7.75,24.78,,24.78,-0.69,24.09,24.09,24.09,,,231.98,35.26,0.2383,,,,,,,0.254,0.2,,0.254,0.2,,95.0,95.0,0.0,0.0,0.254,0.254,95.0,95.0
2020,52.14,204.08,204.08,-151.94,-151.94,,-41.46,-43.68,-32.24,-11.44,,2.22,3.09,-0.88,,,,10.68,-0.48,-0.48,-0.48,-4.09,3.61,,,,,,,,,,,,,,,,,,,,10.2,-2.7,7.5,-1.29,6.21,0.11,6.31,6.31,6.31,,,204.08,10.68,0.3031,,,,,,,0.066,0.06,-0.013589,0.066,0.06,-0.013589,95.0,95.0,0.0,0.0,0.066,0.066,95.0,95.0
