,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,General and Administrative Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Taxes Other Than Income Taxes,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Expenses, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Operating Profit,Reported Effective Tax Rate,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,78.12,161.81,161.63,0.18,-83.69,-83.69,-82.95,-72.92,-37.3,-35.62,-5.44,-5.44,-1.94,-2.65,-2.65,0.01,,0.01,-4.83,-0.62,0.54,0.54,-0.27,0.81,,,,-1.23,0.2,0.2,-1.43,0.07,0.07,-5.45,2.24,-3.21,-3.21,-0.08,-3.29,-3.29,-3.29,,,161.81,-4.75,-4.75,0.396,-2.74,-2.74,-2.74,-2.74,1.2,1.2,0.0,0.0,-2.74,-2.74,1.2,1.2
2018,82.35,161.07,161.0,0.07,-78.72,-78.72,-87.8,-78.68,-38.88,-39.8,-5.34,-5.34,-2.25,-2.05,-2.05,0.51,-0.09,0.61,-5.46,2.76,0.74,0.74,-0.25,0.99,0.0,0.0,,1.65,1.23,1.23,0.42,0.37,0.37,-2.7,0.72,-1.97,-1.97,-0.43,-2.4,-2.4,-2.4,,,161.07,-5.08,-5.69,0.1841,-2.03,-2.03,-2.03,-2.03,1.18,1.18,,,-2.03,-2.03,1.18,1.18
2019,94.88,183.18,183.04,0.14,-88.29,-88.29,-92.41,-84.04,-43.03,-41.02,-7.78,-7.78,-1.86,-1.51,-1.51,2.78,-0.18,2.96,2.47,4.07,0.51,0.51,-0.38,0.89,0.0,0.0,,1.46,1.49,1.49,-0.03,2.11,2.11,6.54,-1.46,5.08,5.08,-0.75,4.33,4.33,4.33,,,183.18,4.58,1.62,0.2894,3.67,3.67,3.67,3.67,1.18,1.18,0.0,0.0,3.67,3.67,1.18,1.18
2020,92.97,170.25,169.88,0.37,-77.28,-77.28,-92.26,-82.43,-43.43,-39.0,-9.04,-9.04,-2.03,-1.02,-1.02,2.25,,2.25,0.71,1.38,0.23,0.23,-0.42,0.65,0.0,0.0,,0.93,1.73,1.73,-0.8,0.22,0.22,2.09,-1.76,0.32,0.32,-0.93,-0.61,-0.61,-0.61,,,170.25,0.93,-1.28,,-0.52,-0.52,-0.52,-0.52,1.17,1.17,0.0,0.0,-0.52,-0.52,1.17,1.17
2021,102.33,190.73,190.11,0.62,-88.4,-88.4,-95.33,-84.86,-49.1,-35.76,-9.21,-9.21,-1.59,1.83,1.83,-1.5,-1.5,,7.0,2.54,0.08,0.08,-0.43,0.52,0.0,0.0,,2.09,1.66,1.66,0.43,0.37,0.37,9.54,-2.73,6.81,6.81,-1.2,5.61,5.61,5.61,,,190.73,7.37,7.5,,4.79,4.79,4.79,4.79,1.17,1.17,0.0,0.0,4.79,4.79,1.17,1.17
