,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Other Income/Expense, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Realized Gain/Loss on Foreign Currency Exchange,Unrealized Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Debt Restructuring,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Tax Effect of Irregular Items,Reported Normalized Operating Profit,Reported Normalized EBIT,Reported Normalized EBITDA,"Operating Income/Expense, Supplemental Section","Rent Expense, Supplemental","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental","Non-Operating Income/Expense, Supplemental Section","Irregular Items, Supplemental","Impairment/Write Off/Write Down of Capital Assets, Supplemental","WriteOff/Write Down of Other Assets, Supplemental","Restructuring and Reorganization Expense, Supplemental","Fixed Asset Disposals, Supplemental","Other Irregular Income/Expense, Supplemental","Employee Costs and Professional Fees, Supplemental Section","Stock-Based Compensation, Supplemental","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental","Pension and Other Employee Benefits Costs, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,926.3,1764.6,1764.6,-838.3,-838.3,-678.5,-637.3,-259.8,-377.5,-41.2,,,247.8,-83.8,-62.1,-58.4,-58.4,-58.4,,,-3.7,-5.2,1.5,-23.8,-23.8,0.0,-23.8,0.0,2.6,2.6,0.0,0.0,-0.5,164.0,-5.6,-0.1,32.5,158.4,158.4,158.4,158.4,158.4,,,1764.6,247.8,316.0,0.034,22.8,456.8,456.8,505.0,,-23.4,,,,,,-2.5,0.0,-2.5,,,,,-36.9,-3.9,-0.1,-16.6,0.08,0.08,0.08,0.08,1951.01,1953.94,0.0,0.0,0.0,0.0,0.08,0.08,1951.01,1953.94
2018,973.8,1832.1,1832.1,-858.3,-858.3,-706.1,-656.2,-238.2,-418.0,-49.9,,,267.7,-66.5,-65.2,-61.4,-65.4,-65.4,,4.0,-3.8,-4.9,1.1,-2.9,-2.9,,,,1.7,1.7,,,-0.1,201.2,20.4,1.4,75.2,221.6,221.6,221.6,221.6,221.6,,,1832.1,267.7,304.5,-0.101,-11.2,429.4,429.4,482.4,,,-190.0,-190.0,-37.4,-152.6,,-11.2,-0.5,,-12.6,1.9,,,-11.2,-4.1,-0.1,,0.11,0.11,0.11,0.11,1956.09,1958.08,0.0,0.0,0.0,0.0,0.11,0.11,1956.09,1958.08
2019,955.6,1827.2,1827.2,-871.6,-871.6,-858.7,-699.4,-266.4,-433.0,-53.8,-105.5,-105.5,96.9,-78.0,-73.6,-55.9,-63.7,-64.3,0.6,7.8,-17.7,-17.7,,-4.3,-4.3,,,,,,,,-0.1,18.9,-9.1,1.5,27.8,9.8,9.8,9.8,9.8,9.8,,,1827.2,96.9,232.0,0.481,-12.2,354.3,354.0,443.1,,-3.3,-209.8,-209.8,-57.9,-151.9,,-37.9,-8.8,-17.1,-5.8,0.0,-6.2,,-14.2,-4.1,0.0,,,,,,,,,,,,0.005,0.004959,1971.01,1976.16
2020,1018.8,1894.3,1894.3,-875.5,-875.5,-807.8,-725.4,-262.1,-463.3,-82.4,,,211.0,-36.3,-48.4,-42.2,-44.1,-44.8,0.7,1.9,-6.2,-6.2,,-4.4,-26.3,,,21.9,16.5,16.5,,,0.0,174.7,-62.2,0.6,-7.5,112.5,112.5,112.5,112.5,112.5,,,1894.3,211.0,240.5,0.356,-12.3,350.2,350.2,445.0,,-3.9,,,,,,-43.3,-11.7,-19.5,-12.2,0.1,,,-12.4,-4.4,,,,,,,,,,,,,0.057,0.056,1991.6,2006.59
2021,1123.1,2038.3,2038.3,-915.2,-915.2,-919.5,-825.0,-285.3,-539.7,-94.5,,,203.6,-52.3,-43.5,-35.4,-36.2,-36.8,0.6,0.8,-8.1,-8.1,,-9.3,4.3,,,-13.6,0.5,0.5,,,,151.3,-33.7,4.3,9.6,117.6,117.6,117.6,117.6,117.6,,,2038.3,203.6,263.0,0.223,-4.4,361.7,361.7,464.2,,-2.8,,,,,,-16.6,-5.9,-6.4,-4.3,,,,-16.4,,,,0.059,0.059,0.058,0.058,2008.92,2026.34,0.0,0.0,0.0,0.0,0.059,0.058,2008.92,2026.34
