,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,"Cash Restricted or Pledged, Current","Derivative Investment and Hedging Assets, Current","Trade and Other Receivables, Current","Taxes Receivable, Current","Other Receivables, Current","Amount Due From Related Parties, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment","Furniture, Fixtures and Office Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Furniture, Fixtures and Office Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Trademarks and Patents,Research and Development,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Research and Development,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current","Other Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Derivative Investment and Hedging Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank Overdraft, Current Debt","Other Loans, Current Debt","Non-Interest-Bearing Borrowings, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Non-Interest-Bearing Borrowings, Current Portion of LT Debt","Provisions, Current","Other Provisions, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Non-Interest Bearing Borrowings, Non-Current","Provisions, Non-Current","Other Provisions, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Stock Subscription,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,5.02,4.37,2.73,2.73,,0.0,1.0,0.91,0.09,0.0,,0.65,0.64,0.16,0.65,0.65,0.65,-0.49,-0.49,-0.49,-0.49,0.48,0.88,0.88,0.48,0.4,-0.4,-0.4,-0.4,-0.4,0.0,,,,,,,,1.44,1.13,0.93,0.84,0.75,0.09,0.08,0.14,0.14,0.14,0.0,0.14,,,,,,0.06,0.06,0.31,0.12,0.12,0.12,,0.2,0.2,3.57,3.57,31.98,31.98,13.25,18.73,,-25.55,-2.85,-2.85,,,,,,,,
2018,8.66,6.01,4.91,4.91,,,0.94,0.77,0.18,0.0,,0.15,2.65,0.16,0.76,0.76,0.76,-0.6,-0.6,-0.6,-0.6,0.48,0.89,0.89,0.48,0.4,-0.4,-0.4,-0.4,-0.4,0.0,2.0,2.0,,,2.0,2.0,,1.03,1.01,0.91,0.83,0.72,0.11,0.09,0.1,0.1,0.1,0.0,0.1,,,,,,0.0,0.0,0.02,0.02,0.02,0.02,,0.0,0.0,7.62,7.62,41.27,41.27,13.95,27.32,,-32.76,-0.89,-0.89,,,0.12,0.1,0.02,0.12,0.1,0.02
2019,5.8,3.58,1.31,1.31,0.05,1.46,0.71,0.61,0.1,0.0,,0.05,2.22,0.21,0.83,0.83,0.83,-0.63,-0.63,-0.63,-0.63,0.48,0.86,0.86,0.46,0.4,-0.38,-0.38,-0.38,-0.38,0.0,0.69,0.69,,,0.69,0.69,0.84,0.53,0.53,0.51,0.4,0.33,0.07,0.1,0.03,0.03,0.03,0.0,,0.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,5.27,5.27,43.92,43.92,16.74,27.19,,-40.19,1.54,1.54,,,,,,,,
2020,10.92,7.43,5.86,5.86,,1.02,0.48,0.39,0.1,,,0.07,3.49,0.41,1.12,1.12,1.12,-0.71,-0.71,-0.71,-0.71,0.48,0.89,0.89,0.49,0.4,-0.41,-0.41,-0.41,-0.41,,2.42,2.42,1.79,0.63,,,0.17,1.26,1.26,0.62,0.51,0.42,0.09,0.11,0.64,0.64,0.01,0.0,,0.01,0.63,0.63,0.63,,,,0.0,,,,,,,9.65,9.65,52.26,52.26,25.02,27.24,0.03,-45.97,-4.74,-3.44,-1.31,8.07,,,,,,
2021,6.0,3.35,1.6,1.6,0.05,0.51,1.13,0.76,0.37,,,0.05,2.65,0.35,1.1,1.1,1.1,-0.75,-0.75,-0.75,-0.75,0.48,0.85,0.85,0.45,0.4,-0.38,-0.38,-0.38,-0.38,0.0,1.42,1.42,1.21,0.21,,,0.41,1.58,1.58,1.58,1.42,1.16,0.27,0.16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,,4.41,4.41,55.74,55.74,28.5,27.24,10.04,-56.58,-4.78,-3.44,-1.34,,,,,,,
