,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,"Interest Paid, CFF",Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.0033528798901644,-0.0033528798901644,-0.07798354002524832,-0.08362888382743626,-0.08277080832490341,-0.05442766280734246,-0.05442766280734246,-0.08718784723604696,-0.03610570124287328,-0.024905199787811125,-0.04784203509778752,-0.052906284535369275,-0.03979117072499186,-0.03188221881942527,-0.03943853663190934,-0.040331816276399444,-0.002830312863763812,-0.04136871799389969,-0.07769804930088843,-0.07769804930088843,-0.0030673891658045023,-0.04921540918943441,-0.04921540918943441,-0.0413264138614406,-0.0413264138614406,-0.09943999032064764,-0.09943999032064764,-0.005653179405529208,-0.006815958434760953,-0.053966066508437334,-0.06286133887113407,-0.06286133887113407,-0.09038795289198666,-0.08930659411142987,-0.07769804930088843,-0.03620310649259028,-0.07769804930088843,-0.05446786527289271,-0.0491639514084655,-0.03359939428197365,-0.03359939428197365,-0.03349518834729009,-0.024101146854284078,-0.08191535729875916,-0.055269724769309254,-0.07798354002524832,-0.058410924261106854,-0.04098149727115526,-0.07798354002524832
Revenue per Share,0.033741040308563626,0.026164350210264437,0.1263630466572585,0.04777750310597814,0.03846494549163418,0.02216620389450554,0.026600215457281223,0.043064861232731365,0.04356408297898437,0.0411940056508775,0.024775554380642086,0.03483936538980894,0.06150361717925536,0.055056801688864454,0.054535345172493865,0.06546297992624923,0.05682516696023347,0.06108296527956973,0.12555172222660888,0.056961990904922856,0.037733828281009095,0.013279406711306601,0.01381283444059606,0.06556220088288,0.0705742986119919,0.031327325512246304,0.04083654156394664,0.02576633789187537,0.037477634171797676,0.050218619009202665,0.05266605150598766,0.048990931629704096,0.1100196550990972,0.10902509485334293,0.06474082263817353,0.04996893253214901,0.06014479828185131,0.03978899210937886,0.032635498209008955,0.05226709991897436,0.05604945645206734,0.041343236968518465,0.046213005637230235,0.05942909922321731,0.08362379529374075,0.07075829695515151,0.07851632235896831,0.036425060754589074,0.0606299587801433
EBITDA per Share,0.07991993721277273,0.07852901946039835,0.08945474368274944,0.07273285521134153,0.022322119061568998,0.02111091337266049,0.035081063670748674,0.02458480979669002,0.013862796135254641,0.008949532792475562,0.05756936757075596,0.03675432464645755,0.04464040389759497,0.04340712954058918,0.0363042172655787,0.08311682759335111,0.08608331224562457,0.08535196004107178,0.08001015768840554,0.09121740128700398,0.08230669884877892,0.05014324558790491,0.03882548772618713,0.06661429560658333,0.07462341563401764,0.06158636070568598,0.0598908096808615,0.06823330581297049,0.08171236679950399,0.04126353610745268,0.06077240766819507,0.05508931962649703,0.028174013251526346,0.019714743109307813,0.08083424436364393,0.0209589353674542,0.07824768125472338,0.056438430118450574,0.060998465084693754,0.07396534567436074,0.07277136817959784,0.07506360596596565,0.07619418394003878,0.09492156451988444,0.08215611240118548,0.09466331242859617,0.05001357202695054,0.02072985018030826,0.08712948165873716
EBIT per Share,0.08277673587891156,0.08072243291966184,0.08880145962916165,0.07265542743866148,0.02504889819101897,0.02667311102183115,0.030881517040944783,0.024670095171760137,0.0036217429048559444,0.008805314430922237,0.059639773492278045,0.036258600009990996,0.05511203027226918,0.03724280842773611,0.03495816860316177,0.0841484665727231,0.08798231061002884,0.08313326151274168,0.08001567164517102,0.08900711462642087,0.08376720008334937,0.05559521951688907,0.04338415209196575,0.06991685898754792,0.07697423129031265,0.05949905242058663,0.06070930184532849,0.06967304059742027,0.08223444238900321,0.03974454543024492,0.062214418919789696,0.05633435142404591,0.033689859197811554,0.020898386564156102,0.08018159226396909,0.02088162635350333,0.07922066940648244,0.05929921717196496,0.0653346827392641,0.05962010460686561,0.07398700339822117,0.07713542488832291,0.09465774533373104,0.10227687185469464,0.08751178924474165,0.09104126036473202,0.06933651486161543,0.019095070926617254,0.07868754023465738
Earnings per Share (Diluted),0.06913898826893732,0.0691854755276389,0.1240220969846863,0.1021387899979081,0.12346117927351749,0.08458656042402023,0.08699482398030621,0.11438837776277234,0.10262547821284387,0.16148068089781295,0.07842097410518929,0.09310657107121097,0.11122081384341508,0.18489093391948505,0.18911401113545648,0.11958836556349167,0.08182973183696023,0.12059553567639508,0.12240700830999356,0.13632376808957625,0.08355926719264901,0.08559935769376205,0.07584782256133016,0.11459883709325239,0.11567124424660148,0.09363274753212301,0.09668934252556566,0.07425861659841262,0.07043950545430654,0.12160082308072906,0.103510474347134,0.11306846197012878,0.1665029806731091,0.1365390912978845,0.1346376864330114,0.11522741945375657,0.1343637819970999,0.09796392839951491,0.08853725239475028,0.09080347850038405,0.09868180307753292,0.14281330593181837,0.08677632586839334,0.1431312454651935,0.13498579231097058,0.13059764982588332,0.14142332977116592,0.11826376587180767,0.1407012946872313
EPS without NRI,0.012528516334068396,0.01297832085963211,0.06136593947915767,0.08453435414495752,0.09209390591329109,0.0497371429529088,0.06000044471869098,0.12570435263828864,0.07431543673504802,0.06046132702846916,0.04195114894780757,0.047974922905122064,0.10182352609731098,0.10668726285836533,0.06610906445581981,0.08410897992349568,0.07849641584168539,0.07875993999219452,0.07758596947827077,0.10385857941668937,0.04724660574639068,0.011639353819267291,0.006367989760422684,0.0501532095216465,0.04373707710833996,0.0562023426522335,0.05271311581151615,0.04318592325751302,0.04300277922923902,0.0909063830455516,0.04138396086904261,0.037479089757572005,0.05949217541666008,0.04700299521981253,0.11404529307530112,0.03825858535962114,0.07003545517400524,0.013873668482553992,0.05147771115131406,0.018556876079249197,0.05805791281157976,0.056965976819727725,0.06369121456390162,0.06345714775549217,0.08517054267183727,0.09654349631732845,0.04258389303240504,0.0761261172110283,0.06849299187978021
Owner Earnings per Share (TTM),0.1612698902821933,0.15423939886910124,0.1376275786453751,0.12271372145236094,0.061825951024650744,0.0792148472255192,0.09372078533310073,0.06116316851676383,0.05766101424331032,0.06640385724769124,0.1166549389698319,0.08736375591460539,0.08403931819167798,0.07718274618577346,0.07585030423756145,0.11891483934121554,0.16145047112516403,0.13116586024076773,0.13312686500688514,0.1354556852604726,0.16479706368890773,0.1026018089270531,0.11059004218633454,0.1185957736113391,0.11994569544884301,0.10777395541634625,0.11320809470852324,0.1533415095563431,0.15131008251990594,0.058272447215381364,0.11572738439717217,0.11986025797284874,0.1229735053275805,0.11464993453598432,0.13798010471577407,0.0639404325295259,0.13340064675959273,0.08405929582192431,0.11938020579898416,0.11838146461908922,0.13429247636656141,0.11422227617418612,0.12305695803272589,0.15837146705491598,0.13319107468097208,0.1313176147783732,0.14472986777537736,0.06574775102958519,0.13898413611698998
Free Cash Flow per Share,0.18524674692203222,0.18285545801479608,0.14573673864496997,0.057740256632914114,0.02950972005949378,0.058408078088026914,0.060578840681416495,0.025947165336888203,0.016531861235885802,0.08631666311006403,0.09221601807439654,0.0821597628807428,0.050532067373542044,0.1280956760218177,0.12237895485553674,0.09288659449350564,0.08337248397414963,0.09023941323115571,0.050260835663921054,0.044895865246417484,0.0780527753571563,0.16322594234294935,0.16767453474998636,0.08933673609088386,0.09444600839027749,0.04849698487341397,0.05034137947448959,0.05875932847991501,0.058712286291250255,0.04552170101746321,0.14273686433298136,0.14916921426782187,0.08602142912433121,0.08484763778624853,0.06087752196606136,0.011672489433887337,0.06296251306133023,0.037643713227274916,0.07924612204050706,0.09380549674478626,0.09729788124858864,0.1736347160931312,0.07494207777480076,0.20420917520499762,0.0841399297240069,0.0706191855501649,0.0734992259668429,0.1062187662336107,0.14901794006144614
Operating Cash Flow per Share,0.3239526829630646,0.14507377477420152,0.1591680698749028,0.09342802169341298,0.03767343155080566,0.05804422146940659,0.06483472742602825,0.04227859956247566,0.03196733434997671,0.05279251807901638,0.07774547676250324,0.05256053020324678,0.056795305766046474,0.1261647635711123,0.1194121196538541,0.18194135644733028,0.07780055560505886,0.08579195601169277,0.07748139639344333,0.0909862540307514,0.08488874690021096,0.21602227073554783,0.12034682384118184,0.0756334262310493,0.09644221263871491,0.06333594812115216,0.05954227165420416,0.09392860772717994,0.07377603315399196,0.027897643186900058,0.16263079988065857,0.16046866123044062,0.07909634141310444,0.07015094980943344,0.0826171571573745,0.019417035294949387,0.08802830239929636,0.03178055511822139,0.06516791930789498,0.07544180668036353,0.08373096413137758,0.15498758571713975,0.06636049505928739,0.196188204005134,0.11265629449925736,0.10009726792960924,0.11523207136454737,0.10624504093318099,0.17488938701332962
Cash per Share,0.13892408343818644,0.04982530912994222,0.17039258577055585,0.08118169900403135,0.14178697275480895,0.035427216786900646,0.040021048292834566,0.07373714676716817,0.03720493155684169,0.10829174563856242,0.06987466441248812,0.031234646149579378,0.09802652403060294,0.15515429552765872,0.09092923522144579,0.09634141491525766,0.05936756077477204,0.07882949630134367,0.1492782187884187,0.14930763752103393,0.05406969010494897,0.12877249505312102,0.12183769916071623,0.07410687591447174,0.09081559615811816,0.025463173067359464,0.03153201591095744,0.04739641853518596,0.05250724834987697,0.06174951476313455,0.11430209524235307,0.0692164571688209,0.11550327794693108,0.11222254575009415,0.08345351328357647,0.0405565876398709,0.08654721586757869,0.01853840255313638,0.05430856871597757,0.07856267703523952,0.08438750472403586,0.16438343829727756,0.06692830528395384,0.12007088262058543,0.17633134321117433,0.18812138540200254,0.14775151605934217,0.1301024928974178,0.1613273062751369
