,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.10947076529828749,-0.003638122171163289,-0.010739293087005488,-0.08990878519196144,-0.0903984123378524,-0.008026274823177412,-0.007324165659328668,-0.0004439531832539171,-0.08899153715239463,-0.08899153715239463,-0.08072936653334288,-0.11592419914583574,-0.15159075943221131,-0.15141779782382422,-0.1523852667007485,-0.15301698980159614,-0.046054423706199964,-0.04581834511871466,-0.03468421906988258,-0.04402793874816645,-0.1288390421308578,-0.13681018798106784,-0.12890435291739122,-0.08658176963003668,-0.1286633733851993,-0.03398873081917726,-0.12765494033571537,-0.12027641545356162,-0.1198878385079114,-0.03632956511325777,-0.036165222862455104,-0.010591330872116772,-0.00803805880433242,-0.12876757931988286,-0.11592419914583574,-0.04383829169380788,-0.11043823417521174,-0.0719403970032797,-0.05490185390057003,-0.05514476496367147,-0.06704886193235307,-0.04715333635396156,-0.05435341031079016,-0.036465709783686025,-0.04037702905908241,0.006219345257169224,-0.03726222479594557,-0.030068854365428624,-0.06743615185803065,-0.06735858963910887,-0.04699784827532136,-0.04105094240413172
Revenue per Share,0.019960871844467702,0.39875672945081286,0.36907784310744296,0.1802702451535186,0.047424952098956065,0.16720716716035489,0.1616818429925332,0.08440696720565513,-0.0076929001200069,0.007740201392760793,-0.014319277300166484,0.06265020921732832,0.06506748620700466,0.03308803990687636,0.006108262061306031,0.0392273842100857,0.1121714043361294,0.12016144189497305,0.04855120162350767,0.11981904298387844,0.01571329453916584,0.022489564181334284,0.014627507148092342,0.07023890108417284,0.018502601276102933,0.048857364916686186,0.06142269641340105,0.06640813116833715,0.05040987756167197,0.05780217783130816,0.1011292301357221,0.36445942092921196,0.16390692348544952,0.06884096279805045,-0.005282130338326745,0.09088962010150226,0.058181415184519705,0.029722383201586787,0.06002110119692098,0.02863917642395322,0.031339690784600804,0.05821602058575952,0.03206084588619174,0.027297610300581032,0.0275321782209636,0.032700341587794876,0.13621157851788843,0.14510020322018688,0.03395785557679254,0.029196635782253164,-0.0041277815980213725,0.004729839678440636
EBITDA per Share,0.004197602209208258,0.06335902513145053,0.06753405573010413,0.1202397205666578,0.11359616973247445,0.14795351515110364,0.05722606032197316,0.04180481873269934,0.008824041527993348,0.02504389448258413,0.0015117143462768292,0.03356723286823568,0.03188424863048156,0.03899351864624185,0.0216387794370944,0.047484249748490664,0.02000011474101791,0.019220608498743363,0.021321738095665566,0.021270813202991255,0.031193000098019712,0.030990122554774954,0.013586988625378535,0.08375584371591845,0.018790793014658483,0.06700140014165962,0.017650694215701094,0.020261274347017393,0.007932580401928738,0.010615999227182283,0.015698627911639774,0.06607045781629171,0.1695554208071348,0.027344885181869557,0.024756658369179826,0.05682799512735735,0.010535659474755838,0.0012477973900448408,0.06645652039856305,0.05853290469774168,0.006186911292018064,0.06781880430230498,0.0661382039297926,0.05054642366565463,0.08613095224538758,0.03972776941787872,0.08215736091294977,0.08116951649324285,0.007582897560243198,0.014209814756462248,0.028052518031372105,0.055942227156586206
EBIT per Share,0.00641014266115854,0.05563857776207779,0.06145003679266534,0.11439373695994,0.1121378417140511,0.15358320554016336,0.05553013061646982,0.024443244042444412,0.01033507358317616,0.024612480042473812,0.005342970025747756,0.018501027656749693,0.03246400787588023,0.03737753986227582,0.02217779352177383,0.047484249748490664,0.019122247855408808,0.024333094353040575,0.021771522316974778,0.018951437821703963,0.03131461580502862,0.0298728801041979,0.01387941583101924,0.060870747570509566,0.01891852128965258,0.03180355534924012,0.018684119008965803,0.016775104815047317,0.006632454051080291,0.02081855470464246,0.016291381136642337,0.050204104466601,0.1625468715573961,0.0257015649216269,0.024245267062567476,0.060987984836896436,0.01114849310708664,0.011103707814249734,0.06481862666547496,0.05683973769835829,0.017786895527379037,0.06709432244261251,0.04506979330569354,0.05916617380594493,0.08468685297704187,0.04835699942673759,0.08581008970463484,0.07663240099655674,0.014090472611994791,0.027096395694371694,0.03298075743801201,0.02686014415604783
Earnings per Share (Diluted),0.10464437835446083,0.23148837580032547,0.24348931248639016,0.1055286263429087,0.12548571112629497,0.2304124189440077,0.1740811361032081,0.14806972467758894,0.06042187038812205,0.06722608480350262,0.027440678206439452,0.13276274634971275,0.14449383421512219,0.02730400985771847,0.025146287799264592,0.08284893168596662,0.16941362126788578,0.17316973423133475,0.12080034732243855,0.16995540703958295,0.043197309627564455,0.07202915264509113,0.12965671622085476,0.1040473415270076,0.10978961768151302,0.09372887551894787,0.12434327154406391,0.08342309985717822,0.1970428677708244,0.11848011443988568,0.16651737446858839,0.24703997659760102,0.17095841902719833,0.1430100132972471,0.06237138498577018,0.08414277817407191,0.13436520403771623,0.08470359701046971,0.12782140954832044,0.08101135834357069,0.1547019493393575,0.1581340845389942,0.13539773776274971,0.15908448074303863,0.15171751690624918,0.1383806705519629,0.3192681623923476,0.1650990621011363,0.1112827266686108,0.1567592564710901,0.0005852978366020513,0.0962250024388184
EPS without NRI,0.038887631690916954,0.1539279864388919,0.14737127575961742,0.09550714698708718,0.08983269940886518,0.06756921352582755,0.09152881476152291,0.12793420497953328,0.05976702002798907,0.07197716451526102,0.06570181998869629,0.044013714580889936,0.02954986926904148,-0.002185373444269616,-0.023451539138063915,0.07736171324050897,0.0541077472277674,0.09134039307529829,0.08992385104524908,0.0974840633897839,0.05242063994432176,0.03131686481243982,0.009288092195877281,0.10021347088154021,-0.004707360865674378,0.05442543247193955,0.005108207206258124,0.003194478541225734,0.006234097474672622,0.04741445202964575,0.06939169572577299,0.10900050334584131,0.11250046363896095,0.04045274644097667,0.05899274237050363,0.05071967689485768,0.026297595564313103,0.12201634804036657,0.1760607824277278,0.10196453047166382,0.20112536234565634,0.17446165617881929,0.14054252494303748,0.03874846910330901,0.04062021467530048,0.15694115397044728,0.060764297623698706,0.06451959171542544,0.17720773374585458,0.22235659888891085,0.07301795108206122,0.05335919427979533
Owner Earnings per Share (TTM),0.07417797517729077,0.0207200691803896,0.05163773484678663,0.10986460430565353,0.1494633254319608,0.2751127953255595,0.0872473089515256,0.050511249645756144,0.07304293448593893,0.078265347283774,0.03346397712983314,0.1297432907902823,0.1019508752829128,0.08366172432877829,0.06684260891349814,0.10986475131325489,0.05886665829074074,0.04553111781406492,0.03927380309991892,0.05127406110112444,0.022883107399820586,0.08208600995056883,0.0756491080421604,0.12661752660761103,0.08194839695576361,0.12684355551451412,0.07775502340937822,0.11688969805927049,0.11303931201349898,0.05646328321413947,0.05342758866314196,0.07245779475369299,0.2296638876835213,0.13554834176642785,0.07258043375094507,0.11033480317196809,0.05665821259381117,0.03995817666162352,0.1011446329233145,0.1368785068920027,0.023981815201330886,0.102725046216884,0.13526949059765356,0.17299174409853776,0.19538557899395223,0.04870985828662348,0.18490303311870512,0.19864849158876707,0.02218499665606146,0.03871524053924183,0.005540994452278861,0.03409979120962937
Free Cash Flow per Share,0.011840178867634485,0.013379715581987,0.014941539290958348,0.1316358468018379,0.13566989724085318,0.16258476851325054,0.02432428511588824,0.007228371236298723,0.020514619288896675,0.027739234871148044,0.007186799963792983,0.0230764132423596,0.06471744580556134,0.05253377303207865,0.04771733239915469,0.060048414343012585,-0.0048463953866570994,-0.005756224149112812,-0.005798410462783128,-0.003088927994455623,0.011889029190487546,0.030637175667676125,0.008537611211977374,0.08753173677288163,0.013079098543241338,0.09173250770244991,0.009902296061563507,0.07797241174084467,0.07783421603725059,0.010134691034469507,0.005663357478006661,0.017595380362378458,0.21365285033041848,0.021158990968612585,0.02073164856433511,0.07090595408990716,-0.006272570648449919,-0.004669097227238341,0.043995926367375086,0.05635378678810861,0.0060876812046355665,0.04957694857261175,0.05794905581380972,0.08600951702509337,0.09222284023188715,0.004033269693507131,0.15712858499194923,0.1605027522810186,-0.0034428518518303955,0.007303472557474502,0.013131185688053078,0.02485309904959012
Operating Cash Flow per Share,0.03481795498879647,0.18970725803013366,0.20273192862110623,0.10740912034105984,0.11626285809488199,0.30863185308443863,0.14600255565373355,0.04512703787139188,0.02817447456463889,0.027916571031339633,0.025500794236087455,0.10989716914608638,0.13500674616077507,0.03406549357857654,0.03527698432529621,0.07975360185596303,0.07209762819789058,0.017805275166966977,0.011287401608207934,0.0005139378145335664,0.011244125668676356,0.030896583482553246,0.10624793301287182,0.12160162629349316,0.1069706943177166,0.05795653167892783,0.0209973978927557,0.0793626764802023,0.07934065641013996,0.010591553417338345,0.09399781826990698,0.2023720550036458,0.30377896900612805,0.11124687510565136,0.018104315203328225,0.060153424200782915,0.10222024006474338,-0.013656474102880883,0.09096872011299824,0.11868261879278888,0.00045036830168474406,0.09320446602851792,0.11293591740404038,0.08425307271732398,0.08145494044495642,-0.004004747762776766,0.14990958776842575,0.15845031834661893,-0.018437199581686287,-0.01316967513882859,0.008507640917669333,0.041412071334242864
Cash per Share,0.07478419686376113,0.19196737558926455,0.11742641566060587,0.11623924363686221,0.10053222528242928,0.1310082772887334,0.1044046150605242,0.0998221075987328,0.003755298224705244,0.023061095981532987,0.00833224282332626,0.028745352551360917,0.03320928848322334,-0.006373574704596164,-0.009243381765838641,0.03173215124591483,0.036248813944898754,0.04953309548846132,0.03486126428465649,0.05611268258403425,0.02163399927084097,0.01961962810482868,-0.00808105533203529,0.048949333766889036,0.004187749612756672,0.07442248159196814,0.009550542273010363,0.059583071246340887,0.04265948270936709,0.038403090146634365,0.03786948577355904,0.11082628256943634,0.11386194797568254,0.016423505351634515,0.016080333819804168,0.04896887844201038,0.004220884437801917,0.06264130603935739,0.02535447515207129,0.03338611854416475,0.05276711660192987,0.044335380894442264,0.0010736429325396602,0.0736115316715195,0.07628576011250723,0.04291304475279888,0.1541171098640807,0.16086228563922422,0.06002318090061204,0.05460715398286576,0.01638644769530278,0.06137982962807925
