,Gross Profit,Cost of Revenue,Cost of Goods and Services,Total Revenue,Business Revenue,Other Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,Directors' Remuneration,Other Staff Costs,"Legal, Accounting, Auditing and Consulting Fee",Legal Fees,Rent Expense,Selling and Marketing Expenses,General and Administrative Expenses,Exploration Expenses,"Other Income/Expense, Operating","Other Expenses, Operating","Other Income, Operating",Provisions,Other Provisions,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Gain/Loss on Foreign Currency Exchange,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,"Employee Costs and Professional Fees, Supplemental Section","Directors' Remuneration, Supplemental","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental",Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.015362088965019014,-0.04943527883247776,-0.04921540918943441,-0.04658026391095809,-0.05422249782743323,-0.02466174043308461,-0.13543069278991526,-0.04500694720922859,-0.04967822543515103,-0.02465510137729166,-0.046224657585223004,-0.04378906383398607,-0.041683391071617816,-0.03357399085182766,-0.03732380880355882,-0.046224657585223004,-0.03271505692177884,-0.15576000052520758,-0.04512442157477408,-0.042354939050206965,-0.08510335220202234,-0.0717862936253526,-0.0712702057728884,-0.046054423706199964,-0.046054423706199964,-0.03357952551686748,-0.1638529062561765,-0.07998068558855374,-0.04303981918857271,-0.043280445929221575,-0.03960578081681825,-0.04963244146833574,-0.09969767296293244,-0.07769804930088843,-0.07859062099970546,-0.0033528798901644,-0.052511414614131766,-0.034233491003543205,-0.03616755400804818,-0.1396995291640579,-0.0013004576662390883,-0.1396995291640579,-0.1396995291640579,-0.13863963833360507,-0.13131400624926712,-0.03632956511325777,-0.04300271889100864,-0.049947229766989475,-0.03580188089973803,-0.1181965103878701,-0.04581834511871466,0.00044369074862206153,-0.006460152235226425,0.0028712589038279307,0.0009131369900695773,-0.0040900224581240765,-0.00630703320603945,0.0027099157300720655,0.0022175644045832723,-0.013474466361770786,-0.005230163172023078
Revenue per Share,0.0889550286613306,0.0968421488870433,0.010262240485576505,0.3186874859024595,0.2784428216071114,0.10653126691490038,0.07055504013749211,0.07416045123915772,-0.0062698263694674,0.034052141326766365,0.016240102766737898,0.05968838409773816,0.03394008079709576,0.03508774441434398,0.00502180809459556,0.021937806117638337,0.053854781593479804,0.018737344153806894,0.08267303018484667,0.018825466287534797,0.11399296123840626,0.03280323094789267,0.06665605595213014,0.04718611805447832,0.06292792126470582,0.062057973462114016,0.05859038583412912,0.10709626151130376,0.11010986672730466,0.11742158802739175,0.017307069079792285,0.09297178080418027,0.10957532879963121,0.132507611496685,0.06189724178852945,0.039673208928119014,0.10061038238351233,0.08925482952158584,0.03597402192791221,0.010171399868176279,0.048837286085618686,0.012714139824365044,0.013477315855874323,0.05636173382455941,0.06176730299381112,0.05780217783130816,-0.004635091439773404,0.013195833144322598,0.03138372830440319,0.019840121124327852,0.05906051252576124,0.08821706666546957,0.10930456839052849,0.09654097859278792,0.11115329924099028,0.011371927247258282,0.00997547602850017,0.09016852143281204,0.09539601313160384,-0.028661892356172974,-0.01617658765985726
EBITDA per Share,0.08241611786435338,0.05665719715054884,0.05633155286783774,0.01963751870048869,0.024562940624332705,0.026175808036723817,0.031435756325445534,0.03078724376841781,0.04677357373724534,0.07188681194885378,0.04774650554826743,0.10151458100351994,0.04101366961569097,0.05209075247546655,0.05344817524342613,0.04401226427139008,0.09038407685778659,0.06479628626942938,0.05368837834517837,0.0512173553888308,0.10818148320892333,0.0721362971841094,0.11630580430656891,0.00501484489802581,0.020022117698990358,0.02392174502852799,0.03404484728853784,0.0754359933927546,0.06591239314042252,0.06984074831087281,0.0569147815057427,0.05527076991161162,0.026528580037275446,0.07552094795537402,0.07827169009056363,0.08314244288839626,0.07607127002468256,0.018129766172363015,-0.0003083530905567673,0.028179560358348572,0.0403492465344415,0.013402235687784664,0.014904335561629563,0.013684762069030458,0.015870734067628227,0.010615999227182283,0.04364213371615061,0.06347835928270086,0.04768146621077374,0.07160225361560456,0.01585665892209715,0.1673336886514547,0.18351838462021255,0.17222097167780512,0.18450377692113387,0.04213752104308072,0.05474793708190412,0.17342822029762403,0.17761296399415566,0.021590146441500535,0.020861251342171698
EBIT per Share,0.08411131686297042,0.05896489762870925,0.06363245274232639,0.01870942078755318,0.02453208739130706,0.0366014394420326,0.026875947537662242,0.037639428993921815,0.04873306774808329,0.06765054076069396,0.04878886022205892,0.10287326313982044,0.03934795853881812,0.061833899214939016,0.05241618479713667,0.04292055199292329,0.09301751375349879,0.07080572871183342,0.05413540116968766,0.05179007539081391,0.10787103243975459,0.08132288005955411,0.11605406693384729,0.009392455477839758,0.01977554781159324,0.02130353577738657,0.01914928761310157,0.0780584281301405,0.0654225190487326,0.0757294227356923,0.06195900281299164,0.06768934352778923,0.026227601149900748,0.08869541151092407,0.07683577512347137,0.08383410015817683,0.07801848668250587,0.019108429814046597,0.015214780473103895,0.029151090393595615,0.03945797315929552,0.014017824147718145,0.015355225090916441,0.015568101190533309,0.011679821195381353,0.02081855470464246,0.038185366895862015,0.062139292249574624,0.04950740820407426,0.07822851982935973,-0.015247224171483966,0.17562014125597844,0.18472286023753307,0.1782828571557188,0.172217304943588,0.04965511101099957,0.054514744958416725,0.17794760536053578,0.18303187969461682,0.01970160339840411,-0.003326614852637431
Earnings per Share (Diluted),0.15963302203702595,0.05113977623178017,0.09058761228108299,0.12190579848598161,0.1534705915735687,0.0917534434877497,0.13493219579966526,0.06335604670102615,0.023361664299623743,0.14025013055755234,0.07623680005838333,0.0988143254919237,0.08418192705383737,0.04043646209205921,0.05085639469457201,0.08316839332792479,0.09875583924503943,0.04691426169552574,0.07014672292396985,0.0816825934028208,0.11108629784945505,0.04946129098599428,0.09352534079653231,0.11010734257258951,0.11846125366541166,0.09730114654657496,0.12690251174477613,0.17896727807081728,0.14022625906295227,0.1440968500249857,0.08988765500974512,0.1354547462472861,0.16876214089160313,0.183808591986829,0.19237134084819815,0.07394355000116169,0.1283867120095199,0.09562379417552733,0.10974262668095132,0.03821249248009459,0.09127072577344511,0.12477491909780127,0.10287810613848643,0.11743847914965166,0.0769404525160201,0.11848011443988568,0.06565096178484738,0.0744350889110406,0.07012833611121218,0.06545246439566761,0.12547057866794553,0.11730653817772499,0.16900810525844284,0.18805729827461326,0.2038970437236147,0.16723347538441655,0.15781883996193508,0.14477776381164803,0.18962472587069887,-0.003865005746689212,0.08879872082153781
EPS without NRI,0.10821258494034322,0.056140280868504165,0.05160190302036862,0.06905119794474071,0.05671171772574902,0.11375268344580897,-0.002137927769890311,0.0018596010120912813,0.026488290415839114,0.06406751861731899,0.02473032868065893,0.06939229918928783,0.009582088290307125,-0.00023936244890335624,0.040899772918081355,-0.011155935961655376,0.050332289465987105,0.0356832302553216,0.048278100836867024,0.07183645166956211,0.06590621814977157,0.08082839705859776,0.0974071752476341,0.10947532789295837,0.12738958453368618,0.13363510189589853,0.033099915802492844,0.06744952011720663,0.014514757396218169,0.04938273095912499,0.050966644879109645,0.07259807245951815,0.07598948833108492,0.10403981828331306,0.06052689036169043,0.014506320715198572,0.1243037903941186,0.05612855277336039,0.08718824765661137,0.04746760977992297,0.047596345429855164,0.0069622527748856,-0.008741153948368212,-0.0013919398503924685,-0.003305668515424857,0.04741445202964575,-7.459556714017792e-06,-0.008688056031814814,0.01768336438795905,0.06968973752908836,0.0869530659817945,0.18418435627688956,0.2449737014764628,0.2492011988760494,0.24268311561509104,0.027361646569326693,0.03304046049933262,0.23719158266774795,0.2731039858840734,0.05622923314417504,0.0392922379135317
Owner Earnings per Share (TTM),0.15637905733903626,0.054570473782172974,0.1140078855699315,0.001026122840562466,0.044529836802764254,0.05186791197530867,0.14583269397726853,0.0942620195731584,0.05798022712770511,0.1774400501877731,0.10083687156911222,0.13209954604831867,0.10782327012466549,0.0663314999643518,0.0757262902103996,0.09521355519951769,0.15229439337671094,0.11673590890568265,0.09401950654550285,0.11576003877214347,0.1412392844770177,0.0848117551695345,0.13168533333742166,0.05659674493318745,0.06326247901039096,0.019575226386366072,0.13233894286060963,0.13998083314670487,0.12234654465356909,0.1043199393308856,0.09360252863390393,0.10464630444720281,0.06827948314454396,0.1891075687140271,0.12088985211741128,0.16902776347840864,0.13302197441175273,0.05712618842054816,0.03862556264715672,0.022162771834672003,0.08201204731734126,0.07698808519966806,0.08080749754715039,0.07797889316549247,0.11755781912815347,0.05646328321413947,0.10609853721444232,0.10742036605161617,0.08655061229154201,0.13730365029962752,0.06295130617483158,0.057554072899337616,0.10503944644716286,0.04135740363256043,0.10674081707244099,0.15120636419942304,0.15190189026499343,0.040492105315379896,0.05347708236773755,-0.004345707428864675,0.0011670051760137344
Free Cash Flow per Share,0.07917003524444102,0.06708830364035977,0.07312985400320321,-0.0002529993198308227,0.010801635212554093,0.003757110886732676,0.018777722636247923,0.056270072339999276,0.05336268217782058,0.15707607214383165,0.06469685969667252,0.10440352668928357,0.07100879198139301,0.06841174566714724,0.06588378174593464,0.06598033289989615,0.1045927486357446,0.08172328360942852,0.07220064698799229,0.07730779788226674,0.06452718290191033,0.03151424504622924,0.063107890972987,0.007407919814456775,0.010713601334310133,0.005835889254093124,0.04002000445402469,0.09197958332200579,0.07064506312601249,0.07072696015969682,0.05848419581492297,0.0630742603793038,0.016232681787174342,0.04920363903099694,0.06554085478583423,0.06897292998236489,0.050940795130372966,0.005231962320113977,0.0025071313002871356,0.014872618923771898,0.038858509127807334,0.007799917807177093,0.014453676048976929,0.011118702618008831,0.07936725374731049,0.010134691034469507,0.0715443771946353,0.06769426053161273,0.06389113108334873,0.04526025299976177,0.019510140113727564,0.14954288669482307,0.1730177481071848,0.11493455166398828,0.17330730413333745,0.05075383568563076,0.050005622082044364,0.15169617342207883,0.11592923025492241,-0.014696837806481584,-0.01354861034356082
Operating Cash Flow per Share,0.11592632440114992,0.030894126705496374,0.05326824294992163,0.05165551010629829,0.06891276369382734,0.01822849584482974,0.12233153014566203,0.04725722303456313,0.03882831148220973,0.09328607758970689,0.0615035262183909,0.08295641681195674,0.08175553577170473,0.04540307336394764,0.024034120552900676,0.06352725273898846,0.11134460702491583,0.07905630020677684,0.14292791563048898,0.06710785419890514,0.19754611696862232,0.04918160249280943,0.06262664764213643,0.01929614004078158,0.015156823733022932,0.016151797057951618,0.11295176884017676,0.18116700631160382,0.12543709092085598,0.07605508705746414,0.05718873192416427,0.04083881624155066,0.00765553416199386,0.14697944193618062,0.14608707856477054,0.08465482839665439,0.10863038926512522,0.012400752003533386,0.012122058430384554,0.007991622296676128,0.033448927825052176,0.10466894538853176,0.1039327011579858,0.014905300366964525,0.078015521110745,0.010591553417338345,0.061701763118209955,0.08417613644676006,0.04102535954955019,0.07282282800425094,-0.003539765685578371,0.14292732038106162,0.2252339957371847,0.11557711802873251,0.22753631369262853,0.07556096148310366,0.04994684290340203,0.1377800601631765,0.10002987070961405,0.003840292127990381,0.009184808420763484
Cash per Share,0.13121490109547684,0.06501104047249347,0.05171920651815259,0.09533925547045058,0.024636462832985363,0.051718314440828056,0.03043566975897568,0.02571127852867648,0.04410498588938708,0.14401454259597757,0.038410995678090316,0.10321313926062811,0.03887145988398487,0.06171746634657186,0.038828313252168394,0.031525213577951995,0.06194489640146555,0.034475811516826126,0.03417333760953506,0.046650672553212764,0.06432184968419707,0.06002982633024985,0.09405900925440938,0.0356376926523381,0.05463224638566861,0.0558144028369786,0.024075712891409643,0.07676074452227209,0.06038086946082658,0.07194132964764763,0.037473960285454355,0.04181601189016078,0.06204728656303285,0.07624925158585572,0.07192120788553542,0.046965298614704186,0.08062428968577469,0.026146873471721798,0.042330043715027986,0.018032261957397776,0.06332205997555085,-0.00918891649374953,-0.0003312715792176098,0.004996312552567669,0.05791507551570294,0.038403090146634365,0.03286269744376842,0.0528349847057173,0.04036367607629246,0.032558163949113206,0.044916786123350115,0.13169122974728262,0.10579730914256923,0.12430006477095269,0.09767483080388625,0.02994836416330694,0.02283268917497045,0.128709109947293,0.12575784714941587,-0.03041381827988753,-0.002819982826974797
