,Gross Profit,Cost of Revenue,Cost of Goods and Services,Total Revenue,Business Revenue,Other Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,Directors' Remuneration,Other Staff Costs,"Legal, Accounting, Auditing and Consulting Fee",Legal Fees,Rent Expense,Selling and Marketing Expenses,General and Administrative Expenses,Exploration Expenses,"Other Income/Expense, Operating","Other Expenses, Operating","Other Income, Operating",Provisions,Other Provisions,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Gain/Loss on Foreign Currency Exchange,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,"Employee Costs and Professional Fees, Supplemental Section","Directors' Remuneration, Supplemental","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental",Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,0.47,-0.16,-0.16,0.63,0.46,0.17,-2.31,-2.04,-1.44,-1.27,-0.16,,-0.05,-0.05,-0.02,-0.11,-0.24,,-0.45,-0.45,,,,,,,-1.85,-0.33,-0.23,-0.23,-0.24,-0.24,0.0,,,,-0.1,,,-2.18,0.0,-2.18,-2.18,-2.18,-2.18,,-1.33,-1.3,-0.03,0.0,,-0.0095,-0.0095,-0.0095,-0.0095,229.37,229.37,-0.0095,-0.0095,229.37,229.37
2018,0.05,-0.17,-0.17,0.22,0.22,,10.35,-4.15,-3.0,-2.34,-0.66,,-0.39,-0.39,-0.17,-0.09,-0.31,-0.2,15.35,-1.26,16.61,-0.84,-0.84,,,,10.4,1.67,-0.48,-0.48,-0.64,-0.64,0.16,0.17,,0.17,-1.56,3.54,3.54,12.07,0.0,12.07,12.07,12.07,12.07,,-0.86,-0.81,-0.04,-0.01,,0.0222,0.0222,0.0202,0.0202,544.64,597.72,0.0222,0.0202,544.64,597.72
2019,0.0,-0.01,-0.01,0.01,0.01,,-8.23,-6.43,-4.97,-3.52,-0.66,-0.79,-0.3,-0.3,-0.12,-0.36,,-0.7,-1.78,-1.78,,,,,,,-8.23,-1.12,-0.81,-0.81,-0.81,-0.81,0.01,-0.31,-0.53,0.22,,,,-9.35,0.0,-9.35,-9.35,-9.35,-9.35,,-1.6,-1.56,-0.04,,,-0.0144,-0.0144,-0.0144,-0.0144,649.04,649.04,-0.0144,-0.0144,649.04,649.04
2020,0.02,-0.17,-0.17,0.19,0.19,,-15.07,-4.18,-2.04,-1.34,-0.52,-0.17,-0.05,-0.05,-0.01,-0.27,,-10.09,-2.63,-2.63,,,,,,,-15.06,2.78,-0.7,-0.7,-0.71,-0.71,0.0,3.48,3.51,-0.03,,,,-12.27,0.0,-12.27,-12.27,-12.27,-12.27,,-1.67,-1.62,-0.05,,,-0.0135,-0.0135,-0.0135,-0.0135,907.19,907.19,-0.0135,-0.0135,907.19,907.19
2021,-0.04,-0.04,-0.04,,,,-11.26,-3.66,-2.38,-1.4,-0.92,-0.06,-0.55,-0.55,-0.03,-0.23,,-7.1,-0.96,-0.96,,,,,,,-11.3,0.81,-0.02,-0.02,-0.03,-0.03,0.01,0.71,0.71,0.0,0.13,,,-10.48,0.0,-10.48,-10.48,-10.48,-10.48,,-1.72,-1.67,-0.05,-0.01,,-0.0093,-0.0093,-0.0093,-0.0093,1131.79,1131.79,-0.0093,-0.0093,1131.79,1131.79
TTM,,,,,,,-8.39,-1.67,-1.01,,-0.82,-0.07,-0.1,-0.1,-0.08,-0.13,,-5.59,-1.46,-1.46,,,,,,,-8.43,-0.02,0.01,0.01,,,0.01,-0.08,-0.07,-0.01,0.07,,,-8.44,0.0,-8.44,-8.44,-8.44,-8.44,,-1.72,-1.67,-0.05,-0.01,,-0.0073,-0.0073,-0.0073,-0.0073,1202.18,1202.18,-0.0073,-0.0073,1202.18,1202.18
