,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment",Other Non-Cash Items,"Other Operating Gain/Loss, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment",Changes in Operating Capital,Change in Trade and Other Receivables,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Taxes Payable,Change in Other Payables,Change in Other Current Liabilities,Change in Other Operating Capital,Change in Other Current Assets,Other Operating Cash Flow,Net Cash Flow from Discontinuing Operating Activities,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Net Cash Flow from Discontinuing Investing Activities,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,"Issuance of/Repayments for Short Term Debt, Net",Other Financing Cash Flow,Cash Dividends and Interest Paid,Cash Dividends Paid,Preferred Stock Dividends Paid,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
1998,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
1999,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2000,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2001,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2002,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2003,0.23,0.23,-19.46,-22.05,0.61,0.61,0.61,,,,1.99,,,1.98,1.98,0.02,1.95,,,0.01,19.69,,3.18,3.18,-0.05,-0.05,-0.42,-0.42,0.1,0.0,0.1,3.55,,1.3,1.3,1.03,1.03,,-0.02,-0.02,-0.02,,,0.29,,,,7.34,4.71,2.63,,4.71
2004,-5.07,-5.07,-3.87,-6.07,0.87,0.87,0.87,,,,1.33,,-0.15,1.48,1.48,-0.02,1.5,,,,-1.2,,-0.08,-0.08,-0.01,-0.01,-0.07,-0.07,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,2.19,-5.15,7.34,,-5.15
2005,-3.62,-0.93,-0.93,-6.32,2.14,0.65,0.65,1.22,0.27,,3.25,1.1,0.08,1.41,,,,0.28,0.02,0.37,,-2.69,2.76,-0.16,-0.16,-0.16,,,,,,,2.92,4.2,4.2,4.2,4.2,,,,,,,,,,,5.52,3.34,2.19,,3.34
2006,-2.72,-2.72,-2.72,-3.76,2.1,0.67,0.67,1.43,,,-1.07,-0.18,0.15,-2.77,,,,1.85,-0.11,,,,-0.34,-0.34,-0.34,-0.34,,,,,,,,0.0,0.0,,,,,,,,,,,,,2.47,-3.05,5.52,,-3.05
2007,-0.09,-0.09,-0.09,-1.05,0.46,0.4,0.4,0.05,,,0.51,-1.15,0.11,0.03,,,,0.12,1.4,,,,-0.13,-0.13,-0.13,-0.13,,,,,,,,0.0,0.0,,,,,,,,,,,,,2.25,-0.22,2.47,,-0.22
TTM,3.73,3.73,3.73,0.22,-0.83,0.25,0.25,0.02,,,4.34,0.36,0.0,2.44,,,,0.49,1.4,,,,-0.08,-0.08,-0.08,-0.08,,,,,,,,0.0,0.0,,,,,,,,,,,,,5.37,3.65,1.72,,3.65
