,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,Work-in-Process,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Taxes Receivable, Current","Other Receivables, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment","Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment","Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment",Accumulated Depreciation of Construction in Progress,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Licenses and Rights,Research and Development,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Research and Development,Total Long Term Investments,Long Term Equity Investments,Investments in Other Ventures under Equity Method,"Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current","Other Receivables, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank/Credit Facilities, Current Debt","Bank Overdraft, Current Debt","Other Loans, Current Debt","Notes Payable, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Other Current Portion of LT Debt,"Capital Lease Obligations, Current","Provisions, Current","Provision for Employee Entitlements, Current","Other Employee-Related Liabilities, Current","Other Provisions, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Other Loans, Non-Current","Notes Payables, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Other Provisions, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 5
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,53.97,50.23,30.68,30.68,25.68,5.0,2.82,2.64,0.18,,16.51,13.58,13.58,0.0,2.81,0.12,,0.22,3.74,1.36,1.9,0.6,0.57,0.03,,1.31,0.0,-0.55,-0.55,-0.19,-0.16,-0.03,,-0.36,0.0,0.27,0.39,0.39,0.39,,-0.12,-0.12,-0.12,-0.12,,0.02,0.02,0.02,2.08,2.08,,21.34,19.78,10.2,8.82,7.85,0.07,0.9,1.38,1.06,1.06,0.0,,0.0,,0.0,1.06,1.06,0.0,1.06,,1.97,1.97,1.97,,6.49,6.49,0.08,1.56,1.41,1.41,1.41,0.0,1.41,,,0.15,0.14,0.14,0.0,32.63,32.63,64.48,64.48,2.24,62.24,-10.63,-21.23,-21.23,,,,,,,,,,,,,,,,,,,,,,
2018,45.98,41.93,14.96,14.96,9.96,5.0,3.18,2.86,0.32,0.0,23.45,19.65,19.65,0.0,3.61,0.19,,0.33,4.05,1.39,2.32,0.71,0.69,0.03,,1.61,0.0,-0.93,-0.93,-0.33,-0.3,-0.03,,-0.6,0.0,0.55,0.74,0.74,0.45,0.29,-0.19,-0.19,-0.19,-0.19,0.0,0.0,0.0,0.0,2.11,2.11,,23.82,22.82,13.91,13.2,10.22,2.39,0.58,0.72,1.2,1.2,0.26,,0.04,0.22,,0.95,0.95,,0.95,,0.03,,,,7.67,7.67,,1.0,0.78,0.78,0.78,0.0,0.78,,,0.21,0.21,0.21,0.0,22.16,22.16,64.93,64.93,2.27,62.66,-11.89,-30.87,-30.87,,,,,,,,,,,,,,,,,,,,,,
2019,32.99,24.79,4.56,4.56,4.56,0.0,3.64,3.14,0.5,,16.5,6.66,6.81,-0.15,3.53,0.13,6.18,0.09,8.2,5.72,8.04,0.98,0.74,0.24,5.27,1.8,,-2.32,-2.32,-0.52,-0.45,-0.07,-0.93,-0.86,,0.23,0.51,0.51,0.51,0.0,-0.28,-0.28,-0.28,-0.28,0.0,0.0,0.0,0.0,2.25,2.25,,27.71,22.71,10.53,8.43,7.85,0.49,0.09,2.1,1.26,1.26,0.0,,0.0,0.0,,1.25,0.48,,0.48,0.77,2.65,2.65,2.65,0.0,8.31,8.31,,5.0,4.61,4.61,0.77,,0.77,,3.83,0.39,0.38,0.38,0.01,5.28,5.28,30.45,30.45,2.29,28.16,-17.7,-7.47,-7.47,,,,,4.61,0.77,2.49,1.34,0.0,4.61,0.77,2.49,1.34,0.0,4.61,0.77,2.49,1.34,0.0,,,
2020,30.57,23.53,8.8,8.8,8.8,,3.38,3.33,0.05,,11.24,6.61,6.61,0.0,2.75,0.14,1.74,0.12,7.03,4.55,8.1,1.0,0.75,0.25,5.5,1.61,,-3.56,-3.56,-0.75,-0.59,-0.16,-1.84,-0.97,,0.17,0.52,0.52,0.52,,-0.36,-0.36,-0.36,-0.36,,0.09,0.09,0.09,2.23,2.15,0.08,32.94,18.37,9.4,8.63,7.76,0.8,0.06,0.77,1.51,1.51,0.0,,0.0,,,1.51,0.72,,0.72,0.79,1.48,1.48,1.48,,5.99,5.99,,14.57,13.13,13.13,9.99,9.41,0.58,,3.14,1.44,0.43,0.43,1.0,-2.37,-2.37,17.47,17.47,2.3,15.17,-7.91,-11.93,-11.93,9.41,0.95,9.96,-1.5,3.93,0.79,2.44,0.71,0.0,3.93,0.79,2.44,0.71,0.0,316.51,64.9,252.4,0.71,-1.5,303.17,63.17,240.0
2021,29.73,22.82,10.22,10.22,10.22,,3.36,3.31,0.05,,9.09,6.36,,,2.42,0.31,,0.15,6.9,4.43,9.35,0.97,0.79,0.18,6.81,1.57,,-4.92,-4.92,-0.81,-0.69,-0.13,-3.29,-0.82,,0.23,0.64,0.64,0.64,,-0.41,-0.41,-0.41,-0.41,,0.0,0.0,0.0,2.25,2.25,0.0,27.87,14.66,5.18,4.62,4.09,0.44,0.09,0.56,2.53,2.53,0.0,0.0,,,,2.52,1.35,0.99,0.36,1.18,2.04,2.04,2.04,,4.91,4.91,,13.21,11.84,11.84,8.79,8.52,0.26,,3.05,1.37,0.35,0.35,1.01,1.86,1.86,13.8,13.8,2.7,11.1,-1.93,-10.02,-10.02,9.52,0.99,8.52,,4.23,1.18,1.91,1.14,,4.23,1.18,1.91,1.14,,13.75,2.17,10.44,1.14,,,,
