,Gross Profit,Total Revenue,Business Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Research and Development Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Realized Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Unrealized Gain/Loss on Derivatives,Irregular Income/Expense,Fixed Asset Disposals,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.044120360701695,0.003065848279764648,-0.0025600321362445164,-0.1095422431729818,-0.1270725859588738,-0.12146704280505737,-0.10796252857437554,-0.11058889467989444,-0.09185646290153632,-0.041131641691859,-0.04137226843250788,-0.03960578081681825,-0.04917878090875614,-0.007014325454737611,-0.08432458183492594,-0.08432458183492594,-0.0007953476749998625,-0.004303403192947138,-0.1388486920484768,-0.06062729094451867,-0.12381359216015211,-0.11058889467989444,-0.002832677466812153,-0.12828312223028995,-0.12828312223028995,-0.12714404876984875,-0.11976552388769497,-0.11937694694204476,-0.03632956511325777,-0.036165222862455104,-0.10937835840847829,-0.11051743186891949,-0.10959605934043053,-0.059570866451285544,-0.06588037619989662,-0.0563049579855005,-0.0575937355539871,-0.03946332136144322,-0.03940756763346948,-0.0023755712156941404,-0.056942747188318356,-0.04986511474157174,-0.0400814809785188
Revenue per Share,0.07548463122371275,0.3183926761270823,0.2817393691825171,0.06481673807758993,0.04108934111712109,-0.009739357118320038,-0.01570021389067418,0.06020024077906043,0.06824261840098703,0.12417713748508659,0.13148885878517366,0.017307069079792285,0.11433354391499484,0.10698199884688135,0.033561920367855255,0.03199387117956868,0.06284880569916466,0.06750878238439666,0.049521135012423834,0.0651363285104287,0.04990294880487398,0.01342104007357052,0.05790473567943783,-0.004404854003289726,-0.003503357898705299,0.03824147968379162,0.04055306174791264,0.026503907935668786,0.05780217783130816,0.1011292301357221,0.07384240577442343,0.06693047654349546,0.06879568724788014,-0.0018976402197679882,0.017604023373184202,0.0042393915259046734,0.01964145694445328,0.03990174075491568,0.03834441427755797,-0.05843025051443032,0.0026682259593379725,0.008042327309296304,0.01570679817873025
EBITDA per Share,0.011237918529894649,0.041013206639228014,0.04651763235280768,0.014831240220013689,0.011101538971859191,0.01945231037054459,0.022276604943676056,0.024002838387477354,0.04919580008746991,0.07799275831573735,0.0826379176279422,0.0569147815057427,0.06476132381455132,0.07352856503067211,0.05773640932180833,0.05083524502136275,0.08926296693170589,0.08907903341978693,0.03639119123616542,0.08016720279602134,0.0618521473380193,0.01827231888561812,0.08331407452799074,0.010625908781416718,0.012200934554630168,0.011112293536641681,0.01372287366795798,0.0013941797228693258,0.010615999227182283,0.015698627911639774,0.026761501915775417,0.014424203969467959,0.03329208215264061,0.03709257437643907,0.07516180110661695,0.04321619817578887,0.07708527162716199,0.06329289220676862,0.0775163308388312,-0.006610104430375735,0.04710158643513757,0.043619232716939085,0.04719202756896268
EBIT per Share,0.010291488426872544,0.04036320551112155,0.04676487590461108,0.009948270177937604,0.017444170660951937,0.02208574726625675,0.02052260945639154,0.010577360586671164,0.049661387886798955,0.07871680315573902,0.08960170912579178,0.06195900281299164,0.06348284099311889,0.08685881328759172,0.05697885244849383,0.0461537255890534,0.08861862421744512,0.08615602498980744,0.0333041303237059,0.0938068001022085,0.05987397607889351,0.01835037431274465,0.08390360479672065,0.010918335987057427,0.012328662829624266,0.0122504133252993,0.010236704135987897,9.405337202088174e-05,0.02081855470464246,0.016291381136642337,0.017010715460750683,0.0127808837092253,0.03070285104632771,0.07663261373332855,0.1013381153283414,0.09784700901129495,0.09289136781477711,0.07880628249759518,0.08236682340086295,-0.0008541027750475789,0.10333819536822664,0.05316321370626328,0.024496594996190977
Earnings per Share (Diluted),0.15335556734207573,0.1427162751119101,0.16294948827033565,0.13452433894721114,0.02458247956861475,0.03803744052058169,0.03258059129933439,0.13108567203670865,0.12907515744418702,0.16872091984885612,0.1725915108108896,0.08988765500974512,0.17176887720142675,0.12338390307058142,0.08794163197826638,0.06585778277214431,0.12886628692201027,0.10808337992398714,0.03197749466149592,0.11917168567927044,0.059918635847486884,0.04256355251132358,0.07537966380267924,0.08963478042610376,0.06773796746678892,0.08305340404903383,0.041096296195847565,0.15588881303707372,0.11848011443988568,0.16651737446858839,0.09033678117702251,0.14249218128325306,0.04626119156788476,0.02509658357611293,0.07235035127203836,0.09501391564784335,0.10887179752837912,0.17191702421027108,0.1617856496315001,0.0056156549522340116,0.09588679842986166,0.016899172344123185,0.10624386070720823
EPS without NRI,0.10809610074955704,0.0782030889564359,0.07961128884332831,-0.003647309077917897,-0.021549465723569725,-0.007028953905034578,0.013217011799947567,0.0412358175960526,0.024475611868136838,0.047889053934135804,0.08362411619643946,0.050966644879109645,0.0738931927317167,0.04832784578384773,0.027195675012786906,0.026771572339074595,0.11966973668322357,0.11845347937342803,0.004219320067377692,0.10057535830208217,0.025833232260686914,0.051387016322079884,0.040852846239492556,-0.019253122983824398,-0.03491934792351468,-0.025854357739945703,-0.027847269034966475,-0.024807650101519592,0.04741445202964575,0.06939169572577299,0.050351576983049706,0.039339940188746404,0.01550596471101174,0.05263155240585579,0.11333723922133611,0.11713493963238025,0.11134432017409601,0.05625513298728726,0.05536246781729725,0.08794516371123946,0.14051625272445806,0.08565962920243488,0.06748812585124736
Owner Earnings per Share (TTM),0.08160379186380674,0.04305540419111826,0.07718118718523065,0.1264217918094088,0.07032808287901711,0.08294363744975589,0.08391355837604457,0.11955797497410066,0.10434794660046444,0.1302905728786536,0.11224032003079487,0.09360252863390393,0.10157055250358343,0.20040921005263226,0.11444186301637052,0.1057116534447922,0.13083612238499895,0.14362019161661085,0.06650459858128223,0.1187246439251763,0.09312759442059637,0.011424502374668955,0.16109335419827656,0.07084950044951158,0.07518500666178878,0.07099835226401775,0.11218574834035282,0.10836689077088443,0.05646328321413947,0.05342758866314196,0.069434475285066,0.12341697385358474,0.06406889022199848,0.06899331936273927,0.1379200928986718,0.05118627032072255,0.1390973548453173,0.19278756902002656,0.193483095085597,-0.015427099326955053,0.08507776783452152,0.025227670879660255,0.031709311095598505
Free Cash Flow per Share,0.009239126540219453,0.025102051736178427,0.028860176369072146,-0.001005541633217785,0.018527661910836744,0.02477012854013113,0.029388260461837186,0.00953939531145406,0.04366112871983338,0.07805559430199006,0.07813749133567441,0.05848419581492297,0.045980502460893524,0.053370537532589295,0.03410445653686598,0.03360532190158109,0.07705002741528374,0.07313517254429286,0.04977714963908706,0.060928971639004126,0.036280745314876364,-0.00034901211094164487,0.08011840517199788,0.006280117204045106,0.012727805707601451,0.009392832276633355,0.07746294795591452,0.07732475225232044,0.010134691034469507,0.005663357478006661,0.028563699637221045,0.009088229906253908,0.050619920946324316,0.026438175687380824,0.045609256452228575,-0.006699783542367888,0.04575176140198971,0.09336317684978677,0.0905571888209334,-0.022107632250220482,-0.006818226955928535,0.021519310305786774,0.024060312238006983
Operating Cash Flow per Share,0.0396676013111102,0.08751705170214129,0.09944199813338218,0.10220973914937273,0.02651179772141522,0.04070980878892765,0.02860265155629984,0.09798017818893627,0.15324056308216483,0.13684216054945136,0.08679931975968244,0.05718873192416427,0.04114740521902555,0.1449340853995651,0.05359219172983979,0.036232637214499167,0.0940879703593677,0.09570199232421438,0.031406990260496113,0.09019070522340529,0.05444514295387236,-0.001968303339425036,0.08672394722784715,0.10371607163377516,0.10303436085646638,0.015121514107744288,0.07529459592380652,0.07527257585374415,0.010591553417338345,0.09399781826990698,0.1144338828831082,0.09822602395312707,0.038975584964949274,0.03521722525760259,0.11403943806972347,0.010909870833669845,0.11634175602516725,0.0950228158094097,0.07086359358937173,-0.03229109452096444,-0.0073025438529865415,0.020567251201069656,0.03063812847624319
Cash per Share,0.11468261256315629,0.14152218718684909,0.06794147399237,0.026624303257670665,-0.014347218534925387,-0.005577679467302024,-0.002113453371072246,0.025140925562482236,0.04459554208259153,0.07472431547836438,0.08727818270163143,0.037473960285454355,0.058141484837374996,0.045922230221320366,0.016709342075867314,0.02298955525925628,0.05849618580392027,0.05729069011690659,0.014053653252979009,0.09723606832588234,0.03737269123730004,0.01891472088768835,0.054766931141939056,-0.026691439256408215,-0.017958529162722687,-0.012589017353854627,0.03530334555756773,0.018648101729278554,0.038403090146634365,0.03786948577355904,0.018554699962594033,0.013472230137234753,0.02051401645775726,0.02917743974414391,0.00905708639820136,0.025601664326456202,-0.006988906640279652,0.0850611788238193,0.07437731987685563,-0.02857392060145479,0.02599010467962297,0.0327010806112072,0.05791813813722099
