,Gross Profit,Total Revenue,Business Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Research and Development Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Realized Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Unrealized Gain/Loss on Derivatives,Irregular Income/Expense,Fixed Asset Disposals,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,0.0,0.0,-38.31,-11.22,-11.22,-27.1,-38.31,0.13,-0.1,-0.1,-0.77,0.66,0.23,-0.01,-0.01,0.25,0.25,,,,-38.18,-0.1,-38.29,-38.29,-38.29,-38.29,-38.29,,,-38.31,-38.31,,-0.734685,-0.734685,-0.734685,-0.734685,52.11,52.11,-0.7347,-0.734685,52.11,52.11
2019,,0.0,0.0,-34.05,-11.6,-11.6,-22.45,-34.05,-0.6,-0.49,-0.49,-1.23,0.74,-0.12,-0.01,-0.01,-0.1,-0.1,,,,-34.65,-0.09,-34.74,-34.74,-34.74,-34.74,-34.74,,,-34.05,-34.05,-0.003,-0.666716,-0.666716,-0.666716,-0.666716,52.11,52.11,-0.6667,-0.666716,52.11,52.11
2020,,0.0,0.0,-27.81,-12.91,-12.91,-14.9,-27.81,-1.66,-0.82,-0.82,-0.91,0.09,-0.56,0.0,0.0,-0.56,-0.56,-0.28,-0.28,,-29.47,-0.03,-29.5,-29.5,-29.5,-29.5,-29.5,,,-27.81,-27.81,-0.001,-0.566,-0.566,-0.566,-0.566,52.11,52.11,-0.566,-0.566,52.11,52.11
2021,,0.0,0.0,-31.26,-10.93,-10.93,-20.34,-31.26,-50.92,-0.34,-0.34,-0.37,0.03,0.0,0.0,0.0,0.0,0.0,-50.58,0.04,-50.62,-82.18,0.0,-82.18,-82.18,-82.18,-82.18,-82.18,,,-81.88,-81.88,0.0,-1.31,-1.31,-1.31,-1.31,62.87,62.87,-1.31,-1.31,62.87,62.87
TTM,,0.0,0.0,-35.02,-12.02,-12.02,-23.01,-35.02,0.4,0.33,0.33,-0.12,0.45,,,,,,0.11,0.11,0.0,-34.63,0.01,-34.61,-34.61,-34.61,-34.61,-34.61,,,-35.02,-35.02,,-0.31,-0.31,-0.31,-0.31,87.53,87.53,-0.24,-0.24,87.53,87.53
