,Total Revenue,"Dividend Income, Revenue","Interest Income, Revenue",Fees and Commission Income,"Net Investment Income, Revenue","Realized Gain/Loss on Investments, Revenue","Realized Gain/Loss on Investment Securities, Revenue",Sale of Investment Securities of Unaffiliated Issuers,Sale of Investment Securities of Affiliated Issuers,"Other Realized Investment Income, Revenue","Fair Value or Unrealized Gain/Loss on Investments, Revenue","Unrealized Gain/Loss on Investment Securities, Revenue","Other Investment Income, Revenue",Total Expenses,Staff Costs,Other Consultant/Professional Fees,Interest Expense Net of Capitalized Interest,Other Fees,Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Other Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Net Investment Income,"Non-Operating Income/Expense, Supplemental Section","Irregular Items, Supplemental","Gain/Loss on Extinguishment of Debt, Supplemental",Income Statement Operating Metrics,CEF Industry,Portfolio Turnover Ratio,Net Income Ratio,Gross Expense Ratio,Net Expense Ratio,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,58.07,12.38,21.87,0.87,22.94,1.58,1.58,1.49,0.09,,21.36,21.36,,-18.7,-9.4,-1.58,-4.88,-2.84,39.37,-0.06,,,,39.31,39.31,39.31,39.31,39.31,,,35.13,-18.7,16.23,,,,,,0.0,0.0,0.0,0.0,2.45,2.45,2.435598,2.435598,16.07,16.14,0.0,0.0,,2.45,2.435598,16.07,16.14
2019,61.05,12.93,37.3,1.65,9.17,20.85,20.85,2.12,18.73,,-11.68,-11.68,,-27.12,-10.15,-1.74,-12.18,-3.06,33.93,-0.87,,,,33.06,33.06,33.06,33.06,33.06,,,51.88,-27.12,23.71,,,,,,0.0,0.0,0.0,0.0,1.98,1.98,1.975455,1.975455,16.73,16.73,0.0,0.0,0.0,1.98,1.975455,16.73,16.73
2020,15.6,12.44,46.99,2.61,-46.44,45.69,45.69,1.34,44.36,,-92.13,-92.13,,-31.75,-10.31,-2.03,-15.84,-3.57,-16.15,-6.21,,,,-22.35,-22.35,-22.35,-22.35,-22.35,,,62.04,-31.75,28.23,,,,,,0.0,0.0,0.0,0.0,-1.24,-1.24,-1.241734,-1.241734,18.0,18.0,0.0,0.0,0.0,-1.24,-1.241734,18.0,18.0
2021,90.52,8.39,56.3,3.37,22.46,-8.54,-8.54,-6.91,-1.63,,30.99,30.99,,-34.96,-10.83,-2.19,-17.94,-2.98,55.56,-4.68,,,,50.88,50.88,50.88,50.88,50.88,,,68.06,-33.95,31.67,,-1.01,-1.01,,,,,,,2.67,2.67,2.67,2.67,19.06,19.06,0.0,0.0,0.0,2.67,2.67,19.06,19.06
2022,102.93,8.4,68.47,5.33,20.73,7.28,7.28,7.14,0.14,,13.44,13.44,0.02,-56.09,-12.42,-2.49,-19.92,-4.08,46.84,-4.03,-0.18,-0.43,-3.41,42.82,42.82,42.82,42.82,42.82,,,82.22,-38.91,42.69,,,,,,,,,,1.87,1.87,1.87,1.87,22.84,22.84,0.0,0.0,0.0,1.87,1.87,22.84,22.84
