,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,General and Administrative Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2005,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2006,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2007,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2008,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2009,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2010,113.45,117.66,113.71,3.95,-4.2,-110.7,-110.7,-88.13,-22.56,2.76,-0.31,-0.31,-0.31,-0.36,0.06,2.45,-0.64,1.81,,,1.81,1.81,1.81,,,117.66,-110.7,2.76,0.28,0.28,0.28,0.28,6.52,6.52,0.28,0.28,6.52,6.52
2011,120.71,126.12,121.09,5.03,-5.41,-125.35,-125.35,-98.22,-27.13,-4.64,0.0,0.0,0.0,-0.06,0.06,-4.64,1.41,-3.23,,,-3.23,-3.23,-3.23,,,126.12,-125.35,-4.64,-0.45,-0.45,-0.45,-0.45,7.19,7.19,-0.45,-0.45,7.19,7.19
2012,128.13,132.92,132.92,,-4.78,-133.24,-133.24,-105.73,-27.5,-5.1,-0.16,-0.16,-0.16,,,-5.26,1.68,-3.58,-3.58,,-3.58,-3.58,-3.58,,,132.92,-133.24,-5.1,-0.51,-0.51,-0.51,-0.51,7.09,7.09,-0.51,-0.51,7.09,7.09
2013,129.83,134.28,134.28,,-4.45,-132.54,-132.54,-100.55,-31.99,-2.71,-0.18,-0.18,-0.18,-0.18,,-2.89,1.12,-1.77,-1.77,0.14,-1.63,-1.63,-1.63,,,134.28,-132.54,-2.71,-0.23,-0.23,-0.23,-0.23,7.06,7.06,-0.23,-0.23,7.06,7.06
2014,172.01,176.82,176.82,,-4.81,-166.27,-166.27,-128.73,-37.54,5.74,-0.27,-0.27,-0.27,,,5.48,-2.08,3.4,3.4,-0.09,3.31,3.31,3.31,,,176.82,-166.27,5.74,0.46,0.46,0.44,0.44,7.21,7.49,0.46,0.44,7.21,7.49
TTM,166.83,171.58,171.58,,-4.75,-164.21,-164.21,-123.68,-40.53,2.62,-0.29,-0.29,-0.29,,,2.34,-1.1,1.24,1.24,-0.22,1.02,1.02,1.02,,,171.58,-164.21,2.62,0.16,0.16,0.15,0.15,7.47,7.62,0.16,0.15,7.47,7.62
