,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Other Operating Gain/Loss, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Other Current Assets,Change in Other Current Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
1996,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
1997,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
1998,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
1999,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2000,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2001,-0.08,-0.08,0.03,,0.01,0.01,0.01,0.01,,,0.02,,,,0.02,0.02,,,-0.1,0.0,0.0,,,,1.55,1.55,0.1,0.1,-0.05,-0.05,1.5,0.77,1.48,0.01,-0.72,,1.48
2002,-0.02,-0.02,0.06,,0.0,,,0.0,,,0.06,,,,0.06,0.06,,,-0.08,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.02,0.77,-0.74,,-0.02
2003,-0.36,-0.36,-0.36,-0.79,0.32,0.04,0.04,,0.27,,0.11,,-0.05,0.0,0.24,,0.0,-0.07,,-0.33,-0.33,-0.33,-0.33,,0.7,0.7,0.03,0.03,0.66,,0.01,0.0,0.0,0.0,,,0.0
2004,-1.27,-1.27,-1.27,-2.74,1.17,0.14,0.14,,1.02,,0.3,,-0.08,-0.05,0.45,,-0.01,,,-0.64,-0.64,-0.57,-0.57,-0.07,1.91,1.91,0.5,0.5,1.41,,,0.01,0.0,0.0,,,0.0
2005,-1.05,-1.05,-1.05,-2.17,1.01,0.14,0.14,,-0.07,0.94,0.12,0.03,0.14,0.03,-0.08,,,,,0.34,0.34,-0.05,-0.05,0.39,0.71,0.71,0.4,0.4,0.33,,-0.03,0.01,0.01,0.01,,,0.01
TTM,-1.08,-1.12,-1.12,-2.28,1.22,0.13,0.13,,-0.09,,-0.06,,-0.01,-0.01,0.05,,,,,0.36,0.36,-0.23,-0.05,,0.72,0.72,,,0.28,,,0.01,0.0,0.01,,,0.0
