,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Leasehold and Improvements,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Construction in Progress,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Customer Relationships,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,"Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Amount Due to Related Parties/Shareholders, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank Overdraft, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Provisions, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Borrowings from Associates and Related Parties, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Additional Paid in Capital/Share Premium for Common Stock,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Debt due in Year 3,Debt due Beyond,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Total Contractual Obligations due in year 3
0,-0.1305471060796368,-0.0779316257785374,-0.10659634834046076,-0.10659634834046076,-0.08099876873279892,-0.05130037409608541,-0.041855469859291554,-0.0779316257785374,-0.05578879197131812,-0.0556229643687466,-0.0782171165028973,-0.07616819836812745,-0.04767650436760303,-0.039037771172837646,-0.038147673257676123,-0.05130037409608541,-0.041721957593337036,-0.06804563592444844,-0.04315815203617011,-0.03805272572005865,-0.04435827775438812,-0.0762422516571142,-0.05550330124695823,-0.07669250463842242,-0.05130037409608541,-0.054426447126109195,-0.09150522023518311,-0.0314061763716401,-0.14460953926790257,-0.1466671141032575,-0.04143474697994856,-0.023148965738805025,-0.08119139918770862,-0.12803345193693477,-0.12725905183084185,-0.002637032894303365,-0.041085787120791716,0.015261140382907486,-0.03331118443640268,-0.06297981870054156,-0.0782171165028973,-0.0639029231798976,-0.08560683917817673,-0.03760911221579675,-0.05130037409608541,-0.05130037409608541,-0.025688880816982916,-0.04115724993176667,-0.04115724993176667,-0.04336731811739437,-0.0777179779980268,-0.0777179779980268,-0.043421291124268756,-0.043421291124268756,-0.046054423706199964,-0.0409629089024804,-0.07669250463842242,-0.0779316257785374,-0.08002058528209377,-0.08412297754755474,-0.05020364418897515,-0.04435827775438812,-0.045569724701887776,-0.05042188072523096,-0.10409420851160796,-0.09634464031259132,-0.018144270235993656,-0.040695775304892864,-0.10243229655504296,-0.06026598111769572,-0.05375898995585352,-0.046054423706199964,-0.046054423706199964,-0.04145576079647405,-0.06944548110489,-0.07659393122395497,-0.07650150927042643,-0.08412297754755474,-0.08412297754755474,-0.038147673257676123,-0.046054423706199964,-0.028807242339761025,-0.039456038579458466,-0.012957417331809589,-0.011415631378088258,-0.048729368937378996,-0.04960786230823345,-0.04960786230823345,-0.040144936795177874,-0.04036317333143369,-0.09973701776228533,-0.09293935216949077,-0.0011499738926060718,-0.09074064323739622,-0.024905199787811125,-0.04827775887751243,-0.0782171165028973,-0.034647391417308236,-0.023966071444759315,-0.0849864847969587,-0.03995819971758892,-0.02466174043308461,-0.05925939148854045,-0.03423917070493319,-0.08539795509222915,-0.04569341109584976,-0.04160329285738439,-0.0747183186449164,-0.05300091883046481,-0.03225378984335789,-0.08368408758039327,-0.028690373997443598,-0.028850241938513658,-0.025771925126805432,-0.00214497909318843,-0.02898355488381246,-0.07421126143562091,-0.05240190272010473,-0.029144777332668518,-0.08161997466859637,-0.026849835988263706,-0.03997861249627486,-0.02680236207977846,-0.05246175913979286,-0.04992428536767147,-0.08284744875391807,-0.024892264968543614,-0.075307894701444
Revenue per Share,-0.02531774408103651,0.06116786172772207,0.010499291942934074,0.0041373648086719065,0.061898722646163244,0.03256279374960533,0.0044974358646869975,0.0682364437110259,0.07395896480034841,0.07176335219409717,0.05503113929421721,0.04897679791719874,0.12988053286076173,0.05294751150901861,0.05535439158692728,0.03897329366479069,0.0632912499698782,0.06642669856814011,0.01614225766614249,0.03964137831454487,0.04819085096129768,0.043921889315505815,0.05378051839076698,0.03963285290732879,0.03180338663498392,0.04191455785835132,0.0562690225698682,0.05658065115443309,-0.00665563731950105,-0.007152788770506038,0.0705688749086386,0.047022417903317314,0.06567601705408571,-0.029018686479750096,-0.015890975715769733,0.02632742521128093,0.04656284742959626,0.05760279705580874,0.047752515992655564,0.06705657957854375,0.06002319505652893,0.02835776932262211,0.026239597316098227,0.034743342270523954,0.047294944097541564,0.05061899830971281,0.044591982270100264,0.04616340845849544,0.05900812242929324,0.07401291164633902,0.05330632849204586,0.05698923147463458,0.06222033369670088,0.030525285488278077,0.06095160208619055,0.007342703601455379,0.0599697319577607,0.05257524943670193,0.0545184974355131,0.05200752316574311,0.030732844330186606,0.04150493824433421,0.12604494445499456,0.030064658302424715,0.05716986495621333,0.04581717115489115,0.04863035647515042,0.042762517927505905,0.04177983228959018,0.05526659236755712,0.04888867645288444,0.05649032040097245,0.04539919159499346,0.043330512099818384,0.06735351543452417,0.06048794568293842,0.05489407660662473,0.05617383833559092,0.05471869123582963,0.049320399348763436,0.06642456970016446,0.040612562489152536,0.04190833124015899,0.04108931150823704,0.04447779558460472,0.03181083165653499,0.03848019363592749,0.04365793480408257,0.09406056170299316,0.060040529112052744,0.029115528632627403,0.04832588703912076,0.03219355791677861,0.13268182519060281,0.10135641170267481,0.06628071062904835,0.1264844261026383,0.035102580320689664,0.055731652992328753,0.049639173049211935,0.051173939235466655,0.06444057266145439,0.09769862819347677,0.03823184613446501,0.06532987777613422,0.07003040132700723,0.026697797879121177,0.0680356857377643,0.05149998084801882,0.043274690655225885,0.044071118916601426,0.04062273869045376,0.0441522250877531,0.037627322398056315,0.0725699863995498,0.03231826682010648,0.06192184847367311,0.0492745075592866,0.03486495197159348,0.052209572102699345,0.04245911769182377,0.0007644691447586081,0.04140046153451516,0.06237645614977545,0.07567235734821397,0.045864894694252895,0.034931711850437586,0.046019131074489114
EBITDA per Share,0.007868109639446638,0.0928343476916928,0.04330144175031697,0.03346440043226594,0.054315434300553744,0.0018257585167539667,0.007995582159397658,0.09123535553249819,0.07803100943085473,0.07529618419189989,0.07110963740277486,0.05499733060771229,0.0302069567624058,0.03887253355796897,0.013216892851223135,0.031214167275122273,0.08214537111829652,0.08699905006377821,0.048437430007085065,0.06330277996304715,0.016337384097821952,0.00571213623250256,0.042961947892184854,0.053661796276553375,0.009835115254620745,0.023853307069831475,0.026198609477712687,0.05862481470987679,0.02955073050444354,0.033997107524402756,0.08183589798999887,0.0593024171678435,0.0741708655657665,0.002834839871801465,0.008288792695546873,0.04759417335201213,0.052769881657198175,0.03154649433042765,0.013350871331639518,0.057169678971134494,0.08446544037868925,0.04678807866941549,0.0438217447695588,0.03364870784704469,0.03689360790313814,0.038164028578122795,0.05653234959922869,0.05576750389981322,0.07188474867057004,0.07322201731565178,0.08236304414948643,0.07952001929163983,0.040545467853252935,0.01693591542098206,0.01929349156583307,0.06043177456151076,0.09488538909661427,0.08676248617222432,0.08066485182076287,0.07359855297582192,0.0307037885051768,0.033737205561412104,0.017618876283416705,0.031069294913768686,0.019636368043893158,0.019084161224531434,0.0419502631773683,0.04882167269060016,0.04731181492390347,0.047221720841219776,0.03299689559461167,0.019436205736568936,0.01734859642454778,0.026621475446998895,0.0856113698603042,0.08863370892560977,0.08605605188789942,0.07993275095604035,0.07493562333047743,0.00270566261729092,0.026859759389304037,0.012750740051036262,0.03396088624158107,0.036051088818312996,0.03300625011908596,0.04083800379717284,0.02897242397626774,0.03078900122366028,0.08174827925553382,0.07841399101037869,0.02197679476600832,0.01855046696729555,0.0486265423460928,0.03136608642955132,0.00830605253068396,0.0377337563704964,0.08458259196080592,0.005731061352938267,0.016443448235532617,0.07831161580859371,0.04699146583748233,0.01417140824223696,0.10034678437056038,0.01647960288377669,0.10172698577936151,0.026740930175568875,-0.004615996446672246,0.0430263457138157,0.04007389949510295,0.008482290143095003,0.026343181254691282,0.015344875953753858,0.012566891675772802,0.016594058207395217,0.05932268074788829,0.001674350656428594,0.044094850075317986,0.037774359721849574,0.0019560226889685393,0.028067041827282414,0.009391112930855164,0.03673147265050589,0.0022316514615729715,0.041418990078258854,0.06390519220103358,0.026883367547021805,0.0038733415999415485,0.0788823413295174
EBIT per Share,0.012367764550695853,0.09573381716358703,0.04590509151623326,0.04017237143705069,0.0688302440697572,0.0061141924954561545,-0.0024920710095217265,0.08694508457767006,0.08573401989526776,0.07771708140185776,0.07064835534222813,0.053768476433371355,0.02990539196859113,0.03911591213253643,0.011594262242011301,0.03155171571248693,0.08078497330257607,0.08738012050815629,0.05121863068895031,0.06781432384238954,0.011863699720113027,0.010759766055243758,0.04468529660656566,0.05295453415627562,0.008050811189958179,0.02343607105846452,0.00977540177231687,0.06580196130219441,0.029511929360230612,0.035297631832228844,0.08170817726750365,0.05225276880184603,0.08080865152958432,-0.00802973819794233,-0.010939683738177237,0.044641986785359244,0.0550129836895165,0.006295920065333074,0.019200044914471907,0.07167107383538936,0.08042990758840869,0.05040117321627756,0.038051420097728626,0.035090626957454504,0.03662029656206932,0.038147452552494666,0.060420547059367904,0.05767854395461501,0.06916341548901654,0.07531371174654153,0.08054254980723295,0.07900791136255084,0.0440448746835714,0.013322293373030761,0.003091053985054384,0.06794211078492526,0.09019174044839065,0.08029158051389558,0.07514714484999904,0.06856218275151459,0.033086628860042426,0.033089236122597954,0.016153246695834015,0.029340479423708602,0.02323636684863674,0.028283436225748755,0.03575449724001748,0.05664342283246541,0.045697151664892896,0.05267860027879935,0.03713762160685403,0.018372387297064547,0.016584186192376605,0.026311736395114457,0.09311036215122544,0.08671751622793855,0.08032800016150184,0.07741903902736959,0.06907328008612731,0.0025017846370122402,0.029853398722582285,0.012481940412688752,0.014859855076580507,0.03242733284880623,0.01195116841345006,0.04307847516259431,0.03464705518065115,0.03114238765251779,0.07115661788840637,0.07856638402007456,0.020571247837566947,0.014443605456734378,0.03045569436206445,0.024355283361223206,0.011780046537046562,0.05292589730035856,0.08360761105098867,0.009865197375866714,0.01559153692760894,0.07827482319401785,0.04816060834093014,0.019202444134462045,0.10286712885551633,0.014267375842267484,0.10304549845558947,0.018389536336333504,-0.0012490049005761583,0.04609260465608531,0.042038586541942445,0.004958153098711955,0.030816457745163915,0.01915322505086643,0.01698931438344168,0.01710331342851149,0.06037444262166104,0.0077405592275919255,0.040991270093121535,0.03652890420612369,0.001263613486930759,0.02996214515274017,0.01710024944210215,0.0387187278550129,0.005862046693232301,0.04074781033343705,0.06469049093150699,0.02308348094668176,0.011243930430464438,0.07915367702441228
Earnings per Share (Diluted),0.03030324877824961,0.18725297879831804,0.051026145905723366,0.05371902913422416,0.10277750486461162,0.08255914924072258,0.08906126331628472,0.14034046251265944,0.12028650916957342,0.11958145556103093,0.18781133965914476,0.11056728030964326,0.09372843046444235,0.11903137162228877,0.10140387460915143,0.11269802078607191,0.09819530947179694,0.13582502712614783,0.08689457932604093,0.09452863886754401,0.08664629778558292,0.12898557001306427,0.10164433987945366,0.10001379322361645,0.07909865023882535,0.10640757922436635,0.11413480041052276,0.10615445456328121,0.03684320112753828,0.042410094555338854,0.10980100529060902,0.07823139186671717,0.1221582292526979,0.033322068653495115,0.038200817233021496,0.07917694968425334,0.10464072437196835,0.11147132225570221,0.09230043930960212,0.10791429745199674,0.12842739086814828,0.036319381243562696,0.10174493956035184,0.09779006855413272,0.10843920368252322,0.11979406347473188,0.09461142653272221,0.10636800359774914,0.11543305035291063,0.13198885260658247,0.12408080320461082,0.12003017489818597,0.11828526263090203,0.09469601372294752,0.12136051534808402,0.07654897969503964,0.13771000883210208,0.12990688072547504,0.13582279864643337,0.11713846861833166,0.10597927595750489,0.1214317731193559,0.18374736694794255,0.11016344309759389,0.12219534738277335,0.11944412954826855,0.07910967798908063,0.09686134241283506,0.09385373975563474,0.1007774106137736,0.10676860998771007,0.12162540951033307,0.1238591745260128,0.11151130434730283,0.13768318175815963,0.13536014988460085,0.1343396728683784,0.12823892624343228,0.12375759172192562,0.13772428535099251,0.1241271948188622,0.09962730788214988,0.09637287023428134,0.08308780091992905,0.08259006215588473,0.108895522337378,0.10990143608233029,0.11553213441145682,0.1015900635485264,0.16558233237226716,0.10224004967442898,0.11839467633210277,0.10585354879551111,0.19506122101661968,0.17112947251922328,0.18292687496572485,0.22694569429248324,0.11415459603442914,0.11450761813150545,0.12563615581213747,0.09399566299942749,0.10879481448835443,0.1208365222957149,0.11221793657832398,0.09331541970032949,0.1085621795944329,0.09525790583758446,0.1536232390706228,0.11914610113185034,0.1019365894507266,0.13043392736471382,0.08988899255211108,0.11223811415973385,0.1139713135251354,0.11452666997335183,0.09638383365353785,0.14535541532990215,0.11192806418382846,0.09298623191210681,0.1315190799056428,0.09416777329584561,0.06800899585675861,0.10005591843797924,0.11329989419391166,0.11895071737077392,0.1250219847786066,0.09636787290569669,0.09030635473317943
EPS without NRI,-0.006927552933900705,0.1017544122328608,0.02269864133268654,-0.003804344332583974,0.12396345904517847,0.08666136498623801,0.09269703091268808,0.11440114242272958,0.05262577154990642,0.09161889986566178,0.09914404769125831,0.06858384519927269,0.0701350190708968,0.096096296326457,0.05673720261147871,0.08362490241917964,0.11785910888455961,0.13245524243172338,0.04181687720065531,0.08406356927902414,0.05525073090330655,0.09391578134909476,0.09268962842286772,0.1253218080759581,0.06896232626637926,0.04446272583861815,0.04211310409838722,0.08992581900514054,0.03251812705889703,0.03865506590049618,0.07363524045315757,0.014280997921027229,0.05487514135833764,-0.024043989233074603,0.0020961032611464805,0.006723482798322152,0.060235215987330566,0.04692052458292995,0.04006389920593179,0.08227612143998798,0.09796443908776568,0.04443993696096041,0.08373267537333368,0.1034122565970244,0.0814560038537914,0.0860065345063397,0.07351836430932927,0.03839489053191663,0.035826194153449537,0.07085836005713632,0.08734301511994613,0.05629006363517803,0.100324039886655,0.1159310419039829,0.09643110924886945,0.09045617776770698,0.13138910765512066,0.08968974732888939,0.06661747199037449,0.05699745313525285,0.09951151797231947,0.11330104516318724,0.042431119948325983,0.10218568918153328,0.06230372273131974,0.061858043658077996,0.05259365955334641,0.05317238174235315,0.05298156705999277,0.05394674713325517,0.08390346127405686,0.08850123933123782,0.04733275990416734,0.10379750213079932,0.1337377780875019,0.10042535938714098,0.06180105822046947,0.05131254924228757,0.10221926007615646,0.059295980570074534,0.1265710818823633,0.08632877401089771,0.11061222906670523,0.08577766120463585,0.06710638465530479,0.09799939216144901,0.09889765395018825,0.0989795528294864,0.1207207061619575,0.04822339786379316,0.08598092473536102,0.08599711919822621,0.049584005103987444,0.047492988193339115,0.020456150655664092,0.0840097593201236,0.07009505701853538,0.038467886712401735,0.1055771026219673,0.09747371809016347,0.07538358502243166,0.07759421107783511,0.09315134221220613,0.0769216466029231,0.06986484450282504,0.09753120978331725,0.019283954328943337,0.10828232687215159,0.08172138272321078,0.053796750595796444,0.09340076561944186,0.027186138230391083,0.06096593255341285,0.09541281685493921,0.10076880904873656,0.09162069974458882,0.12250462930399815,0.07914778841840983,0.04915726314123055,0.12429777542507457,0.03942561954455181,0.0703599721916339,0.05778172470742837,0.06782191782922173,0.07555135472517346,0.08794533327495041,0.05169376984475913,0.05374652425221683
Owner Earnings per Share (TTM),0.10836202533955751,0.19012814059077793,0.0901294859679687,0.08750657003716908,0.06783001923997724,0.03452054870639696,0.0603916149780708,0.1413211480537234,0.1246094921792253,0.11258837544508983,0.19072775826992763,0.11968951183361282,0.07002279110051121,0.07564542713813953,0.04545018287202125,0.0690441853679139,0.10734987080902313,0.13923423485217773,0.1045740786381432,0.0471654263179667,0.054732294571094374,0.060215147818322004,0.10862142188479762,0.10102791846528152,0.03472018836367407,0.09245660801828089,0.046764117130737144,0.09905670304564339,0.08882992642922101,0.07608672829904588,0.11812917369405264,0.10734743399440673,0.12749805495656538,0.0768201626273734,0.08234770407096453,0.15928699504798313,0.10405607307443822,0.09350017459764301,0.05424796203629565,0.11124834980639291,0.12665802066224024,0.033954690566493737,0.08975624997698949,0.04989758253557864,0.0701004134303616,0.08174550015323712,0.10747151009834051,0.1184509323301628,0.1309502657073667,0.12795599188904036,0.1276172485431516,0.12921972630302606,0.0771531463901853,0.035707608695437605,0.06356558884551,0.05177862161296387,0.12516904715868055,0.12839362815790673,0.1352088643986785,0.11220457670939275,0.07061278560799564,0.07252476361320903,0.11240155215770384,0.06401963050367589,0.06255652212913247,0.058013173632006594,0.05406811653605391,0.0894512010678043,0.09410894188913385,0.05960948564776305,0.052174077748744836,0.06511821584946892,0.058026520890334034,0.06289522520420898,0.13211789492616538,0.13316212975613387,0.1283012890848909,0.11353588957988463,0.12061248184148482,0.06234203591433055,0.06269575561342544,0.05092419774504375,0.039053909833280206,0.0754929559266969,0.07433285569743175,0.07079755893908109,0.06805985937015994,0.0647581018006272,0.11459539002137029,0.17763260625356644,0.03248088383788122,0.04308375032461213,0.049929696390425535,0.14758855690119677,0.13884397495520412,0.1467456601129321,0.15845213537056108,0.05170111730818578,0.06538627749579339,0.12074844282874166,0.0862766510719081,0.05720043013392601,0.1374667539849396,0.071397226947866,0.14011619590128235,0.021501744904100048,0.04021909678444984,0.09733860846413792,0.08265627282075318,0.05576228783779105,0.06551004384023687,0.04256761880890261,0.06146835089480849,0.06237491887167567,0.10471044004667386,0.04070003731832325,0.07709241133352165,0.0650795551105482,0.03756688435931826,0.06615594649460911,0.033929020735586526,0.09429694692624628,0.05501095684746319,0.07007283234960246,0.1241777343734892,0.07218755964608327,0.048514934013068264,0.13794253569118262
Free Cash Flow per Share,0.01523823547401577,0.07379706411752493,0.13172376311620163,0.07402580613564304,0.028099296322368413,-0.011187955106718446,0.013621643349347269,0.048010427738551145,0.03851511105000211,0.06185542973922389,0.12123439496694692,0.06343156898636496,0.023284332899497964,0.027879454853863454,0.007703803049746979,0.022323941295360382,0.1583352356173097,0.061007477993339325,0.06668911414859159,-0.016713504800285307,-0.017605977890506115,0.018350392126371597,0.022699625758456684,0.02343169509116821,-0.011685693870762806,0.04759366311153287,1.0523680966270915e-05,0.051455403117685664,0.045104331238281746,0.05193004495883859,0.09062652047197318,0.08181258884302131,0.08239152802215573,0.025718412866189935,0.040701289637825926,0.06947141721537493,0.08254343031185164,0.006156606144661219,0.017918979535738226,0.0382187051405757,0.054474047844549386,0.024420948867225865,0.04500142066397248,0.03304022320082078,0.01585338540281648,0.035643827568581,0.0747608358725358,0.07661038144231792,0.09100884078403403,0.06162400748210426,0.06416869304027678,0.05883236798238893,0.04453491025776972,-0.0009557419835221205,0.008035547687963449,0.05229220167701695,0.0626320123217218,0.05060704877298841,0.058217642064705304,0.11193169906545546,0.025965702559371067,0.02239025621713601,0.028408522448196864,0.02609605982455862,0.01569028707133487,0.019309330825484933,0.0329015246024941,0.04775833147521807,0.05101117368505118,0.02941918217346625,0.025091234511829878,0.010184961983756907,0.0263428361723147,0.025447547786211232,0.054509029593371866,0.060996453851408526,0.06330152924447477,0.04873553670766255,0.047706135938434695,0.010467471275522283,0.0131844314690852,0.0009058942004603271,0.0259153643102441,0.015808134548975908,0.02010717748979806,0.020743987170413564,0.09633682207396402,0.09434358941346885,0.07311003789361316,0.0731144965600515,0.019434738097897638,0.011487990425965225,0.011959394187344694,0.06088600501874647,0.041873475124597895,0.109502345217207,0.04539849716355197,0.0008946387979105836,0.01593594955202183,0.047081729492979986,0.04499842295358238,0.009714725234800416,0.07042385257538936,0.005858429273435339,0.07557947402547867,0.007757450334280653,-4.256629212574326e-05,0.042238015453812186,0.02781953025825917,-0.0038545489240654936,0.03064739824894315,0.004117541525419207,0.016094871914160355,0.009693922756151208,0.04612437245329741,0.0003481163697229444,0.03625781045793473,0.02608453736039091,-0.003942438460680465,0.025094577777578217,0.012424957253068289,0.06866399883068,0.007999076838012776,0.029813226564187868,0.05384822753964123,0.032757691842983105,0.022808459044149475,0.07137931823925135
Operating Cash Flow per Share,0.05833675352393102,0.14604934151093085,0.12320338945100924,0.06280490123781729,0.04552958316107728,-0.0035120327667734984,0.022271544766488117,0.09287338126127925,0.06797789814972319,0.12187407163763153,0.14409033526427106,0.06864047797325969,0.03589219827999149,0.036810042428982996,0.01368685245719484,0.02274955999384028,0.08888343375609496,0.10465524017478636,0.06050224146563522,-0.012168870778165935,-0.02223202685055102,0.018458537556272834,0.06644341329438648,0.08702839059515939,0.0003394406706040279,0.05065793314586431,-0.0028354071921781105,0.0762128438934127,0.03576891422899877,0.03563211141309916,0.10287585886134612,0.07748404404009186,0.09742794609177147,0.0256507442277785,0.028235176349962192,0.08239032749763285,0.0745506114814472,0.042884344646848906,0.016100738121235126,0.06674132911812222,0.0791451034783579,0.01572781462034407,0.04670850954936763,0.008828586640136095,0.03848665497583471,0.033186226110931624,0.07914334878957391,0.08057997977033952,0.07969738106626288,0.0813128398410611,0.08433363070305867,0.08588521262705362,0.04547264384150868,0.00884689119894122,0.016541936973711244,0.03882512004676892,0.08450496324918284,0.0730662998645624,0.07617085536981462,0.08707684875376492,0.022673658776763656,0.03564045504966147,0.08459431526804445,0.013896487345458616,0.014876453004676297,0.025598084044427788,0.03337006585716021,0.047504458964819585,0.044405888490654695,0.02981826488125595,0.039738049952818044,0.02381040978780133,0.015359770776648168,0.008790564787023355,0.08284269134803963,0.08903516705204967,0.09521682355586507,0.07704194969649744,0.07552292069210383,0.01972529253143918,0.02192498738898145,0.004921759270229386,-0.009574047684756698,0.022763154382939854,0.02665617056192421,0.026022769657894504,0.02249271392413144,0.017003162039867733,0.11323229179508058,0.0831083203542024,0.009718456844589581,0.06787659893495561,0.012512054573033731,0.04422712493099824,0.04149782266166255,0.04764360860066392,0.14952119677217365,0.0008142553661762918,0.017016272022855293,0.07180467125607581,0.041939527916365335,0.011814171400998504,0.08865656823433739,0.021228338972325542,0.09277214772054922,-2.0705815382450997e-05,0.002547715908740125,0.04043279594167961,0.03492754856560767,0.0029224217093858323,0.026977737153944158,0.00555108807724838,0.007958430770833719,0.01393764891089079,0.05749789349041765,-0.0015801509205541804,0.03821630280288834,0.0317765709764896,0.00023410723577820198,0.02404235899856201,0.01239195540721402,0.06513631072668995,0.006749436821883323,0.030959412111772455,0.07836813833839275,0.02860209093773208,0.002204496635472445,0.09615711878025182
Cash per Share,0.05633350846945084,0.158003612096377,0.09267029892537557,0.09626215495243456,0.061045736739685504,0.03998196457431761,0.05602915830583164,0.09551742191003249,0.08202127231638838,0.07736118318005097,0.07541465063359136,0.05378432742873,0.05544031396468682,0.06022860226258699,0.04430348786420952,0.0666683302403302,0.07470390633531276,0.0946587505239685,0.05240144483223135,0.048810007639629976,0.032513910884295893,0.053588885034014044,0.06391701089581144,0.06487767962156013,0.041114978795407486,-0.02992983171585111,0.059340906934720446,0.06687921616585417,-0.001936647467284345,0.0022770791939976925,0.09114272132892304,0.07249651685403882,0.07044726342764407,-0.02553745525865439,-0.014346021106464612,0.038828339391603246,0.06062545938222195,0.07929257533158936,0.03136362213483909,0.07620658924245195,0.07858628871472755,0.05157488072549381,0.07863065647532425,0.05284892005281813,0.07041658759819137,0.067679794520661,0.07267504572043444,0.05636356519376863,0.06837330952822322,0.08723917777663484,0.07652561819328656,0.0744177887303473,0.07384391329005646,0.039702197931819894,0.048286660835913334,0.04452561521363945,0.092477630078168,0.0862803754157705,0.14607108940973457,0.08892018096908365,0.06059259620892249,0.08128949827565707,0.10178488684126287,0.04443730576107758,0.064008188494799,0.0758702303479772,0.06073588665597035,0.056806399727054376,0.044643763504515384,0.07042976996188396,0.05944672793221561,0.047287528856751575,0.029109114462210317,0.06020126756758643,0.09275204496962562,0.08584957612950359,0.08133162850131545,0.08675666084273427,0.07040125435638156,0.031038029317291074,0.06401143845020824,0.03688360776246632,0.05170772235130124,0.06476773678322484,0.07855061333661764,0.05739243200554763,0.13388037874276065,0.06136896570989436,0.11821483159568281,0.13655080326450555,0.11946972477991878,0.1156334466529511,0.12800834678997805,0.12943301887008962,0.09454999706590439,0.09001132467306254,0.06524301127308044,0.011337502316272173,0.03972813429633816,0.076526960867833,0.05723466072776759,0.04430807721074956,0.09802086763436106,0.032902098289678626,0.07864125459750282,0.04282330026661812,0.01772497966447327,0.07500405933438943,0.062322745223849944,0.030671550694827614,0.055986653015271975,0.02650594970238058,0.038325088036281534,0.039904331997419024,0.09472785713306452,0.028343222734492492,0.0784450467267102,0.06995030033070952,0.02314914592050797,0.06078410280888587,0.03872000519292504,0.032670722900629307,0.02590170688545032,0.06550859722874132,0.0771781403255789,0.05190943919541381,0.026236990456352232,0.05939466925279102
