,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Leasehold and Improvements,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Construction in Progress,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Customer Relationships,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,"Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Amount Due to Related Parties/Shareholders, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank Overdraft, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Provisions, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Borrowings from Associates and Related Parties, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Additional Paid in Capital/Share Premium for Common Stock,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Debt due in Year 3,Debt due Beyond,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Total Contractual Obligations due in year 3
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,114.63,64.03,11.36,11.36,21.09,1.11,1.21,18.78,27.7,27.6,28.83,-1.23,,0.1,,3.88,50.6,31.17,49.57,8.85,8.67,0.19,39.0,38.71,0.08,0.21,1.72,,-18.4,-18.4,-0.96,-0.05,-0.91,-17.45,-17.29,-0.08,-0.07,0.0,,19.43,24.18,8.55,15.63,2.97,6.32,6.34,-4.74,-4.74,-4.74,-0.9,-2.18,-1.67,0.0,0.0,,65.26,35.86,35.46,30.49,23.18,6.88,0.43,,4.97,0.0,0.0,0.0,,0.0,,,,,0.41,29.39,25.85,25.85,25.85,25.85,,,,0.65,2.17,2.17,0.72,0.72,0.72,49.37,49.37,2.2,2.2,0.1,2.1,,,46.69,0.48,0.48,25.85,,,,,25.85,,,,,,,,,,,,,,,,,25.85,,,,,,25.85
2018,137.29,74.5,5.86,5.86,28.32,2.76,1.63,23.93,37.26,33.57,34.75,-1.18,3.14,0.55,,3.05,62.8,35.0,58.57,9.22,9.02,0.2,46.71,46.42,0.03,0.25,2.65,,-23.57,-23.57,-1.2,-0.07,-1.14,-22.37,-22.27,-0.03,-0.08,0.0,,27.8,33.85,16.55,17.31,3.67,7.29,6.34,-6.06,-6.06,-6.06,-1.21,-2.86,-1.99,0.0,0.0,,77.21,42.96,42.47,36.05,29.71,5.28,1.06,,6.42,,,,,,,,,,0.49,34.25,29.38,29.38,29.38,29.38,,,,1.14,2.5,2.5,1.23,1.23,1.23,60.09,60.09,2.48,2.48,0.1,2.38,,0.42,57.19,,,29.38,,,29.38,,,,,,,,,,,,,,,,,,,29.38,,,29.38,,,
2019,189.6,83.1,4.9,4.9,37.3,2.2,2.0,33.1,37.6,34.4,36.9,-2.5,3.1,0.1,,3.3,106.5,79.5,117.7,37.6,9.0,28.6,77.6,60.8,0.2,16.6,2.5,,-38.2,-38.2,-7.4,-6.1,-1.3,-30.8,-27.1,-0.1,-3.6,0.0,,27.0,34.8,16.8,18.0,4.2,7.5,6.3,-7.8,-7.8,-7.8,-1.6,-4.0,-2.2,0.0,0.0,,119.1,50.1,41.6,35.6,28.6,6.0,1.0,,6.0,8.3,8.3,,,,8.3,8.3,,,0.2,69.0,65.3,65.3,39.5,39.5,,,25.8,0.6,2.6,2.6,0.5,0.5,0.5,70.5,70.5,2.5,2.5,0.1,2.4,,0.9,67.1,,,39.5,,,39.5,,,,34.1,9.0,8.6,14.9,3.6,-2.0,40.1,39.6,0.5,34.1,9.0,8.6,14.9,3.6,-2.0,113.7,48.6,8.6,54.9,3.6,-2.0,
2020,201.4,83.7,7.1,7.1,38.1,3.9,2.6,31.6,34.8,33.4,38.6,-5.2,1.4,,,3.7,117.7,97.8,153.1,54.3,2.3,52.0,82.5,65.6,0.2,16.7,9.6,6.7,-55.3,-55.3,-13.7,-13.7,,-40.1,-32.2,-0.1,-7.8,,-1.5,19.9,35.1,16.8,18.3,4.5,7.5,6.3,-15.2,-9.4,-9.4,-2.0,-4.9,-2.5,-5.8,-5.8,,114.2,57.7,43.5,34.7,28.5,5.5,0.7,,8.8,13.4,13.4,4.5,4.5,,8.9,8.9,,,0.8,56.5,52.0,52.0,12.5,12.5,,,39.5,0.7,3.5,3.5,0.3,0.3,0.3,87.2,87.2,21.2,21.2,0.1,21.1,,0.5,65.5,,,17.0,4.5,,13.0,-0.5,,,48.4,10.0,9.4,17.3,16.7,-5.0,42.8,42.6,0.2,48.4,10.0,9.4,17.3,16.7,-5.0,108.2,57.1,9.4,30.5,16.7,-5.5,
2021,239.6,107.0,6.6,6.6,55.9,7.6,3.0,45.3,37.8,37.3,41.3,-4.0,0.4,0.1,,6.7,132.6,114.0,161.2,65.0,2.3,62.7,77.3,54.8,0.1,22.4,12.2,6.7,-47.2,-47.2,-19.6,-19.6,,-25.9,-15.5,0.0,-10.4,0.0,-1.7,18.6,35.7,16.8,18.9,5.1,7.5,6.3,-17.1,-11.3,-11.3,-2.5,-5.8,-3.0,-5.8,-5.8,,133.4,67.2,48.7,42.0,37.4,3.7,0.9,,6.7,17.8,17.8,5.9,5.9,,11.9,11.9,,,0.7,66.2,58.5,58.5,11.7,11.7,,,46.8,0.8,6.6,6.6,0.3,0.3,0.3,106.2,106.2,22.0,22.0,0.1,21.9,21.9,1.1,83.1,,,17.9,5.9,12.0,,,,,58.7,13.1,12.8,19.1,19.1,-5.4,48.7,48.4,0.3,58.7,13.1,12.8,19.1,19.1,-5.4,125.3,67.4,24.8,19.4,19.1,-5.4,
