,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Gain/Loss on Derivatives, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment","Reorganization and M&A, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment",Changes in Operating Capital,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Other Receivables,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Provisions,Change in Other Current Liabilities,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Purchase/Sale of Equity Investments,Sale of Joint Venture/Associate,Purchase of Joint Venture/Associate,"Interest Received/Paid, CFI","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,"Issuance of/Repayments for Short Term Debt, Net",Proceeds from Issuance of Short Term Debt,Repayments for Short Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,"Interest Paid, CFF",Proceeds from Issuance/Exercising of Stock Options/Warrants,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,74.17,74.17,77.43,14.6,21.28,14.99,14.99,4.43,10.56,6.6,-0.47,0.16,0.16,,,,,,,,41.55,-6.45,-5.59,-0.85,-2.25,13.75,13.75,36.5,,-3.26,-15.38,-15.38,-4.35,-4.35,-11.49,-11.49,,,,0.47,,,,-55.07,-55.07,-0.54,-0.54,,,,,,,,,,,-54.75,-54.75,-54.75,,0.23,132.9,3.73,1.71,127.72,,3.73
2018,31.57,31.57,35.77,81.52,-1.72,15.22,15.22,3.97,11.25,6.67,-0.45,-6.82,-6.82,,,-8.32,-8.32,,,-8.02,-44.02,5.32,6.3,-0.97,-9.07,-21.82,-21.82,-18.45,,-4.2,-22.95,-22.95,-5.47,-5.47,-11.02,-11.02,,,,0.45,-6.9,-6.9,,-42.97,-42.97,-0.6,-0.6,,,,,,,,,,,-42.45,-42.45,-42.45,,0.07,104.81,-34.35,-0.6,141.54,,-34.35
2019,63.96,63.96,69.21,35.51,31.51,25.24,25.24,9.88,15.36,4.23,1.88,0.16,0.16,,,0.0,0.0,,,0.0,2.19,-8.07,-5.88,-2.19,-1.1,12.23,12.23,-0.86,,-5.25,-64.98,-64.98,-6.58,-6.58,-11.29,-11.29,,,,0.39,-47.5,-47.5,,-24.85,-24.85,0.0,0.0,,13.72,,,,13.72,25.47,-11.76,-5.88,-5.88,-32.76,-31.67,-31.67,-1.1,0.08,75.89,-25.87,-0.39,101.44,,-25.87
2020,139.8,139.8,144.87,20.83,97.9,26.21,26.21,11.55,14.67,8.58,2.03,0.08,0.08,,,61.0,61.0,,,,26.13,-29.49,-26.91,-2.57,14.04,34.4,34.4,7.18,,-5.07,-24.11,-24.11,-8.27,-8.27,-17.47,-17.47,1.56,1.56,,0.08,0.0,0.0,,-45.95,-45.95,-0.23,-0.23,,-14.04,-39.01,,-39.01,24.96,24.96,,-4.99,-4.99,-26.68,-25.9,,-0.78,0.0,139.42,69.74,2.89,71.1,,69.74
2021,96.86,96.86,101.88,59.12,46.61,26.4,26.4,10.33,16.07,6.11,4.15,0.0,0.0,,,9.96,9.96,,,,-3.85,-16.58,2.4,-18.98,4.73,3.35,3.35,4.65,,-5.02,-22.18,-22.18,-4.07,-4.07,-18.18,-18.18,0.0,0.0,,0.07,,,,-51.12,-51.12,-0.8,-0.8,,0.0,0.0,0.0,0.0,,,,-5.24,-5.24,-45.09,-44.58,,-0.51,0.0,189.38,23.56,0.73,164.64,,23.56
