,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,"Capital Lease Obligations, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Stock Subscription,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations - Interests Charges and Other Adjustments
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0.17,0.17,0.15,0.15,0.15,,0.02,,0.02,,0.0,0.0,,,,,,,,,,,,0.09,0.09,0.09,0.07,0.07,0.02,,,,,,,0.0,,,,0.09,0.09,0.27,0.27,0.27,,,0.0,-0.18,0.0,,,,,,,,,,,,,,,,
2020,0.84,0.84,0.55,0.55,0.55,,0.27,0.18,0.09,,0.03,0.0,,,,,,,,,,,,0.38,0.38,0.26,0.18,0.18,0.08,,,,,0.12,0.12,0.0,,,,0.46,0.46,4.39,4.39,4.09,0.31,0.05,,-3.99,0.01,,,,,,,,,,,,,,,,
2021,15.94,6.52,4.83,4.83,4.83,0.41,0.83,0.58,0.22,0.04,0.46,9.42,0.35,0.39,0.22,0.17,-0.04,-0.04,-0.02,-0.02,0.31,0.31,8.76,1.43,1.31,1.0,0.88,0.88,0.12,0.07,0.07,0.07,0.07,0.23,0.23,0.13,0.13,0.13,0.13,14.51,14.54,31.1,31.1,28.71,2.39,4.76,0.0,-21.2,-0.11,-0.03,0.2,0.08,0.08,0.09,-0.04,0.2,0.08,0.08,0.09,-0.04,0.2,0.08,0.08,0.09,-0.04
