,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,"Dpreciation & Amortization, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Telecommunication Expense,Insurance and Claims,Exploration Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.08331657137119935,0.0043277873528184225,-0.0012980930631907432,-0.08476593537139214,-0.08361399053744356,-0.04499516322807358,-0.04852110752162793,-0.09577261530001369,-0.08824675509392542,-0.04363196226689822,-0.04532269274952917,-0.04633395057042278,-0.03782397979706673,-0.038224076406890926,-0.0001513083694606157,-0.046224657585223004,-0.04728223124231594,-0.0011863031230087571,-0.0018492927864802815,-0.0753734434830847,-0.10077080945495982,-0.07684526879532498,-0.05250870883206655,-0.053966066508437334,-0.046054423706199964,-0.044120360701695,-0.046224657585223004,-0.046224657585223004,-0.046224657585223004,-0.04490274127454503,-0.0381215328357001,-0.03591798226499337,-0.03632956511325777,-0.036165222862455104,-0.0453149215304271,-0.04402793874816645,-0.046054423706199964,-0.06138896546919829,-0.067619292587821,-0.05812305700341325,-0.05941183457189985,-0.1281750928477955,-0.1274250204198368,-0.06871419014937395,-0.05877675150265792,-0.13728540483320228,-0.12920232060842718
Revenue per Share,0.06432636612140533,0.3113156036298543,0.27466229668528913,0.11456072711132068,0.12204806757020463,0.07636891510783445,0.07657330652368263,0.023073234157169508,0.030625668615202033,0.022992624577425604,-0.0009103776948399967,0.023270203861723508,0.016458819540517748,0.018186385639367336,0.05029182981011434,0.06976621109517579,0.10876638330533514,0.10173332328018117,0.10976169824725777,0.034214689014053105,0.09851000812836404,0.06120640322151316,0.09786233251129871,0.06536902878216319,0.06781821903190882,0.06982169071217885,0.023058170984274293,0.02450904374367257,0.02527221977518185,0.06988483736617887,0.07401185787196388,0.058309440410506154,0.05780217783130816,0.1011292301357221,0.2858070885303164,0.12022780968244236,0.11479206789627246,0.08248163871124375,0.10686611643161942,0.09296754301551283,0.10890355000288852,0.022064265519471965,0.02050693904211426,-0.039279551278444735,0.09182257755432877,-0.01256161488939313,-0.005144954016502739
EBITDA per Share,0.08409425707745048,0.0348854907926263,0.040389916506205964,0.09707677716883957,0.0824995044327913,0.045278838896520415,0.05214309224412775,0.06484740295308918,0.07915520914853866,0.06166724104596169,0.01823027385785138,0.03394433022983086,0.04550991632468295,0.028476039166568906,0.03962103777685235,0.0538975857923674,0.0642103142083699,0.04092277725095379,0.041553346762015164,0.09463352878024966,0.043361918464466104,0.034150420354819674,0.052048414961071654,0.04775074121701141,0.020583773435405475,0.02559483359618529,0.048413439458195553,0.032359808623555836,0.0342766362435633,0.03289913885373151,0.033866435528912,0.020924748843905144,0.010615999227182283,0.015698627911639774,0.020967843235913643,0.025842333038278244,0.015886227609346586,0.08206065914114821,0.11706712007579875,0.08834860614695995,0.11912891066941889,0.03738028706871342,0.051221251456597894,0.007308750390663308,0.09292853922037594,0.018991394401978574,0.02122370000995152
EBIT per Share,0.08798962988171719,0.03408032866036469,0.04048199905385421,0.09243841134143801,0.08735106250199587,0.04103175532199929,0.059040016101986295,0.06619169725678353,0.07405407746557284,0.06487339794365697,0.01572863517611904,0.03352623993907254,0.03954957685568768,0.02374354350841571,0.044013102766554374,0.03966785423413076,0.0675483669886,0.03984554262712445,0.047406139355979204,0.0942901527945873,0.0426564590598345,0.034455963543138436,0.056726666889297096,0.04706271164851844,0.021866928250978274,0.026895330375162868,0.04977611913113059,0.03322495583117964,0.0349770845205405,0.03517362761292235,0.03182589442128282,0.021203365144135265,0.02081855470464246,0.016291381136642337,0.020204292348914615,0.017082215539107166,0.01520660563221203,0.055100881795756375,0.07602093533879363,0.0756842259150037,0.06559601663614616,0.046104095500005424,0.050579980543242586,0.011213296056442217,0.08199238352969673,0.020497929427634266,-0.002429866591740903
Earnings per Share (Diluted),0.12790990507647415,0.13510458491786,0.15557824208134355,0.057664121164571334,0.1355456423029487,0.13424494482641186,0.06690630842769689,0.05611358914036667,0.1586332359356826,0.08093840116608521,0.06941034138899867,0.06258380182575422,0.0765899653037949,0.07224547788575016,0.09613336690897649,0.13062213182229473,0.1830776365187452,0.15061255445043986,0.15448481187707072,0.09788389121650061,0.1413261697914237,0.13047886438744216,0.11376768025603481,0.11969124043912346,0.12408626121021625,0.11351924991891608,0.03953856504516519,0.12918552313881526,0.10622618130636781,0.1218900306183407,0.08042229260772495,0.19183391728055932,0.11848011443988568,0.16651737446858839,0.1684316555884614,0.13757526528831132,0.18373528165355188,0.07173056686147929,0.12901027183183753,0.15173277442317645,0.1656711437647945,0.16062671682967009,0.1510109436974894,0.030101415241457277,0.15330020201926203,0.007551548214232464,0.09851398301156764
EPS without NRI,0.07857215382780602,0.0663018703530677,0.06726402890848583,0.06862364064307774,0.056940883970791736,-0.008962030805781628,0.0048128047107639516,0.06684960369865812,0.08132914343601115,0.025304588886667725,-0.004742625076275125,0.026819080379070243,0.057378668166990277,0.057116373522698466,0.0859550606869483,0.03479954961155197,0.057466335237231075,0.04060749423427671,0.06664289201618916,0.06081793963035982,0.05797063562558268,0.12408449550742902,0.08597762338931733,0.10005078904190015,0.11977678130573144,0.0738150691685917,0.04700099757435594,0.0034624134918114957,-0.012508265544911114,-0.003127703893936447,-0.005136355108620733,-0.0020879188604898584,0.04741445202964575,0.06939169572577299,0.05673720261147871,0.10499633300776963,0.09243796336498879,0.0980777544129131,0.16811948462484538,0.17213347321110897,0.16537481861982592,0.045078198164405905,0.04533656833969972,0.11691990699589004,0.19636748136118773,0.07435723170526568,0.056696821452731784
Owner Earnings per Share (TTM),0.15266933304147393,0.03585316422339128,0.07060160389445408,0.08195737800540795,0.12635784581947676,0.15846888186244606,0.11698652832627772,0.07639547473103173,0.18712157039112864,0.12957768746233161,0.08479376500994146,0.08633006294597632,0.09330592966799207,0.09220736946293531,0.09727307226630139,0.151649223604507,0.11712359772706038,0.10466445501348735,0.08579375122510087,0.12175898485523001,0.08489720234556081,0.06689429007895085,0.08616071313251324,0.09671115988013684,0.06785011281971595,0.062354687040506784,0.03532533788257093,0.09456090411426611,0.09889275136408748,0.09595587429132504,0.13435571326923043,0.12960258605526248,0.05646328321413947,0.05342758866314196,0.04957579684723606,0.06558059436561313,0.11734216161383282,0.12041456821064854,0.20611778129132624,0.1037269240807906,0.20781620618781493,0.16113861080938127,0.16183413687495168,0.010965236474803897,0.1400405613923048,0.006322484722127904,0.01223892867445052
Free Cash Flow per Share,0.07706789744494426,0.022915759070266932,0.026789435589389104,0.07033236919612533,0.0696701480651044,0.05235763742346973,0.06532809572664074,0.04250520133933314,0.125911276903835,0.07371987501849207,0.05225649465886822,0.06117384565326228,0.06735014725337336,0.046839483873558664,0.05710272831223203,0.0623497230965249,0.07602125377715974,0.0397758136113323,0.04006347251751749,0.06262566278336444,0.030737627266148534,0.014424498671794402,0.038433139108455194,0.043774066363413744,0.0028383813057502503,0.01263138746612182,0.049323566702631313,0.04502154366983644,0.051994220761476855,0.0481853279769408,0.11506152680193298,0.11529010201308247,0.010134691034469507,0.005663357478006661,-0.000468516662968149,0.020909136447059454,0.00333585779395912,0.06854021765676539,0.0910738306207649,0.03283119950046349,0.09140925776952943,0.05324636747668521,0.05135572358780122,-0.0014768123148657308,0.0327655042406175,-0.00873395518836521,-0.007658635598800704
Operating Cash Flow per Share,0.11278365630295031,0.07958211361386332,0.09270340385738539,0.07138927098070194,0.08939372356945885,0.13708028774039036,0.06848881982695336,0.054922622770592074,0.10062550390893188,0.08375820313834723,0.05701893066603908,0.06283605904093234,0.046110765256282646,0.040054019699643006,0.05536320722130288,0.13294644156819854,0.16749383209259927,0.10005156434456171,0.047419518851872025,0.09981933865899247,0.023752541431247307,0.04661929488154079,0.04635693453390092,0.05147985363434408,0.016022408378537956,0.013703452461339449,0.024329310888658383,0.12331022623345089,0.12257398200290495,0.03483387688516552,0.09624352822007164,0.09411833604952441,0.010591553417338345,0.09399781826990698,0.07291628201246693,0.11554741782587655,0.09703315132565081,0.08513706462118092,0.17259316873889893,0.05825887906942483,0.1748954866943427,0.07089454242440872,0.04681669923608267,-0.02001607915515577,0.03899237034985911,0.002819620078067707,0.008172299842216164
Cash per Share,0.13884040948561102,0.13322439709117237,0.05964368389669329,0.08336914195196841,0.03374966043875556,0.04885491307280963,0.04016890224186419,0.06532706041735402,0.14244774165396695,0.050694619045222655,0.012630640785576876,0.02907625261383881,0.0450931252240446,0.026453232590337564,0.03817206882853328,0.04707444233046915,0.059202125749498825,0.029507787125939718,0.039285176355868257,0.05535381522313847,0.054685146569890174,0.05059916149994288,0.06370286191752776,0.06710354802989023,0.043227134372523894,0.03927677865782116,0.04266824591831184,0.014166605536439763,0.023039610245717785,0.02840912205458585,0.07894883811606165,0.062052418068863184,0.038403090146634365,0.03786948577355904,0.03697738136145848,0.04605369395406929,0.04328376286891445,0.10884787521595304,0.07726553328540496,0.10239645422548584,0.06402327885396833,0.05677799193495735,0.04609413298799369,-0.00997316305203573,0.10340741667025447,0.001483404636282,0.026591535889168072
