,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,"Dpreciation & Amortization, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Telecommunication Expense,Insurance and Claims,Exploration Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,0.0,0.0,,,-0.28,-0.28,0.0,0.0,-0.07,-0.19,-0.19,-0.01,-0.01,,-0.28,0.02,0.0,0.0,,0.0,0.02,0.0,0.0,,,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,,,,,,-0.01,-0.01,-0.01,-0.01,49.11,49.11,-0.01,-0.01,49.11,49.11
2018,,0.0,0.0,,,-0.45,-0.45,-0.03,-0.03,-0.1,-0.26,-0.26,-0.05,-0.01,,-0.45,0.09,,,,,0.09,,,,,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,,,,,,-0.01,-0.01,-0.01,-0.01,63.35,63.35,-0.01,-0.01,63.35,63.35
2019,,0.0,0.0,,,-0.34,-0.33,0.0,0.0,-0.05,-0.24,-0.24,-0.03,-0.01,-0.01,-0.34,-0.6,,,,,0.0,-0.6,-0.6,,,-0.94,-0.94,-0.94,-0.94,-0.94,-0.94,,,,,,-0.01,-0.01,-0.01,-0.01,63.63,63.63,-0.01,-0.01,63.63,63.63
2020,,0.0,0.0,,,-0.71,-0.7,-0.38,-0.38,-0.05,-0.24,-0.24,-0.01,-0.01,0.0,-0.71,0.06,,,,,0.06,0.0,0.0,,,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,,,,,,-0.01,-0.01,-0.01,-0.01,73.17,73.17,-0.01,-0.01,73.17,73.17
2021,-0.02,0.0,0.0,-0.02,-0.02,-0.55,-0.55,-0.05,-0.05,-0.06,-0.27,-0.27,-0.17,-0.01,,-0.57,0.31,-0.01,-0.01,-0.01,,0.32,,,,,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,,,,,,-0.002218,-0.002218,-0.002218,-0.002218,117.97,117.97,-0.0022,-0.002218,117.97,117.97
