,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Shareof Profit and Interest from Joint Venture,Income from Other Participating Interests,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Goodwill Impairment/Write Off,Other Irregular Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Earnings from Equity Interest,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Preferred/Other Stock Distribution,Other Distributions,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Reported Normalized EBITDA,Reported Operating Expense,Discontinued Operations,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.047756061215012226,-0.10403868651661688,-0.11043823417521174,-0.009579844758053756,-0.010069471903944721,-0.10872781217011399,-0.10863539021658544,-0.055187344624929933,-0.11534728059186088,-0.05508666158593074,-0.05492976562843385,-0.03764542023948886,-0.00838663457652014,-0.04496183251943707,-0.010696807726662223,-0.0447086134317533,-0.08103318969397905,-0.046054423706199964,-0.052705130675997365,-0.14262526663067002,-0.10409420851160796,-0.09194932849180051,-0.11331287317524366,-0.03374288261771826,-0.09227942546793289,-0.1571512791947445,-0.09325254434693682,-0.011357219525994496,-0.09449055950732502,-0.09449055950732502,-0.09294077987742567,-0.033588248675224475,-0.03181406602856747,-0.08165328130183294,-0.07924128540334709,-0.03632956511325777,-0.036165222862455104,-0.1106653261270196,-0.05445017921596018,-0.05112608323680127,-0.032643465957214596,-0.055187344624929933,-0.07435052444217204,-0.04402793874816645,-0.046054423706199964,-0.04641818949802402,-0.054164688491600284,-0.046054423706199964,-0.04168157703755157,-0.04709937770493058,-0.04581834511871466,-0.04211373586055039,-0.03806162989437868,-0.03716980284241702,-0.0003422809396309824,0.006924482492347689,0.015218348177303281,-0.041842920211307436,-0.04199130474430737,-0.05419010586392688,-0.03774610327848805
Revenue per Share,0.031337673895503175,0.28336863570298343,0.24063394049399942,0.19612238190711156,0.06258742794859634,0.05638405260590664,0.05622436817149889,0.10871760313957932,0.05097917794650114,0.11100291107471391,0.1149293147339317,0.041292108890965094,0.08970687494051222,0.1070278434476919,0.09828513847297234,0.11496780823650032,0.13778995335469882,0.11016264190884356,0.040169839835932634,0.053533300735199144,0.029861479689590277,0.017312263564780037,0.005058421892930805,0.0619480912305709,0.07822921064863451,0.04339847737788365,0.057307888887029805,0.09189769580945276,0.052295999299466225,0.053059175330975504,0.09670795213484502,0.060792645353987554,0.0556844787582959,0.10892215513586165,0.09422670519812765,0.05780217783130816,0.1011292301357221,0.23614235885452625,0.1254355117765532,0.03423524990769605,0.11314447456262988,0.11412558211273445,0.03827113757512738,0.12022780968244236,0.0718656097357263,0.0442914585681198,0.06776167508307458,0.058880734869344704,0.05393662628551461,0.06679733953958356,0.0595467376545005,0.07597268045053858,0.058547502109730525,0.03786985035856624,0.13386769912297822,0.1429654466083298,0.044580736883308734,0.04838632997373956,0.05159249599469103,0.04284852855038426,0.025246042603336828
EBITDA per Share,0.028932899226792264,0.010800892574237796,0.01772554839052231,0.15281258280756926,0.14739576690824127,0.012239497269419353,0.001663426783887429,0.06343980167174514,0.026931900840422622,0.05603997513627756,0.05355958742137977,0.060985872701222424,0.023972410690618316,0.06086471234026331,0.017777460310042126,0.06198775588625861,0.11699312036369085,0.019022567690442128,0.04416390976393023,0.061203065429478384,0.0032981119580069115,0.027415259794106146,0.031403746586083046,0.021604459049228267,0.04595859485516777,0.06481688236760388,0.06301832635024592,0.030034001511385276,0.05656251337043132,0.058406415091070245,0.05664683421725809,0.07447771127070095,0.061293449944506806,0.06334034880500433,0.05090427044834768,0.010615999227182283,0.015698627911639774,0.013989219325921955,0.07772892976735955,0.057876148990659335,0.09544307499759962,0.05364770182037637,0.12317806330005522,0.025842333038278244,0.017163271935226272,0.05384992772391855,0.07858643205997737,0.017552683478426537,0.05943274691639854,0.08012271093241174,0.02366356588726759,0.08601369755764934,0.0753734149327482,0.04779211542573846,0.06652259383668403,0.0654580901967238,0.04703985087411823,0.06045839563162658,0.06769333247535338,0.0613826329260694,0.0274304911497703
EBIT per Share,0.03246081016940103,0.009423010439993076,0.0173525216715921,0.15557680280780437,0.15512777903159894,0.007356527227343269,0.008050797105334724,0.058812996507662293,0.030034412620202986,0.05847237492872526,0.06192081409369078,0.06119402437233515,0.02365321150117946,0.07283242352165455,0.04611225221748885,0.0649367278847622,0.11181236070150756,0.02072758143640878,0.043258496161482994,0.05965649694280239,0.015365666147700765,0.031398361577469336,0.03249240733049167,0.02329975512303448,0.04636074002869414,0.06719759709495948,0.06357442055709053,0.030737078778555933,0.059020683080031076,0.06069988587002339,0.06114954015574712,0.073377021706623,0.06865873126198879,0.061955703883789584,0.054857849875508666,0.02081855470464246,0.016291381136642337,0.009898086115257863,0.07455665726548011,0.06762895076682751,0.09302962548821382,0.06328628611928552,0.10260328865647737,0.017082215539107166,-0.005177284246666701,0.06548273205284301,0.0767076136856821,0.02068507953830304,0.07276919334180752,0.07558558655268274,0.018673348842334105,0.09454238970449948,0.07474825503508636,0.054141029096166755,0.07045962887024002,0.0612819401621619,0.05568463556517977,0.06851392481273585,0.08166854230984548,0.06871906164698477,-0.021061425943576264
Earnings per Share (Diluted),0.10578789563656903,0.09281548332249166,0.11646576320645234,0.12426805944234708,0.14539353300388794,0.12348603373237607,0.054427300669398805,0.17716392749005286,0.10936801371420327,0.17121065615227365,0.17683378606422553,0.12198064253479174,0.13891211921343366,0.14894003686858603,0.10959179441969584,0.158608575485887,0.16792839503114512,0.17386397802755318,0.11336360337693097,0.0348222344519956,0.11832046610900099,0.07052025948021083,0.0602337006287616,0.10130210195847701,0.1349244363873744,0.05548501539191718,0.09833523984919328,0.1451356531148825,0.1554446176316363,0.13248527579918887,0.14846821262188728,0.19453683982922215,0.11175538146965454,0.1167784105755834,0.2282450764327186,0.11848011443988568,0.16651737446858839,0.11548554891885136,0.18398969717785757,0.10437361964104283,0.09286611434829971,0.1912472429915385,0.09777331026471917,0.13757526528831132,0.11628180472584568,0.06681536013100853,0.12387504520840982,0.1253417410680815,0.13485494390626068,0.1549126144230488,0.1615324830846232,0.20063733032574999,0.19570719413595575,0.11057803607289887,0.3121095154539201,0.16001818502475387,0.14847100225417859,0.09388655353814686,0.1367683053565591,0.03944192126041,0.1446318511118834
EPS without NRI,0.04358887818782656,0.033869119404766966,0.031008581137364686,0.1079088962756386,0.10237276877049173,-0.01732372947664547,-0.006501335580321432,0.06910769336244414,0.007293965377785143,0.03560450709080499,0.06857490536595734,0.06678678151353103,0.0448876070232006,0.06965390011043572,0.057284651508108284,0.029022821976947322,0.08780831153933995,0.046525320553762704,0.05569916400553929,0.0054426952459116764,0.10185938246214037,0.04525174306459084,0.08060030435955721,0.055555485605618155,0.13318810055649546,0.06745474152591567,0.055450483781005616,0.0411124071101752,0.03779288637302846,0.021775984260563826,0.026741713682594946,0.11089206180279193,0.11768545427681966,0.03236498192426744,0.036792502765708085,0.04741445202964575,0.06939169572577299,-0.004523007438837699,0.07701249685966217,0.09310438175365741,0.060906298724249644,0.06807288577770984,0.09720731701606773,0.10499633300776963,0.10837401482151687,0.10067140503032346,0.16520580038949137,0.13121101070513563,0.17800537075485837,0.163494272082417,0.16401690481987677,0.08123431735307271,0.07453764147572098,0.1533197852256262,0.051089327889929786,0.04987543297712425,0.1662003277553374,0.1556914975132143,0.19853104906139618,0.11563717247095406,0.09037984267860125
Owner Earnings per Share (TTM),0.10105897561664569,-0.00434955743998665,0.02689347588952741,0.1436370147974239,0.18986527887399907,0.12384897762038158,0.06257760683808365,0.17540602661925597,0.08426575848136064,0.10850148079817223,0.09042613072608977,0.0817560232626895,0.0635536843024619,0.17820285056258262,0.13567362256544407,0.16978245429213465,0.18647426344285473,0.05809694355787026,0.087687831875419,0.10846362520469545,0.04671718922863636,0.09663478572005894,0.035758194399333074,0.05956990652980652,0.08224677433392079,0.05627393483252746,0.10979062898466854,0.17490375250326984,0.10985768006289368,0.11380784526350761,0.11212080839786862,0.12625969916598567,0.11163443512666646,0.16070459951979443,0.1547225405758608,0.05646328321413947,0.05342758866314196,0.04983435858171522,0.18665366815672454,0.10405779637543126,0.1358376719241099,0.09737481908288237,0.1115120918822659,0.06558059436561313,0.062343806410445304,0.07352071023217997,0.12980835199177498,0.045289571507427094,0.0574909811350793,0.13114572795580887,0.04581212021923474,0.20426203199549223,0.19796410230319728,0.06385470238249423,0.17554639881673445,0.1890417671913788,0.055781724939658404,0.05645035037477228,0.07292722662114468,0.03546635236813361,-0.009583731302255089
Free Cash Flow per Share,0.05914949634865163,-0.007410189155365514,-0.00542335623413663,0.1669787680010109,0.1705125373613216,-0.0031020889029023417,0.0041002189675302175,0.04602056023431853,0.053364232874805254,0.031232232884446792,0.03558022939238926,0.03534940292268605,0.009429740185459851,0.042510385137913415,0.07193417125356935,0.1004510606835658,0.17688946719565574,0.006795412030707848,0.018771844648521756,0.07427517922400233,0.01184808951178754,0.03690650387027848,0.009575733520906626,0.011824990620954443,0.027713314847771547,0.06506784565640707,0.06725131086786518,0.08862923514416733,0.04910290245300946,0.055363007494165464,0.05087504494906353,0.05758450998962477,0.0641208893922109,0.128116799414188,0.12814078631962425,0.010134691034469507,0.005663357478006661,0.0006128379716686888,0.04401593125953741,0.043439527721577054,0.10383603517369917,0.03313133768442997,0.0439040299308584,0.020909136447059454,0.012053120473915935,0.01894229477594643,0.04831856799159053,0.007545283410060394,0.025082876966793413,0.049024415335578504,0.013333108545992253,0.06774858956724275,0.06770044349368604,0.03458132818620981,0.14948644237158795,0.1528606096606573,-0.0013698463832214915,0.020168540151354362,0.026298668319632353,0.003314196068120864,-0.030330594943512076
Operating Cash Flow per Share,0.06011668312322094,0.04732121437375681,0.05709615080374341,0.14080301666021838,0.15006245527064882,0.09971424613758807,0.01576773733489536,0.1575426354467507,0.13062896322942316,0.12288651893694862,0.06316727429915547,0.05799976563548241,0.004482639405551421,0.13308015289037978,0.08658783247014198,0.14232355497060367,0.1668673976249496,0.05045665771892221,0.0366056308332609,0.0565083994075785,0.013771144413426892,0.043990206459704306,-0.00965810599198673,0.012723240455151242,0.055914864380657826,0.04264677268031499,0.06610142631015262,0.09780506316137154,0.1444633220888721,0.14372707785832614,0.05498197621818848,0.08192297089063331,0.05646834586348594,0.12840918229926798,0.12413971425878559,0.010591553417338345,0.09399781826990698,0.06778188541378159,0.16639198169147654,0.05031133708476059,0.09926726984739806,0.16198922464151322,0.06218623540976607,0.11554741782587655,0.052848151090366724,0.030817453163698813,0.1161602402242909,0.056693075645666564,0.03246272509302682,0.11875045605857112,0.05398591152055019,0.11897475524238657,0.07209710783366849,0.037886406484188825,0.13410536273062068,0.1426460933088138,0.0030671188902581495,0.02502663059954569,0.01779805233322197,0.04130305951115542,0.01472433522708123
Cash per Share,0.10408114189287107,0.07355143257640867,0.007063622022990876,0.13005979735852902,0.11489368363884986,0.01744434056987252,-0.00434174874720413,0.05635877027335701,0.024770989144649286,0.03545641113014282,0.05553098358641874,0.03823801183993902,0.05988929701620856,0.05780056827937036,0.11081664792542954,0.07550580786030248,0.1421498033078896,0.04601279351989963,0.05566095255170077,0.01344106501766703,0.06042321722407506,0.0012019098017887133,-0.017830152995558197,0.027637211062781768,0.07986511978360213,0.05522889255779849,0.056476165474279326,0.11590052939757031,0.03640419803441621,0.045892348474828426,0.051219932606613706,0.058901005585742815,0.05384082981113104,0.10763627995405158,0.09167520991353785,0.038403090146634365,0.03786948577355904,-0.0023236422697183257,0.07207017165027858,0.04541598932802398,0.06330141998468955,0.04661319490612705,0.039145645232620895,0.04605369395406929,0.027841525751099848,0.08866321707368366,0.05803665452181058,0.02935058774760732,0.07203451229167335,0.07589644307354826,0.03109332187301129,0.11171296125819656,0.07292454986066585,0.03612539794532065,0.16057293067603962,0.16752722923423619,0.06198531034805131,0.08604509193493831,0.07410429486586383,0.05540719434400728,0.05087348647075991
Dividends per Share,0.10172257050018128,0.04043325407136374,0.03587702470379135,0.10483350347238263,0.11332335979557065,0.043229539506070794,0.043511740086370085,0.07864448279738857,0.03381945853146496,0.0772801388219435,0.06649470361042825,0.07605930592814454,0.1367054965284583,0.1373750388505084,0.35425362241920166,0.05759618796401094,0.1119457104296746,0.05406023794283404,0.06859528542444107,0.034469642846874475,0.07025440008257994,0.026920819582001237,0.00979542172392224,0.06411544327809761,0.08566850175747681,0.059273209804830196,0.0610815083283011,0.08219145835157808,0.02848927354619467,0.032154078956305385,0.02059797051345061,0.1457380642683229,0.08050890034964582,0.08776903162258212,0.08659364591185872,0.057804932311751274,0.03556481139209019,0.04007269618417391,0.07809218716447437,0.07749936672102029,0.05936090457525116,0.07044904818302983,0.06643836094700467,0.08421669700781298,0.05054990578538846,0.07021929065164353,0.065129019029697,0.04999483159348084,0.08925006333113379,0.09120822781577415,0.08235543055210345,0.16145886981678498,0.14865757942125882,0.054024203801265235,0.5866478981413865,0.3180181344178614,0.08841627486932697,0.06881557789774928,0.09418361863988535,0.002353831046840234,0.07421071393208058
Book Value per Share,0.004227438509277193,-0.002256535043044689,-0.002256535043044689,0.0759020453424469,0.07536858616961618,-0.0008431889149437596,0.00017151285491531255,0.05697812921861076,0.005187721432481855,0.048237886784623554,0.054156526035137015,0.05413517629381762,0.04087645138549162,0.030470357663312145,0.0350071315661373,0.058493900530520844,0.0944201265670438,0.0657391549634217,0.0490008576405271,0.014572432986425948,0.04754303664391198,0.01764496791409529,0.01733213605956923,0.05739069690759478,0.0698739790794116,0.03382915950535152,0.0490888711909273,0.026572993349846183,0.042148625226040716,0.047126920696641775,0.04250938785000136,0.06642805378086594,0.05697088828094909,0.04924526551793632,0.04908561797726411,0.0646617239347336,0.06231672826713213,-0.0017073437946522898,0.06507448456101532,0.04605079109285369,0.05708345835932382,0.04963739996076971,0.04787667397999133,0.06710968437558452,0.0506329851197167,0.04153246047181734,0.04184186487227296,0.047641850656725895,0.04454563116081209,0.0430299430985101,0.04669101090418953,0.08377110337709051,0.0641070420316673,0.02535179888460115,0.07138391571373173,0.07632084392586136,0.03168043317977477,0.04067841506553025,0.043218792685841695,0.025212900000973874,0.012401697558942885
Tangible Book per Share,0.017818027990736156,-0.003464501798110518,-0.002122710089244152,0.07310085105368695,0.07542387742646217,0.004432466710950418,0.0003603416295377519,0.03745127344705048,0.0015997938774472437,0.036999379089402,0.03806937346601159,0.029181231862357163,0.039949118243495875,0.037753098973695026,0.048748224288443595,0.05997715312778788,0.08623454633346699,0.046533711470287765,0.04838442758082294,0.020141207694547098,0.033340199695110345,-0.0026105353955797827,0.012713145804621224,0.03448564313278745,0.07339284583251966,0.02022225522156448,0.04921568813962852,0.03655867731267926,0.04395295261811956,0.04564687248865554,0.04473035151210717,0.057273750230663,0.0433149609280068,0.06270741860778721,0.052829261054967415,0.04668025973639569,0.0441693509184021,-0.003831662313362597,0.06757962332242813,-0.001927229066755535,0.06198251073986484,0.030095514081013932,0.04538913544496415,0.05121182830069043,0.03704278969371676,0.049847186795626525,0.04484246761619813,0.03410883038594628,0.050139633333938484,0.047557326660431866,0.03224250602244281,0.09436487749098615,0.05586169258772549,0.0259425699015869,0.09119906347629272,0.08979675476145084,0.04393654734141262,0.051465852798163014,0.04920040076773014,0.036023281731290845,-0.020080760768487457
Total Debt per Share,0.0657781055819785,0.10363770292741964,-0.0008028720729778057,0.08257817951897209,0.0877602404414925,8.835261061602637e-05,-0.0050377022469090295,0.11610813240900553,0.08329929873588351,0.12793351392845137,0.10811638689750841,0.1199548978060864,0.09237554912937106,0.03969200647039231,0.05412855609129386,0.04620811668637694,0.1384705408529277,0.045983462886259874,0.08728372495947806,0.0019363855476488157,0.09105782268053132,0.01878952422740818,0.012808657905676542,0.04558273456647611,0.09930021953358158,0.02377153719804182,0.04095631028230155,0.0985370746644332,0.027535244230983653,0.030838029857932665,0.029909551818437866,0.07345301289288389,0.07249471921119206,0.06408819712943463,0.06351250758053838,0.052558276568839095,0.036301446085004026,0.0873301042167424,0.06847156074942404,0.0523167200060219,0.0445184567169633,0.051772059563324486,0.04419675423628935,0.05530780363593789,0.02907991451153687,0.02807123016235359,0.025429359114243242,0.029177787675138355,0.01297622236211804,0.0305740694635476,0.030273534852459993,0.1258216565117884,0.13703336778895997,0.08536391463813434,0.12809726561655346,0.08879917686141442,0.036377502673499984,0.027952677674549606,0.029974389378577965,0.019260568552882124,0.027541942039045062
Month End Stock Price,0.0009736495026922941,-0.031191564449059562,-0.032094556043709636,0.06165399056828357,0.11534896263288573,-0.031171219348560725,-0.02189537159463286,0.013150066681137046,-0.014993560463709235,0.011381635801572431,0.019668914373819346,0.009622909450617643,0.018539680081705034,0.01871581148643229,0.0424851319492417,0.021357472563724722,0.027277081557469822,0.025108854421601573,0.033411242062906535,-0.004226699947038448,0.05337003872087949,-0.012785905784458968,-0.020537127139399473,0.007490241332169571,0.059831112328575284,0.018958838026479054,-0.01920040206832998,0.09505810609977783,0.005533987531804985,0.006333288118183906,0.004716028430477596,0.06231171645841219,0.012100023355851178,0.018952744378535315,0.031100890453610346,0.02160071069768469,0.02030740866113928,-0.03375161146639465,0.022201561643646874,0.012394335427339682,0.011608026149421672,0.0160882888375832,0.035529306709365355,0.02743142625731052,0.01186507885581202,0.012116664716727996,0.020518226042028888,0.023932473902736128,0.021684756320821726,0.020264322196969924,0.025643108884949226,0.028604986443038816,0.0003594202138178398,0.03591667872192243,0.07598374737616621,0.08817844625742038,0.06185977412610917,0.02014591810492815,0.022696004350508524,-0.01582880128537518,-0.02379949433042202
ROE %,0.006566968834072393,-0.02225548448789194,-0.024745964574469544,0.017900384996491932,0.01694125171439644,-0.02735191069376447,-0.027586891913170767,0.009456909133346014,-0.03329343481117858,0.005739585967404628,-0.003815505514534408,0.0033954648105931568,0.013084603764776711,-0.0005004043129927345,0.022345245317375424,0.006426367213829193,0.027543340355541002,0.020338101000418697,0.0336490920853387,-0.02775081688857138,0.05322942024946817,-0.015614738977018802,-0.0036395330233479012,0.003445560425496448,0.06011307947402281,0.011305273578066682,0.020575389312676974,0.020217619451765905,0.006551735405703307,0.005374760879112331,0.008288883064268282,9.83116899237863e-05,-0.0014364625287407882,0.013354131491216429,0.011787040617559355,0.020935272302343728,0.01219790598837089,-0.025231859372007892,0.028721022412538228,0.0020079847989599117,0.014110362549901,-0.0005808984721310957,0.00942744400258455,0.019632273448329626,0.021636152705302,0.03449750487854474,0.029286460551629832,0.02122549030215419,0.0318901534740495,0.028420000891422662,0.020943240097882863,0.029138725577219977,0.003631467507056201,0.023029694866400947,0.01941053138586189,0.025494691560245693,0.03330589544247133,0.0301190408885722,0.0233179990577014,0.027797605446512084,0.01984423835473617
ROE % Adjusted to Book Value,-0.01650704162088672,-0.013116716281005043,-0.016073442700184203,0.024468499404295664,0.021974401487947846,-0.022533364833872683,-0.0104968340162294,0.01620298320777144,-0.014829985369562884,0.014027370473448573,0.004436060581304999,0.014547237179094084,0.01729910281675474,0.011344820196072022,0.03428699910839928,0.014219441021626582,0.026686670128510104,0.01895312989349807,0.014710551250595658,-0.02160390090616297,0.030029971512294428,-0.020055612527863892,-0.01763291385504938,-0.011021438213514182,0.025687668654934517,0.002812428417114372,3.914995896157989e-05,0.015122348622377877,0.00033809065238913066,0.00019754613953183297,0.0003644403568392636,0.012545457665490358,0.007812575594368,0.01743901093269068,0.030756378240433997,0.021153542638370958,0.017208608102216697,-0.02290125422407106,0.04009420744066,0.022579837710800143,0.032481253386658915,0.015917581598460243,0.04964244592695334,0.03642433567633677,-0.0016024937801608439,-0.009697707748333593,-0.007117626727619763,-0.0036597512563609816,0.016368724412299425,0.02839851738971319,0.019847724902057884,0.023592766260034804,0.02015092919613246,0.050213655509763484,0.04501325664903425,0.04677387514226283,0.07704869687461054,-0.008695080054779009,0.02595397554408978,-0.022813064857606497,-0.002919984347955743
