,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Business, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Taxes Payable,Change in Other Current Liabilities,Change in Other Operating Capital,Change in Prepayments and Deposits,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Purchase/Sale of Other Non-Current Assets, Net",Sales of Other Non-Current Assets,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Issue and Financing Costs,Debt Issuance Costs,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Proceeds from Issuance/Exercising of Stock Options/Warrants,"Excess Tax Benefit from Share-Based Compensation, Financing Activities","Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Income Tax Paid, Supplemental","Interest Paid, Supplemental",Total Net Change in Cash
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,39.45,39.45,39.45,23.18,19.43,16.68,16.68,3.6,-0.9,-0.57,,,,,,,,0.63,-3.16,-10.09,7.96,,0.97,0.97,4.08,-3.1,-0.72,-5.86,4.58,-9.98,-9.98,-8.86,-8.86,,,,,-1.35,-3.47,2.12,,,0.23,-10.3,-10.3,-0.64,-0.64,-0.2,-0.2,-0.2,,,,-12.49,-12.49,-12.49,3.02,,121.62,19.17,1.21,101.25,,20.37,-16.21,-4.7,
2018,33.93,33.93,33.93,20.28,24.73,16.51,16.51,3.89,-0.05,-2.59,,,4.06,4.06,4.06,,,2.9,-11.07,-8.17,-3.71,,0.16,0.16,0.16,,3.67,-1.86,-1.15,18.11,18.11,-11.05,-11.05,,29.89,,29.89,-0.81,-3.09,2.28,,,0.08,-11.25,-11.25,-0.83,-0.83,-0.2,-0.2,-0.2,,,,-13.01,-13.01,-13.01,2.79,,160.79,40.79,-1.62,121.62,,39.17,-11.18,-4.63,
2019,3.8,3.8,3.8,2.17,16.11,14.02,14.02,4.2,-2.89,-0.5,,,0.3,0.3,0.3,,,0.98,-14.48,-16.19,-7.97,0.17,2.12,2.12,2.12,,2.63,4.75,,-21.22,-21.22,-23.21,-23.21,,0.0,,0.0,1.94,-0.33,2.26,,,0.06,-14.64,-14.64,-1.12,-1.12,-0.21,-0.21,-0.21,,-0.12,-0.12,-13.38,-13.38,-13.38,0.18,,127.2,-32.06,-1.52,160.79,,-33.58,-7.89,-4.67,
2020,46.03,46.03,46.03,38.63,28.38,19.4,19.4,5.62,1.38,0.59,1.1,1.1,-1.16,-1.16,0.0,-1.16,,1.45,-20.97,-14.04,-9.52,-6.61,-0.69,-0.69,-0.69,,16.67,-6.78,,-38.51,-38.51,-21.45,-21.45,,-3.03,-3.03,0.0,-17.99,-28.04,10.05,3.96,3.96,0.0,-13.44,-13.44,-1.11,-1.11,-0.23,-0.23,-0.23,,0.0,0.0,-13.65,-13.65,-13.65,1.55,,121.4,-5.92,0.12,127.2,,-5.8,-7.31,-4.67,
2021,43.97,43.97,43.97,42.57,25.28,19.18,19.18,6.19,1.91,0.77,-1.93,-1.93,-1.09,-1.09,-1.09,,,0.26,-23.89,-38.16,-11.54,-8.13,17.99,17.99,17.99,,18.43,-2.49,,-27.62,-27.62,-26.51,-26.51,,0.0,0.0,,-0.53,-19.36,18.83,0.0,0.0,-0.58,-11.67,-11.67,-1.27,-1.27,-0.2,-0.2,-0.2,,0.0,0.0,-14.17,-14.17,,3.97,,127.11,4.68,1.02,121.4,,5.7,-6.81,-4.64,
