,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Stock-Based Compensation,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Rent Expense,Exploration Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Income,Interest Expense Net of Capitalized Interest,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2011,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,0.01,0.01,,-1.02,-1.02,-0.47,,-0.47,-0.55,,,,,-1.01,-0.01,-0.01,-0.01,,-0.01,,,,,,,,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,,,0.01,,,,,,,-0.013,-0.013,80.44,80.44
2018,,,,,-3.56,-3.56,-0.88,-0.19,-0.7,-2.3,-0.33,-0.33,-0.05,,-3.56,0.2,0.1,0.1,0.1,0.0,-0.21,-0.44,0.23,0.31,,,,-3.37,-3.37,-3.37,-3.37,-3.37,-3.37,,,,-0.03,-0.03,-0.03,-0.03,100.62,100.62,-0.03,-0.03,100.62,100.62
2019,,0.09,0.09,,-1.47,-1.47,-0.62,-0.23,-0.39,-0.52,-0.28,-0.28,-0.05,,-1.38,-0.81,0.09,0.09,0.09,,0.06,0.0,0.06,0.56,-1.52,-1.52,,-2.18,-2.18,-2.18,-2.27,-2.27,-2.27,,,0.09,-0.03,-0.03,-0.03,-0.03,101.93,101.93,-0.03,-0.03,101.93,101.93
2020,,0.0,0.0,,-0.55,-0.55,-0.18,-0.18,0.0,-0.27,-0.09,-0.09,0.0,,-0.55,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,,,0.0,-0.004968,-0.004968,-0.004968,-0.004968,110.51,110.51,-0.005,-0.004968,110.51,110.51
2021,,0.0,0.0,,-3.13,-3.13,-1.37,-0.38,-0.98,-1.38,-0.36,-0.36,-0.01,,-3.13,-1.37,0.14,0.14,0.14,,-1.62,-0.26,-1.36,0.11,,,,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,,,0.14,-0.03,-0.03,-0.03,-0.03,138.11,138.11,-0.03,-0.03,138.11,138.11
